config_idx,network_type,branch_factors,depth,branch_product,ie,seed,test_acc,valid_acc,train_acc
131,dendritic_shunting,"[2, 2, 2]",3,8,20,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
132,dendritic_shunting,"[2, 2, 2]",3,8,40,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
133,dendritic_shunting,"[2, 2, 2]",3,8,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
134,dendritic_shunting,"[2, 2, 2]",3,8,40,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
135,dendritic_shunting,"[3, 3, 3]",3,27,0,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
136,dendritic_shunting,"[3, 3, 3]",3,27,0,43,0.32100000977516174,0.34700000286102295,0.33125001192092896
137,dendritic_shunting,"[3, 3, 3]",3,27,0,44,0.6630000472068787,0.6720000505447388,0.6630000472068787
138,dendritic_shunting,"[3, 3, 3]",3,27,5,42,0.6380000114440918,0.6230000257492065,0.6222500205039978
139,dendritic_shunting,"[3, 3, 3]",3,27,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
14,dendritic_additive,"[2, 2]",2,4,40,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
140,dendritic_shunting,"[3, 3, 3]",3,27,5,44,0.6730000376701355,0.659000039100647,0.6550000309944153
141,dendritic_shunting,"[3, 3, 3]",3,27,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
142,dendritic_shunting,"[3, 3, 3]",3,27,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
143,dendritic_shunting,"[3, 3, 3]",3,27,10,44,0.6650000214576721,0.6710000038146973,0.6648750305175781
144,dendritic_shunting,"[3, 3, 3]",3,27,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
145,dendritic_shunting,"[3, 3, 3]",3,27,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
146,dendritic_shunting,"[3, 3, 3]",3,27,20,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
147,dendritic_shunting,"[3, 3, 3]",3,27,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
148,dendritic_shunting,"[3, 3, 3]",3,27,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
149,dendritic_shunting,"[3, 3, 3]",3,27,40,44,0.6620000600814819,0.6530000567436218,0.6413750052452087
15,dendritic_additive,"[3, 3]",2,9,0,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
16,dendritic_additive,"[3, 3]",2,9,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
17,dendritic_additive,"[3, 3]",2,9,0,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
18,dendritic_additive,"[3, 3]",2,9,5,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
19,dendritic_additive,"[3, 3]",2,9,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
2,dendritic_additive,"[2, 2]",2,4,0,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
20,dendritic_additive,"[3, 3]",2,9,5,44,0.3450000286102295,0.3410000205039978,0.3265000283718109
21,dendritic_additive,"[3, 3]",2,9,10,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
22,dendritic_additive,"[3, 3]",2,9,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
23,dendritic_additive,"[3, 3]",2,9,10,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
24,dendritic_additive,"[3, 3]",2,9,20,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
25,dendritic_additive,"[3, 3]",2,9,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
26,dendritic_additive,"[3, 3]",2,9,20,44,0.6310000419616699,0.6320000290870667,0.6312500238418579
27,dendritic_additive,"[3, 3]",2,9,40,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
28,dendritic_additive,"[3, 3]",2,9,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
29,dendritic_additive,"[3, 3]",2,9,40,44,0.6430000066757202,0.6530000567436218,0.643750011920929
3,dendritic_additive,"[2, 2]",2,4,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
30,dendritic_additive,"[4, 4]",2,16,0,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
31,dendritic_additive,"[4, 4]",2,16,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
32,dendritic_additive,"[4, 4]",2,16,0,44,0.4660000205039978,0.4750000238418579,0.4738750159740448
33,dendritic_additive,"[4, 4]",2,16,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
34,dendritic_additive,"[4, 4]",2,16,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
35,dendritic_additive,"[4, 4]",2,16,5,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
36,dendritic_additive,"[4, 4]",2,16,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
37,dendritic_additive,"[4, 4]",2,16,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
38,dendritic_additive,"[4, 4]",2,16,10,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
39,dendritic_additive,"[4, 4]",2,16,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
4,dendritic_additive,"[2, 2]",2,4,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
40,dendritic_additive,"[4, 4]",2,16,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
41,dendritic_additive,"[4, 4]",2,16,20,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
42,dendritic_additive,"[4, 4]",2,16,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
43,dendritic_additive,"[4, 4]",2,16,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
44,dendritic_additive,"[4, 4]",2,16,40,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
45,dendritic_additive,"[2, 2, 2]",3,8,0,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
46,dendritic_additive,"[2, 2, 2]",3,8,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
47,dendritic_additive,"[2, 2, 2]",3,8,0,44,0.5100000500679016,0.5110000371932983,0.518500030040741
48,dendritic_additive,"[2, 2, 2]",3,8,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
49,dendritic_additive,"[2, 2, 2]",3,8,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
5,dendritic_additive,"[2, 2]",2,4,5,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
50,dendritic_additive,"[2, 2, 2]",3,8,5,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
51,dendritic_additive,"[2, 2, 2]",3,8,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
52,dendritic_additive,"[2, 2, 2]",3,8,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
53,dendritic_additive,"[2, 2, 2]",3,8,10,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
54,dendritic_additive,"[2, 2, 2]",3,8,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
55,dendritic_additive,"[2, 2, 2]",3,8,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
56,dendritic_additive,"[2, 2, 2]",3,8,20,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
57,dendritic_additive,"[2, 2, 2]",3,8,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
58,dendritic_additive,"[2, 2, 2]",3,8,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
59,dendritic_additive,"[2, 2, 2]",3,8,40,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
6,dendritic_additive,"[2, 2]",2,4,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
60,dendritic_additive,"[3, 3, 3]",3,27,0,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
61,dendritic_additive,"[3, 3, 3]",3,27,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
62,dendritic_additive,"[3, 3, 3]",3,27,0,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
63,dendritic_additive,"[3, 3, 3]",3,27,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
64,dendritic_additive,"[3, 3, 3]",3,27,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
65,dendritic_additive,"[3, 3, 3]",3,27,5,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
66,dendritic_additive,"[3, 3, 3]",3,27,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
67,dendritic_additive,"[3, 3, 3]",3,27,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
68,dendritic_additive,"[3, 3, 3]",3,27,10,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
69,dendritic_additive,"[3, 3, 3]",3,27,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
7,dendritic_additive,"[2, 2]",2,4,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
70,dendritic_additive,"[3, 3, 3]",3,27,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
71,dendritic_additive,"[3, 3, 3]",3,27,20,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
72,dendritic_additive,"[3, 3, 3]",3,27,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
73,dendritic_additive,"[3, 3, 3]",3,27,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
74,dendritic_additive,"[3, 3, 3]",3,27,40,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
75,dendritic_shunting,"[2, 2]",2,4,0,42,0.6720000505447388,0.6430000066757202,0.6636250019073486
76,dendritic_shunting,"[2, 2]",2,4,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
77,dendritic_shunting,"[2, 2]",2,4,0,44,0.6570000052452087,0.6630000472068787,0.659375011920929
78,dendritic_shunting,"[2, 2]",2,4,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
79,dendritic_shunting,"[2, 2]",2,4,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
8,dendritic_additive,"[2, 2]",2,4,10,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
80,dendritic_shunting,"[2, 2]",2,4,5,44,0.6600000262260437,0.6510000228881836,0.6451250314712524
81,dendritic_shunting,"[2, 2]",2,4,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
82,dendritic_shunting,"[2, 2]",2,4,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
83,dendritic_shunting,"[2, 2]",2,4,10,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
84,dendritic_shunting,"[2, 2]",2,4,20,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
85,dendritic_shunting,"[2, 2]",2,4,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
86,dendritic_shunting,"[2, 2]",2,4,20,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
87,dendritic_shunting,"[2, 2]",2,4,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
88,dendritic_shunting,"[2, 2]",2,4,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
89,dendritic_shunting,"[2, 2]",2,4,40,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
9,dendritic_additive,"[2, 2]",2,4,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
90,dendritic_shunting,"[3, 3]",2,9,0,42,0.675000011920929,0.6500000357627869,0.6688750386238098
91,dendritic_shunting,"[3, 3]",2,9,0,43,0.675000011920929,0.6470000147819519,0.6642500162124634
92,dendritic_shunting,"[3, 3]",2,9,0,44,0.3450000286102295,0.3400000035762787,0.3252500295639038
93,dendritic_shunting,"[3, 3]",2,9,5,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
94,dendritic_shunting,"[3, 3]",2,9,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
95,dendritic_shunting,"[3, 3]",2,9,5,44,0.6570000052452087,0.6700000166893005,0.659500002861023
96,dendritic_shunting,"[3, 3]",2,9,10,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
97,dendritic_shunting,"[3, 3]",2,9,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
98,dendritic_shunting,"[3, 3]",2,9,10,44,0.6540000438690186,0.6580000519752502,0.6536250114440918
99,dendritic_shunting,"[3, 3]",2,9,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
