epoch,rule_variant,error_broadcast_mode,parameter_name,component,numel,cosine_similarity,local_grad_norm,backprop_grad_norm,norm_ratio
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.809692763245233,0.002778436057269573,0.0017641176236793399,1.5749721097960256
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.23330243381596666,5.340220013749786e-06,2.114862945745699e-05,0.2525090229597741
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.17400967729928957,1.8066386473947205e-05,6.165588274598122e-05,0.29301966619081654
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.2128944304496407,6.8066919993725605e-06,2.8356420443742536e-05,0.24004058526484504
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.1384116831036026,0.0007762679015286267,0.015385887585580349,0.05045324146302041
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8513657290372333,0.0008348147384822369,0.0032473388127982616,0.25707657449694715
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9981348131187969,2.1836222003912553e-05,2.9166605600039475e-05,0.7486720105410891
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,1.000000109660781,0.04065120220184326,0.035207536071538925,1.154616503639693
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,0.9999999629805931,0.006511582061648369,0.005639605689793825,1.1546165492169018
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.15873459373840704,0.0009293907205574214,0.0005333638982847333,1.7425077359074719
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.1679372039783395,0.00032871647272258997,0.00013894267613068223,2.3658423711918
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.2939893215499332,0.0021416957024484873,0.006641004700213671,0.32249573653472696
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.8096928358130001,0.0036352870520204306,0.0017641176236793399,2.060682916583416
