seed,signal_retention,noise_retention,method,population_loss_after_one_step,expected_population_loss,projected_bp_predicted_better_than_full
7001,0.25,1,full_stochastic_bp,0.585969977,0.5,False
7001,0.25,1,bp_plus_route_projection,0.960969977,0.875,False
7001,0.25,1,routed_localca,0.9986849156,0.9,False
7001,0.5,0.1,full_stochastic_bp,0.5416971195,0.5,True
7001,0.5,0.1,bp_plus_route_projection,0.3271367722,0.3,True
7001,0.5,0.1,routed_localca,0.3405356807,0.325,True
7001,0.5,0.25,full_stochastic_bp,0.3679966474,0.5,True
7001,0.5,0.25,bp_plus_route_projection,0.4226368645,0.375,True
7001,0.5,0.25,routed_localca,0.4288491023,0.4,True
7001,0.5,0.5,full_stochastic_bp,0.2546834335,0.5,False
7001,0.5,0.5,bp_plus_route_projection,0.4428531328,0.5,False
7001,0.5,0.5,routed_localca,0.4144504416,0.525,False
7001,0.5,0.75,full_stochastic_bp,0.3803839911,0.5,False
7001,0.5,0.75,bp_plus_route_projection,0.4831509797,0.625,False
7001,0.5,0.75,routed_localca,0.5408914067,0.65,False
7001,0.5,1,full_stochastic_bp,0.7131924183,0.5,False
7001,0.5,1,bp_plus_route_projection,0.9631924183,0.75,False
7001,0.5,1,routed_localca,0.8451509053,0.775,False
7001,0.75,0.1,full_stochastic_bp,0.3222131844,0.5,True
7001,0.75,0.1,bp_plus_route_projection,0.1502408469,0.175,True
7001,0.75,0.1,routed_localca,0.1793977688,0.2,True
7001,0.75,0.25,full_stochastic_bp,0.418356831,0.5,True
7001,0.75,0.25,bp_plus_route_projection,0.2573768016,0.25,True
7001,0.75,0.25,routed_localca,0.3018632089,0.275,True
7001,0.75,0.5,full_stochastic_bp,0.818706598,0.5,True
7001,0.75,0.5,bp_plus_route_projection,0.4789337939,0.375,True
7001,0.75,0.5,routed_localca,0.5252142722,0.4,True
7001,0.75,0.75,full_stochastic_bp,0.4031233374,0.5,False
7001,0.75,0.75,bp_plus_route_projection,0.4608323246,0.5,False
7001,0.75,0.75,routed_localca,0.4022581077,0.525,False
7001,0.75,1,full_stochastic_bp,0.6347103079,0.5,False
7001,0.75,1,bp_plus_route_projection,0.7597103079,0.625,False
7001,0.75,1,routed_localca,0.8236771516,0.65,False
7001,0.9,0.1,full_stochastic_bp,0.46378924,0.5,True
7001,0.9,0.1,bp_plus_route_projection,0.1177154921,0.1,True
7001,0.9,0.1,routed_localca,0.09782310389,0.125,True
7001,0.9,0.25,full_stochastic_bp,0.543637138,0.5,True
7001,0.9,0.25,bp_plus_route_projection,0.1432655875,0.175,True
7001,0.9,0.25,routed_localca,0.1630056088,0.2,True
7001,0.9,0.5,full_stochastic_bp,0.5114568584,0.5,True
7001,0.9,0.5,bp_plus_route_projection,0.2869899783,0.3,True
7001,0.9,0.5,routed_localca,0.2781854575,0.325,True
7001,0.9,0.75,full_stochastic_bp,0.8080772622,0.5,True
7001,0.9,0.75,bp_plus_route_projection,0.7024538067,0.425,True
7001,0.9,0.75,routed_localca,0.6421932058,0.45,True
7001,0.9,1,full_stochastic_bp,0.3870273355,0.5,False
7001,0.9,1,bp_plus_route_projection,0.4370273355,0.55,False
7001,0.9,1,routed_localca,0.4187564793,0.575,False
7001,1,0.1,full_stochastic_bp,0.1595604776,0.5,True
7001,1,0.1,bp_plus_route_projection,0.03116204744,0.05,True
7001,1,0.1,routed_localca,0.05300586005,0.075,True
7001,1,0.25,full_stochastic_bp,0.4162610455,0.5,True
7001,1,0.25,bp_plus_route_projection,0.08488278124,0.125,True
7001,1,0.25,routed_localca,0.1331058209,0.15,True
7001,1,0.5,full_stochastic_bp,0.889956198,0.5,True
7001,1,0.5,bp_plus_route_projection,0.3401245965,0.25,True
7001,1,0.5,routed_localca,0.3196854226,0.275,True
7001,1,0.75,full_stochastic_bp,0.5317914956,0.5,True
7001,1,0.75,bp_plus_route_projection,0.3203283216,0.375,True
7001,1,0.75,routed_localca,0.3266255861,0.4,True
7001,1,1,full_stochastic_bp,0.4758650996,0.5,False
7001,1,1,bp_plus_route_projection,0.4758650996,0.5,False
7001,1,1,routed_localca,0.314701176,0.525,False
7002,0.25,0.1,full_stochastic_bp,0.444576386,0.5,True
7002,0.25,0.1,bp_plus_route_projection,0.4308690301,0.425,True
7002,0.25,0.1,routed_localca,0.439113238,0.45,True
7002,0.25,0.25,full_stochastic_bp,0.2183864858,0.5,False
7002,0.25,0.25,bp_plus_route_projection,0.4809921154,0.5,False
7002,0.25,0.25,routed_localca,0.5641281566,0.525,False
7002,0.25,0.5,full_stochastic_bp,0.5856573503,0.5,False
7002,0.25,0.5,bp_plus_route_projection,0.7779641213,0.625,False
7002,0.25,0.5,routed_localca,0.8629455475,0.65,False
7002,0.25,0.75,full_stochastic_bp,0.6595611589,0.5,False
7002,0.25,0.75,bp_plus_route_projection,0.9230478136,0.75,False
7002,0.25,0.75,routed_localca,0.913244868,0.775,False
7002,0.25,1,full_stochastic_bp,1.188376038,0.5,False
7002,0.25,1,bp_plus_route_projection,1.563376038,0.875,False
7002,0.25,1,routed_localca,1.339409872,0.9,False
7002,0.5,0.1,full_stochastic_bp,0.2721929048,0.5,True
7002,0.5,0.1,bp_plus_route_projection,0.2759737845,0.3,True
7002,0.5,0.1,routed_localca,0.2872615481,0.325,True
7002,0.5,0.25,full_stochastic_bp,0.4309369326,0.5,True
7002,0.5,0.25,bp_plus_route_projection,0.3491058143,0.375,True
7002,0.5,0.25,routed_localca,0.3223019848,0.4,True
7002,0.5,0.5,full_stochastic_bp,0.4914167409,0.5,False
7002,0.5,0.5,bp_plus_route_projection,0.600914514,0.5,False
7002,0.5,0.5,routed_localca,0.7050761088,0.525,False
7002,0.5,0.75,full_stochastic_bp,0.2676756347,0.5,False
7002,0.5,0.75,bp_plus_route_projection,0.4126662474,0.625,False
7002,0.5,0.75,routed_localca,0.4051102676,0.65,False
7002,0.5,1,full_stochastic_bp,0.2376981656,0.5,False
7002,0.5,1,bp_plus_route_projection,0.4876981656,0.75,False
7002,0.5,1,routed_localca,0.5726344139,0.775,False
7002,0.75,0.1,full_stochastic_bp,0.4834301184,0.5,True
7002,0.75,0.1,bp_plus_route_projection,0.187568627,0.175,True
7002,0.75,0.1,routed_localca,0.234869486,0.2,True
7002,0.75,0.25,full_stochastic_bp,0.4769038726,0.5,True
7002,0.75,0.25,bp_plus_route_projection,0.2162367895,0.25,True
7002,0.75,0.25,routed_localca,0.2132672359,0.275,True
7002,0.75,0.5,full_stochastic_bp,0.9509682305,0.5,True
7002,0.75,0.5,bp_plus_route_projection,0.5766457413,0.375,True
7002,0.75,0.5,routed_localca,0.5246710528,0.4,True
7002,0.75,0.75,full_stochastic_bp,0.320195401,0.5,False
7002,0.75,0.75,bp_plus_route_projection,0.3490523966,0.5,False
7002,0.75,0.75,routed_localca,0.3539633031,0.525,False
7002,0.75,1,full_stochastic_bp,1.076109079,0.5,False
7002,0.75,1,bp_plus_route_projection,1.201109079,0.625,False
7002,0.75,1,routed_localca,1.220182466,0.65,False
7002,0.9,0.1,full_stochastic_bp,0.4509020982,0.5,True
7002,0.9,0.1,bp_plus_route_projection,0.1106026903,0.1,True
7002,0.9,0.1,routed_localca,0.1630447799,0.125,True
7002,0.9,0.25,full_stochastic_bp,0.9096831631,0.5,True
7002,0.9,0.25,bp_plus_route_projection,0.1776440363,0.175,True
7002,0.9,0.25,routed_localca,0.1883997154,0.2,True
7002,0.9,0.5,full_stochastic_bp,0.4010479519,0.5,True
7002,0.9,0.5,bp_plus_route_projection,0.1564069791,0.3,True
7002,0.9,0.5,routed_localca,0.1775705249,0.325,True
7002,0.9,0.75,full_stochastic_bp,0.8671051031,0.5,True
7002,0.9,0.75,bp_plus_route_projection,0.8611676198,0.425,True
7002,0.9,0.75,routed_localca,1.061069168,0.45,True
7002,0.9,1,full_stochastic_bp,0.2747196413,0.5,False
7002,0.9,1,bp_plus_route_projection,0.3247196413,0.55,False
7002,0.9,1,routed_localca,0.3622997336,0.575,False
7002,1,0.1,full_stochastic_bp,0.3389388698,0.5,True
7002,1,0.1,bp_plus_route_projection,0.04999408402,0.05,True
7002,1,0.1,routed_localca,0.09543809847,0.075,True
7002,1,0.25,full_stochastic_bp,0.3480853654,0.5,True
7002,1,0.25,bp_plus_route_projection,0.09522304514,0.125,True
7002,1,0.25,routed_localca,0.188012881,0.15,True
7002,1,0.5,full_stochastic_bp,0.7673231257,0.5,True
7002,1,0.5,bp_plus_route_projection,0.5776051065,0.25,True
7002,1,0.5,routed_localca,0.5781936902,0.275,True
7002,1,0.75,full_stochastic_bp,0.2378777109,0.5,True
7002,1,0.75,bp_plus_route_projection,0.13104139,0.375,True
7002,1,0.75,routed_localca,0.1549856369,0.4,True
7002,1,1,full_stochastic_bp,0.239078452,0.5,False
7002,1,1,bp_plus_route_projection,0.239078452,0.5,False
7002,1,1,routed_localca,0.2427123263,0.525,False
7003,0.25,0.1,full_stochastic_bp,0.4697251682,0.5,True
7003,0.25,0.1,bp_plus_route_projection,0.4449454616,0.425,True
7003,0.25,0.1,routed_localca,0.4165438495,0.45,True
7003,0.25,0.25,full_stochastic_bp,0.2454317204,0.5,False
7003,0.25,0.25,bp_plus_route_projection,0.494306749,0.5,False
7003,0.25,0.25,routed_localca,0.4892934991,0.525,False
7003,0.25,0.5,full_stochastic_bp,0.592735957,0.5,False
7003,0.25,0.5,bp_plus_route_projection,0.6672236806,0.625,False
7003,0.25,0.5,routed_localca,0.6782929971,0.65,False
7003,0.25,0.75,full_stochastic_bp,0.5388449914,0.5,False
7003,0.25,0.75,bp_plus_route_projection,0.8191940799,0.75,False
7003,0.25,0.75,routed_localca,0.9612291814,0.775,False
7003,0.25,1,full_stochastic_bp,0.8541613104,0.5,False
7003,0.25,1,bp_plus_route_projection,1.22916131,0.875,False
7003,0.25,1,routed_localca,1.345358757,0.9,False
7003,0.5,0.1,full_stochastic_bp,0.35521725,0.5,True
7003,0.5,0.1,bp_plus_route_projection,0.2929875338,0.3,True
7003,0.5,0.1,routed_localca,0.3046237814,0.325,True
7003,0.5,0.25,full_stochastic_bp,0.2687729525,0.5,True
7003,0.5,0.25,bp_plus_route_projection,0.3807830272,0.375,True
7003,0.5,0.25,routed_localca,0.4645321578,0.4,True
7003,0.5,0.5,full_stochastic_bp,0.3084730922,0.5,False
7003,0.5,0.5,bp_plus_route_projection,0.4302141307,0.5,False
7003,0.5,0.5,routed_localca,0.5189371696,0.525,False
7003,0.5,0.75,full_stochastic_bp,0.4985369175,0.5,False
7003,0.5,0.75,bp_plus_route_projection,0.6373478821,0.625,False
7003,0.5,0.75,routed_localca,0.6837316023,0.65,False
7003,0.5,1,full_stochastic_bp,0.6533196988,0.5,False
7003,0.5,1,bp_plus_route_projection,0.9033196988,0.75,False
7003,0.5,1,routed_localca,0.9738933679,0.775,False
7003,0.75,0.1,full_stochastic_bp,0.2507921946,0.5,True
7003,0.75,0.1,bp_plus_route_projection,0.1483194647,0.175,True
7003,0.75,0.1,routed_localca,0.1744333653,0.2,True
7003,0.75,0.25,full_stochastic_bp,0.5233676154,0.5,True
7003,0.75,0.25,bp_plus_route_projection,0.2119467846,0.25,True
7003,0.75,0.25,routed_localca,0.1739119944,0.275,True
7003,0.75,0.5,full_stochastic_bp,0.4428471367,0.5,True
7003,0.75,0.5,bp_plus_route_projection,0.3856327938,0.375,True
7003,0.75,0.5,routed_localca,0.4621965959,0.4,True
7003,0.75,0.75,full_stochastic_bp,0.7523185339,0.5,False
7003,0.75,0.75,bp_plus_route_projection,0.6345934152,0.5,False
7003,0.75,0.75,routed_localca,0.6899832902,0.525,False
7003,0.75,1,full_stochastic_bp,0.2948690425,0.5,False
7003,0.75,1,bp_plus_route_projection,0.4198690425,0.625,False
7003,0.75,1,routed_localca,0.3807259146,0.65,False
7003,0.9,0.1,full_stochastic_bp,0.3717773,0.5,True
7003,0.9,0.1,bp_plus_route_projection,0.1139955456,0.1,True
7003,0.9,0.1,routed_localca,0.1235078588,0.125,True
7003,0.9,0.25,full_stochastic_bp,0.4174073867,0.5,True
7003,0.9,0.25,bp_plus_route_projection,0.1929754711,0.175,True
7003,0.9,0.25,routed_localca,0.2550863057,0.2,True
7003,0.9,0.5,full_stochastic_bp,0.3415826805,0.5,True
7003,0.9,0.5,bp_plus_route_projection,0.1908982811,0.3,True
7003,0.9,0.5,routed_localca,0.2246825043,0.325,True
7003,0.9,0.75,full_stochastic_bp,0.4312781059,0.5,True
7003,0.9,0.75,bp_plus_route_projection,0.445779702,0.425,True
7003,0.9,0.75,routed_localca,0.4637879143,0.45,True
7003,0.9,1,full_stochastic_bp,0.3527492184,0.5,False
7003,0.9,1,bp_plus_route_projection,0.4027492184,0.55,False
7003,0.9,1,routed_localca,0.4343659848,0.575,False
7003,1,0.1,full_stochastic_bp,0.4496547098,0.5,True
7003,1,0.1,bp_plus_route_projection,0.0324198447,0.05,True
7003,1,0.1,routed_localca,0.05060695889,0.075,True
7003,1,0.25,full_stochastic_bp,0.4536679956,0.5,True
7003,1,0.25,bp_plus_route_projection,0.06028519485,0.125,True
7003,1,0.25,routed_localca,0.05501447562,0.15,True
7003,1,0.5,full_stochastic_bp,0.5931249338,0.5,True
7003,1,0.5,bp_plus_route_projection,0.2959958773,0.25,True
7003,1,0.5,routed_localca,0.4320552745,0.275,True
7003,1,0.75,full_stochastic_bp,0.3690827422,0.5,True
7003,1,0.75,bp_plus_route_projection,0.248374959,0.375,True
7003,1,0.75,routed_localca,0.2600638664,0.4,True
7003,1,1,full_stochastic_bp,0.4210371504,0.5,False
7003,1,1,bp_plus_route_projection,0.4210371504,0.5,False
7003,1,1,routed_localca,0.4372798855,0.525,False
7004,0.25,0.1,full_stochastic_bp,0.6216635637,0.5,True
7004,0.25,0.1,bp_plus_route_projection,0.400539054,0.425,True
7004,0.25,0.1,routed_localca,0.3961169144,0.45,True
7004,0.25,0.25,full_stochastic_bp,0.2730643299,0.5,False
7004,0.25,0.25,bp_plus_route_projection,0.4798501119,0.5,False
7004,0.25,0.25,routed_localca,0.4937955018,0.525,False
7004,0.25,0.5,full_stochastic_bp,0.5318357738,0.5,False
7004,0.25,0.5,bp_plus_route_projection,0.6124024789,0.625,False
7004,0.25,0.5,routed_localca,0.6405543853,0.65,False
7004,0.25,0.75,full_stochastic_bp,0.5998810925,0.5,False
7004,0.25,0.75,bp_plus_route_projection,0.7778365687,0.75,False
7004,0.25,0.75,routed_localca,0.8337261416,0.775,False
7004,0.25,1,full_stochastic_bp,0.2984910287,0.5,False
7004,0.25,1,bp_plus_route_projection,0.6734910287,0.875,False
7004,0.25,1,routed_localca,0.6202561893,0.9,False
7004,0.5,0.1,full_stochastic_bp,0.734466858,0.5,True
7004,0.5,0.1,bp_plus_route_projection,0.2760695699,0.3,True
7004,0.5,0.1,routed_localca,0.2798190572,0.325,True
7004,0.5,0.25,full_stochastic_bp,0.1965028449,0.5,True
7004,0.5,0.25,bp_plus_route_projection,0.2740600363,0.375,True
7004,0.5,0.25,routed_localca,0.2844518083,0.4,True
7004,0.5,0.5,full_stochastic_bp,0.7531303255,0.5,False
7004,0.5,0.5,bp_plus_route_projection,0.5576796459,0.5,False
7004,0.5,0.5,routed_localca,0.7231724537,0.525,False
7004,0.5,0.75,full_stochastic_bp,0.46223167,0.5,False
7004,0.5,0.75,bp_plus_route_projection,0.5695126432,0.625,False
7004,0.5,0.75,routed_localca,0.5479909012,0.65,False
7004,0.5,1,full_stochastic_bp,0.3786370043,0.5,False
7004,0.5,1,bp_plus_route_projection,0.6286370043,0.75,False
7004,0.5,1,routed_localca,0.6045734434,0.775,False
7004,0.75,0.1,full_stochastic_bp,0.1673240815,0.5,True
7004,0.75,0.1,bp_plus_route_projection,0.1760567425,0.175,True
7004,0.75,0.1,routed_localca,0.2511450951,0.2,True
7004,0.75,0.25,full_stochastic_bp,0.5451746608,0.5,True
7004,0.75,0.25,bp_plus_route_projection,0.2995862628,0.25,True
7004,0.75,0.25,routed_localca,0.3912257639,0.275,True
7004,0.75,0.5,full_stochastic_bp,0.5719553939,0.5,True
7004,0.75,0.5,bp_plus_route_projection,0.4471511735,0.375,True
7004,0.75,0.5,routed_localca,0.4342697661,0.4,True
7004,0.75,0.75,full_stochastic_bp,0.505827836,0.5,False
7004,0.75,0.75,bp_plus_route_projection,0.4017781474,0.5,False
7004,0.75,0.75,routed_localca,0.4296374478,0.525,False
7004,0.75,1,full_stochastic_bp,0.8365470292,0.5,False
7004,0.75,1,bp_plus_route_projection,0.9615470292,0.625,False
7004,0.75,1,routed_localca,0.9928666703,0.65,False
7004,0.9,0.1,full_stochastic_bp,0.5626161486,0.5,True
7004,0.9,0.1,bp_plus_route_projection,0.2177490805,0.1,True
7004,0.9,0.1,routed_localca,0.2323482889,0.125,True
7004,0.9,0.25,full_stochastic_bp,0.7752669206,0.5,True
7004,0.9,0.25,bp_plus_route_projection,0.2852758766,0.175,True
7004,0.9,0.25,routed_localca,0.3422125618,0.2,True
7004,0.9,0.5,full_stochastic_bp,0.9681143077,0.5,True
7004,0.9,0.5,bp_plus_route_projection,0.675033814,0.3,True
7004,0.9,0.5,routed_localca,0.5639829411,0.325,True
7004,0.9,0.75,full_stochastic_bp,0.5299060102,0.5,True
7004,0.9,0.75,bp_plus_route_projection,0.4768058424,0.425,True
7004,0.9,0.75,routed_localca,0.4368057662,0.45,True
7004,0.9,1,full_stochastic_bp,0.5438669801,0.5,False
7004,0.9,1,bp_plus_route_projection,0.5938669801,0.55,False
7004,0.9,1,routed_localca,0.5164512204,0.575,False
7004,1,0.1,full_stochastic_bp,0.2039888271,0.5,True
7004,1,0.1,bp_plus_route_projection,0.04176534044,0.05,True
7004,1,0.1,routed_localca,0.1255655868,0.075,True
7004,1,0.25,full_stochastic_bp,0.4827350082,0.5,True
7004,1,0.25,bp_plus_route_projection,0.06361147937,0.125,True
7004,1,0.25,routed_localca,0.03505852991,0.15,True
7004,1,0.5,full_stochastic_bp,0.5528419871,0.5,True
7004,1,0.5,bp_plus_route_projection,0.2886816277,0.25,True
7004,1,0.5,routed_localca,0.2086703405,0.275,True
7004,1,0.75,full_stochastic_bp,0.7674502376,0.5,True
7004,1,0.75,bp_plus_route_projection,0.5179636715,0.375,True
7004,1,0.75,routed_localca,0.4975883757,0.4,True
7004,1,1,full_stochastic_bp,0.5902342076,0.5,False
7004,1,1,bp_plus_route_projection,0.5902342076,0.5,False
7004,1,1,routed_localca,0.4989940065,0.525,False
7005,0.25,0.1,full_stochastic_bp,0.4667329711,0.5,True
7005,0.25,0.1,bp_plus_route_projection,0.5294062582,0.425,True
7005,0.25,0.1,routed_localca,0.5244750402,0.45,True
7005,0.25,0.25,full_stochastic_bp,0.3030782062,0.5,False
7005,0.25,0.25,bp_plus_route_projection,0.4789541761,0.5,False
7005,0.25,0.25,routed_localca,0.433314002,0.525,False
7005,0.25,0.5,full_stochastic_bp,0.3849164208,0.5,False
7005,0.25,0.5,bp_plus_route_projection,0.5521971531,0.625,False
7005,0.25,0.5,routed_localca,0.562624382,0.65,False
7005,0.25,0.75,full_stochastic_bp,0.4421938234,0.5,False
7005,0.25,0.75,bp_plus_route_projection,0.6809632936,0.75,False
7005,0.25,0.75,routed_localca,0.6813218903,0.775,False
7005,0.25,1,full_stochastic_bp,0.3815313279,0.5,False
7005,0.25,1,bp_plus_route_projection,0.7565313279,0.875,False
7005,0.25,1,routed_localca,0.761965403,0.9,False
7005,0.5,0.1,full_stochastic_bp,0.6385206937,0.5,True
7005,0.5,0.1,bp_plus_route_projection,0.2939429025,0.3,True
7005,0.5,0.1,routed_localca,0.3307181742,0.325,True
7005,0.5,0.25,full_stochastic_bp,0.2713263796,0.5,True
7005,0.5,0.25,bp_plus_route_projection,0.4461973967,0.375,True
7005,0.5,0.25,routed_localca,0.4874024484,0.4,True
7005,0.5,0.5,full_stochastic_bp,0.8526368209,0.5,False
7005,0.5,0.5,bp_plus_route_projection,0.7212793811,0.5,False
7005,0.5,0.5,routed_localca,0.7986920226,0.525,False
7005,0.5,0.75,full_stochastic_bp,0.7394711884,0.5,False
7005,0.5,0.75,bp_plus_route_projection,0.9755851502,0.625,False
7005,0.5,0.75,routed_localca,1.161795418,0.65,False
7005,0.5,1,full_stochastic_bp,0.2126851456,0.5,False
7005,0.5,1,bp_plus_route_projection,0.4626851456,0.75,False
7005,0.5,1,routed_localca,0.5660856692,0.775,False
7005,0.75,0.1,full_stochastic_bp,0.7644804849,0.5,True
7005,0.75,0.1,bp_plus_route_projection,0.1791672644,0.175,True
7005,0.75,0.1,routed_localca,0.182126881,0.2,True
7005,0.75,0.25,full_stochastic_bp,0.39085611,0.5,True
7005,0.75,0.25,bp_plus_route_projection,0.3231124027,0.25,True
7005,0.75,0.25,routed_localca,0.3548794857,0.275,True
7005,0.75,0.5,full_stochastic_bp,0.5072380165,0.5,True
7005,0.75,0.5,bp_plus_route_projection,0.315932454,0.375,True
7005,0.75,0.5,routed_localca,0.4745576746,0.4,True
7005,0.75,0.75,full_stochastic_bp,0.5060854387,0.5,False
7005,0.75,0.75,bp_plus_route_projection,0.4341096549,0.5,False
7005,0.75,0.75,routed_localca,0.4970616712,0.525,False
7005,0.75,1,full_stochastic_bp,0.9645894076,0.5,False
7005,0.75,1,bp_plus_route_projection,1.089589408,0.625,False
7005,0.75,1,routed_localca,1.127296173,0.65,False
7005,0.9,0.1,full_stochastic_bp,0.5749970196,0.5,True
7005,0.9,0.1,bp_plus_route_projection,0.07495997198,0.1,True
7005,0.9,0.1,routed_localca,0.1092964404,0.125,True
7005,0.9,0.25,full_stochastic_bp,0.566952942,0.5,True
7005,0.9,0.25,bp_plus_route_projection,0.1697593406,0.175,True
7005,0.9,0.25,routed_localca,0.2641597655,0.2,True
7005,0.9,0.5,full_stochastic_bp,0.2117810623,0.5,True
7005,0.9,0.5,bp_plus_route_projection,0.1676402831,0.3,True
7005,0.9,0.5,routed_localca,0.2680124305,0.325,True
7005,0.9,0.75,full_stochastic_bp,1.299884595,0.5,True
7005,0.9,0.75,bp_plus_route_projection,1.25200165,0.425,True
7005,0.9,0.75,routed_localca,1.348777101,0.45,True
