seed,reliability_heterogeneity,method,population_loss_after_one_step,population_loss_decrease,expected_guaranteed_decrease,mean_attenuation,attenuation_reliability_correlation
7004,0.5,anti_aligned_shunting,2.492531285,1.507468715,1.407509367,0.5,-1
7004,0.5,explicit_point_gate,1.48106125,2.51893875,2.197496878,0.5,1
7004,1,no_shunting,2.04113727,1.95886273,8.881784197e-16,1,0
7004,1,best_global_gain,1.622872856,2.377127144,2,0.5,0
7004,1,reliability_aligned,0.9939797743,3.006020226,2.63926014,0.5,1
7004,1,shuffled_shunting,1.959633156,2.040366844,1.049214397,0.5,-0.1935263022
7004,1,anti_aligned_shunting,3.126548562,0.8734514375,0.08221958092,0.5,-1
7004,1,explicit_point_gate,0.9939797743,3.006020226,2.63926014,0.5,1
7004,1.5,no_shunting,1.79913966,2.20086034,-8.881784197e-16,1,0
7004,1.5,best_global_gain,1.725827616,2.274172384,2,0.5,0
7004,1.5,reliability_aligned,0.8894340382,3.110565962,3.087026034,0.5,1
7004,1.5,shuffled_shunting,2.127248298,1.872751702,1.189152804,0.5,0.07181620156
7004,1.5,anti_aligned_shunting,3.844852382,0.155147618,-1.261078101,0.5,-1
7004,1.5,explicit_point_gate,0.8894340382,3.110565962,3.087026034,0.5,1
7004,2,no_shunting,1.918994222,2.081005778,0,1,0
7004,2,best_global_gain,1.645866859,2.354133141,2,0.5,0
7004,2,reliability_aligned,0.3392537197,3.66074628,3.428844371,0.5,1
7004,2,shuffled_shunting,3.691249757,0.3087502428,-1.199840923,0.5,-0.8085992164
7004,2,anti_aligned_shunting,4.617379109,-0.6173791093,-2.286533112,0.5,-1
7004,2,explicit_point_gate,0.3392537197,3.66074628,3.428844371,0.5,1
7005,0,no_shunting,2.599682901,1.400317099,0,1,0
7005,0,best_global_gain,2.81047541,1.18952459,2,0.5,0
7005,0,reliability_aligned,2.81047541,1.18952459,2,0.5,0
7005,0,shuffled_shunting,2.81047541,1.18952459,2,0.5,0
7005,0,anti_aligned_shunting,2.81047541,1.18952459,2,0.5,0
7005,0,explicit_point_gate,2.81047541,1.18952459,2,0.5,0
7005,0.5,no_shunting,3.648933463,0.3510665371,-2.220446049e-16,1,0
7005,0.5,best_global_gain,1.978702476,2.021297524,2,0.5,0
7005,0.5,reliability_aligned,1.613162063,2.386837937,2.197496878,0.5,1
7005,0.5,shuffled_shunting,2.002961052,1.997038948,1.904353955,0.5,0.2335772112
7005,0.5,anti_aligned_shunting,2.733183989,1.266816011,1.407509367,0.5,-1
7005,0.5,explicit_point_gate,1.613162063,2.386837937,2.197496878,0.5,1
7005,1,no_shunting,4.169189949,-0.169189949,8.881784197e-16,1,0
7005,1,best_global_gain,2.530277387,1.469722613,2,0.5,0
7005,1,reliability_aligned,1.847436888,2.152563112,2.63926014,0.5,1
7005,1,shuffled_shunting,3.507805729,0.4921942712,1.519101403,0.5,0.1178816362
7005,1,anti_aligned_shunting,4.488482428,-0.4884824276,0.08221958092,0.5,-1
7005,1,explicit_point_gate,1.847436888,2.152563112,2.63926014,0.5,1
7005,1.5,no_shunting,2.701050437,1.298949563,-8.881784197e-16,1,0
7005,1.5,best_global_gain,1.153245281,2.846754719,2,0.5,0
7005,1.5,reliability_aligned,0.4529827582,3.547017242,3.087026034,0.5,1
7005,1.5,shuffled_shunting,2.668871157,1.331128843,-0.1013521713,0.5,-0.6311490576
7005,1.5,anti_aligned_shunting,3.978144435,0.02185556513,-1.261078101,0.5,-1
7005,1.5,explicit_point_gate,0.4529827582,3.547017242,3.087026034,0.5,1
7005,2,no_shunting,2.014288143,1.985711857,0,1,0
7005,2,best_global_gain,1.439798595,2.560201405,2,0.5,0
7005,2,reliability_aligned,0.3728418688,3.627158131,3.428844371,0.5,1
7005,2,shuffled_shunting,4.409893531,-0.4098935314,-1.60607828,0.5,-0.9154654362
7005,2,anti_aligned_shunting,4.645022394,-0.6450223938,-2.286533112,0.5,-1
7005,2,explicit_point_gate,0.3728418688,3.627158131,3.428844371,0.5,1
7006,0,no_shunting,3.04737055,0.9526294495,0,1,0
7006,0,best_global_gain,2.622614427,1.377385573,2,0.5,0
7006,0,reliability_aligned,2.622614427,1.377385573,2,0.5,0
7006,0,shuffled_shunting,2.622614427,1.377385573,2,0.5,0
7006,0,anti_aligned_shunting,2.622614427,1.377385573,2,0.5,0
7006,0,explicit_point_gate,2.622614427,1.377385573,2,0.5,0
7006,0.5,no_shunting,3.139709868,0.8602901319,-2.220446049e-16,1,0
7006,0.5,best_global_gain,2.821805231,1.178194769,2,0.5,0
7006,0.5,reliability_aligned,2.643992774,1.356007226,2.197496878,0.5,1
7006,0.5,shuffled_shunting,3.377241287,0.6227587134,1.813153771,0.5,0.009266296892
7006,0.5,anti_aligned_shunting,3.212065985,0.7879340151,1.407509367,0.5,-1
7006,0.5,explicit_point_gate,2.643992774,1.356007226,2.197496878,0.5,1
7006,1,no_shunting,0.9177127198,3.08228728,8.881784197e-16,1,0
7006,1,best_global_gain,1.333926715,2.666073285,2,0.5,0
7006,1,reliability_aligned,0.9616602248,3.038339775,2.63926014,0.5,1
7006,1,shuffled_shunting,1.643492745,2.356507255,1.43466458,0.5,0.09033593886
7006,1,anti_aligned_shunting,2.375034745,1.624965255,0.08221958092,0.5,-1
7006,1,explicit_point_gate,0.9616602248,3.038339775,2.63926014,0.5,1
7006,1.5,no_shunting,0.798547933,3.201452067,-8.881784197e-16,1,0
7006,1.5,best_global_gain,1.273886117,2.726113883,2,0.5,0
7006,1.5,reliability_aligned,0.7868650125,3.213134987,3.087026034,0.5,1
7006,1.5,shuffled_shunting,1.186858556,2.813141444,1.467051384,0.5,0.3808014571
7006,1.5,anti_aligned_shunting,3.241786436,0.7582135645,-1.261078101,0.5,-1
7006,1.5,explicit_point_gate,0.7868650125,3.213134987,3.087026034,0.5,1
7006,2,no_shunting,1.114199841,2.885800159,0,1,0
7006,2,best_global_gain,1.034364822,2.965635178,2,0.5,0
7006,2,reliability_aligned,0.3096580988,3.690341901,3.428844371,0.5,1
7006,2,shuffled_shunting,2.289486448,1.710513552,0.3645965792,0.5,-0.1062331199
7006,2,anti_aligned_shunting,3.685442136,0.3145578641,-2.286533112,0.5,-1
7006,2,explicit_point_gate,0.3096580988,3.690341901,3.428844371,0.5,1
7007,0,no_shunting,2.923104615,1.076895385,0,1,0
7007,0,best_global_gain,2.432920117,1.567079883,2,0.5,0
7007,0,reliability_aligned,2.432920117,1.567079883,2,0.5,0
7007,0,shuffled_shunting,2.432920117,1.567079883,2,0.5,0
7007,0,anti_aligned_shunting,2.432920117,1.567079883,2,0.5,0
7007,0,explicit_point_gate,2.432920117,1.567079883,2,0.5,0
7007,0.5,no_shunting,3.613587803,0.3864121973,-2.220446049e-16,1,0
7007,0.5,best_global_gain,1.106764896,2.893235104,2,0.5,0
7007,0.5,reliability_aligned,1.583764187,2.416235813,2.197496878,0.5,1
7007,0.5,shuffled_shunting,1.605687125,2.394312875,1.791223642,0.5,-0.07174860054
7007,0.5,anti_aligned_shunting,1.403168312,2.596831688,1.407509367,0.5,-1
7007,0.5,explicit_point_gate,1.583764187,2.416235813,2.197496878,0.5,1
7007,1,no_shunting,2.976868832,1.023131168,8.881784197e-16,1,0
7007,1,best_global_gain,1.024854762,2.975145238,2,0.5,0
7007,1,reliability_aligned,0.5047789309,3.495221069,2.63926014,0.5,1
7007,1,shuffled_shunting,2.834948082,1.165051918,1.02520382,0.5,-0.2960339921
7007,1,anti_aligned_shunting,2.988296828,1.011703172,0.08221958092,0.5,-1
7007,1,explicit_point_gate,0.5047789309,3.495221069,2.63926014,0.5,1
7007,1.5,no_shunting,4.540438785,-0.5404387851,-8.881784197e-16,1,0
7007,1.5,best_global_gain,1.372710426,2.627289574,2,0.5,0
7007,1.5,reliability_aligned,0.4422023677,3.557797632,3.087026034,0.5,1
7007,1.5,shuffled_shunting,1.647978522,2.352021478,1.572144516,0.5,0.1043587726
7007,1.5,anti_aligned_shunting,5.382405225,-1.382405225,-1.261078101,0.5,-1
