stage,index,architecture,arm,multiplier,seed,best_epoch,best_loss,elapsed_seconds,epoch,train_loss,valid_loss
development,0,shunting,strict_scalar,0.3,50200,34,1.3722310609817505,48.724089063936844,34,1.3866450520271951,1.3722310609817505
development,0,shunting,strict_scalar,0.3,50200,35,1.3610025517145792,49.94533910299651,35,1.3751436237325059,1.3610025517145792
development,0,shunting,strict_scalar,0.3,50200,36,1.3503309704462687,51.162574891000986,36,1.363423653105472,1.3503309704462687
development,0,shunting,strict_scalar,0.3,50200,37,1.3394008124669392,52.3858971450245,37,1.351727915571091,1.3394008124669392
development,0,shunting,strict_scalar,0.3,50200,38,1.3292135124206543,53.60497824999038,38,1.3422915485311062,1.3292135124206543
development,0,shunting,strict_scalar,0.3,50200,39,1.3200549373626709,54.82384202699177,39,1.3335929937819218,1.3200549373626709
development,0,shunting,strict_scalar,0.3,50200,40,1.313666520436605,56.06478380097542,40,1.3249214380345447,1.313666520436605
development,0,shunting,strict_scalar,0.3,50200,41,1.3103017279307048,57.29748515493702,41,1.3203710710748713,1.3103017279307048
development,0,shunting,strict_scalar,0.3,50200,42,1.3095824327468872,58.6558157519903,42,1.3172397144297336,1.3095824327468872
development,0,shunting,strict_scalar,0.3,50200,43,1.3056163606643676,59.871886639040895,43,1.3155313559035038,1.3056163606643676
development,0,shunting,strict_scalar,0.3,50200,44,1.3023524951934815,61.12643391196616,44,1.3095746103753434,1.3023524951934815
development,0,shunting,strict_scalar,0.3,50200,44,1.3023524951934815,62.32674616598524,45,1.3083761962170297,1.3028349933624268
development,0,shunting,strict_scalar,0.3,50200,46,1.3016868817011515,63.569434877019376,46,1.3062839863148141,1.3016868817011515
development,0,shunting,strict_scalar,0.3,50200,47,1.296067719777425,64.78854273201432,47,1.3045571617623593,1.296067719777425
development,0,shunting,strict_scalar,0.3,50200,47,1.296067719777425,65.99043028394226,48,1.3010979478663587,1.2985579980214437
development,0,shunting,strict_scalar,0.3,50200,47,1.296067719777425,67.34173103200737,49,1.3011816296171634,1.2967462860743204
development,0,shunting,strict_scalar,0.3,50200,50,1.2948277832667032,68.57025265798438,50,1.300036294663206,1.2948277832667032
development,0,shunting,strict_scalar,0.3,50200,50,1.2948277832667032,69.77111832704395,51,1.301255853252208,1.2984978532791138
development,0,shunting,strict_scalar,0.3,50200,50,1.2948277832667032,70.97235723398626,52,1.3035551366653848,1.2978659019470216
