architecture	seed	checkpoint	multiplier	path	sha256	bytes	config_path	config_sha256	original_config_sha256	scientific_config_sha256
shunting	50300	trained	1.0	checkpoints/shunting/seed_50300/trained_model.pt	d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67	9669010	checkpoints/shunting/seed_50300/config.json	7da57ae3fe3f5e6d7fa1d41d821d92a1915b377226bd1fd92765bac84d882ec1	3c5ed5811e603b1629dec4c51ddc14e7ddea72c5c5c277115eeab4c91c1c9e68	4544ee45d95df1b7d6e8eb28156a7083e517f97edc8739fe9b61cb03292c8727
shunting	50301	initial	1.0	checkpoints/shunting/seed_50301/initial_model.pt	778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa	9669068	checkpoints/shunting/seed_50301/config.json	5ff7ee4998d678434b200ac8e5555336d37a39b6934ee8851359d0da4ffc2fad	6964d695940898b3d696bcafc12f4f9677bb87b496b02881c1dd4301e4fa6c4e	be00d3cff34952302277adf0934de5773520c9a3b4a427fd091f9d016de28d81
shunting	50301	trained	1.0	checkpoints/shunting/seed_50301/trained_model.pt	748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd	9669010	checkpoints/shunting/seed_50301/config.json	5ff7ee4998d678434b200ac8e5555336d37a39b6934ee8851359d0da4ffc2fad	6964d695940898b3d696bcafc12f4f9677bb87b496b02881c1dd4301e4fa6c4e	be00d3cff34952302277adf0934de5773520c9a3b4a427fd091f9d016de28d81
shunting	50302	initial	1.0	checkpoints/shunting/seed_50302/initial_model.pt	ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb	9669068	checkpoints/shunting/seed_50302/config.json	dbfbc452c7117b5573979e562ca8b4322f3600e78e2d536f0457345c408e5dbb	8b53260891b3acc3d667b269d22308e9b410c0f1d140fe468d52b530dc88cada	c1ea6c700a30de3521f1631c56a7ac564bfc35d13fdcd0f4ee43381343907399
shunting	50302	trained	1.0	checkpoints/shunting/seed_50302/trained_model.pt	01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1	9669010	checkpoints/shunting/seed_50302/config.json	dbfbc452c7117b5573979e562ca8b4322f3600e78e2d536f0457345c408e5dbb	8b53260891b3acc3d667b269d22308e9b410c0f1d140fe468d52b530dc88cada	c1ea6c700a30de3521f1631c56a7ac564bfc35d13fdcd0f4ee43381343907399
shunting	50303	initial	1.0	checkpoints/shunting/seed_50303/initial_model.pt	a4cd9015f1260765c6676da104ab40aad65dc187c8cc18f6098ba24b45e075d6	9669068	checkpoints/shunting/seed_50303/config.json	546f006fe8050c602d14c5411a4df5394072cec1827036591e2d871865cd914f	40e934dda40f8b0ab2844a65c1a5d6b598b61daf77abc62096b78329913e6ca4	a0ff94f3cbc74a976c7be14b8a642e220272477fe8a750262dc7d09c82ec3967
shunting	50303	trained	1.0	checkpoints/shunting/seed_50303/trained_model.pt	18f2bfe88efc3d819075e4b6fd3894258421a4d359c0fdaf43f4fe89fcbb3107	9669010	checkpoints/shunting/seed_50303/config.json	546f006fe8050c602d14c5411a4df5394072cec1827036591e2d871865cd914f	40e934dda40f8b0ab2844a65c1a5d6b598b61daf77abc62096b78329913e6ca4	a0ff94f3cbc74a976c7be14b8a642e220272477fe8a750262dc7d09c82ec3967
shunting	50304	initial	1.0	checkpoints/shunting/seed_50304/initial_model.pt	b5767469df215148599e93d7b8e60b61de0cfd2fd5405fbc4e6ddfd6c27924c2	9669068	checkpoints/shunting/seed_50304/config.json	102ee5f1ff8f53948940334292ce74b5350a1fc7cf2084ab33a3f6ed6732ec60	d6062903325350444f142beabc257ac758b42d9dde55d824adc2803869f7e5c7	9594910fa83dba1f3a095328c16b348e801723ea6a3111e6918ad54ec5c52b55
shunting	50304	trained	1.0	checkpoints/shunting/seed_50304/trained_model.pt	449bd334866ab281f7ef29bdf2725c58666e87db26bf29159a448b627cce8a4a	9669010	checkpoints/shunting/seed_50304/config.json	102ee5f1ff8f53948940334292ce74b5350a1fc7cf2084ab33a3f6ed6732ec60	d6062903325350444f142beabc257ac758b42d9dde55d824adc2803869f7e5c7	9594910fa83dba1f3a095328c16b348e801723ea6a3111e6918ad54ec5c52b55
shunting	50305	initial	1.0	checkpoints/shunting/seed_50305/initial_model.pt	bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d	9669068	checkpoints/shunting/seed_50305/config.json	f1d04c154e9f37ca39917fe86573afcabe810d095f1333dbcf647a28b63b5488	58714be6b8a2fe03cdeef739bb1dec15bd591bceedc14187aa4b50c9d075f885	e8a2c314ff115d07c28f44e903d948c738cf6fad8a890e7d4b3f61c7547e810c
shunting	50305	trained	1.0	checkpoints/shunting/seed_50305/trained_model.pt	ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01	9669010	checkpoints/shunting/seed_50305/config.json	f1d04c154e9f37ca39917fe86573afcabe810d095f1333dbcf647a28b63b5488	58714be6b8a2fe03cdeef739bb1dec15bd591bceedc14187aa4b50c9d075f885	e8a2c314ff115d07c28f44e903d948c738cf6fad8a890e7d4b3f61c7547e810c
shunting	50306	initial	1.0	checkpoints/shunting/seed_50306/initial_model.pt	da98c345e228a534d2254ab97a2caedf839eafcc9192c86afe3e557f9cbc60be	9669068	checkpoints/shunting/seed_50306/config.json	fcdcd92c40ccab4b81fdfca02b5f74397058879e56a026f095de71d9795699bb	cd0cd79172bd9bc06c6ffc9db005100b23fb4f216bf33db16fe228841d7aef3b	373eaef101269f63277c84eec353f937adb3d6e313a3c145caa8029b4f801b40
shunting	50306	trained	1.0	checkpoints/shunting/seed_50306/trained_model.pt	00831e4e49b30cb8ef2327b19c02462e65ceef8b5513ca6646182a7a785272bb	9669010	checkpoints/shunting/seed_50306/config.json	fcdcd92c40ccab4b81fdfca02b5f74397058879e56a026f095de71d9795699bb	cd0cd79172bd9bc06c6ffc9db005100b23fb4f216bf33db16fe228841d7aef3b	373eaef101269f63277c84eec353f937adb3d6e313a3c145caa8029b4f801b40
shunting	50307	initial	1.0	checkpoints/shunting/seed_50307/initial_model.pt	060af9a142fa502700e03aee079ef95a7d286c4964c025ca7c76a632a9068dd6	9669068	checkpoints/shunting/seed_50307/config.json	448105b9103c0db1429b934cf3383c3c2c2156f7d55111eeb65cb7bbaca52d0a	d8170295cee87ff8e08d0085061418f5cce7b538b9f7de760abbe2ea044a5985	120f38bf1f0e6fe65187c501d7889c1c5f5ad057872f40308ca919e65f3d1087
shunting	50307	trained	1.0	checkpoints/shunting/seed_50307/trained_model.pt	34521444c6dbe3bf59dbacfa4cfffdde781ce3d04314aff8f20a03024390a400	9669010	checkpoints/shunting/seed_50307/config.json	448105b9103c0db1429b934cf3383c3c2c2156f7d55111eeb65cb7bbaca52d0a	d8170295cee87ff8e08d0085061418f5cce7b538b9f7de760abbe2ea044a5985	120f38bf1f0e6fe65187c501d7889c1c5f5ad057872f40308ca919e65f3d1087
shunting	50308	initial	1.0	checkpoints/shunting/seed_50308/initial_model.pt	823fb5b27c0ddf819c90f595ab9a9bc9bd57cb51e211d9548854c79f1d46917a	9669068	checkpoints/shunting/seed_50308/config.json	7f23961f1419af8007aad5b2fae4e7472afa0517c7af86f2b44dadab1421d7f9	b40ef38aaf897350a1b77a47c630ed5323141824c92036923bd21d155cf934c1	9f3d45c98a7b14250570df8f37db3545b94e3e5090a989fe5d4c235df71f1e9c
shunting	50308	trained	1.0	checkpoints/shunting/seed_50308/trained_model.pt	e208333e459f570ed95afe9d3958b204ec668b5192fd4a8266a74750bb6269b2	9669010	checkpoints/shunting/seed_50308/config.json	7f23961f1419af8007aad5b2fae4e7472afa0517c7af86f2b44dadab1421d7f9	b40ef38aaf897350a1b77a47c630ed5323141824c92036923bd21d155cf934c1	9f3d45c98a7b14250570df8f37db3545b94e3e5090a989fe5d4c235df71f1e9c
shunting	50309	initial	1.0	checkpoints/shunting/seed_50309/initial_model.pt	43175c7e33291931374e9b6e1709b75be2e7bb3ddac4f2f4ecde9594a9fe8fa0	9669068	checkpoints/shunting/seed_50309/config.json	1d41f22e7a6126bc0bf3f55e82e10bd02f11e359d0dd9f616eb7d30e78ba7f70	8fcf4035c1aadb90b1447bdb5068c669666ea91a03495a0d43d4d18df6b14354	8e88318cbc3f20f4f7967340d7984714459c4f8b086e95ad42953f57513af4f6
shunting	50309	trained	1.0	checkpoints/shunting/seed_50309/trained_model.pt	d48c3d9443dc328ddd3174abf0355730f9179118155dcbe4f4d003e3768a583c	9669010	checkpoints/shunting/seed_50309/config.json	1d41f22e7a6126bc0bf3f55e82e10bd02f11e359d0dd9f616eb7d30e78ba7f70	8fcf4035c1aadb90b1447bdb5068c669666ea91a03495a0d43d4d18df6b14354	8e88318cbc3f20f4f7967340d7984714459c4f8b086e95ad42953f57513af4f6
