arm,regime,checkpoint,rank,noise_sd,mean_prediction_minus_population_loss,ci95_low,ci95_high,n_seed_blocks,n_candidate_outcomes
feedback_only,fresh_iid,64,2,0.0,1.316514661552968e-06,-0.0002760464980861715,0.00029264393981876186,20,800
feedback_only,fresh_iid,64,2,0.75,0.0011001597647291139,-0.0005190947679022593,0.002499386059632282,20,800
feedback_only,fresh_iid,64,4,0.0,0.0002569764844332568,-0.0001547809977507303,0.0006199627958034998,20,800
feedback_only,fresh_iid,64,4,0.75,0.000612669800583605,-0.0006390176853532022,0.0016210777616160882,20,800
feedback_only,fresh_iid,64,8,0.0,3.681524592044811e-05,-0.0002775224499655746,0.0003233213134657629,20,800
feedback_only,fresh_iid,64,8,0.75,3.305648859789059e-05,-0.0005732308569971615,0.0006442500574432053,20,800
feedback_only,fresh_iid,256,1,0.0,1.0489485990752732e-14,-2.380467162581789e-14,4.0251752319589577e-14,20,800
feedback_only,fresh_iid,256,1,0.75,0.0023673694428891674,8.397713619689773e-05,0.00444387424303855,20,800
feedback_only,fresh_iid,256,2,0.0,-4.234630522000567e-05,-0.00019566929519701257,8.152310308440002e-05,20,800
feedback_only,fresh_iid,256,2,0.75,-0.00026793783316324813,-0.0019196838853091417,0.0010845388377535934,20,800
feedback_only,fresh_iid,256,4,0.0,3.1104813144549896e-05,-7.576557866211901e-05,0.00014833600601925104,20,800
feedback_only,fresh_iid,256,4,0.75,9.250890450511083e-05,-0.0005857099165009094,0.0007665775080972622,20,800
feedback_only,fresh_iid,256,8,0.0,-0.00013185468695416834,-0.0005021256774839992,0.00019313621275240635,20,800
feedback_only,fresh_iid,256,8,0.75,-0.0003637265931244522,-0.0009989094058604454,0.00020859645618308894,20,800
joint_forward_feedback,fixed_cache,16,1,0.0,-2.0120734446278046e-05,-0.0012934079372454114,0.001123672805055313,20,800
joint_forward_feedback,fixed_cache,16,1,0.75,-0.002825316002908639,-0.006168131077671223,0.0002565905018685415,20,800
joint_forward_feedback,fixed_cache,16,2,0.0,-0.001708814169404542,-0.003953416279178797,0.0004631396351922082,20,800
joint_forward_feedback,fixed_cache,16,2,0.75,-0.0005299888653776776,-0.0039040832236881284,0.002827014771728126,20,800
joint_forward_feedback,fixed_cache,16,4,0.0,-0.004528470860890187,-0.007506571188871859,-0.0017288830963928504,20,800
joint_forward_feedback,fixed_cache,16,4,0.75,-0.006505915962367735,-0.01016260137638525,-0.0030412819267526493,20,800
joint_forward_feedback,fixed_cache,16,8,0.0,-0.001009246639228664,-0.0035086641366302625,0.0015258541019632468,20,800
joint_forward_feedback,fixed_cache,16,8,0.75,-0.00103632114218293,-0.0033774344499043502,0.0013653057847043165,20,800
joint_forward_feedback,fixed_cache,64,1,0.0,-5.693702243493637e-05,-0.0001616595786543228,4.9892778919838544e-05,20,800
joint_forward_feedback,fixed_cache,64,1,0.75,-0.00034161812027614584,-0.001216562622167,0.0005362320581250912,20,800
joint_forward_feedback,fixed_cache,64,2,0.0,-0.0004796382612283462,-0.0011034203174040166,0.00010758795406163095,20,800
joint_forward_feedback,fixed_cache,64,2,0.75,-0.0015171196597649644,-0.002602514155766158,-0.0004856875894812781,20,800
joint_forward_feedback,fixed_cache,64,4,0.0,-0.0007985970813606197,-0.0012912771939674332,-0.00035201065885716787,20,800
joint_forward_feedback,fixed_cache,64,4,0.75,-0.0033375706534114194,-0.004636412730276236,-0.002029116900117487,20,800
joint_forward_feedback,fixed_cache,64,8,0.0,-0.003298221724788924,-0.00408115587508784,-0.0024878402788968044,20,800
joint_forward_feedback,fixed_cache,64,8,0.75,-0.005756325454391313,-0.006978569605339561,-0.004507925179992977,20,800
joint_forward_feedback,fixed_cache,256,1,0.0,-9.212453132488489e-09,-1.4812438613632237e-08,-4.008230231257685e-09,20,800
joint_forward_feedback,fixed_cache,256,1,0.75,-6.715150178005797e-05,-0.0009561592211160027,0.0007610358157555197,20,800
joint_forward_feedback,fixed_cache,256,2,0.0,-0.0001435215521855034,-0.00032744594684143706,3.93288476005814e-05,20,800
joint_forward_feedback,fixed_cache,256,2,0.75,-0.0015002493247766072,-0.0024244503227667056,-0.0005909687953158533,20,800
joint_forward_feedback,fixed_cache,256,4,0.0,-0.0007417136947274915,-0.0009169442919486175,-0.0005714593903303941,20,800
joint_forward_feedback,fixed_cache,256,4,0.75,-0.0032235115803836345,-0.003835433465845892,-0.002623704644544556,20,800
joint_forward_feedback,fixed_cache,256,8,0.0,-0.0018014803939828549,-0.0020454275134589887,-0.001564480036172015,20,800
joint_forward_feedback,fixed_cache,256,8,0.75,-0.005685090711288765,-0.006319251824611408,-0.005008056343127612,20,800
joint_forward_feedback,fresh_iid,16,1,0.0,-6.072936431214904e-05,-0.0015096488229799864,0.0013367429406659728,20,800
joint_forward_feedback,fresh_iid,16,1,0.75,1.745576493552576e-05,-0.002457720007803024,0.0025347050971991007,20,800
joint_forward_feedback,fresh_iid,16,2,0.0,-0.0010555602431132887,-0.003310722507102679,0.0011618777510183297,20,800
joint_forward_feedback,fresh_iid,16,2,0.75,-0.0029907214208316477,-0.006430719898768242,0.0002362972534371933,20,800
joint_forward_feedback,fresh_iid,16,4,0.0,-0.0005387335610935703,-0.003146309029057648,0.0019982045459686925,20,800
joint_forward_feedback,fresh_iid,16,4,0.75,0.00024320265768053845,-0.0025336680168829757,0.0032931299857204173,20,800
joint_forward_feedback,fresh_iid,16,8,0.0,-0.0010777895281179756,-0.003194387645372869,0.0009653691809328658,20,800
joint_forward_feedback,fresh_iid,16,8,0.75,-0.0010078493359247664,-0.0032546110348451417,0.0009613294663064258,20,800
joint_forward_feedback,fresh_iid,64,1,0.0,-1.4928826359596887e-05,-6.127944452811257e-05,3.122488790410517e-05,20,800
joint_forward_feedback,fresh_iid,64,1,0.75,0.0008674018794380094,-0.000416731194433295,0.002030789221690998,20,800
joint_forward_feedback,fresh_iid,64,2,0.0,6.970209976125814e-05,-0.00021058351342056008,0.00035496163333066617,20,800
joint_forward_feedback,fresh_iid,64,2,0.75,0.0006979155110816955,-0.00016285683479011278,0.001478830894078121,20,800
joint_forward_feedback,fresh_iid,64,4,0.0,0.00023932055176211346,-0.00024820655249182795,0.0006969093581700144,20,800
joint_forward_feedback,fresh_iid,64,4,0.75,0.0006463569640694049,-0.00013551794482282234,0.0014104710277935396,20,800
joint_forward_feedback,fresh_iid,64,8,0.0,-1.178829331193502e-06,-0.0005143726812290517,0.0004983619064475014,20,800
joint_forward_feedback,fresh_iid,64,8,0.75,7.922838214941847e-05,-0.0007457440565936854,0.0009077608347788032,20,800
joint_forward_feedback,fresh_iid,256,1,0.0,8.808640550810641e-10,-8.075299857112328e-10,2.4131324088245665e-09,20,800
joint_forward_feedback,fresh_iid,256,1,0.75,0.0012141651318769951,-0.0004560184658420294,0.002502234381596465,20,800
joint_forward_feedback,fresh_iid,256,2,0.0,-4.3655902867066254e-05,-0.00015720048377730185,6.224865658198953e-05,20,800
joint_forward_feedback,fresh_iid,256,2,0.75,8.167169422681717e-05,-0.0007726240458873168,0.0007669007067974459,20,800
joint_forward_feedback,fresh_iid,256,4,0.0,-2.249930829812439e-06,-9.905966184827772e-05,0.00010311316713886158,20,800
joint_forward_feedback,fresh_iid,256,4,0.75,0.00010482713035151908,-0.0003462788990145942,0.0005455716385794131,20,800
joint_forward_feedback,fresh_iid,256,8,0.0,-8.300494426988114e-05,-0.00030239734987548024,0.00011419883963670422,20,800
joint_forward_feedback,fresh_iid,256,8,0.75,-0.0003620817776770923,-0.0007054978771973806,-5.037269572445409e-05,20,800
