arm,regime,reference,comparator,reference_regret_reduction,ci95_low,ci95_high,positive_seeds,n_seed_blocks
joint_forward_feedback,fixed_cache,observed_count_cheapest,empirical_split_fullbatch,0.00016544072425194855,-2.782727232224156e-05,0.00038021845617970646,15,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,gaussian_oracle_fullbatch,-0.0001884541308151098,-0.00033643647772750704,-6.146085872216884e-05,0,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,gaussian_oracle_sgd,-0.0001884541308151098,-0.00033643647772750704,-6.146085872216884e-05,0,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,gaussian_plugin_fullbatch,-0.00016269978488188722,-0.00030518078367995784,-4.670215810182308e-05,0,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,gaussian_plugin_sgd,-0.00015540896404418313,-0.0002997610633509777,-3.970091078682191e-05,1,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,maximum_budget,0.042498167548623296,0.042246652789142365,0.04274450307260468,20,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,observed_count_conditioning,-0.00015540896404418134,-0.0002997610633509758,-3.970091078681884e-05,1,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,original_scalar,0.10049419849985271,0.09482452166362043,0.106101947970381,20,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,pilot16,0.019268338936541847,0.01727400742521914,0.02106095118765039,20,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,rank_only,0.008000079108562595,0.007943869946144171,0.00805927199366022,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,development_best,0.042720893570275184,0.042498872616119614,0.04296220272341913,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,empirical_split_fullbatch,0.0004336437965377346,0.0002184103451742229,0.0007787453665343572,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,gaussian_oracle_fullbatch,3.4572422479234384e-06,-7.384316508504374e-06,1.6032986458771874e-05,2,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,gaussian_oracle_sgd,3.4572422479234384e-06,-7.384316508504374e-06,1.6032986458771874e-05,2,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,gaussian_plugin_fullbatch,4.985842196764062e-06,0.0,1.3174836390713124e-05,2,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,maximum_budget,0.042720893570275184,0.042498872616119614,0.04296220272341913,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,observed_count_cheapest,0.0001544393245317465,4.117232101555733e-05,0.00029360881988211153,8,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,observed_count_conditioning,7.030373462210693e-19,3.5914196963582333e-20,1.430977461091415e-18,4,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,original_scalar,0.10066455761550488,0.09486544130496875,0.10640141578538817,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,pilot16,0.020051900628459646,0.018313170530185142,0.021666808527618202,20,20
joint_forward_feedback,fresh_iid,gaussian_plugin_sgd,rank_only,0.008182270107119994,0.008043583862205357,0.008336411887659878,20,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,development_best,0.04256645424574344,0.04231280207437482,0.04283738442630145,20,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,empirical_split_fullbatch,0.0002792044720059882,6.459143583905212e-05,0.0005606640791533021,17,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,gaussian_oracle_fullbatch,-0.00015098208228382304,-0.00029146165146485154,-3.738115778713331e-05,0,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,gaussian_oracle_sgd,-0.00015098208228382304,-0.00029146165146485154,-3.738115778713331e-05,0,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,gaussian_plugin_fullbatch,-0.00014945348233498241,-0.0002894566089523175,-3.452846450097902e-05,1,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,gaussian_plugin_sgd,-0.0001544393245317465,-0.00029360881988211164,-4.117232101555733e-05,0,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,maximum_budget,0.04256645424574344,0.04231280207437482,0.04283738442630145,20,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,observed_count_conditioning,-0.00015443932453174577,-0.0002936088198821105,-4.117232101555706e-05,0,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,original_scalar,0.10051011829097312,0.09472080313734339,0.10626953964549053,20,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,pilot16,0.0198974613039279,0.018103616277570404,0.021552326061447764,20,20
joint_forward_feedback,fresh_iid,observed_count_cheapest,rank_only,0.008027830782588247,0.007956509629978542,0.008110787901863304,20,20
