budget,endpoint,task,optimizer,rate_view,metric,contrast,mean,median,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds,zero_seeds
4096,validation_selected,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,-8.57048057502769e-05,-8.207448749486361e-05,-0.00016785436694809032,-1.7072736315779004e-05,20,6,14,0
4096,validation_selected,matching,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.00021819725476951486,0.0002058289278466241,0.00010027005144618226,0.00033932257319527486,20,16,4,0
4096,validation_selected,matching,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.0002181980840700516,0.0002058291541512866,0.00010026998438583279,0.00033932214195609697,20,16,4,0
4096,validation_selected,matching,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.00030390206051979175,-0.00023137460441233562,-0.0004251213746627946,-0.00018957478730434083,20,2,18,0
4096,validation_selected,matching,adam,selected_rate,population_nmse,unit_broadcast minus exact,-0.00010225439032883412,-6.801444888687627e-05,-0.00017448893373990957,-4.0241930288129486e-05,20,6,14,0
4096,validation_selected,matching,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.00017905834305117515,0.00020012890707156748,7.946514638660923e-05,0.00027646221514516497,20,17,3,0
4096,validation_selected,matching,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.00017905910140298152,0.00020013055823921952,7.946689226339353e-05,0.0002764618189504744,20,17,3,0
4096,validation_selected,matching,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.0002813127333800093,-0.00023150603861342154,-0.0003740735712527729,-0.0001915554931681036,20,2,18,0
4096,validation_selected,matching,sgd,selected_rate,test_nmse,unit_broadcast minus exact,-5.9297500146944515e-06,-1.1526431319394681e-05,-5.5549200961217535e-05,3.904013179893088e-05,20,9,11,0
4096,validation_selected,matching,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.09208574809366206,0.06199496962821677,0.048342757731732224,0.14085306236967376,20,18,2,0
4096,validation_selected,matching,sgd,selected_rate,test_nmse,sign_broadcast minus exact,-1.773786729699651e-05,3.808109997392381e-06,-6.736300919308699e-05,1.8366804493965602e-05,20,10,10,0
4096,validation_selected,matching,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.09209167784367675,-0.061945799074554456,-0.14085104773631682,-0.048317029202146276,20,2,18,0
4096,validation_selected,matching,sgd,selected_rate,population_nmse,unit_broadcast minus exact,-1.780850400843313e-05,-1.037863310547366e-05,-7.964504954416598e-05,3.310210151540107e-05,20,9,11,0
4096,validation_selected,matching,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.09178233133775589,0.06178028928291267,0.04832732438369295,0.14025524773898757,20,18,2,0
