seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
211200,fresh,matching,1,algebraic,sgd,calibrated_broadcast,0.03,True,True,0.719004769737833,0.8047457133872115,0.714470370170551,2.8011263509382065,1.6429851900667167,0,0,0.04853227699641138
211200,fresh,matching,1,algebraic,sgd,sign_broadcast,0.01,True,False,0.7217890250044066,0.8081082709220282,0.7174248880788745,2.804586244617617,1.6463805527976991,0,0,0.0485458429902792
211200,fresh,matching,1,algebraic,sgd,sign_broadcast,0.03,False,True,0.712575615920987,0.7969260932280986,0.7077271625102013,2.8151830783933116,1.655583690497761,0,0,0.04856181901413947
211200,fresh,matching,1,algebraic,adam,exact,0.003,True,True,0.7216256184320241,0.8075384982078236,0.7171683004783647,2.796582574590665,1.6387790579544124,0,0,0.04857620398979634
211200,fresh,matching,1,algebraic,adam,unit_broadcast,0.003,True,True,0.725881742995047,0.8128482144264996,0.7217182883026954,2.800522410398947,1.6447789838824731,0,0,0.0485899590421468
211200,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.003,False,True,0.7241394982296613,0.8102073703977024,0.7196804101058627,2.8011821991007966,1.6447789832015272,0,0,0.04860300000291318
211200,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.01,True,False,0.7193128226617438,0.8025662262420218,0.7140814200294058,2.8057661733330557,1.6517789814605317,0,0,0.0486151670338586
211200,fresh,matching,1,algebraic,adam,sign_broadcast,0.003,False,True,0.7241394990390689,0.8102073710367895,0.7196804107484964,2.8011821955844045,1.6447789838824731,0,0,0.048627568990923464
211200,fresh,matching,1,algebraic,adam,sign_broadcast,0.01,True,False,0.7193128256406222,0.8025662287452595,0.7140814224695257,2.8057661625224823,1.651778983730351,0,0,0.048639461980201304
211200,fresh,matching,16,algebraic,sgd,exact,0.03,True,True,0.601943967287873,0.6710960927910552,0.5931742451206528,2.8277766846108214,1.6428250161812086,0,0,0.0747002960415557
211200,fresh,matching,16,algebraic,sgd,unit_broadcast,0.01,True,False,0.7043110383652729,0.7914833026166896,0.7015220120369056,2.8313790013603795,1.6949259383372621,0,0,0.07472014904487878
211200,fresh,matching,16,algebraic,sgd,unit_broadcast,0.03,False,True,0.7331986562451556,0.8266102165914151,0.7355908282903205,2.923472968284444,1.807576112336486,0,0,0.07473333005327731
211200,fresh,matching,16,algebraic,sgd,calibrated_broadcast,0.03,True,True,0.6156028672737732,0.6872803263953052,0.6076064121774363,2.845584599420359,1.6534756382162354,0,0,0.07474542397540063
211200,fresh,matching,16,algebraic,sgd,sign_broadcast,0.01,True,False,0.6377582606477743,0.7122723690368679,0.6306816909415767,2.901210932266118,1.6898061006562262,0,0,0.07475784700363874
211200,fresh,matching,16,algebraic,sgd,sign_broadcast,0.03,False,True,0.48150241896547735,0.5326083932669858,0.4686568821642248,3.0613775722534586,1.7534231776002953,0,0,0.07476962299551815
211200,fresh,matching,16,algebraic,adam,exact,0.003,True,True,0.621114168305223,0.6948323799015764,0.613842058367191,2.8441936474557066,1.6598623811954019,0,0,0.07478168106172234
211200,fresh,matching,16,algebraic,adam,unit_broadcast,0.003,True,True,0.6966122315092842,0.7850705268216216,0.6935109271189184,2.8382862632647523,1.6879415631346857,0,0,0.07479386602062732
211200,fresh,matching,16,algebraic,adam,calibrated_broadcast,0.003,False,True,0.6358453671459972,0.7116406387369312,0.6287808049582368,2.8734215083318992,1.6876113828663566,0,0,0.0748063640203327
