seed,reliability_heterogeneity,method,step_size,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_final_gain,minimum_input_rate
8203,2,adaptive_shuffled_shunt,23.87825352,0.3957994287,0.3915049578,0.004294470933,0.3881147016,0.3888723509,0.962890625,0.5727211711,0
8203,2,adaptive_point_gate,23.87825352,0.3957994287,0.392404577,0.003394851709,0.3623260849,0.3677068786,0.9970703125,0.5064452141,0
8204,0,exact_clean_bp,23.97679251,0.3952363927,0.3912452421,0.003991150618,0.3403576395,0.3491946734,0.9985351562,1,0
8204,0,noisy_no_shunt,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3423879551,0.3502432225,0.9990234375,1,0
8204,0,initial_oracle_shunt,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3423879551,0.3502432225,0.9990234375,1,0
8204,0,adaptive_local_shunt,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3474833323,0.3556373244,0.998046875,0.4183131766,0
8204,0,adaptive_global_shunt,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3465215609,0.355013363,0.998046875,0.4689580789,0
8204,0,adaptive_shuffled_shunt,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3491654708,0.357337302,0.998046875,0.4310033272,0
8204,0,adaptive_point_gate,23.97679251,0.3952363927,0.3929398383,0.002296554401,0.3474833323,0.3556373244,0.998046875,0.4183131766,0
8204,1,exact_clean_bp,23.97679251,0.3952363927,0.3912452421,0.003991150618,0.3403576395,0.3491946734,0.9985351562,1,0
8204,1,noisy_no_shunt,23.97679251,0.3952363927,0.3945505417,0.0006858509532,0.346059928,0.3535051347,1,1,0
8204,1,initial_oracle_shunt,23.97679251,0.3952363927,0.3927257825,0.002510610223,0.3515962212,0.3590546825,0.9995117188,0.7598785813,0
8204,1,adaptive_local_shunt,23.97679251,0.3952363927,0.3949655701,0.0002708225382,0.3551468903,0.3617764817,0.9985351562,0.5250986583,0
8204,1,adaptive_global_shunt,23.97679251,0.3952363927,0.3940339078,0.001202484914,0.3607165537,0.3680404487,0.9985351562,0.4938710496,0
8204,1,adaptive_shuffled_shunt,23.97679251,0.3952363927,0.3947007549,0.000535637772,0.3560225364,0.3632173451,0.9995117188,0.5761555341,0
8204,1,adaptive_point_gate,23.97679251,0.3952363927,0.3949655701,0.0002708225382,0.3551468903,0.3617764817,0.9985351562,0.5250986583,0
8204,2,exact_clean_bp,23.97679251,0.3952363927,0.3912452421,0.003991150618,0.3403576395,0.3491946734,0.9985351562,1,0
8204,2,noisy_no_shunt,23.97679251,0.3952363927,0.3915912659,0.00364512678,0.3511130797,0.3562187307,0.9995117188,1,0
8204,2,initial_oracle_shunt,23.97679251,0.3952363927,0.3927723959,0.002463996814,0.3544060746,0.3611958769,0.9975585938,0.6464538489,0
8204,2,adaptive_local_shunt,23.97679251,0.3952363927,0.3926913012,0.002545091441,0.3620675709,0.3667457348,0.9995117188,0.7395550903,0
8204,2,adaptive_global_shunt,23.97679251,0.3952363927,0.3938150586,0.0014213341,0.374425237,0.3794493709,0.9990234375,0.6162990041,0
8204,2,adaptive_shuffled_shunt,23.97679251,0.3952363927,0.3924592585,0.00277713417,0.3582375749,0.3630500892,0.9995117188,0.8108068823,0
8204,2,adaptive_point_gate,23.97679251,0.3952363927,0.3926913012,0.002545091441,0.3620675709,0.3667457348,0.9995117188,0.7395550903,0
8205,0,exact_clean_bp,23.95123829,0.393943243,0.3893572029,0.004586040004,0.3297496138,0.3371097479,0.9956054688,1,0
8205,0,noisy_no_shunt,23.95123829,0.393943243,0.3890634535,0.004879789479,0.3323683377,0.3401708844,0.9965820312,1,0
8205,0,initial_oracle_shunt,23.95123829,0.393943243,0.3890634535,0.004879789479,0.3323683377,0.3401708844,0.9965820312,1,0
8205,0,adaptive_local_shunt,23.95123829,0.393943243,0.38974821,0.004195032921,0.344008645,0.3508063403,0.99609375,0.6063794389,0
8205,0,adaptive_global_shunt,23.95123829,0.393943243,0.3893827933,0.004560449697,0.3437781365,0.3504151146,0.9970703125,0.613360569,0
8205,0,adaptive_shuffled_shunt,23.95123829,0.393943243,0.3896677331,0.004275509836,0.3487228929,0.354170958,0.9975585938,0.6128057994,0
8205,0,adaptive_point_gate,23.95123829,0.393943243,0.38974821,0.004195032921,0.344008645,0.3508063403,0.99609375,0.6063794389,0
8205,1,exact_clean_bp,23.95123829,0.393943243,0.3893572029,0.004586040004,0.3297496138,0.3371097479,0.9956054688,1,0
8205,1,noisy_no_shunt,23.95123829,0.393943243,0.3891964761,0.004746766813,0.3471872475,0.3553865131,0.9506835938,1,0
8205,1,initial_oracle_shunt,23.95123829,0.393943243,0.3894463657,0.004496877292,0.3424056903,0.3508013194,0.986328125,0.7598785813,0
8205,1,adaptive_local_shunt,23.95123829,0.393943243,0.3894047268,0.004538516177,0.3504642682,0.3573952067,0.986328125,0.595464625,0
8205,1,adaptive_global_shunt,23.95123829,0.393943243,0.3909850157,0.002958227254,0.3603539781,0.3662620828,0.9765625,0.4928389281,0
8205,1,adaptive_shuffled_shunt,23.95123829,0.393943243,0.3900324797,0.003910763208,0.359730642,0.365135499,0.9575195312,0.6295971852,0
8205,1,adaptive_point_gate,23.95123829,0.393943243,0.3894047268,0.004538516177,0.3504642682,0.3573952067,0.986328125,0.595464625,0
8205,2,exact_clean_bp,23.95123829,0.393943243,0.3893572029,0.004586040004,0.3297496138,0.3371097479,0.9956054688,1,0
8205,2,noisy_no_shunt,23.95123829,0.393943243,0.3906563256,0.003286917328,0.3420090609,0.3498498431,0.994140625,1,0
8205,2,initial_oracle_shunt,23.95123829,0.393943243,0.3903568258,0.003586417173,0.3455317853,0.3519526316,0.9995117188,0.6464538489,0
8205,2,adaptive_local_shunt,23.95123829,0.393943243,0.390312452,0.003630790954,0.3487610902,0.3545366562,0.9951171875,0.4082886123,0
8205,2,adaptive_global_shunt,23.95123829,0.393943243,0.3930280373,0.0009152056422,0.374810488,0.3777465557,0.9975585938,0.1029123074,0
8205,2,adaptive_shuffled_shunt,23.95123829,0.393943243,0.3906795356,0.003263707344,0.3491925767,0.355038814,0.9970703125,0.3839158575,0
8205,2,adaptive_point_gate,23.95123829,0.393943243,0.390312452,0.003630790954,0.3487610902,0.3545366562,0.9951171875,0.4082886123,0
8206,0,exact_clean_bp,23.96819741,0.3943405123,0.3898019636,0.004538548741,0.3305849061,0.3392843037,0.9975585938,1,0
8206,0,noisy_no_shunt,23.96819741,0.3943405123,0.389852272,0.004488240264,0.3334288475,0.3418367402,0.9975585938,1,0
8206,0,initial_oracle_shunt,23.96819741,0.3943405123,0.389852272,0.004488240264,0.3334288475,0.3418367402,0.9975585938,1,0
