cohort,channels,method,total_capture_mean,total_capture_std,total_capture_count,residual_capture_mean,residual_capture_std,residual_capture_count,dictionary_rank_mean,dictionary_rank_std,dictionary_rank_count,nonzero_coefficients_mean,nonzero_coefficients_std,nonzero_coefficients_count,wiring_density_mean,wiring_density_std,wiring_density_count,coverage_mean,coverage_std,coverage_count,incremental_total_capture_mean,incremental_total_capture_std,incremental_total_capture_count
v661,2,common + surrogate ancestry,0.2749850713369527,0.07703653375194795,47,0.09209286160531358,0.0616857418013558,47,2.0,0.0,47,35.8386170212766,24.23739938656893,47,0.5641417894275653,0.03152560540732484,47,1.0,0.0,47,0.07235156464446019,0.046406001882381094,47
v661,2,common-constrained SVD,0.38377607363017396,0.13881774426688362,47,0.23137084164413674,0.15340663004609942,47,2.0,0.0,47,62.59574468085106,36.15405418030633,47,1.0,0.0,47,1.0,0.0,47,0.18114256693768133,0.11273070106924551,47
v661,4,common + ancestry,0.44534607915790325,0.14261054178589522,47,0.308359832341416,0.1643320159880263,47,3.9574468085106385,0.20402970888857874,47,38.08510638297872,25.5026254294099,47,0.3024777137820278,0.03105836570310902,47,1.0,0.0,47,0.24271257246541073,0.12052581778169363,47
v661,4,common + depth bins,0.3591232312981688,0.11281476531828105,47,0.19892727366070398,0.11788118988088343,47,4.0,0.0,47,54.1063829787234,31.62499977147495,47,0.43116746101113884,0.0038410427455905535,47,1.0,0.0,47,0.15648972460567626,0.08883206076762376,47
v661,4,common + random routes,0.2928302104865453,0.06256735906525587,47,0.11422617119037978,0.032168354576985234,47,3.0140425531914894,0.5529335189792086,47,36.5268085106383,19.4362335160036,47,0.2945782426524293,0.014563411430133994,47,1.0,0.0,47,0.09019670379405273,0.02242231932112226,47
v661,4,common + shuffled routes,0.3117929692488645,0.07573434197697926,47,0.13855763648250055,0.057494018495958144,47,3.9605319148936173,0.050359943996165855,47,38.08510638297872,25.5026254294099,47,0.3024777137820278,0.03105836570310902,47,1.0,0.0,47,0.10915946255637198,0.042555417660704434,47
v661,4,common + surrogate ancestry,0.4021401032397397,0.12164335897670207,47,0.25339490440680046,0.13314567265622668,47,3.933829787234043,0.10541436234728253,47,42.48351063829787,34.17235559431066,47,0.32880634204618214,0.03259891017111484,47,1.0,0.0,47,0.19950659654724717,0.09794917956870942,47
v661,4,common-constrained SVD,0.5504221578503211,0.15026555120721788,47,0.4406741042477474,0.1757120868066322,47,4.0,0.0,47,125.19148936170212,72.30810836061266,47,1.0,0.0,47,1.0,0.0,47,0.34778865115782853,0.12936901806018797,47
v661,8,common + ancestry,0.6190516405382278,0.14005663892499695,47,0.5266891417925846,0.1650038255912661,47,7.702127659574468,0.5866223737940002,47,46.91489361702128,32.630227242232635,47,0.18751086333204967,0.031574165877252265,47,1.0,0.0,47,0.4164181338457352,0.11935567405260951,47
v661,8,common + depth bins,0.5114646463745609,0.14898778455024683,47,0.3916128600566383,0.17250608247907478,47,8.0,0.0,47,58.148936170212764,33.84168944505929,47,0.2318729753061267,0.0017180089615873838,47,1.0,0.0,47,0.3088311396820683,0.1278393310022081,47
v661,8,common + random routes,0.40402300687087733,0.08011481812151276,47,0.2549800010975707,0.06629144294986174,47,5.6630851063829795,1.310197692182155,47,43.766170212765964,21.68894669934249,47,0.17790372211322333,0.018458299190507742,47,1.0,0.0,47,0.20138950017838478,0.04583417340408111,47
v661,8,common + shuffled routes,0.43581978968650026,0.10749360108479203,47,0.2960830262222977,0.10795681061435206,47,7.648404255319149,0.2847006558822081,47,46.91489361702128,32.630227242232635,47,0.18751086333204967,0.031574165877252265,47,1.0,0.0,47,0.2331862829940077,0.07758098956389248,47
v661,8,common + surrogate ancestry,0.5782466655267078,0.1460868913199409,47,0.475858594605971,0.16986131298326776,47,7.615638297872341,0.37783078945198395,47,53.66202127659574,46.553237974756605,47,0.20804098282568764,0.032011390815331366,47,1.0,0.0,47,0.3756131588342152,0.12358714588833193,47
v661,8,common-constrained SVD,0.7421669720945812,0.12738866726790657,47,0.6806811521931281,0.15153531109208265,47,8.0,0.0,47,250.38297872340425,144.61621672122533,47,1.0,0.0,47,1.0,0.0,47,0.5395334654020885,0.1103854695385038,47
v661,16,common + ancestry,0.8171023412498432,0.10653001990459426,46,0.7742887968745794,0.12674090526667423,46,14.391304347826088,1.5560385723520298,46,68.28260869565217,40.750549031599704,46,0.13976197456612366,0.035741270132331616,46,1.0,0.0,46,0.6171691852120527,0.09461517767076101,46
v661,16,common + depth bins,0.7178353776255122,0.14256917914817707,46,0.6508308996930704,0.16751356521559557,46,15.956521739130435,0.20618457094236203,46,60.80434782608695,35.088852022143506,46,0.11972965131233367,0.000971273581476209,46,1.0,0.0,46,0.5179022215877218,0.12816236867202122,46
v661,16,common + random routes,0.5907603026514574,0.11201436985397628,46,0.4924317403325282,0.12277426935658703,46,10.77195652173913,2.69147346639157,46,58.66380434782609,26.53043912575354,46,0.11903901246567442,0.019427888263859397,46,1.0,0.0,46,0.39082714661366696,0.08634001406713841,46
v661,16,common + shuffled routes,0.6337187463771767,0.1271127597521287,46,0.5463767406047509,0.1423443704177622,46,14.211195652173913,1.0349574252019627,46,68.28260869565217,40.750549031599704,46,0.13976197456612366,0.035741270132331616,46,1.0,0.0,46,0.43378559033938624,0.10477359625157227,46
v661,16,common + surrogate ancestry,0.7812630659947999,0.12822942235970902,46,0.730526656335659,0.15004332502357634,46,14.313152173913043,1.1727130740749336,46,75.53358695652175,60.977127256984595,46,0.14823620159927048,0.03164912522274818,46,1.0,0.0,46,0.5813299099570095,0.11154269703762446,46
v661,16,common-constrained SVD,0.9261856122337409,0.07214802162747319,46,0.9100081156824956,0.08617601844558094,46,16.0,0.0,46,506.7826086956522,289.43945158748784,46,1.0,0.0,46,1.0,0.0,46,0.7262524561959502,0.06467017071086496,46
