seed,phase,optimizer,rate_scope,rule,contrast,value
1107,fresh,adam,common,calibrated_broadcast,target_gap,0.0005899472900348999
1108,fresh,adam,common,calibrated_broadcast,target_gap,-0.000104357284856
1109,fresh,adam,common,calibrated_broadcast,target_gap,0.00017758269844939995
1110,fresh,adam,common,calibrated_broadcast,target_gap,-0.00019516218591299997
1111,fresh,adam,common,calibrated_broadcast,target_gap,-5.297642325250004e-05
1112,fresh,adam,common,calibrated_broadcast,target_gap,4.272887860750003e-05
1113,fresh,adam,common,calibrated_broadcast,target_gap,0.0006236911466685
1114,fresh,adam,common,calibrated_broadcast,target_gap,-0.00012830135310520007
1115,fresh,adam,common,calibrated_broadcast,target_gap,-2.718592487620003e-05
1116,fresh,adam,common,calibrated_broadcast,target_gap,0.0025400196851602
1117,fresh,adam,common,calibrated_broadcast,target_gap,-7.765754269139998e-05
1118,fresh,adam,common,calibrated_broadcast,target_gap,-4.833686456990001e-05
1119,fresh,adam,common,calibrated_broadcast,target_gap,0.0005243082948869998
1120,fresh,adam,common,calibrated_broadcast,target_gap,-0.00023746777068260003
1101,fresh,adam,common,calibrated_broadcast,control_gap,-0.0004764329280606163
1102,fresh,adam,common,calibrated_broadcast,control_gap,-6.929711791740499e-05
1103,fresh,adam,common,calibrated_broadcast,control_gap,-0.0017514956631283093
1104,fresh,adam,common,calibrated_broadcast,control_gap,-0.0001211765464249532
1105,fresh,adam,common,calibrated_broadcast,control_gap,-8.416751740828646e-05
1106,fresh,adam,common,calibrated_broadcast,control_gap,-0.0022933525275991
1107,fresh,adam,common,calibrated_broadcast,control_gap,-4.6770089608437804e-05
1108,fresh,adam,common,calibrated_broadcast,control_gap,-1.7931294136610984e-05
1109,fresh,adam,common,calibrated_broadcast,control_gap,-0.0005985950840099922
1110,fresh,adam,common,calibrated_broadcast,control_gap,-7.09339382738625e-05
1111,fresh,adam,common,calibrated_broadcast,control_gap,-3.373183372169736e-05
1112,fresh,adam,common,calibrated_broadcast,control_gap,-5.9596564355498914e-05
1113,fresh,adam,common,calibrated_broadcast,control_gap,-0.0006405026775454
1114,fresh,adam,common,calibrated_broadcast,control_gap,-0.00042060192596539425
1115,fresh,adam,common,calibrated_broadcast,control_gap,-0.0011769531937626631
1116,fresh,adam,common,calibrated_broadcast,control_gap,-6.391890730107981e-05
1117,fresh,adam,common,calibrated_broadcast,control_gap,-0.0004384311197530369
1118,fresh,adam,common,calibrated_broadcast,control_gap,-7.07941688038578e-05
1119,fresh,adam,common,calibrated_broadcast,control_gap,-0.00011116944528189747
1120,fresh,adam,common,calibrated_broadcast,control_gap,-0.0001299178768178726
1101,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0012585547256099162
1102,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0003450945253773049
1103,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0012734530918435093
1104,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,-0.0003673130666591467
1105,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.00019348913458068647
1106,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0021753021869269
1107,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0006367173796433377
