cohort,run_dir,config_index,family,task,core,strategy,feedback,depth,seed,transfer_output_activation,input_convention_valid,publication_included,exclusion_reason
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,36,primary,mnist,dendritic_additive,local_ca,per_soma,2,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,37,primary,mnist,dendritic_additive,local_ca,per_soma,2,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,38,primary,mnist,dendritic_additive,local_ca,per_soma,2,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,39,primary,mnist,dendritic_additive,local_ca,per_soma,2,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,40,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,41,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,42,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,43,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,44,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,45,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,46,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,47,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,48,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,49,primary,mnist,dendritic_additive,local_ca,per_soma_shared,2,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,50,primary,mnist,dendritic_additive,local_ca,path_transport,2,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,51,primary,mnist,dendritic_additive,local_ca,path_transport,2,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,52,primary,mnist,dendritic_additive,local_ca,path_transport,2,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,53,primary,mnist,dendritic_additive,local_ca,path_transport,2,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,54,primary,mnist,dendritic_additive,local_ca,path_transport,2,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,55,primary,mnist,dendritic_additive,local_ca,path_transport,2,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,56,primary,mnist,dendritic_additive,local_ca,path_transport,2,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,57,primary,mnist,dendritic_additive,local_ca,path_transport,2,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,58,primary,mnist,dendritic_additive,local_ca,path_transport,2,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,59,primary,mnist,dendritic_additive,local_ca,path_transport,2,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,60,primary,mnist,dendritic_additive,local_ca,per_soma,3,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,61,primary,mnist,dendritic_additive,local_ca,per_soma,3,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,62,primary,mnist,dendritic_additive,local_ca,per_soma,3,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,63,primary,mnist,dendritic_additive,local_ca,per_soma,3,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,64,primary,mnist,dendritic_additive,local_ca,per_soma,3,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,65,primary,mnist,dendritic_additive,local_ca,per_soma,3,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,66,primary,mnist,dendritic_additive,local_ca,per_soma,3,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,67,primary,mnist,dendritic_additive,local_ca,per_soma,3,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,68,primary,mnist,dendritic_additive,local_ca,per_soma,3,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,69,primary,mnist,dendritic_additive,local_ca,per_soma,3,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,70,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,71,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,72,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,73,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,74,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,75,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,76,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,77,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,78,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,79,primary,mnist,dendritic_additive,local_ca,per_soma_shared,3,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,80,primary,mnist,dendritic_additive,local_ca,path_transport,3,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,81,primary,mnist,dendritic_additive,local_ca,path_transport,3,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,82,primary,mnist,dendritic_additive,local_ca,path_transport,3,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,83,primary,mnist,dendritic_additive,local_ca,path_transport,3,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,84,primary,mnist,dendritic_additive,local_ca,path_transport,3,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,85,primary,mnist,dendritic_additive,local_ca,path_transport,3,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,86,primary,mnist,dendritic_additive,local_ca,path_transport,3,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,87,primary,mnist,dendritic_additive,local_ca,path_transport,3,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,88,primary,mnist,dendritic_additive,local_ca,path_transport,3,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,89,primary,mnist,dendritic_additive,local_ca,path_transport,3,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,90,primary,mnist,dendritic_additive,local_ca,per_soma,4,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,91,primary,mnist,dendritic_additive,local_ca,per_soma,4,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,92,primary,mnist,dendritic_additive,local_ca,per_soma,4,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,93,primary,mnist,dendritic_additive,local_ca,per_soma,4,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,94,primary,mnist,dendritic_additive,local_ca,per_soma,4,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,95,primary,mnist,dendritic_additive,local_ca,per_soma,4,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,96,primary,mnist,dendritic_additive,local_ca,per_soma,4,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,97,primary,mnist,dendritic_additive,local_ca,per_soma,4,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,98,primary,mnist,dendritic_additive,local_ca,per_soma,4,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,99,primary,mnist,dendritic_additive,local_ca,per_soma,4,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,100,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,101,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,102,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,103,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,104,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,105,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,106,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,107,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,108,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,109,primary,mnist,dendritic_additive,local_ca,per_soma_shared,4,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,110,primary,mnist,dendritic_additive,local_ca,path_transport,4,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,111,primary,mnist,dendritic_additive,local_ca,path_transport,4,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,112,primary,mnist,dendritic_additive,local_ca,path_transport,4,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,113,primary,mnist,dendritic_additive,local_ca,path_transport,4,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,114,primary,mnist,dendritic_additive,local_ca,path_transport,4,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,115,primary,mnist,dendritic_additive,local_ca,path_transport,4,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,116,primary,mnist,dendritic_additive,local_ca,path_transport,4,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,117,primary,mnist,dendritic_additive,local_ca,path_transport,4,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,118,primary,mnist,dendritic_additive,local_ca,path_transport,4,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,119,primary,mnist,dendritic_additive,local_ca,path_transport,4,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,0,primary,mnist,dendritic_shunting,standard,backprop,1,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,1,primary,mnist,dendritic_shunting,standard,backprop,1,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,2,primary,mnist,dendritic_shunting,standard,backprop,1,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,3,primary,mnist,dendritic_shunting,standard,backprop,1,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,4,primary,mnist,dendritic_shunting,standard,backprop,1,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,5,primary,mnist,dendritic_shunting,standard,backprop,1,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,6,primary,mnist,dendritic_shunting,standard,backprop,1,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,7,primary,mnist,dendritic_shunting,standard,backprop,1,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,8,primary,mnist,dendritic_shunting,standard,backprop,1,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,9,primary,mnist,dendritic_shunting,standard,backprop,1,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,10,primary,mnist,dendritic_shunting,standard,backprop,2,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,11,primary,mnist,dendritic_shunting,standard,backprop,2,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_shunting_backprop_depth_feedback_20260802184310,12,primary,mnist,dendritic_shunting,standard,backprop,2,44,,True,True,
