branches,conflict_probability,epoch,condition,state_comparison,mean_cosine,sd_cosine,mean_signed_signal,negative_gradient_seeds,n_seeds
2,0.571428571429,250,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,250,correct_path,own_state,1,0,1,0,20
2,0.571428571429,250,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,250,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,250,neuron_shared_k1,common_exact_state,-0.202848728001,0.0286616792597,-0.458371369541,20,20
2,0.571428571429,250,neuron_shared_k1,own_state,0.54733363986,0.021923686485,0.06220173724,0,20
2,0.571428571429,250,within_neuron_deranged,common_exact_state,-0.397586593032,0.0254622156079,-1.91674274802,20,20
2,0.571428571429,250,within_neuron_deranged,own_state,-0.92496394217,0.03546534833,-0.361769004166,20,20
2,0.6,0,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,0,backpropagation,own_state,1,0,1,0,20
2,0.6,0,correct_path,common_exact_state,1,0,1,0,20
2,0.6,0,correct_path,own_state,1,0,1,0,20
2,0.6,0,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.6,0,gated_point_emulation,own_state,1,0,1,0,20
2,0.6,0,neuron_shared_k1,common_exact_state,0.996973451972,0.00181646177609,0.400549282134,0,20
2,0.6,0,neuron_shared_k1,own_state,0.996973451972,0.00181646177609,0.400549282134,0,20
2,0.6,0,within_neuron_deranged,common_exact_state,-0.954683852196,0.0223673989053,-0.198901435733,20,20
2,0.6,0,within_neuron_deranged,own_state,-0.954683852196,0.0223673989053,-0.198901435733,20,20
2,0.6,1,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,1,backpropagation,own_state,1,0,1,0,20
2,0.6,1,correct_path,common_exact_state,1,0,1,0,20
2,0.6,1,correct_path,own_state,1,0,1,0,20
2,0.6,1,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.6,1,gated_point_emulation,own_state,1,0,1,0,20
2,0.6,1,neuron_shared_k1,common_exact_state,0.996816822886,0.00197795654533,0.393094460666,0,20
2,0.6,1,neuron_shared_k1,own_state,0.996976566315,0.00181832156908,0.397547031939,0,20
2,0.6,1,within_neuron_deranged,common_exact_state,-0.960653436184,0.0186819446234,-0.213811093569,20,20
2,0.6,1,within_neuron_deranged,own_state,-0.954937678575,0.0218126563206,-0.196366044134,20,20
2,0.6,10,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,10,backpropagation,own_state,1,0,1,0,20
2,0.6,10,correct_path,common_exact_state,1,0,1,0,20
2,0.6,10,correct_path,own_state,1,0,1,0,20
2,0.6,10,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.6,10,gated_point_emulation,own_state,1,0,1,0,20
2,0.6,10,neuron_shared_k1,common_exact_state,0.986235257983,0.00774291730711,0.321001593769,0,20
2,0.6,10,neuron_shared_k1,own_state,0.996193423867,0.00230119355069,0.370929652452,0,20
2,0.6,10,within_neuron_deranged,common_exact_state,-0.959846404195,0.0185373267491,-0.357996812463,20,20
2,0.6,10,within_neuron_deranged,own_state,-0.950482368469,0.0229746087572,-0.175986667722,20,20
2,0.6,50,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,50,backpropagation,own_state,1,0,1,0,20
2,0.6,50,correct_path,common_exact_state,1,0,1,0,20
2,0.6,50,correct_path,own_state,1,0,1,0,20
2,0.6,50,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.6,50,gated_point_emulation,own_state,1,0,1,0,20
2,0.6,50,neuron_shared_k1,common_exact_state,-0.0447165383957,0.0528769518884,-0.0140969659202,18,20
2,0.6,50,neuron_shared_k1,own_state,0.973857712746,0.00674590855875,0.266747969389,0,20
2,0.6,50,within_neuron_deranged,common_exact_state,-0.859508049488,0.0189147122276,-1.02819392383,20,20
2,0.6,50,within_neuron_deranged,own_state,-0.856234818697,0.0525055407808,-0.147632572055,20,20
2,0.6,100,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,100,backpropagation,own_state,1,0,1,0,20
2,0.6,100,correct_path,common_exact_state,1,0,1,0,20
2,0.6,100,correct_path,own_state,1,0,1,0,20
2,0.6,100,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.6,100,gated_point_emulation,own_state,1,0,1,0,20
2,0.6,100,neuron_shared_k1,common_exact_state,-0.400613835454,0.0348031906654,-0.346207980812,20,20
2,0.6,100,neuron_shared_k1,own_state,0.898919251561,0.0138161764992,0.173507843167,0,20
2,0.6,100,within_neuron_deranged,common_exact_state,-0.729858383536,0.0235538403012,-1.69241600037,20,20
2,0.6,100,within_neuron_deranged,own_state,-0.829270026088,0.0727341657057,-0.227907899395,20,20
2,0.6,250,backpropagation,common_exact_state,1,0,1,0,20
2,0.6,250,backpropagation,own_state,1,0,1,0,20
2,0.6,250,correct_path,common_exact_state,1,0,1,0,20
2,0.6,250,correct_path,own_state,1,0,1,0,20
2,0.6,250,gated_point_emulation,common_exact_state,1,0,1,0,20
