seed,branches,epoch,state_comparison,interpolated_zero_alignment,no_observed_positive_to_negative_crossing
11007,2,10,own_state,0.980258463349,False
11007,2,50,common_exact_state,0.584025532447,False
11007,2,50,own_state,0.972165067859,False
11007,2,100,common_exact_state,0.438952346148,False
11007,2,100,own_state,0.965172512289,False
11007,2,250,common_exact_state,0.37102604335,False
11007,2,250,own_state,0.960178440923,False
11007,4,0,common_exact_state,0.662539513313,False
11007,4,0,own_state,0.662539513313,False
11007,4,1,common_exact_state,0.65814312904,False
11007,4,1,own_state,0.662453356583,False
11007,4,10,common_exact_state,0.620261768421,False
11007,4,10,own_state,0.661772988403,False
11007,4,50,common_exact_state,0.49379941374,False
11007,4,50,own_state,0.660091842375,False
11007,4,100,common_exact_state,0.400760193269,False
11007,4,100,own_state,0.659441200694,False
11007,4,250,common_exact_state,0.294500728111,False
11007,4,250,own_state,0.660508213705,False
11007,8,0,common_exact_state,0.57326771709,False
11007,8,0,own_state,0.57326771709,False
11007,8,1,common_exact_state,0.571596239619,False
11007,8,1,own_state,0.573264807295,False
11007,8,10,common_exact_state,0.556490487393,False
11007,8,10,own_state,0.573238988566,False
11007,8,50,common_exact_state,0.494329725258,False
11007,8,50,own_state,0.573117546564,False
11007,8,100,common_exact_state,0.431768879349,False
11007,8,100,own_state,0.572922516688,False
11007,8,250,common_exact_state,0.318143052528,False
11007,8,250,own_state,0.572100779283,False
11008,2,0,common_exact_state,0.973807611903,False
11008,2,0,own_state,0.973807611903,False
11008,2,1,common_exact_state,0.960422661672,False
11008,2,1,own_state,0.973001410422,False
11008,2,10,common_exact_state,0.852085123474,False
11008,2,10,own_state,0.966736818776,False
11008,2,50,common_exact_state,0.574241697949,False
11008,2,50,own_state,0.95001203535,False
11008,2,100,common_exact_state,0.446629211033,False
11008,2,100,own_state,0.94038951172,False
11008,2,250,common_exact_state,0.414863384034,False
11008,2,250,own_state,0.943140933924,False
11008,4,0,common_exact_state,0.671432336114,False
11008,4,0,own_state,0.671432336114,False
11008,4,1,common_exact_state,0.667449684003,False
11008,4,1,own_state,0.671289866026,False
11008,4,10,common_exact_state,0.632312604744,False
11008,4,10,own_state,0.670195738647,False
11008,4,50,common_exact_state,0.504193970912,False
11008,4,50,own_state,0.667742843993,False
11008,4,100,common_exact_state,0.40040369068,False
11008,4,100,own_state,0.666744521777,False
11008,4,250,common_exact_state,0.264278727806,False
11008,4,250,own_state,0.664935269195,False
11008,8,0,common_exact_state,0.565967230288,False
11008,8,0,own_state,0.565967230288,False
11008,8,1,common_exact_state,0.564248265999,False
11008,8,1,own_state,0.56595169796,False
11008,8,10,common_exact_state,0.548876914114,False
11008,8,10,own_state,0.565810529586,False
11008,8,50,common_exact_state,0.4858961738,False
11008,8,50,own_state,0.565151526135,False
11008,8,100,common_exact_state,0.422769035602,False
11008,8,100,own_state,0.564253427302,False
11008,8,250,common_exact_state,0.30840934566,False
11008,8,250,own_state,0.561126155682,False
11009,2,0,common_exact_state,0.995755817079,False
11009,2,0,own_state,0.995755817079,False
11009,2,1,common_exact_state,0.982488357194,False
11009,2,1,own_state,0.995414626629,False
11009,2,10,common_exact_state,0.872667900332,False
11009,2,10,own_state,0.992886394651,False
11009,2,50,common_exact_state,0.580748009451,False
11009,2,50,own_state,0.985802412871,False
11009,2,100,common_exact_state,0.428267371793,False
11009,2,100,own_state,0.978287972008,False
11009,2,250,common_exact_state,0.370073144567,False
11009,2,250,own_state,0.963222580095,False
11009,4,0,common_exact_state,0.672966886311,False
11009,4,0,own_state,0.672966886311,False
11009,4,1,common_exact_state,0.669285004872,False
11009,4,1,own_state,0.672822381082,False
11009,4,10,common_exact_state,0.637102615206,False
11009,4,10,own_state,0.671872292,False
11009,4,50,common_exact_state,0.511618815719,False
11009,4,50,own_state,0.671008537672,False
11009,4,100,common_exact_state,0.405702163692,False
11009,4,100,own_state,0.671064672702,False
11009,4,250,common_exact_state,0.271192536126,False
11009,4,250,own_state,0.669908211905,False
11009,8,0,common_exact_state,0.574523663576,False
