dataset,core,depth,seed,exact_accuracy,backpropagation_accuracy,exact_minus_backpropagation_accuracy,absolute_accuracy_difference
mnist,additive,4,50,0.9731999635696411,0.9746999740600586,-0.0015000104904174805,0.0015000104904174805
mnist,additive,4,51,0.9754999876022339,0.974399983882904,0.001100003719329834,0.001100003719329834
mnist,shunting,1,42,0.9660999774932861,0.9642999768257141,0.0018000006675720215,0.0018000006675720215
mnist,shunting,1,43,0.9660999774932861,0.9663999676704407,-0.000299990177154541,0.000299990177154541
mnist,shunting,1,44,0.9668999910354614,0.9688999652862549,-0.001999974250793457,0.001999974250793457
mnist,shunting,1,45,0.965999960899353,0.9667999744415283,-0.000800013542175293,0.000800013542175293
mnist,shunting,1,46,0.9644999504089355,0.9659000039100647,-0.0014000535011291504,0.0014000535011291504
mnist,shunting,1,47,0.9663999676704407,0.9675999879837036,-0.0012000203132629395,0.0012000203132629395
mnist,shunting,1,48,0.9650999903678894,0.9657999873161316,-0.0006999969482421875,0.0006999969482421875
mnist,shunting,1,49,0.9667999744415283,0.9679999947547913,-0.0012000203132629395,0.0012000203132629395
mnist,shunting,1,50,0.9679999947547913,0.9690999984741211,-0.001100003719329834,0.001100003719329834
mnist,shunting,1,51,0.9655999541282654,0.9668999910354614,-0.001300036907196045,0.001300036907196045
mnist,shunting,2,42,0.9723999500274658,0.9714999794960022,0.000899970531463623,0.000899970531463623
mnist,shunting,2,43,0.9710999727249146,0.968999981880188,0.0020999908447265625,0.0020999908447265625
mnist,shunting,2,44,0.9700999855995178,0.9698999524116516,0.00020003318786621094,0.00020003318786621094
mnist,shunting,2,45,0.9695999622344971,0.9711999893188477,-0.001600027084350586,0.001600027084350586
mnist,shunting,2,46,0.967199981212616,0.9686999917030334,-0.0015000104904174805,0.0015000104904174805
mnist,shunting,2,47,0.968999981880188,0.9706999659538269,-0.001699984073638916,0.001699984073638916
mnist,shunting,2,48,0.9692999720573425,0.9706999659538269,-0.001399993896484375,0.001399993896484375
mnist,shunting,2,49,0.9714999794960022,0.9698999524116516,0.001600027084350586,0.001600027084350586
mnist,shunting,2,50,0.9695999622344971,0.9702000021934509,-0.0006000399589538574,0.0006000399589538574
mnist,shunting,2,51,0.9700999855995178,0.9690999984741211,0.0009999871253967285,0.0009999871253967285
mnist,shunting,3,42,0.97079998254776,0.9700999855995178,0.0006999969482421875,0.0006999969482421875
mnist,shunting,3,43,0.9680999517440796,0.9700999855995178,-0.0020000338554382324,0.0020000338554382324
mnist,shunting,3,44,0.9697999954223633,0.9698999524116516,-9.995698928833008e-05,9.995698928833008e-05
mnist,shunting,3,45,0.9697999954223633,0.9714999794960022,-0.001699984073638916,0.001699984073638916
mnist,shunting,3,46,0.971299946308136,0.9703999757766724,0.000899970531463623,0.000899970531463623
mnist,shunting,3,47,0.9721999764442444,0.9704999923706055,0.001699984073638916,0.001699984073638916
mnist,shunting,3,48,0.9731999635696411,0.9703999757766724,0.00279998779296875,0.00279998779296875
mnist,shunting,3,49,0.9708999991416931,0.9711999893188477,-0.000299990177154541,0.000299990177154541
mnist,shunting,3,50,0.9692999720573425,0.9714999794960022,-0.002200007438659668,0.002200007438659668
mnist,shunting,3,51,0.9703999757766724,0.9702999591827393,0.00010001659393310547,0.00010001659393310547
mnist,shunting,4,42,0.9711999893188477,0.9710999727249146,0.00010001659393310547,0.00010001659393310547
mnist,shunting,4,43,0.9717999696731567,0.9708999991416931,0.000899970531463623,0.000899970531463623
mnist,shunting,4,44,0.9732999801635742,0.9716999530792236,0.001600027084350586,0.001600027084350586
mnist,shunting,4,45,0.9715999960899353,0.9718999862670898,-0.000299990177154541,0.000299990177154541
mnist,shunting,4,46,0.9727999567985535,0.9732999801635742,-0.000500023365020752,0.000500023365020752
mnist,shunting,4,47,0.9695999622344971,0.9704999923706055,-0.0009000301361083984,0.0009000301361083984
mnist,shunting,4,48,0.9718999862670898,0.9705999493598938,0.001300036907196045,0.001300036907196045
mnist,shunting,4,49,0.9720999598503113,0.9722999930381775,-0.00020003318786621094,0.00020003318786621094
mnist,shunting,4,50,0.971299946308136,0.9695000052452087,0.001799941062927246,0.001799941062927246
mnist,shunting,4,51,0.971299946308136,0.9708999991416931,0.0003999471664428711,0.0003999471664428711
noise_resilience,additive,1,42,0.3320000171661377,0.3320000171661377,0.0,0.0
noise_resilience,additive,1,43,0.33100003004074097,0.33100003004074097,0.0,0.0
noise_resilience,additive,1,44,0.33400002121925354,0.328000009059906,0.006000012159347534,0.006000012159347534
noise_resilience,additive,1,45,0.3110000193119049,0.3110000193119049,0.0,0.0
noise_resilience,additive,1,46,0.30800002813339233,0.30800002813339233,0.0,0.0
noise_resilience,additive,1,47,0.3580000102519989,0.33800002932548523,0.019999980926513672,0.019999980926513672
noise_resilience,additive,1,48,0.3270000219345093,0.3270000219345093,0.0,0.0
noise_resilience,additive,1,49,0.3360000252723694,0.3360000252723694,0.0,0.0
noise_resilience,additive,1,50,0.3190000057220459,0.3110000193119049,0.007999986410140991,0.007999986410140991
noise_resilience,additive,1,51,0.34300002455711365,0.3540000021457672,-0.010999977588653564,0.010999977588653564
noise_resilience,additive,2,42,0.3370000123977661,0.3370000123977661,0.0,0.0
noise_resilience,additive,2,43,0.35500001907348633,0.35500001907348633,0.0,0.0
noise_resilience,additive,2,44,0.3050000071525574,0.3100000023841858,-0.004999995231628418,0.004999995231628418
noise_resilience,additive,2,45,0.33900001645088196,0.33500000834465027,0.0040000081062316895,0.0040000081062316895
noise_resilience,additive,2,46,0.3290000259876251,0.3410000205039978,-0.01199999451637268,0.01199999451637268
noise_resilience,additive,2,47,0.30800002813339233,0.30800002813339233,0.0,0.0
noise_resilience,additive,2,48,0.3680000305175781,0.3680000305175781,0.0,0.0
noise_resilience,additive,2,49,0.3460000157356262,0.3450000286102295,0.0009999871253967285,0.0009999871253967285
noise_resilience,additive,2,50,0.33100003004074097,0.33100003004074097,0.0,0.0
noise_resilience,additive,2,51,0.34700000286102295,0.34700000286102295,0.0,0.0
noise_resilience,additive,3,42,0.32500001788139343,0.34700000286102295,-0.021999984979629517,0.021999984979629517
noise_resilience,additive,3,43,0.3450000286102295,0.33000001311302185,0.015000015497207642,0.015000015497207642
noise_resilience,additive,3,44,0.3410000205039978,0.3290000259876251,0.01199999451637268,0.01199999451637268
noise_resilience,additive,3,45,0.3190000057220459,0.3330000042915344,-0.013999998569488525,0.013999998569488525
noise_resilience,additive,3,46,0.32500001788139343,0.3240000009536743,0.0010000169277191162,0.0010000169277191162
noise_resilience,additive,3,47,0.3320000171661377,0.33100003004074097,0.0009999871253967285,0.0009999871253967285
noise_resilience,additive,3,48,0.32600000500679016,0.32600000500679016,0.0,0.0
noise_resilience,additive,3,49,0.3630000054836273,0.3630000054836273,0.0,0.0
noise_resilience,additive,3,50,0.35100001096725464,0.3440000116825104,0.006999999284744263,0.006999999284744263
noise_resilience,additive,3,51,0.3330000042915344,0.33500000834465027,-0.0020000040531158447,0.0020000040531158447
noise_resilience,additive,4,42,0.33400002121925354,0.3410000205039978,-0.006999999284744263,0.006999999284744263
noise_resilience,additive,4,43,0.32600000500679016,0.3270000219345093,-0.0010000169277191162,0.0010000169277191162
noise_resilience,additive,4,44,0.3570000231266022,0.34200000762939453,0.015000015497207642,0.015000015497207642
noise_resilience,additive,4,45,0.3450000286102295,0.34700000286102295,-0.001999974250793457,0.001999974250793457
noise_resilience,additive,4,46,0.3440000116825104,0.3400000035762787,0.0040000081062316895,0.0040000081062316895
noise_resilience,additive,4,47,0.32100000977516174,0.30900001525878906,0.01199999451637268,0.01199999451637268
noise_resilience,additive,4,48,0.33800002932548523,0.3370000123977661,0.0010000169277191162,0.0010000169277191162
noise_resilience,additive,4,49,0.32600000500679016,0.34700000286102295,-0.020999997854232788,0.020999997854232788
noise_resilience,additive,4,50,0.3100000023841858,0.36900001764297485,-0.05900001525878906,0.05900001525878906
noise_resilience,additive,4,51,0.32600000500679016,0.32200002670288086,0.003999978303909302,0.003999978303909302
noise_resilience,shunting,1,42,0.32200002670288086,0.3190000057220459,0.003000020980834961,0.003000020980834961
noise_resilience,shunting,1,43,0.3580000102519989,0.33900001645088196,0.018999993801116943,0.018999993801116943
noise_resilience,shunting,1,44,0.33100003004074097,0.33100003004074097,0.0,0.0
noise_resilience,shunting,1,45,0.3680000305175781,0.367000013589859,0.0010000169277191162,0.0010000169277191162
noise_resilience,shunting,1,46,0.3660000264644623,0.3630000054836273,0.003000020980834961,0.003000020980834961
noise_resilience,shunting,1,47,0.2930000126361847,0.3100000023841858,-0.0169999897480011,0.0169999897480011
noise_resilience,shunting,1,48,0.36900001764297485,0.35600000619888306,0.013000011444091797,0.013000011444091797
noise_resilience,shunting,1,49,0.3460000157356262,0.3530000150203705,-0.006999999284744263,0.006999999284744263
noise_resilience,shunting,1,50,0.33900001645088196,0.3490000069141388,-0.009999990463256836,0.009999990463256836
noise_resilience,shunting,1,51,0.35500001907348633,0.34300002455711365,0.01199999451637268,0.01199999451637268
noise_resilience,shunting,2,42,0.3360000252723694,0.320000022649765,0.01600000262260437,0.01600000262260437
noise_resilience,shunting,2,43,0.3630000054836273,0.37300002574920654,-0.010000020265579224,0.010000020265579224
noise_resilience,shunting,2,44,0.367000013589859,0.3680000305175781,-0.0010000169277191162,0.0010000169277191162
noise_resilience,shunting,2,45,0.34700000286102295,0.3680000305175781,-0.021000027656555176,0.021000027656555176
noise_resilience,shunting,2,46,0.3760000169277191,0.39000001549720764,-0.013999998569488525,0.013999998569488525
noise_resilience,shunting,2,47,0.29100000858306885,0.289000004529953,0.0020000040531158447,0.0020000040531158447
noise_resilience,shunting,2,48,0.36400002241134644,0.36500000953674316,-0.0009999871253967285,0.0009999871253967285
noise_resilience,shunting,2,49,0.36500000953674316,0.3680000305175781,-0.003000020980834961,0.003000020980834961
noise_resilience,shunting,2,50,0.3450000286102295,0.36100003123283386,-0.01600000262260437,0.01600000262260437
noise_resilience,shunting,2,51,0.3370000123977661,0.3540000021457672,-0.0169999897480011,0.0169999897480011
noise_resilience,shunting,3,42,0.37300002574920654,0.36900001764297485,0.0040000081062316895,0.0040000081062316895
noise_resilience,shunting,3,43,0.3800000250339508,0.3680000305175781,0.01199999451637268,0.01199999451637268
noise_resilience,shunting,3,44,0.42000001668930054,0.41200003027915955,0.007999986410140991,0.007999986410140991
noise_resilience,shunting,3,45,0.3630000054836273,0.3930000066757202,-0.030000001192092896,0.030000001192092896
noise_resilience,shunting,3,46,0.4010000228881836,0.39400002360343933,0.006999999284744263,0.006999999284744263
noise_resilience,shunting,3,47,0.32600000500679016,0.3270000219345093,-0.0010000169277191162,0.0010000169277191162
noise_resilience,shunting,3,48,0.41600000858306885,0.40400001406669617,0.01199999451637268,0.01199999451637268
noise_resilience,shunting,3,49,0.40400001406669617,0.38200002908706665,0.021999984979629517,0.021999984979629517
noise_resilience,shunting,3,50,0.3920000195503235,0.4020000100135803,-0.009999990463256836,0.009999990463256836
noise_resilience,shunting,3,51,0.3960000276565552,0.37700000405311584,0.01900002360343933,0.01900002360343933
noise_resilience,shunting,4,42,0.3890000283718109,0.37800002098083496,0.011000007390975952,0.011000007390975952
noise_resilience,shunting,4,43,0.39900001883506775,0.4010000228881836,-0.0020000040531158447,0.0020000040531158447
noise_resilience,shunting,4,44,0.41600000858306885,0.4140000343322754,0.001999974250793457,0.001999974250793457
noise_resilience,shunting,4,45,0.4050000309944153,0.406000018119812,-0.0009999871253967285,0.0009999871253967285
noise_resilience,shunting,4,46,0.3930000066757202,0.3750000298023224,0.017999976873397827,0.017999976873397827
noise_resilience,shunting,4,47,0.2939999997615814,0.3490000069141388,-0.05500000715255737,0.05500000715255737
noise_resilience,shunting,4,48,0.4180000126361847,0.4220000207424164,-0.0040000081062316895,0.0040000081062316895
noise_resilience,shunting,4,49,0.3660000264644623,0.36400002241134644,0.0020000040531158447,0.0020000040531158447
noise_resilience,shunting,4,50,0.40300002694129944,0.4050000309944153,-0.0020000040531158447,0.0020000040531158447
noise_resilience,shunting,4,51,0.3840000033378601,0.38700002431869507,-0.003000020980834961,0.003000020980834961
