cohort,config_index,method,dataset,core,core_type,depth,seed,test_accuracy,test_categorical_loglikelihood,best_epoch,checkpoint_tensor_count,checkpoint_bytes,checkpoint_sha256,config_sha256,latest_log_critical_count,used_streaming_evaluation
bp_mnist_additive,19,backpropagation,mnist,additive,dendritic_additive,2,51,0.9688999652862549,-0.10671364516019821,34,23,4842834,2ba4f007e4318e7f748f335589e8d2d11d075c900a55d5c59d48c99914ae4410,54135b0fcf4030d51e910af536a689fc2fdfd0d368c65a77bab580b03213738f,0,False
exact_mnist_additive,19,exact_transport,mnist,additive,dendritic_additive,2,51,0.9684000015258789,-0.101454958319664,28,23,4842834,18677b6d35f4356234896bebef9d277f4a9916e92036cb308a06bd0d6b688746,16272aa7680f443e0db739fb2aa5275d82bd8935abe1cf79eb698dba99ca305c,0,False
bp_mnist_additive,20,backpropagation,mnist,additive,dendritic_additive,3,42,0.9736999869346619,-0.09412377327680588,22,31,11281114,95c7457fe38311baf88776ed92557a621d3b00138ae9359b934bccfe4fc59491,8cb86c9aa20bbadc2a4a99f80b972b21a78b0f024b24e665c510a36615e15263,0,False
exact_mnist_additive,20,exact_transport,mnist,additive,dendritic_additive,3,42,0.971299946308136,-0.09640783816576004,24,31,11281114,de6ff253247dd3a9090deadced6f191ed55d48c8bf57d20ae6126e8935911658,979e2b56e8a8e9f2e745d5abc51a0eaf1b1d32834a52b2f24af2bdb45c5ce3f0,0,False
bp_mnist_additive,21,backpropagation,mnist,additive,dendritic_additive,3,43,0.9728999733924866,-0.09235042333602905,23,31,11281114,c4b37d79935679933042f3a2f30ed904de1fc297232198a6bd19e8ba266064ee,ff6ccad710b09936444d5c82d99184a8c1576a4219797fe815a18a15313f6915,0,False
exact_mnist_additive,21,exact_transport,mnist,additive,dendritic_additive,3,43,0.9708999991416931,-0.09180838614702225,23,31,11281114,f350ce5f145a6507e717e8004496c25c3ad99a160532d57b37b79332ea33f584,d9b8b667579ced3ae5345fe14466f425ee86229e093e401eb42e8fe198bbe146,0,False
bp_mnist_additive,22,backpropagation,mnist,additive,dendritic_additive,3,44,0.971299946308136,-0.09837932884693146,25,31,11281114,c6c557480b98890b60c746c0228c098ba4130d2ecc8dcafa859edff788a1434c,b1851b286ca67c504b6cb0d66c6b953ae15b8c8c162111a4805b2015ddb22cad,0,False
exact_mnist_additive,22,exact_transport,mnist,additive,dendritic_additive,3,44,0.9704999923706055,-0.10437609255313873,29,31,11281114,3596e6a1314f1b67d452ab83918ac0d6cac4fe8983fbde64634e1ae1be1b8ce5,7238f73655d8dda202aabb96c2eb305d07d12ff7571a54ffe5abf8ee2bfad48e,0,False
bp_mnist_additive,23,backpropagation,mnist,additive,dendritic_additive,3,45,0.9711999893188477,-0.09537293016910553,24,31,11281114,84edede83fca05d999a7ff453593e8d13ca566364ed27dbd92b440588e5f18d2,67c5cc6fe61dda15ea44630f54cf766d4965ccbc4ab53a78dbb5504a7b94923d,0,False
exact_mnist_additive,23,exact_transport,mnist,additive,dendritic_additive,3,45,0.9715999960899353,-0.09349294006824493,23,31,11281114,781dcf7d97000f40504c1d27b50e37bfdff732accd50f8bb9dc900d91b5f6f84,69ed87469df9f7891e0db36918558d0b84a43401dd7c3ee93ab609e0ba7c1de3,0,False
bp_mnist_additive,24,backpropagation,mnist,additive,dendritic_additive,3,46,0.9727999567985535,-0.09493355453014374,24,31,11281114,af2b55cb993567e66ef367d7868882b74e5d8ad9f24c8951942cfd75fed07724,851e3a69c1ba28abce702dde71d6acf7a47133a9bdd5facb13d2c2612988090c,0,False
exact_mnist_additive,24,exact_transport,mnist,additive,dendritic_additive,3,46,0.9724999666213989,-0.09380015730857849,22,31,11281114,f6ce2dde3896c30bd24c47e5d56f46d4d7c69d293b2a297edaf61bdbceb28a8b,0b9110d0bbe3abedb683e69460870aa5deb917a8ca916e0527b744933a473908,0,False
bp_mnist_additive,25,backpropagation,mnist,additive,dendritic_additive,3,47,0.9727999567985535,-0.09015432745218277,28,31,11281114,817789dbb17eb8b521e60c54d25af462304b78a8d3e275d1c10320fb0323f0a1,846728c8a0db3b2569498e149e432f7eba18c10927fe1fb91306d4873c748bcc,0,False
exact_mnist_additive,25,exact_transport,mnist,additive,dendritic_additive,3,47,0.9726999998092651,-0.0915733203291893,23,31,11281114,7a2b20ea100fda5fc0c2bc4d2bb25e85507949449c33f0279620c807ec3c0463,20fca1843acd1ee83d4338483e1b2b3559ce61dcbc22f4bf5c798fee8f4fad90,0,False
bp_mnist_additive,26,backpropagation,mnist,additive,dendritic_additive,3,48,0.972599983215332,-0.09515225887298584,26,31,11281114,7374e3662ff1f6f5bb97bdb13a4428cb0e7e2a7bf791d508487e380114f4685a,0a4d38434cede6c07c62c4ec694dd966e3bd6d223ea8193eb18584fc3fdbe068,0,False
exact_mnist_additive,26,exact_transport,mnist,additive,dendritic_additive,3,48,0.9711999893188477,-0.09469423443078995,19,31,11281114,4c72dea660e6909db124c711fc1f0e454d1194b4b7cbb5cefb43189e34ce2cc2,cc04bfada594a2cd2c7bc7f65392b81a448a680edc126af0e91a2998e0c619aa,0,False
bp_mnist_additive,27,backpropagation,mnist,additive,dendritic_additive,3,49,0.9731999635696411,-0.08742934465408325,26,31,11281114,c4c0183091a43bbf48a1cc993351c24864aaa8024a1e1e5be6499a06b5988288,138530ddb7c5a31e5d536898e0a7db9b61094c89f374651bf41a9c5f4e02ef33,0,False
exact_mnist_additive,27,exact_transport,mnist,additive,dendritic_additive,3,49,0.9734999537467957,-0.09050506353378296,24,31,11281114,fcf71d24d497facadf1fabbc1625d54f5502ff9e91e67f588d7fc13c2d020dd9,64977b231c17deebfc839ebe8549424705a815b107124079fd046e239b8740b6,0,False
bp_mnist_additive,28,backpropagation,mnist,additive,dendritic_additive,3,50,0.9722999930381775,-0.08769270777702332,21,31,11281114,7b2eec66bde76f4b6c7afc3e6456339589ae5eb38269c54c544c64e8e16ba27e,e3d64d91e4d995107be2f27b56348fd04342185c99ce4edacf3dd31afcf59ff8,0,False
exact_mnist_additive,28,exact_transport,mnist,additive,dendritic_additive,3,50,0.9739999771118164,-0.08822141587734222,23,31,11281114,b4e8368bf16f0d23c74a522251221ff7a536e25b2c3ce65022d72da8f35059d1,3a1ac8ec87431a253b88c92513557335c83bd325a916b211d01f391d3d587a82,0,False
bp_mnist_additive,29,backpropagation,mnist,additive,dendritic_additive,3,51,0.9727999567985535,-0.09360101073980331,22,31,11281114,459f232e5f5fdff99fd96a97f326e6106d31a98389f14026e850090888662009,d179990977c170d467c876a7f6309522ec4d596251d66ae2ffecebb2e0e374a4,0,False
exact_mnist_additive,29,exact_transport,mnist,additive,dendritic_additive,3,51,0.972000002861023,-0.09156773239374161,19,31,11281114,60f4cb26bf0a196a6eb8b7106ed32c7b9a12aed1f2ad8316f2c97421300bdc93,718afcb063c4d6be3843cf5f7915992198d7eea19dde6fd4f06847a4cc9e05c7,0,False
bp_mnist_additive,30,backpropagation,mnist,additive,dendritic_additive,4,42,0.9759999513626099,-0.08389772474765778,20,39,24154082,10edebac412c26c0ac41ec2e2e9c10249d982ecaea2056413834128d37fc95b1,f0b4c965a48114a41738c62033309fd9f9d434710cc2f04b3295cbb698e73394,0,False
