seed,task_group,student_group,terminal_input,target_parent,student_parent,component_variance
15404,0,2,3,1,0,2.4336688537026787e-05
15404,1,0,2,0,1,8.731872874716334e-05
15404,1,0,1,1,0,1.5613085185154318e-05
15404,1,2,2,0,1,8.731872874716334e-05
15404,1,2,3,1,0,2.4336688537026787e-05
15404,2,0,3,0,1,8.731872874716334e-05
15404,2,0,1,1,0,1.5613085185154318e-05
15404,2,1,3,0,1,8.731872874716334e-05
15404,2,1,2,1,0,2.4336688537026787e-05
15405,0,1,1,0,1,2.4078326427690764e-05
15405,0,1,2,1,0,3.746020889026788e-05
15405,0,2,1,0,1,2.4078326427690764e-05
15405,0,2,3,1,0,6.712147139926466e-05
15405,1,0,2,0,1,2.4078326427690764e-05
15405,1,0,1,1,0,3.746020889026788e-05
15405,1,2,2,0,1,2.4078326427690764e-05
15405,1,2,3,1,0,6.712147139926466e-05
15405,2,0,3,0,1,2.4078326427690764e-05
15405,2,0,1,1,0,3.746020889026788e-05
15405,2,1,3,0,1,2.4078326427690764e-05
15405,2,1,2,1,0,6.712147139926466e-05
15406,0,1,1,0,1,1.6532472842041868e-05
15406,0,1,2,1,0,2.2724325223556322e-05
15406,0,2,1,0,1,1.6532472842041868e-05
15406,0,2,3,1,0,8.066234998704299e-05
15406,1,0,2,0,1,1.6532472842041868e-05
15406,1,0,1,1,0,2.2724325223556322e-05
15406,1,2,2,0,1,1.6532472842041868e-05
15406,1,2,3,1,0,8.066234998704299e-05
15406,2,0,3,0,1,1.6532472842041868e-05
15406,2,0,1,1,0,2.2724325223556322e-05
15406,2,1,3,0,1,1.6532472842041868e-05
15406,2,1,2,1,0,8.066234998704299e-05
15407,0,1,1,0,1,3.4382785285992785e-05
15407,0,1,2,1,0,1.9747997258861552e-05
15407,0,2,1,0,1,3.4382785285992785e-05
15407,0,2,3,1,0,4.8658695328789345e-05
15407,1,0,2,0,1,3.4382785285992785e-05
15407,1,0,1,1,0,1.9747997258861552e-05
15407,1,2,2,0,1,3.4382785285992785e-05
15407,1,2,3,1,0,4.8658695328789345e-05
15407,2,0,3,0,1,3.4382785285992785e-05
15407,2,0,1,1,0,1.9747997258861552e-05
15407,2,1,3,0,1,3.4382785285992785e-05
15407,2,1,2,1,0,4.8658695328789345e-05
15408,0,1,1,0,1,5.3030759965835744e-05
15408,0,1,2,1,0,2.477858066229514e-05
15408,0,2,1,0,1,5.3030759965835744e-05
15408,0,2,3,1,0,2.702712160099164e-05
15408,1,0,2,0,1,5.3030759965835744e-05
15408,1,0,1,1,0,2.477858066229514e-05
15408,1,2,2,0,1,5.3030759965835744e-05
15408,1,2,3,1,0,2.702712160099164e-05
15408,2,0,3,0,1,5.3030759965835744e-05
15408,2,0,1,1,0,2.477858066229514e-05
15408,2,1,3,0,1,5.3030759965835744e-05
15408,2,1,2,1,0,2.702712160099164e-05
15409,0,1,1,0,1,1.3742953477227372e-05
15409,0,1,2,1,0,6.31501841438037e-05
15409,0,2,1,0,1,1.3742953477227372e-05
15409,0,2,3,1,0,4.852868445188023e-05
15409,1,0,2,0,1,1.3742953477227372e-05
15409,1,0,1,1,0,6.31501841438037e-05
15409,1,2,2,0,1,1.3742953477227372e-05
15409,1,2,3,1,0,4.852868445188023e-05
15409,2,0,3,0,1,1.3742953477227372e-05
15409,2,0,1,1,0,6.31501841438037e-05
15409,2,1,3,0,1,1.3742953477227372e-05
15409,2,1,2,1,0,4.852868445188023e-05
15410,0,1,1,0,1,2.72971187542062e-05
15410,0,1,2,1,0,4.855111358386121e-05
15410,0,2,1,0,1,2.72971187542062e-05
15410,0,2,3,1,0,1.6408225770783294e-05
15410,1,0,2,0,1,2.72971187542062e-05
15410,1,0,1,1,0,4.855111358386121e-05
15410,1,2,2,0,1,2.72971187542062e-05
15410,1,2,3,1,0,1.6408225770783294e-05
15410,2,0,3,0,1,2.72971187542062e-05
15410,2,0,1,1,0,4.855111358386121e-05
15410,2,1,3,0,1,2.72971187542062e-05
15410,2,1,2,1,0,1.6408225770783294e-05
15411,0,1,1,0,1,3.057989415341828e-05
15411,0,1,2,1,0,3.461820935552923e-05
15411,0,2,1,0,1,3.057989415341828e-05
15411,0,2,3,1,0,2.5983048098116034e-05
15411,1,0,2,0,1,3.057989415341828e-05
15411,1,0,1,1,0,3.461820935552923e-05
15411,1,2,2,0,1,3.057989415341828e-05
15411,1,2,3,1,0,2.5983048098116034e-05
15411,2,0,3,0,1,3.057989415341828e-05
15411,2,0,1,1,0,3.461820935552923e-05
15411,2,1,3,0,1,3.057989415341828e-05
15411,2,1,2,1,0,2.5983048098116034e-05
15412,0,1,1,0,1,1.7953542443640315e-05
15412,0,1,2,1,0,4.505620872822323e-05
15412,0,2,1,0,1,1.7953542443640315e-05
15412,0,2,3,1,0,4.240792140847152e-05
15412,1,0,2,0,1,1.7953542443640315e-05
15412,1,0,1,1,0,4.505620872822323e-05
15412,1,2,2,0,1,1.7953542443640315e-05
15412,1,2,3,1,0,4.240792140847152e-05
15412,2,0,3,0,1,1.7953542443640315e-05
15412,2,0,1,1,0,4.505620872822323e-05
15412,2,1,3,0,1,1.7953542443640315e-05
15412,2,1,2,1,0,4.240792140847152e-05
15413,0,1,1,0,1,5.97079407908745e-06
15413,0,1,2,1,0,9.551596162971316e-05
15413,0,2,1,0,1,5.97079407908745e-06
15413,0,2,3,1,0,2.6939401784514436e-05
15413,1,0,2,0,1,5.97079407908745e-06
15413,1,0,1,1,0,9.551596162971316e-05
15413,1,2,2,0,1,5.97079407908745e-06
15413,1,2,3,1,0,2.6939401784514436e-05
15413,2,0,3,0,1,5.97079407908745e-06
15413,2,0,1,1,0,9.551596162971316e-05
15413,2,1,3,0,1,5.97079407908745e-06
15413,2,1,2,1,0,2.6939401784514436e-05
15414,0,1,1,0,1,1.955076588048897e-05
15414,0,1,2,1,0,7.19369043310629e-05
15414,0,2,1,0,1,1.955076588048897e-05
15414,0,2,3,1,0,2.9311954352152536e-05
15414,1,0,2,0,1,1.955076588048897e-05
15414,1,0,1,1,0,7.19369043310629e-05
15414,1,2,2,0,1,1.955076588048897e-05
15414,1,2,3,1,0,2.9311954352152536e-05
15414,2,0,3,0,1,1.955076588048897e-05
15414,2,0,1,1,0,7.19369043310629e-05
15414,2,1,3,0,1,1.955076588048897e-05
15414,2,1,2,1,0,2.9311954352152536e-05
15415,0,1,1,0,1,2.5153167429088973e-05
15415,0,1,2,1,0,4.300153645824235e-05
15415,0,2,1,0,1,2.5153167429088973e-05
15415,0,2,3,1,0,6.01970514899034e-05
15415,1,0,2,0,1,2.5153167429088973e-05
15415,1,0,1,1,0,4.300153645824235e-05
15415,1,2,2,0,1,2.5153167429088973e-05
15415,1,2,3,1,0,6.01970514899034e-05
15415,2,0,3,0,1,2.5153167429088973e-05
15415,2,0,1,1,0,4.300153645824235e-05
15415,2,1,3,0,1,2.5153167429088973e-05
15415,2,1,2,1,0,6.01970514899034e-05
15416,0,1,1,0,1,2.0552304502568748e-05
15416,0,1,2,1,0,1.515502360269497e-05
15416,0,2,1,0,1,2.0552304502568748e-05
15416,0,2,3,1,0,4.8798938215795225e-05
15416,1,0,2,0,1,2.0552304502568748e-05
15416,1,0,1,1,0,1.515502360269497e-05
15416,1,2,2,0,1,2.0552304502568748e-05
15416,1,2,3,1,0,4.8798938215795225e-05
15416,2,0,3,0,1,2.0552304502568748e-05
15416,2,0,1,1,0,1.515502360269497e-05
15416,2,1,3,0,1,2.0552304502568748e-05
15416,2,1,2,1,0,4.8798938215795225e-05
15417,0,1,1,0,1,2.812711524273297e-05
15417,0,1,2,1,0,7.276136148196273e-06
15417,0,2,1,0,1,2.812711524273297e-05
15417,0,2,3,1,0,2.9855221979376423e-05
15417,1,0,2,0,1,2.812711524273297e-05
15417,1,0,1,1,0,7.276136148196273e-06
15417,1,2,2,0,1,2.812711524273297e-05
15417,1,2,3,1,0,2.9855221979376423e-05
15417,2,0,3,0,1,2.812711524273297e-05
15417,2,0,1,1,0,7.276136148196273e-06
15417,2,1,3,0,1,2.812711524273297e-05
15417,2,1,2,1,0,2.9855221979376423e-05
15418,0,1,1,0,1,3.532952972851413e-05
15418,0,1,2,1,0,4.923696217197385e-05
15418,0,2,1,0,1,3.532952972851413e-05
15418,0,2,3,1,0,1.5136690839646877e-05
15418,1,0,2,0,1,3.532952972851413e-05
15418,1,0,1,1,0,4.923696217197385e-05
15418,1,2,2,0,1,3.532952972851413e-05
15418,1,2,3,1,0,1.5136690839646877e-05
15418,2,0,3,0,1,3.532952972851413e-05
15418,2,0,1,1,0,4.923696217197385e-05
15418,2,1,3,0,1,3.532952972851413e-05
15418,2,1,2,1,0,1.5136690839646877e-05
15419,0,1,1,0,1,3.5954257627210094e-05
15419,0,1,2,1,0,2.558562704042225e-05
15419,0,2,1,0,1,3.5954257627210094e-05
15419,0,2,3,1,0,3.941891951495958e-05
15419,1,0,2,0,1,3.5954257627210094e-05
15419,1,0,1,1,0,2.558562704042225e-05
15419,1,2,2,0,1,3.5954257627210094e-05
15419,1,2,3,1,0,3.941891951495958e-05
15419,2,0,3,0,1,3.5954257627210094e-05
15419,2,0,1,1,0,2.558562704042225e-05
15419,2,1,3,0,1,3.5954257627210094e-05
15419,2,1,2,1,0,3.941891951495958e-05
