source,dataset,network_type,strategy,branch_factors,ie_value,population,test_accuracy_mean,test_accuracy_std,test_accuracy_count,nominal_depth_mean,nominal_depth_std,nominal_depth_count,active_stage_count_mean,active_stage_count_std,active_stage_count_count,effective_depth_from_soma_mean,effective_depth_from_soma_std,effective_depth_from_soma_count,minimum_stage_median_mean,minimum_stage_median_std,minimum_stage_median_count,minimum_stage_q05_mean,minimum_stage_q05_std,minimum_stage_q05_count,log10_product_stage_medians_mean,log10_product_stage_medians_std,log10_product_stage_medians_count,activity_threshold_mean,activity_threshold_std,activity_threshold_count
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",5,0,0.5617666641871134,0.019306027323237603,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.642335573832194,0.0861963220917388,3,0.025553204119205475,0.014909113151151744,3,-0.30614473278533516,0.04226509124073463,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",5,1,0.5617666641871134,0.019306027323237603,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.6061617732048035,0.05434869323738244,3,0.5465006629625956,0.019338805088334892,3,0.03189497049281941,0.10686130173439175,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",10,0,0.6025000015894572,0.030552897148302536,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.8613218069076538,0.21229842503999422,3,0.03617799778779348,0.016826391396662334,3,-0.04517029231139256,0.13668242344170753,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",10,1,0.6025000015894572,0.030552897148302536,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5665967663129171,0.05167468406007827,3,0.4287168085575104,0.017341805452342828,3,0.02045951217154851,0.03708285630767986,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",20,0,0.5596999923388163,0.04636087275601554,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,1.043340841929118,0.08658010784310441,3,0.061815716326236725,0.02260308027192496,3,0.13216061457892767,0.023029776045184806,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",20,1,0.5596999923388163,0.04636087275601554,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5413238207499186,0.04301352104831931,3,0.4575713475545247,0.03037640569650265,3,-0.029676586261037797,0.046788539567793254,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",40,0,0.49240000049273175,0.0426838415621261,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.8640733162562052,0.22581358861806808,3,0.1187926655014356,0.05032324308161182,3,0.07637332185448577,0.09324686111541217,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[2, 2]",40,1,0.49240000049273175,0.0426838415621261,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.566154013077418,0.08299227443087215,3,0.5158644219239553,0.08436121580488011,3,-0.13326472440325887,0.030680467371619145,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",0,0,0.37753331661224365,0.16224155454389116,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.7613572080930074,0.3953074710789442,3,0.14659687876701355,0.17024580948375442,3,0.08784027767677909,0.5781094726287869,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",0,1,0.37753331661224365,0.16224155454389116,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.6850186785062155,0.06384861426619544,3,0.5274668633937836,0.0443064266120215,3,-0.027574002878674137,0.20620541832656214,3,0.001,0.0,3
