run_dir,run_name,seed,dataset,network_type,split,analysis_scope,source_feedback,removal_fraction,parent_gain_ratio_mean,parent_gain_ratio_q50,parent_gain_ratio_q95,distal_path_gain_ratio_mean,distal_path_gain_ratio_q50,distal_path_gain_ratio_q95,parent_total_clipped_fraction,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_target_norm_ratio
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,1.0,1.0525963306427002,1.0,1.313090443611145,1.0684934854507446,1.0,1.351024866104126,0.0,0.46647421213735146,0.5735023319721222,0.43926976077849805,2.3266909408027914
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,2.0,1.1765705347061157,1.0,1.9115914106369019,1.2270077466964722,1.0,2.0817818641662598,0.0003814697265625,0.13239565969938302,0.141823910176754,0.16590055421263705,0.33027355844823775
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,2.0,1.1765705347061157,1.0,1.9115914106369019,1.2270077466964722,1.0,2.0817818641662598,0.0003814697265625,0.46634996235608106,0.5734360337257385,0.436846316816592,2.213721950410952
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,4.0,2.4186460971832275,1.0,19.999998092651367,2.838653326034546,1.0,19.999998092651367,0.05045318603515625,0.0900746753396266,0.11924192234873772,0.12130858878575862,0.21537635925353352
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,4.0,2.4186460971832275,1.0,19.999998092651367,2.838653326034546,1.0,19.999998092651367,0.05045318603515625,0.40198312444040973,0.539090633392334,0.3850752652223811,1.443601408236458
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,8.0,4.3122148513793945,1.0,20.0,5.338833332061768,1.0,20.0,0.16701507568359375,0.06452974609169827,0.10561144351959229,0.06863482748175288,0.06600754717639187
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,8.0,4.3122148513793945,1.0,20.0,5.338833332061768,1.0,20.0,0.16701507568359375,0.3339880208855131,0.5028092324733734,0.24949311405739286,0.4424282608747386
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,all_populations,approx_direct_code_per_soma,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13941513190706412,0.1775963842868805,0.20724923034219403,0.385650614679024
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,all_populations,exact_soma_blockwise_per_soma,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.49460368957177575,0.5868129312992096,0.47399309431701236,2.2038390723236603
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,all_populations,approx_direct_code_per_soma,0.25,1.0096685886383057,1.0,1.0602377653121948,1.012666940689087,1.0,1.0658338069915771,0.0,0.1401592049560699,0.17799341306090355,0.20793445306934652,0.3845791255852963
