run_dir,dataset,network_type,strategy,branch_factors,ie_value,seed,test_accuracy,source,weight_transform,checkpoint,population,parent_stage,n_couplings,coupling_mean,coupling_std,coupling_min,coupling_q05,coupling_q50,coupling_q95,coupling_max,coupling_rms,fraction_below_1em06,fraction_below_1em04,fraction_below_1em03,fraction_below_1em02
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,42,0.9125999808311462,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15/main_network/standard_best_model.pt,0,4,60,16.547250747680664,0.7875901460647583,14.634610176086426,14.833518981933594,16.69170379638672,17.629657745361328,17.759685516357422,16.565982818603516,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,43,0.9146999716758728,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16/main_network/standard_best_model.pt,0,1,1620,16.058135986328125,0.8297487497329712,13.9329195022583,14.789204597473145,16.025392532348633,17.420429229736328,18.315982818603516,16.079559326171875,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,43,0.9146999716758728,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16/main_network/standard_best_model.pt,0,2,540,16.057815551757812,0.8549689054489136,14.212098121643066,14.718131065368652,16.061664581298828,17.45421600341797,18.157949447631836,16.0805606842041,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,43,0.9146999716758728,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16/main_network/standard_best_model.pt,0,3,180,16.15545082092285,0.8882504105567932,14.005661964416504,14.720622062683105,16.135923385620117,17.55191421508789,18.456714630126953,16.179851531982422,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,43,0.9146999716758728,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_16/main_network/standard_best_model.pt,0,4,60,16.488985061645508,0.8174203634262085,14.51115608215332,15.233229637145996,16.498945236206055,17.733617782592773,18.68455696105957,16.509235382080078,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,44,0.9210999608039856,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17/main_network/standard_best_model.pt,0,1,1620,16.053367614746094,0.8292646408081055,14.048474311828613,14.741315841674805,16.035781860351562,17.424877166748047,18.436811447143555,16.074771881103516,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,44,0.9210999608039856,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17/main_network/standard_best_model.pt,0,2,540,16.05226707458496,0.8785491585731506,13.903436660766602,14.714029312133789,15.998088836669922,17.58067512512207,18.470983505249023,16.076290130615234,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,44,0.9210999608039856,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17/main_network/standard_best_model.pt,0,3,180,16.112855911254883,0.7964457273483276,14.25877857208252,14.893011093139648,16.066133499145508,17.41108512878418,18.050357818603516,16.132526397705078,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,44,0.9210999608039856,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_17/main_network/standard_best_model.pt,0,4,60,16.523303985595703,0.8151379227638245,14.837282180786133,15.28121280670166,16.611461639404297,17.608457565307617,18.210721969604492,16.543397903442383,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,45,0.9193999767303468,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18/main_network/standard_best_model.pt,0,1,1620,16.049367904663086,0.8072081804275513,13.985648155212402,14.79661750793457,16.00522232055664,17.370153427124023,18.294347763061523,16.069652557373047,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,45,0.9193999767303468,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18/main_network/standard_best_model.pt,0,2,540,16.06022834777832,0.8571658730506897,14.036181449890137,14.668314933776855,16.04031753540039,17.537750244140625,18.344688415527344,16.083086013793945,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,45,0.9193999767303468,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18/main_network/standard_best_model.pt,0,3,180,16.129764556884766,0.8483853936195374,14.105643272399902,14.696067810058594,16.07855224609375,17.51668930053711,18.53151512145996,16.15205955505371,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,45,0.9193999767303468,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_18/main_network/standard_best_model.pt,0,4,60,16.530193328857422,0.7386996746063232,14.875434875488281,15.491095542907715,16.6567325592041,17.63149642944336,17.9908447265625,16.54669189453125,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,46,0.921999990940094,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19/main_network/standard_best_model.pt,0,1,1620,16.045869827270508,0.8456838130950928,13.655984878540039,14.745485305786133,16.004623413085938,17.449567794799805,18.32612419128418,16.068140029907227,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,46,0.921999990940094,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19/main_network/standard_best_model.pt,0,2,540,16.07265281677246,0.8256304860115051,13.946554183959961,14.782403945922852,16.05844497680664,17.450830459594727,18.161954879760742,16.09384536743164,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,46,0.921999990940094,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19/main_network/standard_best_model.pt,0,3,180,16.137041091918945,0.8774318695068359,14.277647972106934,14.666587829589844,16.138011932373047,17.523679733276367,18.025972366333008,16.160879135131836,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,46,0.921999990940094,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_19/main_network/standard_best_model.pt,0,4,60,16.593128204345703,0.6887090802192688,14.878035545349121,15.522626876831055,16.57646942138672,17.766708374023438,17.820146560668945,16.60741424560547,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_2,mnist,dendritic_shunting,standard,[9],10,44,0.9095999598503112,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_2/main_network/standard_best_model.pt,0,1,180,5.384226322174072,1.0535749197006226,3.042468547821045,3.7879130840301514,5.3976030349731445,7.128296375274658,7.711071968078613,5.4863386154174805,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_20,mnist,dendritic_shunting,local_ca,[9],10,42,0.6635000109672546,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_20/main_network/local_learning_best_model.pt,0,1,180,4.949520587921143,2.3034815788269043,0.9442354440689087,1.723863959312439,4.812767028808594,8.86613941192627,10.35010051727295,5.45928430557251,0.0,0.0,0.0,0.0
