segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction,qc_included
16134,14693,38.4755224818616,0.2230597017557186,358.708,219.4,76.209,242,8,101.48450980783633,0,True,False,0,0.0,0,0.0,648518346349539333,1.1123936340721494,0.0,-7.145617805707607,-7.252131926372168,,True
16260,12423,26.583405357413206,0.21953467186793732,359.149,189.643,85.701,171,7,77.44385082880086,0,True,False,0,0.0,0,0.0,648518346349539333,0.7564262382671788,0.0,-6.77410152300955,-6.494951268559083,,True
16440,16732,1.2413085808826518,0.38729434995170436,359.695,266.23,78.834,8,7,135.1811283160487,2,False,True,0,0.0,0,0.0,648518346349539333,0.6290265868154481,0.0,-8.919294031306729,-8.455712276518788,,True
16706,16715,6.6745079891938595,0.12807719142982257,360.514,216.04,71.61,42,6,97.49205720131772,2,False,True,0,0.0,0,0.0,648518346349539333,3.5279403539556196,0.0,-8.225935579032301,-9.486649810558765,,True
16715,15332,7.023064225104282,0.1366226012882315,360.556,219.883,67.452,46,5,90.81754921212386,2,False,True,0,0.0,0,0.0,648518346349539333,2.4761474415020555,0.0,-7.612697574703082,-8.519401476016663,,True
16732,15106,26.191866233780097,0.2362909092405249,360.598,265.537,79.065,163,6,133.93981973516605,2,False,True,0,0.0,0,0.0,648518346349539333,21.110595852474756,0.0,-8.865251217322346,-11.915026304860719,,True
17756,16706,18.114734467384732,0.10118015655864028,366.1,211.399,86.226,108,7,115.60679166870246,0,True,False,0,0.0,0,0.0,648518346349539333,0.23756374940377276,0.0,-10.663075055582157,-9.225755782599105,,True
17842,16440,46.55514724061915,0.18713977936213033,366.814,305.815,84.294,287,8,181.73627555666786,0,True,False,0,0.0,0,0.0,648518346349539333,1.129241081336699,0.0,-9.346143098209597,-9.46768889586665,,True
18703,8773,83.75708243545458,0.25425440037685865,373.639,228.178,15.204,545,6,123.80234629147931,0,True,False,0,0.0,1,260.0,648518346349539333,3.192108425733419,0.4318936877076412,-4.582556484442794,-5.743238131415056,0.0,True
18760,9918,70.14192878134193,0.10258080547998706,373.996,237.04,0.819,431,9,244.12178494080035,0,True,False,0,0.0,0,0.0,648518346349539333,0.9326026829592622,0.0,-12.648532388750711,-12.578756370998256,,True
18864,13591,61.72680873354458,0.27469079712577693,375.508,176.581,1.806,375,6,100.34421176618056,0,True,False,1,81.0,0,0.0,648518346349539333,2.332263526780387,0.0,-5.848785404414433,-6.695624671140945,,True
18911,13591,28.706810878573876,0.3060500195514959,376.222,181.789,53.844,173,6,67.32421391120987,2,False,True,0,0.0,0,0.0,648518346349539333,2.2019417093641103,0.0,-4.866996553601675,-5.656336119873358,,True
19069,12006,55.09814348412898,0.25915254626745376,378.07,172.108,1.659,347,5,87.86693750022408,0,True,False,0,0.0,0,0.0,648518346349539333,1.8507395145538998,0.0,-5.130564069229113,-5.7461493660422605,,True
19443,14203,78.93337860057106,0.12456177752385816,383.845,189.979,61.173,482,7,196.1805393639866,2,False,True,0,0.0,0,0.0,648518346349539333,1.4620947099015653,0.0,-13.196560845047784,-13.57643098533159,,True
20163,13176,79.65756870664674,0.2587126048248869,391.342,217.468,1.827,487,6,124.58432060612228,0,True,False,0,0.0,0,0.0,648518346349539333,2.6711451427391943,0.0,-4.327734446915205,-5.3102417197909855,,True
20676,19443,60.66018818037226,0.11696388032930251,398.188,153.376,57.96,342,8,256.84072754435886,0,True,False,0,0.0,0,0.0,648518346349539333,0.9196199254783417,0.0,-15.671493137127282,-15.587698318348739,,True
20769,18911,71.50599595213319,0.2451613719324483,399.469,228.178,66.507,453,7,138.83020986334304,0,True,False,0,0.0,0,0.0,648518346349539333,2.272204180673834,0.0,-6.435789007511977,-7.2565393725873,,True
20982,21279,17.846354808387648,0.13500174762686828,402.241,298.57,0.819,109,8,334.6639272908118,0,True,False,0,0.0,0,0.0,648518346349539333,0.3122782703403603,0.0,-12.31748412080194,-11.153623524246385,,True
21279,15667,219.73096034174765,0.12798132425753192,407.029,300.922,14.616,1375,7,316.8175724824241,2,False,True,0,0.0,0,0.0,648518346349539333,4.2825174117296365,0.0,-10.27821438500189,-11.732755401996018,,True
21370,18911,50.054814845627064,0.23548797490841558,408.205,191.029,67.221,327,7,117.37902875683693,0,True,False,0,0.0,0,0.0,648518346349539333,1.527803307175853,0.0,-6.159640012661352,-6.583470969449568,,True
23541,12346,127.0717803163028,0.2704523377054569,449.05,176.875,76.797,796,7,162.52448771959166,0,True,False,0,0.0,0,0.0,648518346349539333,4.454435818901948,0.0,-9.769990106386402,-11.26389051931254,,True
23821,16078,139.76570724273046,0.12457147743430133,459.781,177.358,54.726,879,8,240.69785451803418,0,True,False,0,0.0,0,0.0,648518346349539333,2.256690981502916,0.0,-10.33100443125688,-11.14490400412385,,True
23948,21279,116.429997818776,0.13091063656816407,464.884,230.047,30.009,719,8,433.2475703012001,0,True,False,0,0.0,0,0.0,648518346349539333,1.9755711509183176,0.0,-14.25452065499837,-14.935378201882378,,True
23999,19443,101.51466039471367,0.10967271157990702,471.772,198.001,72.639,664,8,297.69519975870026,0,True,False,0,0.0,0,0.0,648518346349539333,1.4430460782702168,0.0,-16.315137939361936,-16.68189415091704,,True
10616,-1,0.0,7.5,306.796,203.671,66.507,1,0,0.0,9,False,True,0,0.0,0,0.0,648518346349531254,149.72035096306075,0.0,0.0,-5.008769227162928,,True
1,7305,110.72897405399112,0.11300172538260132,194.677,241.261,81.984,674,4,191.1019510621444,0,True,False,0,0.0,0,0.0,648518346349531254,1.4911388420374312,0.0,-10.555308407156495,-10.954848558682452,,True
121,6684,107.63603467532363,0.10821453899060228,212.128,179.206,34.02,634,4,172.29887017533798,0,True,False,0,0.0,0,0.0,648518346349531254,1.3880817234703342,0.0,-9.917615798424489,-10.245538537356758,,True
283,2922,68.0890540729386,0.2485252573480495,222.481,211.693,70.707,440,4,141.93514301667724,0,True,False,0,0.0,0,0.0,648518346349531254,2.0165990832539977,0.0,-6.2647421065683835,-6.966154576945436,,True
391,2922,61.492965267312286,0.20415526220270863,225.568,183.763,80.493,375,4,135.33905421105095,0,True,False,1,512.0,1,176.0,648518346349531254,2.9852675811544316,0.38095238095238093,-6.5561757938631295,-7.64986517861788,0.08051580437175657,True
466,1447,23.22476859912593,0.19135431211187126,227.164,227.695,2.142,153,6,200.86921831478662,0,True,False,0,0.0,0,0.0,648518346349531254,0.5296163469281822,0.0,-12.306624832460926,-11.67102242418146,,True
476,4290,74.44987326776706,0.2445325337124842,227.395,184.12,0.861,496,3,133.05360860286405,0,True,False,1,69.0,0,0.0,648518346349531254,2.3189140356735845,0.0,-7.047790378488588,-7.888889366507655,,True
1447,5765,91.11205269794391,0.11404581201635909,246.253,224.986,8.064,548,5,177.6444497156607,2,False,True,0,0.0,0,0.0,648518346349531254,3.6306316618505554,0.0,-10.513457353173896,-11.802863997841484,,True
1881,8381,55.22326944105829,0.3023014506880652,253.54,149.47,86.079,346,2,116.1287272248995,0,True,False,0,0.0,0,0.0,648518346349531254,1.9894548104360348,0.0,-4.977201394506585,-5.66506203110282,,True
1902,1447,10.121620082083277,0.21730548701852456,253.813,220.198,8.715,64,6,187.76606979774397,2,False,True,0,0.0,0,0.0,648518346349531254,3.421192294868193,0.0,-11.221724467440291,-12.451713581989964,,True
2004,8504,49.07718815094798,0.20671312549682144,254.632,171.73,42.504,310,6,109.1492509541199,0,True,False,1,231.0,0,0.0,648518346349531254,1.7089809511625258,0.0,-6.950732156868183,-7.48662941475024,,True
2031,1902,2.6501804244307117,0.08605753770363217,254.926,219.379,10.374,20,7,190.41625022217468,0,True,False,0,0.0,0,0.0,648518346349531254,0.1,0.0,-12.383104080200383,-10.080518987206338,,True
2546,2553,2.70276984439848,0.07980838236400621,261.268,215.788,13.23,16,8,201.47741101284197,0,True,False,0,0.0,0,0.0,648518346349531254,0.1,0.0,-13.028072152978305,-10.72548705998426,,True
2553,1902,11.008571370699501,0.24490051585029776,261.331,214.591,11.487,77,7,198.77464116844348,2,False,True,0,0.0,0,0.0,648518346349531254,3.356096287579807,0.0,-11.715478633279576,-12.92625711264691,,True
2896,6932,36.594700431336136,0.2725524788460552,265.573,148.63,22.659,222,8,110.6996494365634,0,True,False,0,0.0,0,0.0,648518346349531254,1.1886118755785107,0.0,-6.014081697637485,-6.186867832770127,,True
2922,4290,15.242353608641656,0.2973564848375878,265.783,183.364,47.271,102,3,73.84608894373865,2,False,True,0,0.0,0,0.0,648518346349531254,1.1475669210129547,0.0,-5.070575611398222,-5.208219591615838,,True
3145,3295,3.14582569290448,0.14098571748809108,268.828,208.732,12.012,22,9,214.43423981918076,0,True,False,0,0.0,0,0.0,648518346349531254,0.1,0.0,-12.705594964996424,-10.403009872002379,,True
3295,2553,12.513772957832801,0.2638160252608082,270.256,208.522,13.734,75,8,211.28841412627628,2,False,True,0,0.0,0,0.0,648518346349531254,4.139863104727355,0.0,-12.169378021654046,-13.590040742453583,,True
3554,5218,30.648890176768703,0.2827874992681224,272.356,183.406,1.68,203,9,114.3714117234332,0,True,False,1,167.0,0,0.0,648518346349531254,1.3943443096681678,0.0,-5.312968805985067,-5.645393081848473,,True
3740,7249,28.41873456187146,0.2834540529114759,274.204,153.229,2.835,177,8,113.844204489997,0,True,False,0,0.0,0,0.0,648518346349531254,0.9599732669952609,0.0,-6.473731397557212,-6.432881555769288,,True
3852,5218,21.34105108950188,0.30268983723468035,275.191,166.123,0.84,130,9,105.06357263616638,0,True,False,0,0.0,0,0.0,648518346349531254,0.7698132427132844,0.0,-4.814979028645837,-4.553371693162579,,True
4088,3295,10.725031049827415,0.1925425700683524,277.396,207.262,19.53,65,9,222.0134451761037,2,False,True,0,0.0,0,0.0,648518346349531254,4.800500449698066,0.0,-13.308781564427305,-14.87750173726018,,True
