task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,penalized_test_loss,weight_norm
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,3.6552890949209624e-32,0.08389934725857585,0.9999999999999999
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,256,3.558614391577773e-32,0.015270775830004437,1.0823922002923938
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,256,3.766911687486345e-32,0.02527077583000444,1.0447983954177251
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,256,3.4377474083803866e-32,0.04527077583000444,1.0416581998273753
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,256,3.6552890949209624e-32,0.08527077583000443,0.9999999999999999
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,256,3.558614391577773e-32,0.015119400649468854,1.0823922002923938
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,256,4.05333440424923e-32,0.025119400649468854,1.0822281018742341
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,256,3.565766576752756e-32,0.04511940064946885,1.0734033123774844
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,256,3.6552890949209624e-32,0.08511940064946887,0.9999999999999999
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,256,3.558614391577773e-32,0.015072031823156789,1.0823922002923938
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,256,3.431127685412128e-32,0.025072031823156787,1.0665454235340797
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,256,4.0719231943685536e-32,0.045072031823156784,1.047098921275205
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,256,3.6552890949209624e-32,0.0850720318231568,0.9999999999999999
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,256,3.558614391577773e-32,0.018000000000000002,1.0823922002923938
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,256,4.5445715465453454e-32,0.027999999999999997,1.0819180735422491
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,256,3.5389552312000793e-32,0.048,1.0389836748929542
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,comb_contiguous_k8,comb_contiguous,comb,8,1.1,1.0,1.0,64,64,64,256,3.6552890949209624e-32,0.08800000000000001,0.9999999999999999
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,16,0.0019477704375243463,0.015847117696100213,1.4074832133850053
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,16,0.0017116926688338753,0.025611039927409738,1.3981633431841465
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,16,0.0016752376276522158,0.045574584886228085,1.3966145583696243
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,16,0.001050884011504709,0.08495023127008057,1.3634709458975458
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,joint_forward_feedback,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,16,0.000631224793112652,0.01590200062311709,1.3284466271735413
