structure,optimizer,rule,step,mean,ci95_low,ci95_high,n_seeds
compatible,adam,subtree_projection,256,0.8512889020063739,0.8108857815395268,0.8871405618445243,20
compatible,adam,subtree_projection,1024,0.8535364994805809,0.8179486628375151,0.8882366949052088,20
compatible,sgd,broadcast,0,0.30445616694878747,0.18085116753632674,0.42517842066703654,20
compatible,sgd,broadcast,1,0.30237706761932337,0.1800709437584446,0.4207275731498894,20
compatible,sgd,broadcast,16,0.36805826696611715,0.29424913860508406,0.44242203748455083,20
compatible,sgd,broadcast,64,0.4535756439142891,0.38572770228248826,0.5191208906545194,20
compatible,sgd,broadcast,256,0.6212365134695965,0.5590213562753565,0.6781486363695448,20
compatible,sgd,broadcast,1024,0.6233829328580124,0.5837833470182818,0.6633472005587158,20
compatible,sgd,exact,0,1.0,1.0,1.0,20
compatible,sgd,exact,1,1.0,1.0,1.0,20
compatible,sgd,exact,16,1.0,1.0,1.0,20
compatible,sgd,exact,64,1.0,1.0,1.0,20
compatible,sgd,exact,256,1.0,1.0,1.0,20
compatible,sgd,exact,1024,1.0,1.0,1.0,20
compatible,sgd,global_projection,0,0.6907681078059295,0.6398188331288497,0.7381105487497662,20
compatible,sgd,global_projection,1,0.6932807357679536,0.6427272755628497,0.7402215675482237,20
compatible,sgd,global_projection,16,0.7136332865430489,0.6654073037193609,0.7600076170299569,20
compatible,sgd,global_projection,64,0.6784232389914404,0.6423046094900648,0.7149982772823835,20
compatible,sgd,global_projection,256,0.5520406425178607,0.5023882439377888,0.5961056850115949,20
compatible,sgd,global_projection,1024,0.5815961488964461,0.49845894078757613,0.6624850622398724,20
compatible,sgd,shuffled_projection,0,0.7837060183492105,0.7538768688502294,0.811926855979169,20
compatible,sgd,shuffled_projection,1,0.7853427144225634,0.7556108491058463,0.8134561195097296,20
compatible,sgd,shuffled_projection,16,0.7922608214613643,0.7616675706400565,0.8231402951801328,20
compatible,sgd,shuffled_projection,64,0.7403325271864876,0.706842068747152,0.776809414513308,20
compatible,sgd,shuffled_projection,256,0.6450223765768295,0.5937313724420565,0.6951630842765159,20
compatible,sgd,shuffled_projection,1024,0.6525492551402097,0.5849115899850162,0.7159719149105123,20
compatible,sgd,subtree_projection,0,0.79613429860792,0.74641807891917,0.8414739021374905,20
compatible,sgd,subtree_projection,1,0.798385022498507,0.7489307778944171,0.8433304724212216,20
compatible,sgd,subtree_projection,16,0.8128881452594182,0.7698934140541717,0.8530747471937227,20
compatible,sgd,subtree_projection,64,0.7831301621292319,0.7473826140600268,0.8176677198034077,20
compatible,sgd,subtree_projection,256,0.674574538389516,0.624456347715061,0.7196509359613708,20
compatible,sgd,subtree_projection,1024,0.6208535723730133,0.5239159241065587,0.7190389751667184,20
