family,structure,optimizer,rule,mean,ci95_low,ci95_high,n_seeds
quartet,assignment_shuffled,sgd,shuffled_projection,0.9937765285028783,0.9177849747826945,1.0478560658413243,20
quartet,assignment_shuffled,sgd,subtree_projection,0.9621088409141751,0.8770854655560589,1.0317095579049977,20
quartet,compatible,adam,broadcast,0.9911320999755256,0.9410435150295019,1.0304654061016134,20
quartet,compatible,adam,exact,0.04945400643206307,0.04700540981827738,0.05342373449180764,20
quartet,compatible,adam,global_projection,0.36665467491620485,0.20866836597878285,0.5403628420808706,20
quartet,compatible,adam,shuffled_projection,0.21399092599605413,0.07687358700593072,0.37364238203438227,20
quartet,compatible,adam,subtree_projection,0.2024216024735496,0.11752476712845754,0.2927341875504514,20
quartet,compatible,sgd,broadcast,0.9971533701662345,0.9333362113651157,1.0405669022265724,20
quartet,compatible,sgd,exact,0.3928073620213388,0.24371574018398348,0.5467786361473056,20
quartet,compatible,sgd,global_projection,0.931350451059145,0.7624038335160251,1.1490004765957116,20
quartet,compatible,sgd,shuffled_projection,0.645044521993705,0.5006183492149893,0.7927015521756128,20
quartet,compatible,sgd,subtree_projection,0.6655773425411666,0.5411958869222184,0.7894837661357853,20
