family,calibration_rows,calibration_noise_sd,policy,seed_count,mean_test_nmse,mean_regret,regret_ci_low,regret_ci_high
matching,256,0.0,estimated_cut,20,0.3050337895058179,0.02179937104003885,0.006796685446645459,0.04008315225995954
matching,256,0.0,fixed_balanced,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,256,0.0,fixed_comb,20,0.653389142718616,0.370154724252837,0.30568006612113724,0.4341271742095271
matching,256,0.0,fixed_mixed,20,0.5523316050368023,0.2690971865710233,0.20115394694455105,0.33513562689555115
matching,256,0.0,observed_rank_only,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,256,0.0,oracle_best_trained_menu,20,0.283234418465779,0.0,0.0,0.0
matching,256,0.0,oracle_full_target_cut,20,0.2983705889813168,0.015136170515537738,0.004079516901408969,0.028483706298633896
matching,256,0.0,two_sweep_pilot,20,0.328328413748023,0.04509399528224392,0.01180791682793658,0.08757359434127568
matching,256,0.0,uniform_random_expectation,20,0.5479177102834395,0.2646832918176604,0.2220832294800143,0.3096205667629319
matching,256,0.5,development_best_fixed,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,256,0.5,estimated_adaptive_dp,20,0.00132163723851346,-0.2819127812272656,-0.3401872801102495,-0.22354492888106797
matching,256,0.5,estimated_cut,20,0.2995111874948065,0.0162767690290274,0.004879503686270192,0.029425788323407826
matching,256,0.5,fixed_balanced,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,256,0.5,fixed_comb,20,0.653389142718616,0.370154724252837,0.30568006612113724,0.4341271742095271
matching,256,0.5,fixed_mixed,20,0.5523316050368023,0.2690971865710233,0.20115394694455105,0.33513562689555115
matching,256,0.5,observed_rank_only,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,256,0.5,oracle_adaptive_dp,20,0.0012785131639100502,-0.28195590530186904,-0.34018600910244245,-0.22359833079849917
matching,256,0.5,oracle_best_trained_menu,20,0.283234418465779,0.0,0.0,0.0
matching,256,0.5,oracle_full_target_cut,20,0.2983705889813168,0.015136170515537738,0.004079516901408969,0.028483706298633896
matching,256,0.5,two_sweep_pilot,20,0.29969992440757376,0.016465505941794717,0.005228382441038451,0.029160104891610337
matching,256,0.5,uniform_random_expectation,20,0.5479177102834395,0.2646832918176604,0.2220832294800143,0.3096205667629319
matching,1024,0.0,development_best_fixed,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.0,estimated_cut,20,0.2983705889813168,0.015136170515537738,0.004079516901408969,0.028483706298633896
matching,1024,0.0,fixed_balanced,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.0,fixed_comb,20,0.653389142718616,0.370154724252837,0.30568006612113724,0.4341271742095271
matching,1024,0.0,fixed_mixed,20,0.5523316050368023,0.2690971865710233,0.20115394694455105,0.33513562689555115
matching,1024,0.0,observed_rank_only,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.0,oracle_best_trained_menu,20,0.283234418465779,0.0,0.0,0.0
matching,1024,0.0,oracle_full_target_cut,20,0.2983705889813168,0.015136170515537738,0.004079516901408969,0.028483706298633896
matching,1024,0.0,two_sweep_pilot,20,0.30000051014592055,0.016766091680141447,0.0003776435559131097,0.04307880914704721
matching,1024,0.0,uniform_random_expectation,20,0.5479177102834395,0.2646832918176604,0.2220832294800143,0.3096205667629319
matching,1024,0.5,development_best_fixed,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.5,estimated_cut,20,0.30592017160560714,0.02268575313982809,0.007624859609357381,0.04071473553387627
matching,1024,0.5,fixed_balanced,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.5,fixed_comb,20,0.653389142718616,0.370154724252837,0.30568006612113724,0.4341271742095271
matching,1024,0.5,fixed_mixed,20,0.5523316050368023,0.2690971865710233,0.20115394694455105,0.33513562689555115
matching,1024,0.5,observed_rank_only,20,0.5228060784430413,0.23957165997726207,0.1721300274818263,0.3070169029819186
matching,1024,0.5,oracle_best_trained_menu,20,0.283234418465779,0.0,0.0,0.0
matching,1024,0.5,oracle_full_target_cut,20,0.2983705889813168,0.015136170515537738,0.004079516901408969,0.028483706298633896
matching,1024,0.5,two_sweep_pilot,20,0.31338607309144884,0.03015165462566976,0.0028627901704205245,0.06712907140591846
matching,1024,0.5,uniform_random_expectation,20,0.5479177102834395,0.2646832918176604,0.2220832294800143,0.3096205667629319
nested_prefix,64,0.0,development_best_fixed,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,64,0.0,estimated_cut,20,0.3558493942075178,0.007795752906878542,8.262097663655766e-05,0.022811032965571836
nested_prefix,64,0.0,fixed_balanced,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,64,0.0,fixed_comb,20,0.5855960941680121,0.2375424528673728,0.18490293450842413,0.2857537669545004
nested_prefix,64,0.0,fixed_mixed,20,0.5996267585840368,0.2515731172833976,0.18214745740876867,0.3266765698590616
nested_prefix,64,0.0,observed_rank_only,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
