family,calibration_rows,calibration_noise_sd,policy,mean_test_nmse,ci95_low,ci95_high,n_seeds
all,256,0.0,two_sweep_pilot,0.41841884742314617,0.385140302614483,0.4512530168232747,20
all,256,0.0,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
all,256,0.5,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.5,estimated_adaptive_dp,0.07086462947142035,0.05353761102088134,0.09079426993243539,20
all,256,0.5,estimated_cut,0.36415226087571445,0.32982206265778113,0.39950058739750083,20
all,256,0.5,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.5,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,256,0.5,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,256,0.5,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.5,oracle_adaptive_dp,0.06171923365269971,0.05013918749038829,0.07295983609888457,20
all,256,0.5,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,256,0.5,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
all,256,0.5,two_sweep_pilot,0.4240224872443192,0.39523391805689495,0.45367218243855084,20
all,256,0.5,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
all,1024,0.0,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.0,estimated_cut,0.3583682240045214,0.32934595307232334,0.38565447549567866,20
all,1024,0.0,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.0,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,1024,0.0,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,1024,0.0,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.0,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,1024,0.0,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
all,1024,0.0,two_sweep_pilot,0.4051683751309502,0.37542444334119246,0.43659326067188015,20
all,1024,0.0,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
all,1024,0.5,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.5,estimated_cut,0.37017871399358276,0.3383345934954837,0.4012679662681445,20
all,1024,0.5,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.5,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,1024,0.5,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,1024,0.5,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,1024,0.5,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,1024,0.5,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
all,1024,0.5,two_sweep_pilot,0.400930170918029,0.3747885289921606,0.42929112638652667,20
all,1024,0.5,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
matching,64,0.0,development_best_fixed,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.0,estimated_cut,0.2983705889813168,0.23432476055733212,0.36124955881227727,20
matching,64,0.0,fixed_balanced,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.0,fixed_comb,0.653389142718616,0.604594659901236,0.6996397105048601,20
matching,64,0.0,fixed_mixed,0.5523316050368023,0.4781177073163302,0.6194451424403262,20
matching,64,0.0,observed_rank_only,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.0,oracle_best_trained_menu,0.283234418465779,0.22405743783695029,0.3415068044859535,20
matching,64,0.0,oracle_full_target_cut,0.2983705889813168,0.23432476055733212,0.36124955881227727,20
matching,64,0.0,two_sweep_pilot,0.45329094459900077,0.3618297933934278,0.5374863640748861,20
matching,64,0.0,uniform_random_expectation,0.5479177102834395,0.5202397710132015,0.5739460904559822,20
matching,64,0.5,development_best_fixed,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.5,estimated_cut,0.29594919094770916,0.23292384646180456,0.357262324346222,20
matching,64,0.5,fixed_balanced,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.5,fixed_comb,0.653389142718616,0.604594659901236,0.6996397105048601,20
matching,64,0.5,fixed_mixed,0.5523316050368023,0.4781177073163302,0.6194451424403262,20
matching,64,0.5,observed_rank_only,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,64,0.5,oracle_best_trained_menu,0.283234418465779,0.22405743783695029,0.3415068044859535,20
matching,64,0.5,oracle_full_target_cut,0.2983705889813168,0.23432476055733212,0.36124955881227727,20
matching,64,0.5,two_sweep_pilot,0.4000132949174171,0.30790808366615025,0.49060035815692404,20
matching,64,0.5,uniform_random_expectation,0.5479177102834395,0.5202397710132015,0.5739460904559822,20
matching,256,0.0,development_best_fixed,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,256,0.0,estimated_cut,0.3050337895058179,0.23743362273580648,0.3734507705236353,20
matching,256,0.0,fixed_balanced,0.5228060784430413,0.4492521097830448,0.584409168840043,20
matching,256,0.0,fixed_comb,0.653389142718616,0.604594659901236,0.6996397105048601,20
