seed,family,calibration_rows,calibration_noise_sd,observed_rank995,oracle_menu_test_nmse,label_queries,policy,selected_candidate,test_nmse,regret,exact_population_nmse
820924,quartet,64,0.0,8,0.2321953735928988,64,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,64,0.0,8,0.2321953735928988,64,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,64,0.0,8,0.2321953735928988,64,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,64,0.0,8,0.2321953735928988,64,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,64,0.0,8,0.2321953735928988,64,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,quartet,64,0.5,8,0.2321953735928988,64,estimated_cut,balanced_p1,0.2332758083524787,0.0010804347595798902,0.2351173674101326
820924,quartet,64,0.5,8,0.2321953735928988,64,two_sweep_pilot,mixed_p3,0.2352935422513001,0.00309816865840129,0.2350976958387132
820924,quartet,64,0.5,8,0.2321953735928988,64,development_best_fixed,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,64,0.5,8,0.2321953735928988,64,observed_rank_only,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,64,0.5,8,0.2321953735928988,64,fixed_balanced,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,64,0.5,8,0.2321953735928988,64,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,64,0.5,8,0.2321953735928988,64,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,64,0.5,8,0.2321953735928988,64,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,64,0.5,8,0.2321953735928988,64,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,64,0.5,8,0.2321953735928988,64,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,quartet,256,0.0,8,0.2321953735928988,256,estimated_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.0,8,0.2321953735928988,256,two_sweep_pilot,comb_p1,0.2330327463961113,0.0008373728032124994,0.2342164188423284
820924,quartet,256,0.0,8,0.2321953735928988,256,development_best_fixed,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.0,8,0.2321953735928988,256,observed_rank_only,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.0,8,0.2321953735928988,256,fixed_balanced,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.0,8,0.2321953735928988,256,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,256,0.0,8,0.2321953735928988,256,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,256,0.0,8,0.2321953735928988,256,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.0,8,0.2321953735928988,256,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,256,0.0,8,0.2321953735928988,256,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,quartet,256,0.5,8,0.2321953735928988,256,estimated_cut,balanced_p2,0.2339637491677043,0.0017683755748054975,0.2350932544678363
820924,quartet,256,0.5,8,0.2321953735928988,256,two_sweep_pilot,comb_p1,0.2330327463961113,0.0008373728032124994,0.2342164188423284
820924,quartet,256,0.5,8,0.2321953735928988,256,development_best_fixed,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.5,8,0.2321953735928988,256,observed_rank_only,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.5,8,0.2321953735928988,256,fixed_balanced,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.5,8,0.2321953735928988,256,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,256,0.5,8,0.2321953735928988,256,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,256,0.5,8,0.2321953735928988,256,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,256,0.5,8,0.2321953735928988,256,estimated_adaptive_dp,estimated_adaptive_dp,0.0010152420682915,-0.23118013152460729,0.0010443430754478
820924,quartet,256,0.5,8,0.2321953735928988,256,oracle_adaptive_dp,oracle_adaptive_dp,0.0009735984510539,-0.2312217751418449,0.0010206831607097
820924,quartet,256,0.5,8,0.2321953735928988,256,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,256,0.5,8,0.2321953735928988,256,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,quartet,1024,0.0,8,0.2321953735928988,1024,estimated_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.0,8,0.2321953735928988,1024,two_sweep_pilot,comb_p3,0.7792186989217957,0.547023325328897,0.7773335299278834
820924,quartet,1024,0.0,8,0.2321953735928988,1024,development_best_fixed,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.0,8,0.2321953735928988,1024,observed_rank_only,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.0,8,0.2321953735928988,1024,fixed_balanced,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.0,8,0.2321953735928988,1024,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,1024,0.0,8,0.2321953735928988,1024,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,1024,0.0,8,0.2321953735928988,1024,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.0,8,0.2321953735928988,1024,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,1024,0.0,8,0.2321953735928988,1024,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,quartet,1024,0.5,8,0.2321953735928988,1024,estimated_cut,mixed_p1,0.2329589772518744,0.0007636036589755979,0.2342056651489774
820924,quartet,1024,0.5,8,0.2321953735928988,1024,two_sweep_pilot,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,1024,0.5,8,0.2321953735928988,1024,development_best_fixed,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.5,8,0.2321953735928988,1024,observed_rank_only,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.5,8,0.2321953735928988,1024,fixed_balanced,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.5,8,0.2321953735928988,1024,fixed_comb,comb_p0,0.2328623664866777,0.0006669928937789171,0.2339174111985977
820924,quartet,1024,0.5,8,0.2321953735928988,1024,fixed_mixed,mixed_p0,0.2333084824463141,0.0011131088534153122,0.2339325093881957
820924,quartet,1024,0.5,8,0.2321953735928988,1024,oracle_full_target_cut,balanced_p0,0.23304476106552,0.0008493874726211992,0.2344200785787417
820924,quartet,1024,0.5,8,0.2321953735928988,1024,uniform_random_expectation,exact_expectation,0.27884066521675643,0.04664529162385764,0.2797066330234876
820924,quartet,1024,0.5,8,0.2321953735928988,1024,oracle_best_trained_menu,comb_p2,0.2321953735928988,0.0,0.2339048937903229
820924,nested_prefix,64,0.0,8,0.1931549514320712,64,estimated_cut,mixed_p3,0.1931549514320712,0.0,0.1955119540922522
