root_id,alignment,method,credit_capture,one_step_progress,iterative_progress
864691135060651419,0.2,ancestry-shuffled paths,0.06433379206098773,0.20911871446369362,0.060985832849314414
864691135196576298,0.2,ancestry-shuffled paths,0.3404643424531074,0.5486313739651911,0.3472349445665514
864691135277186789,0.2,ancestry-shuffled paths,0.09121533029935781,0.2596518824516592,0.08574356606004299
864691135324623260,0.2,ancestry-shuffled paths,0.22060327716730926,0.432212592262017,0.21863627694214652
864691135409937097,0.2,ancestry-shuffled paths,0.11773339421225704,0.3009486168297727,0.1114629718438314
864691135739661169,0.2,ancestry-shuffled paths,0.24364308098323467,0.4566212159861124,0.23404934793593735
864691135810666525,0.2,ancestry-shuffled paths,0.07308049132618455,0.22739230927526552,0.07061738973141445
864691136043380566,0.2,ancestry-shuffled paths,0.14419262876760802,0.3404301196132712,0.14333130199278446
864691135060651419,0.2,depth bins,0.0708051741002299,0.2226280108163175,0.06425754590077261
864691135196576298,0.2,depth bins,0.37468813596907213,0.5814092579192609,0.3604552552162901
864691135277186789,0.2,depth bins,0.0989157315860805,0.27275625832407197,0.09019569833448891
864691135324623260,0.2,depth bins,0.23137343604525512,0.4442176314989846,0.21343009131041982
864691135409937097,0.2,depth bins,0.12097414373318563,0.3073337259384382,0.11218489111392756
864691135739661169,0.2,depth bins,0.245087365173023,0.458787395682209,0.22778213322446783
864691135810666525,0.2,depth bins,0.0819127486598101,0.24340100567965028,0.07503148614090108
864691136043380566,0.2,depth bins,0.15241481522929493,0.3508390759539838,0.13983414652832307
864691135060651419,0.2,morphology-selected paths,0.20000000000000004,0.42140776072322683,0.1955278450350269
864691135196576298,0.2,morphology-selected paths,0.2,0.420130593933324,0.19780455295954485
864691135277186789,0.2,morphology-selected paths,0.19999999999999998,0.42064854646554706,0.18668462259308916
864691135324623260,0.2,morphology-selected paths,0.2,0.42095288923773155,0.19790408622499267
864691135409937097,0.2,morphology-selected paths,0.19999999999999996,0.4202826031415339,0.19132736489776278
864691135739661169,0.2,morphology-selected paths,0.20000000000000004,0.4206277429433908,0.1957523052828412
864691135810666525,0.2,morphology-selected paths,0.2,0.4211588145592143,0.1927304488323841
864691136043380566,0.2,morphology-selected paths,0.2000000000000001,0.4208938899193099,0.19565949465148408
864691135060651419,0.2,random paths,0.0738060678825503,0.22784443247371397,0.07167382483294979
864691135196576298,0.2,random paths,0.33328867969777987,0.54297663997027,0.3269409357368434
864691135277186789,0.2,random paths,0.10118229639195844,0.27684639187008286,0.09888439908818483
864691135324623260,0.2,random paths,0.22420898785919707,0.43494913370782207,0.21438789716161724
864691135409937097,0.2,random paths,0.1257226956549234,0.3125289578204681,0.11896431861918082
864691135739661169,0.2,random paths,0.22674505611028084,0.44011287330070176,0.2243545848112897
864691135810666525,0.2,random paths,0.08454932601243098,0.24824621319235501,0.08425952788174695
864691136043380566,0.2,random paths,0.1556760011699628,0.35535140997373527,0.14967721043713064
864691135060651419,0.4,ancestry-shuffled paths,0.0673040386382677,0.21236426292073834,0.06378987609113147
864691135196576298,0.4,ancestry-shuffled paths,0.35119814555538065,0.5610764234484205,0.35475693948796205
864691135277186789,0.4,ancestry-shuffled paths,0.10409357125648178,0.28016156573999484,0.09801909253878957
864691135324623260,0.4,ancestry-shuffled paths,0.2309096903677919,0.4426055955478791,0.22801992934592197
864691135409937097,0.4,ancestry-shuffled paths,0.13286967034315703,0.31995168010308866,0.12560127644363506
864691135739661169,0.4,ancestry-shuffled paths,0.25821647670274916,0.47149696047768375,0.2476454299902521
864691135810666525,0.4,ancestry-shuffled paths,0.07862306017428541,0.23497257630382187,0.0755824876660111
864691136043380566,0.4,ancestry-shuffled paths,0.15029189919039984,0.3462373711861418,0.14907489059786866
864691135060651419,0.4,depth bins,0.08285727119603822,0.24287665892525187,0.07503940225543779
864691135196576298,0.4,depth bins,0.381487386935485,0.5880764047433212,0.3662599322939235
864691135277186789,0.4,depth bins,0.1244106254776649,0.3113178944072935,0.11351204482468927
