root_id,stream,method,requested_channels,effective_rank,wiring_nonzeros,n_weighted_coordinates
864691135277186789,14,ancestry-shuffled paths,8,8,90,95
864691135277186789,15,morphology-selected paths,8,8,90,95
864691135277186789,15,random paths,8,8,21,95
864691135277186789,15,depth bins,8,8,95,95
864691135277186789,15,ancestry-shuffled paths,8,8,90,95
864691135277186789,16,morphology-selected paths,8,8,90,95
864691135277186789,16,random paths,8,8,34,95
864691135277186789,16,depth bins,8,8,95,95
864691135277186789,16,ancestry-shuffled paths,8,8,90,95
864691135277186789,17,morphology-selected paths,8,8,90,95
864691135277186789,17,random paths,8,8,29,95
864691135277186789,17,depth bins,8,8,95,95
864691135277186789,17,ancestry-shuffled paths,8,8,90,95
864691135277186789,18,morphology-selected paths,8,8,90,95
864691135277186789,18,random paths,8,8,19,95
864691135277186789,18,depth bins,8,8,95,95
864691135277186789,18,ancestry-shuffled paths,8,8,90,95
864691135277186789,19,morphology-selected paths,8,8,90,95
864691135277186789,19,random paths,8,8,68,95
864691135277186789,19,depth bins,8,8,95,95
864691135277186789,19,ancestry-shuffled paths,8,8,90,95
864691135277186789,20,morphology-selected paths,8,8,90,95
864691135277186789,20,random paths,8,8,53,95
864691135277186789,20,depth bins,8,8,95,95
864691135277186789,20,ancestry-shuffled paths,8,8,90,95
864691135277186789,21,morphology-selected paths,8,8,90,95
864691135277186789,21,random paths,8,8,87,95
864691135277186789,21,depth bins,8,8,95,95
864691135277186789,21,ancestry-shuffled paths,8,8,90,95
864691135277186789,22,morphology-selected paths,8,8,90,95
864691135277186789,22,random paths,8,8,161,95
864691135277186789,22,depth bins,8,8,95,95
864691135277186789,22,ancestry-shuffled paths,8,8,90,95
864691135277186789,23,morphology-selected paths,8,8,90,95
864691135277186789,23,random paths,8,8,34,95
864691135277186789,23,depth bins,8,8,95,95
864691135277186789,23,ancestry-shuffled paths,8,8,90,95
864691135277186789,24,morphology-selected paths,8,8,90,95
864691135277186789,24,random paths,8,8,14,95
864691135277186789,24,depth bins,8,8,95,95
864691135277186789,24,ancestry-shuffled paths,8,8,90,95
864691135277186789,25,morphology-selected paths,8,8,90,95
864691135277186789,25,random paths,8,8,24,95
864691135277186789,25,depth bins,8,8,95,95
864691135277186789,25,ancestry-shuffled paths,8,8,90,95
864691135277186789,26,morphology-selected paths,8,8,90,95
864691135277186789,26,random paths,8,8,8,95
864691135277186789,26,depth bins,8,8,95,95
864691135277186789,26,ancestry-shuffled paths,8,8,90,95
864691135277186789,27,morphology-selected paths,8,8,90,95
864691135277186789,27,random paths,8,8,16,95
864691135277186789,27,depth bins,8,8,95,95
864691135277186789,27,ancestry-shuffled paths,8,8,90,95
864691135277186789,28,morphology-selected paths,8,8,90,95
864691135277186789,28,random paths,8,8,32,95
864691135277186789,28,depth bins,8,8,95,95
864691135277186789,28,ancestry-shuffled paths,8,8,90,95
864691135277186789,29,morphology-selected paths,8,8,90,95
864691135277186789,29,random paths,8,8,140,95
864691135277186789,29,depth bins,8,8,95,95
864691135277186789,29,ancestry-shuffled paths,8,8,90,95
864691135277186789,30,morphology-selected paths,8,8,90,95
864691135277186789,30,random paths,8,8,24,95
864691135277186789,30,depth bins,8,8,95,95
864691135277186789,30,ancestry-shuffled paths,8,8,90,95
864691135277186789,31,morphology-selected paths,8,8,90,95
864691135277186789,31,random paths,8,8,54,95
864691135277186789,31,depth bins,8,8,95,95
864691135277186789,31,ancestry-shuffled paths,8,8,90,95
864691135277186789,32,morphology-selected paths,8,8,90,95
864691135277186789,32,random paths,8,8,22,95
864691135277186789,32,depth bins,8,8,95,95
864691135277186789,32,ancestry-shuffled paths,8,8,90,95
864691135277186789,33,morphology-selected paths,8,8,90,95
864691135277186789,33,random paths,8,8,21,95
864691135277186789,33,depth bins,8,8,95,95
864691135277186789,33,ancestry-shuffled paths,8,8,90,95
864691135277186789,34,morphology-selected paths,8,8,90,95
864691135277186789,34,random paths,8,8,26,95
864691135277186789,34,depth bins,8,8,95,95
864691135277186789,34,ancestry-shuffled paths,8,8,90,95
864691135277186789,35,morphology-selected paths,8,8,90,95
864691135277186789,35,random paths,8,8,15,95
864691135277186789,35,depth bins,8,8,95,95
864691135277186789,35,ancestry-shuffled paths,8,8,90,95
864691135277186789,36,morphology-selected paths,8,8,90,95
864691135277186789,36,random paths,8,8,14,95
864691135277186789,36,depth bins,8,8,95,95
