task_id,family,maximum_depth,best_centered_cut_bound
matching_026,quadratic_matching,3,0.0
matching_026,quadratic_matching,4,0.0
matching_026,quadratic_matching,5,0.0
matching_027,quadratic_matching,3,0.0
matching_027,quadratic_matching,4,0.0
matching_027,quadratic_matching,5,0.0
matching_028,quadratic_matching,3,0.0
matching_028,quadratic_matching,4,0.0
matching_028,quadratic_matching,5,0.0
matching_029,quadratic_matching,3,0.0
matching_029,quadratic_matching,4,0.0
matching_029,quadratic_matching,5,0.0
matching_030,quadratic_matching,3,0.0
matching_030,quadratic_matching,4,0.0
matching_030,quadratic_matching,5,0.0
matching_031,quadratic_matching,3,0.0
matching_031,quadratic_matching,4,0.0
matching_031,quadratic_matching,5,0.0
matching_032,quadratic_matching,3,0.0
matching_032,quadratic_matching,4,0.0
matching_032,quadratic_matching,5,0.0
matching_033,quadratic_matching,3,0.0
matching_033,quadratic_matching,4,0.0
matching_033,quadratic_matching,5,0.0
matching_034,quadratic_matching,3,0.0
matching_034,quadratic_matching,4,0.0
matching_034,quadratic_matching,5,0.0
matching_035,quadratic_matching,3,0.0
matching_035,quadratic_matching,4,0.0
matching_035,quadratic_matching,5,0.0
matching_036,quadratic_matching,3,0.0
matching_036,quadratic_matching,4,0.0
matching_036,quadratic_matching,5,0.0
matching_037,quadratic_matching,3,0.0
matching_037,quadratic_matching,4,0.0
matching_037,quadratic_matching,5,0.0
matching_038,quadratic_matching,3,0.0
matching_038,quadratic_matching,4,0.0
matching_038,quadratic_matching,5,0.0
matching_039,quadratic_matching,3,0.0
matching_039,quadratic_matching,4,0.0
matching_039,quadratic_matching,5,0.0
matching_040,quadratic_matching,3,0.0
matching_040,quadratic_matching,4,0.0
matching_040,quadratic_matching,5,0.0
matching_041,quadratic_matching,3,0.0
matching_041,quadratic_matching,4,0.0
matching_041,quadratic_matching,5,0.0
matching_042,quadratic_matching,3,0.0
matching_042,quadratic_matching,4,0.0
matching_042,quadratic_matching,5,0.0
matching_043,quadratic_matching,3,0.0
matching_043,quadratic_matching,4,0.0
matching_043,quadratic_matching,5,0.0
matching_044,quadratic_matching,3,0.0
matching_044,quadratic_matching,4,0.0
matching_044,quadratic_matching,5,0.0
matching_045,quadratic_matching,3,0.0
matching_045,quadratic_matching,4,0.0
matching_045,quadratic_matching,5,0.0
matching_046,quadratic_matching,3,0.0
matching_046,quadratic_matching,4,0.0
matching_046,quadratic_matching,5,0.0
matching_047,quadratic_matching,3,0.0
matching_047,quadratic_matching,4,0.0
matching_047,quadratic_matching,5,0.0
matching_048,quadratic_matching,3,0.0
matching_048,quadratic_matching,4,0.0
matching_048,quadratic_matching,5,0.0
matching_049,quadratic_matching,3,0.0
matching_049,quadratic_matching,4,0.0
matching_049,quadratic_matching,5,0.0
matching_050,quadratic_matching,3,0.0
matching_050,quadratic_matching,4,0.0
matching_050,quadratic_matching,5,0.0
matching_051,quadratic_matching,3,0.0
matching_051,quadratic_matching,4,0.0
matching_051,quadratic_matching,5,0.0
matching_052,quadratic_matching,3,0.0
matching_052,quadratic_matching,4,0.0
matching_052,quadratic_matching,5,0.0
matching_053,quadratic_matching,3,0.0
matching_053,quadratic_matching,4,0.0
matching_053,quadratic_matching,5,0.0
matching_054,quadratic_matching,3,0.0
matching_054,quadratic_matching,4,0.0
matching_054,quadratic_matching,5,0.0
matching_055,quadratic_matching,3,0.0
matching_055,quadratic_matching,4,0.0
matching_055,quadratic_matching,5,0.0
matching_056,quadratic_matching,3,0.0
matching_056,quadratic_matching,4,0.0
matching_056,quadratic_matching,5,0.0
matching_057,quadratic_matching,3,0.0
matching_057,quadratic_matching,4,0.0
matching_057,quadratic_matching,5,0.0
matching_058,quadratic_matching,3,0.0
matching_058,quadratic_matching,4,0.0
matching_058,quadratic_matching,5,0.0
matching_059,quadratic_matching,3,0.0
matching_059,quadratic_matching,4,0.0
matching_059,quadratic_matching,5,0.0
matching_060,quadratic_matching,3,0.0
matching_060,quadratic_matching,4,0.0
matching_060,quadratic_matching,5,0.0
matching_061,quadratic_matching,3,0.0
matching_061,quadratic_matching,4,0.0
matching_061,quadratic_matching,5,0.0
matching_062,quadratic_matching,3,0.0
matching_062,quadratic_matching,4,0.0
matching_062,quadratic_matching,5,0.0
matching_063,quadratic_matching,3,0.0
matching_063,quadratic_matching,4,0.0
matching_063,quadratic_matching,5,0.0
matching_064,quadratic_matching,3,0.0
matching_064,quadratic_matching,4,0.0
matching_064,quadratic_matching,5,0.0
matching_065,quadratic_matching,3,0.0
matching_065,quadratic_matching,4,0.0
matching_065,quadratic_matching,5,0.0
matching_066,quadratic_matching,3,0.0
matching_066,quadratic_matching,4,0.0
matching_066,quadratic_matching,5,0.0
matching_067,quadratic_matching,3,0.0
matching_067,quadratic_matching,4,0.0
matching_067,quadratic_matching,5,0.0
matching_068,quadratic_matching,3,0.0
matching_068,quadratic_matching,4,0.0
matching_068,quadratic_matching,5,0.0
matching_069,quadratic_matching,3,0.0
matching_069,quadratic_matching,4,0.0
matching_069,quadratic_matching,5,0.0
matching_070,quadratic_matching,3,0.0
matching_070,quadratic_matching,4,0.0
matching_070,quadratic_matching,5,0.0
matching_071,quadratic_matching,3,0.0
matching_071,quadratic_matching,4,0.0
matching_071,quadratic_matching,5,0.0
matching_072,quadratic_matching,3,0.0
matching_072,quadratic_matching,4,0.0
matching_072,quadratic_matching,5,0.0
matching_073,quadratic_matching,3,0.0
matching_073,quadratic_matching,4,0.0
matching_073,quadratic_matching,5,0.0
matching_074,quadratic_matching,3,0.0
matching_074,quadratic_matching,4,0.0
matching_074,quadratic_matching,5,0.0
matching_075,quadratic_matching,3,0.0
matching_075,quadratic_matching,4,0.0
matching_075,quadratic_matching,5,0.0
matching_076,quadratic_matching,3,0.0
matching_076,quadratic_matching,4,0.0
matching_076,quadratic_matching,5,0.0
matching_077,quadratic_matching,3,0.0
matching_077,quadratic_matching,4,0.0
matching_077,quadratic_matching,5,0.0
matching_078,quadratic_matching,3,0.0
matching_078,quadratic_matching,4,0.0
matching_078,quadratic_matching,5,0.0
matching_079,quadratic_matching,3,0.0
matching_079,quadratic_matching,4,0.0
matching_079,quadratic_matching,5,0.0
matching_080,quadratic_matching,3,0.0
matching_080,quadratic_matching,4,0.0
matching_080,quadratic_matching,5,0.0
matching_081,quadratic_matching,3,0.0
matching_081,quadratic_matching,4,0.0
matching_081,quadratic_matching,5,0.0
matching_082,quadratic_matching,3,0.0
matching_082,quadratic_matching,4,0.0
matching_082,quadratic_matching,5,0.0
matching_083,quadratic_matching,3,0.0
matching_083,quadratic_matching,4,0.0
matching_083,quadratic_matching,5,0.0
matching_084,quadratic_matching,3,0.0
matching_084,quadratic_matching,4,0.0
matching_084,quadratic_matching,5,0.0
matching_085,quadratic_matching,3,0.0
matching_085,quadratic_matching,4,0.0
matching_085,quadratic_matching,5,0.0
matching_086,quadratic_matching,3,0.0
matching_086,quadratic_matching,4,0.0
matching_086,quadratic_matching,5,0.0
matching_087,quadratic_matching,3,0.0
matching_087,quadratic_matching,4,0.0
matching_087,quadratic_matching,5,0.0
matching_088,quadratic_matching,3,0.0
matching_088,quadratic_matching,4,0.0
matching_088,quadratic_matching,5,0.0
matching_089,quadratic_matching,3,0.0
matching_089,quadratic_matching,4,0.0
matching_089,quadratic_matching,5,0.0
matching_090,quadratic_matching,3,0.0
matching_090,quadratic_matching,4,0.0
matching_090,quadratic_matching,5,0.0
matching_091,quadratic_matching,3,0.0
matching_091,quadratic_matching,4,0.0
matching_091,quadratic_matching,5,0.0
matching_092,quadratic_matching,3,0.0
matching_092,quadratic_matching,4,0.0
matching_092,quadratic_matching,5,0.0
matching_093,quadratic_matching,3,0.0
matching_093,quadratic_matching,4,0.0
matching_093,quadratic_matching,5,0.0
matching_094,quadratic_matching,3,0.0
matching_094,quadratic_matching,4,0.0
matching_094,quadratic_matching,5,0.0
matching_095,quadratic_matching,3,0.0
matching_095,quadratic_matching,4,0.0
matching_095,quadratic_matching,5,0.0
matching_096,quadratic_matching,3,0.0
matching_096,quadratic_matching,4,0.0
matching_096,quadratic_matching,5,0.0
matching_097,quadratic_matching,3,0.0
matching_097,quadratic_matching,4,0.0
matching_097,quadratic_matching,5,0.0
matching_098,quadratic_matching,3,0.0
matching_098,quadratic_matching,4,0.0
matching_098,quadratic_matching,5,0.0
matching_099,quadratic_matching,3,0.0
matching_099,quadratic_matching,4,0.0
matching_099,quadratic_matching,5,0.0
matching_100,quadratic_matching,3,0.0
matching_100,quadratic_matching,4,0.0
matching_100,quadratic_matching,5,0.0
matching_101,quadratic_matching,3,0.0
matching_101,quadratic_matching,4,0.0
matching_101,quadratic_matching,5,0.0
matching_102,quadratic_matching,3,0.0
matching_102,quadratic_matching,4,0.0
matching_102,quadratic_matching,5,0.0
matching_103,quadratic_matching,3,0.0
matching_103,quadratic_matching,4,0.0
matching_103,quadratic_matching,5,0.0
matching_104,quadratic_matching,3,0.0
matching_104,quadratic_matching,4,0.0
matching_104,quadratic_matching,5,0.0
quartet_000,quartic_partition,3,0.0
quartet_000,quartic_partition,4,0.0
quartet_000,quartic_partition,5,0.0
quartet_001,quartic_partition,3,0.0
quartet_001,quartic_partition,4,0.0
quartet_001,quartic_partition,5,0.0
quartet_002,quartic_partition,3,0.0
quartet_002,quartic_partition,4,0.0
quartet_002,quartic_partition,5,0.0
quartet_003,quartic_partition,3,0.0
quartet_003,quartic_partition,4,0.0
quartet_003,quartic_partition,5,0.0
quartet_004,quartic_partition,3,0.0
quartet_004,quartic_partition,4,0.0
quartet_004,quartic_partition,5,0.0
quartet_005,quartic_partition,3,0.0
quartet_005,quartic_partition,4,0.0
quartet_005,quartic_partition,5,0.0
quartet_006,quartic_partition,3,0.0
quartet_006,quartic_partition,4,0.0
quartet_006,quartic_partition,5,0.0
quartet_007,quartic_partition,3,0.0
quartet_007,quartic_partition,4,0.0
quartet_007,quartic_partition,5,0.0
quartet_008,quartic_partition,3,0.0
quartet_008,quartic_partition,4,0.0
quartet_008,quartic_partition,5,0.0
quartet_009,quartic_partition,3,0.0
quartet_009,quartic_partition,4,0.0
quartet_009,quartic_partition,5,0.0
quartet_010,quartic_partition,3,0.0
quartet_010,quartic_partition,4,0.0
quartet_010,quartic_partition,5,0.0
quartet_011,quartic_partition,3,0.0
quartet_011,quartic_partition,4,0.0
quartet_011,quartic_partition,5,0.0
quartet_012,quartic_partition,3,0.0
quartet_012,quartic_partition,4,0.0
quartet_012,quartic_partition,5,0.0
quartet_013,quartic_partition,3,0.0
quartet_013,quartic_partition,4,0.0
quartet_013,quartic_partition,5,0.0
quartet_014,quartic_partition,3,0.0
quartet_014,quartic_partition,4,0.0
quartet_014,quartic_partition,5,0.0
quartet_015,quartic_partition,3,0.0
quartet_015,quartic_partition,4,0.0
quartet_015,quartic_partition,5,0.0
quartet_016,quartic_partition,3,0.0
quartet_016,quartic_partition,4,0.0
quartet_016,quartic_partition,5,0.0
quartet_017,quartic_partition,3,0.0
quartet_017,quartic_partition,4,0.0
quartet_017,quartic_partition,5,0.0
quartet_018,quartic_partition,3,0.0
quartet_018,quartic_partition,4,0.0
quartet_018,quartic_partition,5,0.0
quartet_019,quartic_partition,3,0.0
quartet_019,quartic_partition,4,0.0
quartet_019,quartic_partition,5,0.0
quartet_020,quartic_partition,3,0.0
quartet_020,quartic_partition,4,0.0
quartet_020,quartic_partition,5,0.0
quartet_021,quartic_partition,3,0.0
quartet_021,quartic_partition,4,0.0
quartet_021,quartic_partition,5,0.0
quartet_022,quartic_partition,3,0.0
quartet_022,quartic_partition,4,0.0
quartet_022,quartic_partition,5,0.0
quartet_023,quartic_partition,3,0.0
quartet_023,quartic_partition,4,0.0
quartet_023,quartic_partition,5,0.0
quartet_024,quartic_partition,3,0.0
quartet_024,quartic_partition,4,0.0
quartet_024,quartic_partition,5,0.0
quartet_025,quartic_partition,3,0.0
quartet_025,quartic_partition,4,0.0
quartet_025,quartic_partition,5,0.0
quartet_026,quartic_partition,3,0.0
quartet_026,quartic_partition,4,0.0
quartet_026,quartic_partition,5,0.0
quartet_027,quartic_partition,3,0.0
quartet_027,quartic_partition,4,0.0
quartet_027,quartic_partition,5,0.0
quartet_028,quartic_partition,3,0.0
quartet_028,quartic_partition,4,0.0
quartet_028,quartic_partition,5,0.0
quartet_029,quartic_partition,3,0.0
quartet_029,quartic_partition,4,0.0
quartet_029,quartic_partition,5,0.0
quartet_030,quartic_partition,3,0.0
quartet_030,quartic_partition,4,0.0
quartet_030,quartic_partition,5,0.0
quartet_031,quartic_partition,3,0.0
quartet_031,quartic_partition,4,0.0
quartet_031,quartic_partition,5,0.0
quartet_032,quartic_partition,3,0.0
quartet_032,quartic_partition,4,0.0
quartet_032,quartic_partition,5,0.0
quartet_033,quartic_partition,3,0.0
quartet_033,quartic_partition,4,0.0
quartet_033,quartic_partition,5,0.0
quartet_034,quartic_partition,3,0.0
quartet_034,quartic_partition,4,0.0
quartet_034,quartic_partition,5,0.0
nested_prefix_000,nested_prefix_control,3,0.146446609407
nested_prefix_000,nested_prefix_control,4,0.0
nested_prefix_000,nested_prefix_control,5,0.0
nested_prefix_001,nested_prefix_control,3,0.146446609407
nested_prefix_001,nested_prefix_control,4,0.0
nested_prefix_001,nested_prefix_control,5,0.0
nested_prefix_002,nested_prefix_control,3,0.146446609407
nested_prefix_002,nested_prefix_control,4,0.0
nested_prefix_002,nested_prefix_control,5,0.0
nested_prefix_003,nested_prefix_control,3,0.146446609407
nested_prefix_003,nested_prefix_control,4,0.0
nested_prefix_003,nested_prefix_control,5,0.0
nested_prefix_004,nested_prefix_control,3,0.146446609407
nested_prefix_004,nested_prefix_control,4,0.0
nested_prefix_004,nested_prefix_control,5,0.0
nested_prefix_005,nested_prefix_control,3,0.146446609407
nested_prefix_005,nested_prefix_control,4,0.0
nested_prefix_005,nested_prefix_control,5,0.0
nested_prefix_006,nested_prefix_control,3,0.146446609407
nested_prefix_006,nested_prefix_control,4,0.0
nested_prefix_006,nested_prefix_control,5,0.0
nested_prefix_007,nested_prefix_control,3,0.146446609407
nested_prefix_007,nested_prefix_control,4,0.0
nested_prefix_007,nested_prefix_control,5,0.0
nested_prefix_008,nested_prefix_control,3,0.146446609407
nested_prefix_008,nested_prefix_control,4,0.0
nested_prefix_008,nested_prefix_control,5,0.0
nested_prefix_009,nested_prefix_control,3,0.146446609407
nested_prefix_009,nested_prefix_control,4,0.0
nested_prefix_009,nested_prefix_control,5,0.0
nested_prefix_010,nested_prefix_control,3,0.146446609407
nested_prefix_010,nested_prefix_control,4,0.0
nested_prefix_010,nested_prefix_control,5,0.0
nested_prefix_011,nested_prefix_control,3,0.146446609407
nested_prefix_011,nested_prefix_control,4,0.0
nested_prefix_011,nested_prefix_control,5,0.0
nested_prefix_012,nested_prefix_control,3,0.146446609407
nested_prefix_012,nested_prefix_control,4,0.0
nested_prefix_012,nested_prefix_control,5,0.0
nested_prefix_013,nested_prefix_control,3,0.146446609407
nested_prefix_013,nested_prefix_control,4,0.0
nested_prefix_013,nested_prefix_control,5,0.0
nested_prefix_014,nested_prefix_control,3,0.146446609407
nested_prefix_014,nested_prefix_control,4,0.0
nested_prefix_014,nested_prefix_control,5,0.0
nested_prefix_015,nested_prefix_control,3,0.146446609407
nested_prefix_015,nested_prefix_control,4,0.0
nested_prefix_015,nested_prefix_control,5,0.0
nested_prefix_016,nested_prefix_control,3,0.146446609407
nested_prefix_016,nested_prefix_control,4,0.0
nested_prefix_016,nested_prefix_control,5,0.0
nested_prefix_017,nested_prefix_control,3,0.146446609407
nested_prefix_017,nested_prefix_control,4,0.0
nested_prefix_017,nested_prefix_control,5,0.0
nested_prefix_018,nested_prefix_control,3,0.146446609407
nested_prefix_018,nested_prefix_control,4,0.0
nested_prefix_018,nested_prefix_control,5,0.0
nested_prefix_019,nested_prefix_control,3,0.146446609407
nested_prefix_019,nested_prefix_control,4,0.0
nested_prefix_019,nested_prefix_control,5,0.0
nested_prefix_020,nested_prefix_control,3,0.146446609407
nested_prefix_020,nested_prefix_control,4,0.0
nested_prefix_020,nested_prefix_control,5,0.0
nested_prefix_021,nested_prefix_control,3,0.146446609407
nested_prefix_021,nested_prefix_control,4,0.0
nested_prefix_021,nested_prefix_control,5,0.0
nested_prefix_022,nested_prefix_control,3,0.146446609407
nested_prefix_022,nested_prefix_control,4,0.0
nested_prefix_022,nested_prefix_control,5,0.0
nested_prefix_023,nested_prefix_control,3,0.146446609407
nested_prefix_023,nested_prefix_control,4,0.0
nested_prefix_023,nested_prefix_control,5,0.0
