reliability_heterogeneity,method,n_seeds,mean_test_loss_after_one_step,ci95_low_test_loss_after_one_step,ci95_high_test_loss_after_one_step,mean_one_step_test_loss_decrease,ci95_low_one_step_test_loss_decrease,ci95_high_one_step_test_loss_decrease,mean_final_test_loss,ci95_low_final_test_loss,ci95_high_final_test_loss,mean_final_test_accuracy,ci95_low_final_test_accuracy,ci95_high_final_test_accuracy,mean_mean_final_physical_attenuation,ci95_low_mean_final_physical_attenuation,ci95_high_mean_final_physical_attenuation
0.5,anti_aligned_shunt,50,0.3916606732,0.3913053665,0.3920141206,0.002772156749,0.002605133439,0.002940505933,0.3660026731,0.3646287883,0.3673813039,0.9965820312,0.9957519531,0.9973242187,0.5145676496,0.5140418066,0.5151067332
0.5,best_global_shunt,50,0.3917481769,0.3914097315,0.3920877181,0.002684653062,0.002559195951,0.002817225201,0.3672072265,0.3657823695,0.3686090336,0.9967871094,0.9961328125,0.9973925781,0.4649360679,0.4618228225,0.4679962794
0.5,exact_clean_bp,50,0.390052452,0.3897381013,0.3903728508,0.004380377945,0.004282102835,0.004475532735,0.3484454081,0.3464979117,0.3504142034,0.9982714844,0.9979589844,0.9985644531,1,1,1
0.5,explicit_point_gate,50,0.3915827814,0.391256419,0.3919107567,0.00285004857,0.002737070325,0.00297109068,0.3655940669,0.3639598242,0.3671987101,0.9971875,0.996640625,0.9977050781,0.5143484922,0.5138337758,0.5148793017
0.5,noisy_no_shunt,50,0.3904621829,0.3900731315,0.3908575273,0.003970647061,0.003757963359,0.004189496009,0.351137086,0.3493214659,0.3529579417,0.9973144531,0.9966308594,0.99796875,1,1,1
0.5,reliability_aligned_shunt,50,0.3915827814,0.3912587834,0.3919121713,0.00285004857,0.002736015103,0.002970653542,0.3655940669,0.3639926489,0.367168874,0.9971875,0.9966503906,0.9976953125,0.5143484922,0.5138366961,0.514871325
0.5,shuffled_shunt,50,0.3915876161,0.3912506503,0.3919285044,0.002845213917,0.002703860353,0.002988034092,0.3660835296,0.3646306106,0.3675585237,0.9970507813,0.9963378906,0.9976953125,0.5142397795,0.5137022665,0.5147927512
0.5,state_matched_additive,50,0.3904621829,0.3900725625,0.3908667813,0.003970647061,0.003756542589,0.004188070926,0.351137086,0.3493066843,0.3529127025,0.9973144531,0.9966308594,0.9979492187,1,1,1
1,aligned_clean_credit,50,0.3915794477,0.391283056,0.3918787435,0.002853382327,0.002793354839,0.002912307445,0.3659225465,0.3641785025,0.367657579,0.9979882813,0.9976953125,0.9982714844,0.5114686037,0.5111767283,0.5117525523
1,anti_aligned_shunt,50,0.391786111,0.391377334,0.3922070687,0.002646718956,0.002347261419,0.002929424891,0.3684788766,0.3672217678,0.3697689091,0.9970507813,0.9960742188,0.9979003906,0.5115050775,0.5107393937,0.5122535218
1,best_global_shunt,50,0.3921931755,0.3918727241,0.3925064351,0.002239654435,0.002092662133,0.002377546837,0.3737105435,0.3724420055,0.3749599258,0.9968554687,0.9961621094,0.9974804687,0.339517905,0.3344734678,0.344462552
1,exact_clean_bp,50,0.390052452,0.3897404867,0.3903708056,0.004380377945,0.004284625278,0.004479446728,0.3484454081,0.3465069589,0.3503572314,0.9982714844,0.9979589844,0.9985644531,1,1,1
1,explicit_point_gate,50,0.3915780431,0.3912830358,0.3918770388,0.002854786867,0.00273330966,0.002969885595,0.3668326649,0.3651007684,0.3685540321,0.9976757813,0.9971484375,0.9981542969,0.5118285441,0.5112716832,0.5124039915
1,noisy_no_shunt,50,0.3904788915,0.3900508789,0.3909232428,0.003953938432,0.00363326235,0.004249367748,0.3526387464,0.3507866932,0.3545410601,0.9971484375,0.9962304687,0.99796875,1,1,1
1,reliability_aligned_shunt,50,0.3915780431,0.3912843339,0.3918824324,0.002854786867,0.002734373012,0.002969982221,0.3668326649,0.3650681356,0.368574538,0.9976757813,0.9971582031,0.9981542969,0.5118285441,0.5112673582,0.5123977271
1,shuffled_shunt,50,0.3917272603,0.391366286,0.3920904951,0.002705569639,0.002465075916,0.00292299367,0.3683921142,0.366950707,0.3698649301,0.9975292969,0.9965625,0.9983007812,0.5111226177,0.5103027686,0.5119568977
1,state_matched_additive,50,0.3904788915,0.3900549353,0.3909228291,0.003953938432,0.003635276549,0.004247612973,0.3526387464,0.3507919264,0.3545332227,0.9971484375,0.99625,0.9979589844,1,1,1
1.5,aligned_clean_credit,50,0.3916867094,0.3913859398,0.3919907386,0.002746120589,0.00268067698,0.002809459727,0.3668668569,0.3650307041,0.3686850667,0.99828125,0.9980078125,0.9985546875,0.5099058051,0.5095578975,0.5102582765
1.5,anti_aligned_shunt,50,0.3929144492,0.3922808497,0.3935833387,0.001518380738,0.0008843969512,0.002096647059,0.3742148793,0.3723971833,0.37599976,0.9945898438,0.9925,0.996484375,0.5109413707,0.5098205116,0.5120702553
1.5,best_global_shunt,50,0.3930296029,0.3927261807,0.3933259377,0.001403227089,0.001246756108,0.001556657958,0.3822123544,0.3812378689,0.3831793794,0.9972167969,0.9966308594,0.9977441406,0.200813255,0.1960622809,0.205538423
1.5,exact_clean_bp,50,0.390052452,0.3897369106,0.390377948,0.004380377945,0.004282687084,0.004476336552,0.3484454081,0.3465341122,0.3504002142,0.9982714844,0.9979589844,0.9985644531,1,1,1
1.5,explicit_point_gate,50,0.3916951917,0.3914041933,0.3919787294,0.002737638285,0.002625717245,0.002847881513,0.3672095736,0.3654088297,0.3690258033,0.9982324219,0.997890625,0.9985546875,0.5098548084,0.5092703321,0.5104412228
1.5,noisy_no_shunt,50,0.3915373158,0.3909116851,0.3921743025,0.002895514181,0.00228328209,0.003441481784,0.3572452238,0.3549849994,0.3594598187,0.9956445312,0.9939453125,0.9970800781,1,1,1
1.5,reliability_aligned_shunt,50,0.3916951917,0.3914051165,0.3919828762,0.002737638285,0.002624789582,0.002847014451,0.3672095736,0.3653928919,0.3689821717,0.9982324219,0.997890625,0.9985546875,0.5098548084,0.5092793822,0.510442741
1.5,shuffled_shunt,50,0.3923714097,0.3919196329,0.3928474444,0.002061420276,0.001628091992,0.00245723292,0.371098208,0.3692208091,0.3730187925,0.9969042969,0.9953613281,0.9980371094,0.5096794297,0.5088047266,0.5105562355
1.5,state_matched_additive,50,0.3915373158,0.3909348305,0.3921799767,0.002895514181,0.002301429605,0.003438112918,0.3572452238,0.3550102868,0.3594513829,0.9956445312,0.9939355469,0.9970803223,1,1,1
2,aligned_clean_credit,50,0.391754323,0.3914560941,0.3920567273,0.002678506951,0.00260927551,0.002745760336,0.3673778522,0.3654874909,0.3692570104,0.9984179687,0.9981640625,0.9986621094,0.5102350411,0.5098538883,0.5106143553
2,anti_aligned_shunt,50,0.3940108572,0.3930835697,0.3950267346,0.0004219728148,-0.0005301565727,0.00129077591,0.3815898859,0.3791149292,0.3842614025,0.9943164062,0.9913378906,0.9968359375,0.5110172257,0.5096808443,0.5123209278
2,best_global_shunt,50,0.393617708,0.3933101947,0.3939269449,0.0008151219959,0.0006915346703,0.0009416431923,0.3869807598,0.3862342442,0.3877492827,0.9987011719,0.99828125,0.9990820312,0.09848219421,0.09548770376,0.1015716252
2,exact_clean_bp,50,0.390052452,0.3897430604,0.390368878,0.004380377945,0.004283549492,0.004477741193,0.3484454081,0.3465186798,0.3503704217,0.9982714844,0.9979589844,0.9985742187,1,1,1
2,explicit_point_gate,50,0.3917046148,0.3913906188,0.3920188678,0.002728215165,0.002602160286,0.002844234855,0.3679287529,0.3660290214,0.3698117883,0.9983496094,0.9980566406,0.9986328125,0.5103124614,0.5097592835,0.5108572495
2,noisy_no_shunt,50,0.3926517198,0.3917647567,0.3936662092,0.001781110152,0.000820642709,0.002618481876,0.3641189162,0.3612825821,0.3671185723,0.9949511719,0.9922849121,0.9971777344,1,1,1
2,reliability_aligned_shunt,50,0.3917046148,0.3913918979,0.3920161282,0.002728215165,0.002602807381,0.002845042287,0.3679287529,0.366066697,0.3698266109,0.9983496094,0.9980566406,0.9986328125,0.5103124614,0.509766179,0.510857673
2,shuffled_shunt,50,0.3923262725,0.3917444389,0.3929311778,0.002106557428,0.00154356287,0.002611557203,0.3746355072,0.3724043513,0.3768740062,0.9970605469,0.9953708496,0.9984277344,0.5108046907,0.5098527936,0.5117404152
2,state_matched_additive,50,0.3926517198,0.3917523464,0.3936665587,0.001781110152,0.00082462358,0.002611009855,0.3641189162,0.3612514336,0.3670288406,0.9949511719,0.9922558594,0.9971875,1,1,1
