seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7102,1,1,3.202621339e-05,0.0001336368658,0.2396510364,0.1933213698,2.356155845
7102,1,2,3.255153522e-05,7.670503793e-05,0.4243728457,0.2979366301,1.777275091
7102,1,3,3.317697415e-05,4.414900417e-05,0.7514772931,0.4290534031,1.353119667
7102,1,4,2.223570813e-05,1.670962975e-05,1.330712197,0.5709465969,0.8303546419
7102,1,5,2.393740694e-05,1.01583855e-05,2.356418442,0.7020633699,0.6488615354
7102,1,6,2.057469567e-05,4.930747143e-06,4.172733884,0.8066786302,0.4512444844
7102,1,7,2.462312995e-05,3.332378266e-06,7.389056099,0.880797078,0.3745715535
7102,1.5,0,2.36030567e-05,0.0004740800669,0.04978706837,0.04742587318,4.441376539
7102,1.5,1,3.202621339e-05,0.0002729836433,0.1173191661,0.105000585,3.367512256
7102,1.5,2,3.255153522e-05,0.0001177470663,0.2764530466,0.2165790958,2.202002245
7102,1.5,3,3.317697415e-05,5.092874578e-05,0.6514390575,0.3944675128,1.453306583
7102,1.5,4,2.223570813e-05,1.448520875e-05,1.535063009,0.6055324872,0.773112301
7102,1.5,5,2.393740694e-05,6.617569076e-06,3.617250785,0.7834209042,0.5237076606
7102,1.5,6,2.057469567e-05,2.413806139e-06,8.523756461,0.894999415,0.3157233734
7102,1.5,7,2.462312995e-05,1.225913454e-06,20.08553692,0.9525741268,0.2271891314
7102,2,0,2.36030567e-05,0.001288683231,0.01831563889,0.03,7.322591971
7102,2,1,3.202621339e-05,0.0005576310779,0.05743261927,0.05431326613,4.812983326
7102,2,2,3.255153522e-05,0.000180749166,0.1800923121,0.1526086648,2.728229249
7102,2,3,3.317697415e-05,5.874961836e-05,0.564718122,0.3609072548,1.560911482
7102,2,4,2.223570813e-05,1.255690734e-05,1.770794952,0.6390927452,0.719816088
7102,2,5,2.393740694e-05,4.310942962e-06,5.552707876,0.8473913352,0.4226937471
7102,2,6,2.057469567e-05,1.181658663e-06,17.41170806,0.9456867339,0.2209029738
7102,2,7,2.462312995e-05,4.509883564e-07,54.59815003,0.98201379,0.1377971738
7103,0,0,2.602506058e-05,2.602506058e-05,1,0.5,1.036728351
7103,0,1,2.184064951e-05,2.184064951e-05,1,0.5,0.9490692973
7103,0,2,4.049050678e-05,4.049050678e-05,1,0.5,1.27972195
7103,0,3,2.377398086e-05,2.377398086e-05,1,0.5,0.9955352019
7103,0,4,2.483328006e-05,2.483328006e-05,1,0.5,1.011634622
7103,0,5,2.678511091e-05,2.678511091e-05,1,0.5,1.049115701
7103,0,6,2.87851711e-05,2.87851711e-05,1,0.5,1.090107704
7103,0,7,2.128986601e-05,2.128986601e-05,1,0.5,0.9349731168
7103,0.5,0,2.602506058e-05,7.074344925e-05,0.3678794412,0.2689414214,1.709276084
7103,0.5,1,2.184064951e-05,4.461448599e-05,0.4895416596,0.3286525465,1.356447833
7103,0.5,2,4.049050678e-05,6.215547919e-05,0.6514390575,0.3944675128,1.585545547
7103,0.5,3,2.377398086e-05,2.742483211e-05,0.8668778998,0.4643463292,1.069246053
7103,0.5,4,2.483328006e-05,2.152742166e-05,1.153564995,0.5356536708,0.941895343
7103,0.5,5,2.678511091e-05,1.74488674e-05,1.535063009,0.6055324872,0.8467599012
7103,0.5,6,2.87851711e-05,1.409154043e-05,2.04272707,0.6713474535,0.7627184235
7103,0.5,7,2.128986601e-05,7.832104012e-06,2.718281828,0.7310585786,0.5670898614
7103,1,0,2.602506058e-05,0.0001923006326,0.1353352832,0.119202922,2.818119837
7103,1,1,2.184064951e-05,9.113521825e-05,0.2396510364,0.1933213698,1.938689545
7103,1,2,4.049050678e-05,9.541257693e-05,0.4243728457,0.2979366301,1.964453828
7103,1,3,2.377398086e-05,3.163632631e-05,0.7514772931,0.4290534031,1.14841456
7103,1,4,2.483328006e-05,1.866164608e-05,1.330712197,0.5709465969,0.8769636962
7103,1,5,2.678511091e-05,1.136687374e-05,2.356418442,0.7020633699,0.6834349437
