model,task,optimizer,rule,step,gradient_cosine,optimizer_update_cosine,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_sign_oracle_capture,path_best_rank_one_capture,path_effective_rank,path_full_rank_capture,path_delivered_relative_squared_error,path_delivered_cosine,path_energy,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_sign_oracle_capture,credit_best_rank_one_capture,credit_effective_rank,credit_full_rank_capture,credit_delivered_relative_squared_error,credit_delivered_cosine,credit_energy
conductance,0,adam,sign_broadcast,0,0.8145164267594194,0.8145164267594194,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,6.6909982309025935,0.8281493540460583,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,6.685593886183757,0.8279348625331631,28813.304619249662
conductance,0,adam,sign_broadcast,1,0.7987409573622621,0.5898398147875226,0.6920277426033119,0.9902288600429765,0.6920277426033119,0.9907376243558306,1.0187374461209484,1.0,6.7258347140820245,0.8289748261309224,273.76296871356067,0.6912435815382411,0.9895560749712591,0.6912435815382411,0.990785775311091,1.0186435976596655,1.0,6.725120461319999,0.8284633753004662,21144.90370361899
conductance,0,adam,sign_broadcast,16,0.8425532905062469,0.4007939461444705,0.7132857983029621,0.9291045924011643,0.7132857983029621,0.9910096385879091,1.0181852291445215,1.0,7.052068598177378,0.8424520110178264,261.3399635060597,0.7204404422333278,0.9301121426192067,0.7204404422333278,0.9916728900354134,1.0168328690325688,1.0,6.970711865359749,0.8467205155046722,3501.7112347803677
conductance,0,adam,sign_broadcast,64,0.8339953111326956,0.3828497949478046,0.7235772872903989,0.904112330481146,0.7235772872903989,0.9912394780134098,1.0177132065127326,1.0,7.042408143007158,0.8486668938049012,260.1172356258634,0.7327669705805139,0.9027614989219999,0.7327669705805139,0.9918105408977576,1.0165526938309137,1.0,6.913103742911804,0.8541073291386484,371.3904450194637
conductance,0,adam,sign_broadcast,256,0.8216207712063731,0.28577970247825274,0.725381728327475,0.9025708053833373,0.725381728327475,0.9911740538035113,1.0178488194709487,1.0,6.954513304966582,0.8497145825119536,261.68480230510056,0.7345422347838245,0.9014862751711223,0.7345422347838245,0.9914580027420741,1.0172715440385927,1.0,6.829035319514624,0.855086838016083,43.15805914889282
conductance,0,adam,sign_broadcast,512,0.8247329866781217,0.17144992712958834,0.7252839645584437,0.9022476902383854,0.7252839645584437,0.9911739583129793,1.0178491221740698,1.0,6.944725723929926,0.8496519866641989,261.8105344389476,0.7349048890699794,0.901545420561453,0.7349048890699794,0.9915234485704829,1.017140340858313,1.0,6.822830161333424,0.8552828273971343,6.192753563105717
conductance,0,adam,sign_broadcast,1024,0.8369985480542204,-0.20015301509091135,0.7254960391197074,0.902720721802709,0.7254960391197074,0.9911692024272897,1.0178588855808743,1.0,6.934018209361865,0.8497743149532371,262.0705333806477,0.7322123773513084,0.9017829279858812,0.7322123773513084,0.9911373183866953,0.91620743800132,1.0,6.847785285560174,0.8536558077690654,0.08142244901176586
conductance,0,adam,unit_broadcast,0,0.8145164267594194,0.8145164267594194,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,6.6909982309025935,0.8281493540460583,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,6.685593886183757,0.8279348625331631,28813.304619249662
conductance,0,adam,unit_broadcast,1,0.7987409573622621,0.5898398147875226,0.6920277426033119,0.9902288600429765,0.6920277426033119,0.9907376243558306,1.0187374461209484,1.0,6.7258347140820245,0.8289748261309224,273.76296871356067,0.6912435815382411,0.9895560749712591,0.6912435815382411,0.990785775311091,1.0186435976596655,1.0,6.725120461319999,0.8284633753004662,21144.90370361899
conductance,0,adam,unit_broadcast,16,0.8425532905062469,0.4007939461444705,0.7132857983029621,0.9291045924011643,0.7132857983029621,0.9910096385879091,1.0181852291445215,1.0,7.052068598177378,0.8424520110178264,261.3399635060597,0.7204404422333278,0.9301121426192067,0.7204404422333278,0.9916728900354134,1.0168328690325688,1.0,6.970711865359749,0.8467205155046722,3501.7112347803677
