sensitivity,model,task,optimizer,contrast,seed,difference
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211203,0.0005539366298270981
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211204,0.00032308464256010014
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211205,-0.0006383030451495991
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211206,-0.2058775282024885
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211207,0.00021312774923629846
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211208,-0.011030556301054002
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211209,0.005470715003874502
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211210,0.0039009408090059997
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211211,-0.0004519379404788991
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211212,-0.1211171734801248
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211213,0.005709903022157403
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211214,-0.0019447233360353026
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211215,-0.3996263853594264
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211216,-0.009062012731269699
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211217,0.00036103891301820026
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211218,0.023707526875028504
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211219,-0.007730713693598502
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211200,0.027645671689496002
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211201,0.3488220644366917
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211202,0.1641634575335752
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211203,0.6164876533226576
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211204,0.20788718861169908
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211205,0.37963226980149
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211206,-0.12488376954662789
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211207,0.0211434240575959
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211208,0.4052002059958454
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211209,0.014069217627936899
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211210,0.48111841643274256
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211211,0.1275029150937733
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211212,0.5057357072378282
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211213,0.0940286780389612
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211214,0.45335091633259567
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211215,0.08876187287868298
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211216,0.047978290333588504
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211217,0.22594150866661747
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211218,0.052439657523787195
selected_rate,algebraic,matching,sgd,calibrated_broadcast minus exact,211219,0.5297415266383307
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211200,8.857732142879965e-05
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211201,-0.0355583006029377
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211202,0.0005017154758398014
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211203,0.0008206907485146971
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211204,6.17030258373008e-05
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211205,-0.0006920223301020989
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211206,-0.20961241717076548
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211207,0.0001646656813504982
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211208,-0.01221511748375
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211209,6.627434192580176e-05
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211210,-0.001382006342431602
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211211,-0.002135779139070197
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211212,-0.13604552706485148
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211213,-0.0035856394979301986
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211214,-0.001956759938581
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211215,-0.3996890760688454
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211216,-0.011018731267435699
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211217,-0.004824105014704101
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211218,-6.763414967739939e-05
selected_rate,algebraic,matching,sgd,sign_broadcast minus exact,211219,-0.006312646025452902
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211200,-0.022560253365060103
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211201,-0.3789719477305199
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211202,-0.1567409914001062
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211203,-0.6159337166928305
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211204,-0.207564103969139
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211205,-0.3802705728466396
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211206,-0.0809937586558606
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211207,-0.020930296308359603
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211208,-0.41623076229689937
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211209,-0.008598502624062396
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211210,-0.4772174756237365
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211211,-0.1279548530342522
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211212,-0.626852880717953
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211213,-0.0883187750168038
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211214,-0.45529563966863096
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211215,-0.4883882582381094
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211216,-0.0570403030648582
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211217,-0.22558046975359927
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211218,-0.028732130648758694
selected_rate,algebraic,matching,sgd,unit_broadcast minus calibrated_broadcast,211219,-0.5374722403319293
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211200,0.6760845484909539
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211201,0.6492133554315782
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211202,0.7784524425609574
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211203,0.7690766729425509
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211204,0.7542360027863256
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211205,0.7672968554140522
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211206,0.7544148563254699
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211207,0.6876052561531514
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211208,0.7480666517414398
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211209,0.7787781090776225
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211210,0.7721951543074511
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211211,0.7364160847222684
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211212,0.7539906428461535
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211213,0.7421248706198663
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211214,0.6909199322904769
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211215,0.7616481832570505
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211216,0.6853013593551684
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211217,0.7102983943861528
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211218,0.7431872560416097
selected_rate,algebraic,nested,adam,unit_broadcast minus exact,211219,0.6260707051237344
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211200,0.7530472655724698
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211201,0.7693208710276875
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211202,0.7711595048603351
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211203,0.7627631247267087
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211204,0.7585627134288425
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211205,0.7734732339214481
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211206,0.6970437616273087
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211207,0.7508581876829357
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211208,0.739439507942189
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211209,0.7893852735521878
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211210,0.7723772069404101
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211211,0.7741300419126977
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211212,0.7535966511834774
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211213,0.7460488679365421
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211214,0.6186617493608804
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211215,0.7620484841830719
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211216,0.665232071793402
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211217,0.7634709804704588
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211218,0.7623339400283955
selected_rate,algebraic,nested,adam,calibrated_broadcast minus exact,211219,0.737150963165861
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211200,0.7530468330171036
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211201,0.7693209673691196
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211202,0.7711595349328688
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211203,0.7627628973984306
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211204,0.7585627145177258
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211205,0.7734732315298353
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211206,0.6970437403001831
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211207,0.7508581808791648
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211208,0.7394398074761768
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211209,0.7893853284183885
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211210,0.7723772116114679
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211211,0.7741300568437034
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211212,0.7535967114383664
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211213,0.7460488564139494
