model,task,optimizer,rule,step,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_best_rank_one_capture,path_effective_rank,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_best_rank_one_capture,credit_effective_rank
algebraic,quartet,adam,exact,1,0.1454432533093926,0.6961712129179506,0.7654848836625759,1.666331730839565,0.1410065429956167,0.6858881682264006,0.7990557767507671,1.5314900577878725
algebraic,quartet,adam,exact,16,0.1523399346946403,0.701570439600099,0.7811257878951636,1.6109126255025117,0.1493067425475366,0.6958536182245989,0.8036299119084276,1.521943011945575
algebraic,quartet,adam,exact,64,0.1669102581858785,0.6580985663161255,0.7898478866407808,1.5796113687174196,0.1667919692046199,0.6626560817899044,0.7985553116594322,1.5518265725209242
algebraic,quartet,adam,exact,256,0.1761609999822743,0.449832729124213,0.5923902553490948,2.43683015511882,0.1797195640850749,0.4503174013628531,0.6075445066513275,2.3609698663219567
algebraic,quartet,adam,exact,512,0.1762384150084848,0.3178328716312307,0.473228919521545,3.0671954788502336,0.1782729163629798,0.3151634943414568,0.4965026253306892,2.892102963842277
algebraic,quartet,adam,exact,1024,0.1686399644933719,0.3002061279409735,0.4610013238828853,3.2382521758495715,0.1648753391602765,0.2923274246252308,0.5063084376072122,2.938971426523305
conductance,0,adam,exact,0,0.6907500773331103,0.9907420564039048,0.9907909685816404,1.0186289288718622,0.6903490519015276,0.9903546396582368,0.9913188283658456,1.0175527372427229
conductance,0,adam,exact,1,0.6920277423808338,0.9902288600725496,0.9907376243370196,1.0187374461595378,0.691452233357184,0.989575028940713,0.9907866908893131,1.018641784565728
conductance,0,adam,exact,16,0.7150189853774883,0.93112580986897,0.9910619977627848,1.0180780592661116,0.7221379948351682,0.9324892547408586,0.9917736260366306,1.016624333605809
conductance,0,adam,exact,64,0.7250296951043869,0.9083081578022943,0.9912554722685194,1.0176811154118002,0.7359398837220266,0.9080566087303764,0.9922484267748136,1.015655885616216
conductance,0,adam,exact,256,0.7257019898462282,0.9038963481642066,0.9911761419978992,1.0178444089999756,0.7386489549545152,0.9047204888221364,0.9924639399800178,1.0152149871701397
conductance,0,adam,exact,512,0.7253964129361292,0.903171301236718,0.9911672151577472,1.0178629764644227,0.7396329275436486,0.9047164642183578,0.9927756201226364,1.0145811649556442
conductance,0,adam,exact,1024,0.7253440233700654,0.9029144220632428,0.9911698607561986,1.0178575528060845,0.7362258274492346,0.9036554529309824,0.992209751407932,1.0157335362989073
conductance,1,adam,exact,0,0.6907500773331103,0.9907420564039048,0.9907909685816404,1.0186289288718624,0.6916246273017419,0.9902898372090252,0.9912507689068872,1.0176959750053485
conductance,1,adam,exact,1,0.693993823587299,0.9901041764193296,0.990724581338708,1.0187644500573647,0.6935714846971566,0.989447292035187,0.9906806381842812,1.018860339885292
conductance,1,adam,exact,16,0.7180157587171996,0.9324822190223184,0.990997365890368,1.0182080494969816,0.7250792241842893,0.9322618745659276,0.9912419055339444,1.0177164588333671
conductance,1,adam,exact,64,0.722607688305329,0.9138994573644073,0.991180526186529,1.017833227657058,0.7325482626442432,0.9132610689527696,0.9917972954454491,1.0165773191049532
conductance,1,adam,exact,256,0.7252736429951152,0.9070233503750952,0.991169212855129,1.01785816751193,0.737529302898648,0.90737852013299,0.9922579265961826,1.0156338043046982
conductance,1,adam,exact,512,0.7256676325358548,0.9042764552162664,0.9911647647549842,1.0178677599029884,0.7391829783370798,0.905889322970454,0.9925541331021324,1.015031259687235
conductance,1,adam,exact,1024,0.7257555159728801,0.903290576662782,0.99115936400857,1.0178788454557566,0.7374630468357519,0.9048228263538656,0.9922188215713398,1.01571233538175
conductance,2,adam,exact,0,0.6907500773331103,0.990742056403905,0.9907909685816404,1.0186289288718622,0.6935124293595305,0.9904923396264548,0.9916870659972749,1.0168063238213678
conductance,2,adam,exact,1,0.6929183852196515,0.9901804728191876,0.9906914694076936,1.0188322507922942,0.6940267655381424,0.9894120517882468,0.9907521445371936,1.018715603109257
conductance,2,adam,exact,16,0.7216913073017064,0.933955579563514,0.9910232346883948,1.0181579332045811,0.7282824551928642,0.934847194320424,0.991756753259108,1.0166606876050597
conductance,2,adam,exact,64,0.7283227917608444,0.9148986785225964,0.9911614469284328,1.0178740572391036,0.7384388565512083,0.9150481342290148,0.9919891852822706,1.0161869392713707
conductance,2,adam,exact,256,0.7277144219666518,0.9082469147931684,0.9911662792836902,1.0178647349260683,0.7394430366295085,0.9094964546594196,0.9923597260445268,1.0154298060386089
conductance,2,adam,exact,512,0.726756634945229,0.9053495441750592,0.9911515326395188,1.0178950022367674,0.7391627867938902,0.9071283541326948,0.9924646221967264,1.0152128188699003
conductance,2,adam,exact,1024,0.7262344555040741,0.9043129862527292,0.9911522815371028,1.017893373865557,0.7374531906692445,0.9057560554071244,0.992046052734108,1.0160638822216694
