state,architecture,feedback_family,budget_k,n_seeds,mean_address_capture,ci95_low_address_capture,ci95_high_address_capture,mean_coefficient_residual_energy,ci95_low_coefficient_residual_energy,ci95_high_coefficient_residual_energy,mean_realized_field_score,ci95_low_realized_field_score,ci95_high_realized_field_score
initialization,flat_compartment,depth_interleaved_bins,4,20,0.5648366039,0.5634155637,0.5662827662,706.7329677,696.3305555,717.4743434,0.4355531266,0.4317610857,0.4391438217
initialization,flat_compartment,depth_interleaved_bins,8,20,1,1,1,8.550057084e-30,8.228256749e-30,8.899296722e-30,1,1,1
initialization,flat_compartment,exact_compartment_transport,8,20,1,1,1,8.550057084e-30,8.224262203e-30,8.897641375e-30,1,1,1
initialization,flat_compartment,learned_rank_k_upper_bound,1,20,0.1329633476,0.1307541682,0.1351315836,7.647620227e-31,6.673587367e-31,8.739928893e-31,0.1329633476,0.1308114951,0.1351145409
initialization,flat_compartment,learned_rank_k_upper_bound,2,20,0.2612405622,0.2584756748,0.264337742,1.683325737e-30,1.54555781e-30,1.82822093e-30,0.2612405622,0.258546483,0.2643233135
initialization,flat_compartment,learned_rank_k_upper_bound,4,20,0.5120672,0.5096941586,0.5147868827,3.726995609e-30,3.544100863e-30,3.914160627e-30,0.5120672,0.5096988722,0.5147085612
initialization,flat_compartment,learned_rank_k_upper_bound,8,20,1,1,1,8.550057084e-30,8.223555416e-30,8.898845087e-30,1,1,1
initialization,flat_compartment,neuron_indexed_shared,1,20,0.1581537891,0.1572892763,0.1589667366,2205.126811,2190.167262,2221.359256,-0.2451325635,-0.2497269765,-0.2406263748
initialization,flat_compartment,random_rank_k,1,20,0.1512204508,0.1492815903,0.1530920502,2902.287426,2799.180784,3003.973169,-0.379235801,-0.3977624394,-0.36083189
initialization,flat_compartment,random_rank_k,2,20,0.2879216961,0.286154398,0.2896311246,1889.73381,1818.219657,1963.731123,-0.05758634381,-0.07221764356,-0.04348115119
initialization,flat_compartment,random_rank_k,4,20,0.5418532843,0.5393244137,0.54417262,758.3449865,717.5144722,806.2102773,0.4031620609,0.3923399288,0.4124079537
initialization,flat_compartment,random_rank_k,8,20,1,1,1,8.550057084e-30,8.216621087e-30,8.897308886e-30,1,1,1
initialization,flat_compartment,random_sparse_matched,1,20,0.1581537891,0.1572958362,0.1589664771,2205.126811,2190.131952,2221.024019,-0.2451325635,-0.2497990308,-0.2406175598
initialization,flat_compartment,random_sparse_matched,2,20,0.3042497765,0.303139201,0.3053790274,1446.421504,1435.836471,1456.357718,0.03971606409,0.03614969255,0.04321806637
initialization,flat_compartment,random_sparse_matched,4,20,0.5682719026,0.5661810115,0.5704335772,688.6640247,677.6649484,700.3763523,0.4423232637,0.4382776999,0.4462224689
initialization,flat_compartment,random_sparse_matched,8,20,1,1,1,8.550057084e-30,8.220415942e-30,8.893792868e-30,1,1,1
initialization,flat_compartment,within_neuron_route_derangement,1,20,0.1581537891,0.157300133,0.1589853976,2205.126811,2189.94154,2221.195678,-0.2451325635,-0.2497993974,-0.2406712008
initialization,flat_compartment,within_neuron_route_derangement,2,20,0,0,0,5258.973584,5229.078214,5291.360906,-0.9616988508,-0.9678150772,-0.9558997626
initialization,flat_compartment,within_neuron_route_derangement,4,20,0,0,0,5178.968092,5151.807902,5208.340378,-0.9470906286,-0.9533726293,-0.940992679
initialization,flat_compartment,within_neuron_route_derangement,8,20,0,0,0,5090.748896,5058.064873,5125.719937,-0.9309645604,-0.9384184388,-0.9238779588
initialization,grouped_point_subunits,backpropagation,8,20,1,1,1,8.550057084e-30,8.217520242e-30,8.887762104e-30,1,1,1
initialization,grouped_point_subunits,correct_ancestry_subtrees,1,20,0.1581537891,0.1573044667,0.1589883868,2205.126811,2190.09628,2221.208248,-0.2451325635,-0.2497683423,-0.2406108737
initialization,grouped_point_subunits,correct_ancestry_subtrees,2,20,0.3092236825,0.3078211482,0.3106270368,1377.977923,1366.668198,1389.074153,0.05722016133,0.05353385001,0.06085449575
initialization,grouped_point_subunits,correct_ancestry_subtrees,4,20,0.5753532134,0.5733531845,0.577332382,642.1927464,635.2162977,648.4857634,0.4579031286,0.4546960734,0.4611017934
initialization,grouped_point_subunits,correct_ancestry_subtrees,8,20,1,1,1,8.550057084e-30,8.229770164e-30,8.902284489e-30,1,1,1
initialization,grouped_point_subunits,depth_interleaved_bins,1,20,0.1581537891,0.157310471,0.1589917337,2205.126811,2190.166596,2221.059462,-0.2451325635,-0.2498177232,-0.2405369462
initialization,grouped_point_subunits,depth_interleaved_bins,2,20,0.3034984859,0.3021845697,0.3047846808,1452.932189,1438.489184,1467.803004,0.03775651588,0.03295665186,0.04235389016
initialization,grouped_point_subunits,depth_interleaved_bins,4,20,0.5648366039,0.5633690151,0.5663001629,706.7329677,696.2643697,717.526985,0.4355531266,0.4318096734,0.4392110711
initialization,grouped_point_subunits,depth_interleaved_bins,8,20,1,1,1,8.550057084e-30,8.223828662e-30,8.898664631e-30,1,1,1
initialization,grouped_point_subunits,exact_compartment_transport,8,20,1,1,1,8.550057084e-30,8.226567403e-30,8.895719072e-30,1,1,1
initialization,grouped_point_subunits,learned_rank_k_upper_bound,1,20,0.1329633476,0.1307674808,0.1351278397,7.647620227e-31,6.687230266e-31,8.716888755e-31,0.1329633476,0.130759893,0.1351344101
initialization,grouped_point_subunits,learned_rank_k_upper_bound,2,20,0.2612405622,0.2584926854,0.2643522227,1.683325737e-30,1.54607398e-30,1.829265978e-30,0.2612405622,0.2585271968,0.264323531
initialization,grouped_point_subunits,learned_rank_k_upper_bound,4,20,0.5120672,0.5097128779,0.5147391494,3.726995609e-30,3.54280426e-30,3.914135618e-30,0.5120672,0.5097346606,0.5147542403
initialization,grouped_point_subunits,learned_rank_k_upper_bound,8,20,1,1,1,8.550057084e-30,8.217839198e-30,8.896477616e-30,1,1,1
initialization,grouped_point_subunits,neuron_indexed_shared,1,20,0.1581537891,0.1573039747,0.1589878826,2205.126811,2190.111267,2220.920111,-0.2451325635,-0.2497991351,-0.2406273939
initialization,grouped_point_subunits,random_rank_k,1,20,0.1512204508,0.149253253,0.1530803166,2902.287426,2799.358508,3003.404378,-0.379235801,-0.3976332773,-0.3606330987
initialization,grouped_point_subunits,random_rank_k,2,20,0.2879216961,0.2861245787,0.2896444804,1889.73381,1818.284938,1965.377501,-0.05758634381,-0.072320955,-0.04353628241
initialization,grouped_point_subunits,random_rank_k,4,20,0.5418532843,0.5392953211,0.5442091073,758.3449865,717.337799,806.6681965,0.4031620609,0.3922663745,0.4123772477
initialization,grouped_point_subunits,random_rank_k,8,20,1,1,1,8.550057084e-30,8.215827963e-30,8.894152003e-30,1,1,1
initialization,grouped_point_subunits,random_sparse_matched,1,20,0.1581537891,0.1573130697,0.1589766248,2205.126811,2190.140985,2221.170138,-0.2451325635,-0.2497413171,-0.2405582904
initialization,grouped_point_subunits,random_sparse_matched,2,20,0.3042497765,0.3031512926,0.305380999,1446.421504,1435.900017,1456.391158,0.03971606409,0.03613928055,0.0431517006
initialization,grouped_point_subunits,random_sparse_matched,4,20,0.5682719026,0.56619115,0.5704024429,688.6640247,677.5299503,700.3807512,0.4423232637,0.4381220394,0.4462555789
initialization,grouped_point_subunits,random_sparse_matched,8,20,1,1,1,8.550057084e-30,8.224452065e-30,8.898392178e-30,1,1,1
initialization,grouped_point_subunits,within_neuron_route_derangement,1,20,0.1581537891,0.1573140043,0.1589834474,2205.126811,2190.207856,2221.053232,-0.2451325635,-0.2498570525,-0.2405902167
initialization,grouped_point_subunits,within_neuron_route_derangement,2,20,0,0,0,5258.973584,5229.048313,5291.204695,-0.9616988508,-0.9678111176,-0.9557886345
initialization,grouped_point_subunits,within_neuron_route_derangement,4,20,0,0,0,5178.968092,5151.93778,5208.245307,-0.9470906286,-0.9533018805,-0.9408946137
initialization,grouped_point_subunits,within_neuron_route_derangement,8,20,0,0,0,5090.748896,5057.721263,5125.660601,-0.9309645604,-0.9385521296,-0.9238836846
initialization,point_neuron_explicit_gating,backpropagation,8,20,1,1,1,8.550057084e-30,8.224679934e-30,8.899705895e-30,1,1,1
initialization,point_neuron_explicit_gating,correct_ancestry_subtrees,1,20,0.1581537891,0.1573024595,0.1589852395,2205.126811,2190.27089,2221.342018,-0.2451325635,-0.249723633,-0.2406185574
initialization,point_neuron_explicit_gating,correct_ancestry_subtrees,2,20,0.3092236825,0.3078307314,0.3106308653,1377.977923,1366.961369,1389.120153,0.05722016133,0.05359446359,0.0608426786
initialization,point_neuron_explicit_gating,correct_ancestry_subtrees,4,20,0.5753532134,0.5733766376,0.5773613707,642.1927464,635.2786948,648.5240572,0.4579031286,0.4546827398,0.4610596474
initialization,point_neuron_explicit_gating,correct_ancestry_subtrees,8,20,1,1,1,8.550057084e-30,8.224063989e-30,8.895565442e-30,1,1,1
initialization,point_neuron_explicit_gating,depth_interleaved_bins,1,20,0.1581537891,0.157295406,0.1589814927,2205.126811,2190.087422,2221.292535,-0.2451325635,-0.2498624178,-0.2405946431
initialization,point_neuron_explicit_gating,depth_interleaved_bins,2,20,0.3034984859,0.3021972925,0.3047882016,1452.932189,1438.687409,1467.688282,0.03775651588,0.03300634502,0.04235774456
initialization,point_neuron_explicit_gating,depth_interleaved_bins,4,20,0.5648366039,0.5633966123,0.5662672314,706.7329677,696.054558,717.4528706,0.4355531266,0.431860342,0.4391611055
initialization,point_neuron_explicit_gating,depth_interleaved_bins,8,20,1,1,1,8.550057084e-30,8.224342842e-30,8.899404856e-30,1,1,1
initialization,point_neuron_explicit_gating,exact_compartment_transport,8,20,1,1,1,8.550057084e-30,8.226973245e-30,8.895897603e-30,1,1,1
