run_dir,seed,network_type,init_policy,rule_variant,broadcast_mode,decoder_update_mode,post_calibration_present,post_calibration_warning_count,test_accuracy
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_6,48,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9116999506950378
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_21,48,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9157999753952026
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_37,49,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9035999774932861
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_52,49,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.925599992275238
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_7,49,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9002999663352966
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_22,49,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9121999740600586
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_38,50,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9125999808311462
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_53,50,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9038999676704407
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_8,50,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9088000059127808
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_23,50,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9186999797821045
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_39,51,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9156000018119812
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_54,51,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9103999733924866
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_9,51,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9072999954223633
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_24,51,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9072999954223633
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_40,52,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9167999625205994
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_55,52,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9086999893188477
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_10,52,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9132999777793884
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_25,52,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9005999565124512
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_41,53,dendritic_additive,analytical,3f,per_soma,local,False,0,0.914199948310852
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_56,53,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.917199969291687
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_11,53,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9085999727249146
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_26,53,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.906499981880188
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_42,54,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9021999835968018
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_57,54,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9222999811172485
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_12,54,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9138999581336975
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_27,54,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9060999751091003
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_43,55,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9059999585151672
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_58,55,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9213999509811401
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_13,55,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9045999646186829
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_28,55,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9067999720573425
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_44,56,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9104999899864197
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_59,56,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9240999817848206
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_14,56,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9049999713897705
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_29,56,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9048999547958374
