panel,record,budget_k,context,group_size,raw_coefficient_sum,normalized_coefficient_sum,normalization,control,cued_stream,b1,b2,b3,b4,b5,b6,b7,b8,architecture,feedback_family,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress,n_pairs,mean_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds,tied_seeds,p_two_sided_wilcoxon,p_exact_two_sided_mean_signflip,p_holm_four_budgets,p_holm_four_individual_controls_at_k4,p_exact_mean_signflip_holm_four_budgets,p_exact_mean_signflip_holm_four_individual_controls_at_k4,seed,accuracy_difference_pp,comparator_families,readout,calibration_samples,cue_noise_sd,cue_delay_trials,epoch,mean_accuracy_pct,ci95_low_pct,ci95_high_pct,mean_pp,p_wilcoxon,primary_family_holm_p,analysis_status,display_row
C,condition_mean,4.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.8010498047,0.7955322266,0.8069580078,0.4310751209,0.4252759054,0.4368151509,0.0,0.0,0.0,0.5228728922,0.5211219456,0.5245891547,0.7230943012,0.7218954126,0.7242696325,0.9759261825,0.9740182588,0.9777057459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,8.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.8100097656,0.8052246094,0.8149658203,0.4138553991,0.4072494535,0.4206493983,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,1.0,,,,,,,,,,,,,,,,dendritic_tree,within_neuron_route_derangement,20.0,0.1866455078,0.1826904297,0.1907226563,19.87260017,19.57720528,20.20226469,0.0015625,-0.000439453125,0.0033203125,0.1312853816,0.1306528889,0.1319037135,0.3623277802,0.3614424698,0.3631795485,-1.097266085,-1.101669794,-1.09267101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,2.0,,,,,,,,,,,,,,,,dendritic_tree,within_neuron_route_derangement,20.0,0.1846923828,0.1805908203,0.1887695313,31.54877673,31.06853756,32.04380451,0.001220703125,-0.0001953125,0.00263671875,0.0,0.0,0.0,0.0,0.0,0.0,-1.118474582,-1.121901269,-1.115079651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,4.0,,,,,,,,,,,,,,,,dendritic_tree,within_neuron_route_derangement,20.0,0.1904785156,0.1864501953,0.1944335937,17.67565771,17.36332667,18.00859898,0.00048828125,-0.000732421875,0.001708984375,0.0,0.0,0.0,0.0,0.0,0.0,-1.069668828,-1.076473685,-1.063270919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,8.0,,,,,,,,,,,,,,,,dendritic_tree,within_neuron_route_derangement,20.0,0.2512939453,0.2431152344,0.260010376,7.039099034,6.771945606,7.308644593,0.001220703125,0.000341796875,0.0021484375,0.0,0.0,0.0,0.0,0.0,0.0,-0.8780041035,-0.8932592901,-0.8625079038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,1.0,,,,,,,,,,,,,,,,,best_matched_control,,0.544970703115,0.46237670896725,0.6279064941278748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,2.0,,,,,,,,,,,,,,,,,best_matched_control,,0.6026367187550001,0.5326885986358749,0.6724127197214999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,4.0,,,,,,,,,,,,,,,,,best_matched_control,,0.78837890625,0.779516601564875,0.797558593745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,8.0,,,,,,,,,,,,,,,,,best_matched_control,,0.8100097656299999,0.805126953135,0.814941406250125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
