panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,task
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092219.0,0.6356494938041483,,,
C,mean and bootstrap interval,resistance,,0.24201986950951868,0.21217826534072007,0.2768097697201242,20.0,tonic,ood_3.0,,,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092200.0,0.1259838018034482,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092201.0,0.2341099891222102,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092202.0,0.2702074563976593,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092203.0,0.1670348683839974,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092204.0,0.1977704722885723,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092205.0,0.19586709586345,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092206.0,0.2250134787393651,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092207.0,0.1684601195382473,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092208.0,0.2095017992534305,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092209.0,0.4814179046946221,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092210.0,0.2780806043547054,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092211.0,0.2561399850330104,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092212.0,0.1590961132825352,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092213.0,0.2982125643157892,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092214.0,0.2119888028073369,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092215.0,0.2504289468299119,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092216.0,0.3202050946311756,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092217.0,0.23640159969893,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092218.0,0.25186681800475,,,
C,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092219.0,0.302609875147226,,,
C,mean and bootstrap interval,exact,,0.30563103719328005,0.2739243877124994,0.3365133997921818,20.0,current,ood_3.0,,,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092200.0,0.2033163622950663,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092201.0,0.318874182653106,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092202.0,0.2827792665531669,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092203.0,0.2583349362812034,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092204.0,0.2613226704509156,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092205.0,0.2667768543380329,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092206.0,0.3857932508955052,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092207.0,0.3903757239745119,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092208.0,0.2966779733689123,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092209.0,0.4418574800768787,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092210.0,0.3300028241136516,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092211.0,0.3482815429308519,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092212.0,0.2810873537884957,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092213.0,0.1563276105344716,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092214.0,0.344233194965958,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092215.0,0.3765890407842591,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092216.0,0.2160092393552813,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092217.0,0.2330011215276368,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092218.0,0.4017458932485296,,,
C,seed outcome,exact,,,,,,current,ood_3.0,2026092219.0,0.3192342217291675,,,
C,mean and bootstrap interval,broadcast,,0.5144470944844327,0.47464644827430535,0.5530329978926786,20.0,current,ood_3.0,,,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092200.0,0.4495807384908127,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092201.0,0.3919163469267639,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092202.0,0.5199979400373873,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092203.0,0.601622051663386,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092204.0,0.3755210947890246,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092205.0,0.6004334842562811,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092206.0,0.6387854749296007,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092207.0,0.349109635695798,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092208.0,0.4951955929025176,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092209.0,0.6378955453367857,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092210.0,0.5246506672234451,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092211.0,0.6142434053647969,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092212.0,0.5859514157846067,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092213.0,0.5423631717961037,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092214.0,0.5427633864412884,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092215.0,0.4512308518121988,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092216.0,0.3612239300476939,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092217.0,0.5258790727707294,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092218.0,0.4945686717923547,,,
C,seed outcome,broadcast,,,,,,current,ood_3.0,2026092219.0,0.5860094116270785,,,
C,mean and bootstrap interval,resistance,,0.22496485131697144,0.18607351760850802,0.2653697546279575,20.0,current,ood_3.0,,,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092200.0,0.1000967466900254,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092201.0,0.2413463157601507,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092202.0,0.4112801484648745,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092203.0,0.1479438325994826,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092204.0,0.2178849684445399,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092205.0,0.0609197919224799,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092206.0,0.4103279752436801,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092207.0,0.1852107763250623,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092208.0,0.163137859324699,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092209.0,0.2193222843551988,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092210.0,0.2799719739976076,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092211.0,0.2836323943051619,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092212.0,0.2054098667805101,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092213.0,0.3331840100610216,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092214.0,0.1550584425954958,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092215.0,0.2449475039729977,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092216.0,0.108737008566325,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092217.0,0.2539581778368329,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092218.0,0.2464267902719293,,,
C,seed outcome,resistance,,,,,,current,ood_3.0,2026092219.0,0.2305001588213531,,,
D,mean and bootstrap interval,broadcast,,0.0001575988853459765,0.00014071635396277103,0.00017531346228030512,20.0,,test_nmse,,,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092200.0,0.0001011541594986,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092201.0,0.0001987769136493,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092202.0,0.0001548981674146,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092203.0,0.0001933602449591,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092204.0,0.0001312835091297,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092205.0,7.995695013932992e-05,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092206.0,0.0001551840456406,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092207.0,0.0001453078116506,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092208.0,0.0001454519294161,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092209.0,0.0001483030296443,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092210.0,0.0001445737126034,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092211.0,0.0001718149287394,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092212.0,0.0001814622511773,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092213.0,0.0001478144668889,0.0,selected,
