seed,budget_k,control,accuracy_difference_pp,comparator_families
4202,1,random_sparse_matched,0,random_sparse_matched
4202,2,random_sparse_matched,27.44140625,random_sparse_matched
4202,4,random_sparse_matched,4.98046875,random_sparse_matched
4202,8,random_sparse_matched,0,random_sparse_matched
4203,1,random_sparse_matched,0,random_sparse_matched
4203,2,random_sparse_matched,25.048828125,random_sparse_matched
4203,4,random_sparse_matched,3.90625,random_sparse_matched
4203,8,random_sparse_matched,0,random_sparse_matched
4204,1,random_sparse_matched,0,random_sparse_matched
4204,2,random_sparse_matched,22.705078125,random_sparse_matched
4204,4,random_sparse_matched,4.1015625,random_sparse_matched
4204,8,random_sparse_matched,0,random_sparse_matched
4205,1,random_sparse_matched,0,random_sparse_matched
4205,2,random_sparse_matched,25,random_sparse_matched
4205,4,random_sparse_matched,9.912109375,random_sparse_matched
4205,8,random_sparse_matched,0,random_sparse_matched
4206,1,random_sparse_matched,0,random_sparse_matched
4206,2,random_sparse_matched,19.482421875,random_sparse_matched
4206,4,random_sparse_matched,4.1015625,random_sparse_matched
4206,8,random_sparse_matched,0,random_sparse_matched
4207,1,random_sparse_matched,0,random_sparse_matched
4207,2,random_sparse_matched,17.1875,random_sparse_matched
4207,4,random_sparse_matched,3.7109375,random_sparse_matched
4207,8,random_sparse_matched,0,random_sparse_matched
4208,1,random_sparse_matched,0,random_sparse_matched
4208,2,random_sparse_matched,18.017578125,random_sparse_matched
4208,4,random_sparse_matched,0.78125,random_sparse_matched
4208,8,random_sparse_matched,0,random_sparse_matched
4209,1,random_sparse_matched,0,random_sparse_matched
4209,2,random_sparse_matched,23.681640625,random_sparse_matched
4209,4,random_sparse_matched,4.58984375,random_sparse_matched
4209,8,random_sparse_matched,0,random_sparse_matched
4210,1,random_sparse_matched,0,random_sparse_matched
4210,2,random_sparse_matched,31.34765625,random_sparse_matched
4210,4,random_sparse_matched,0.5859375,random_sparse_matched
4210,8,random_sparse_matched,0,random_sparse_matched
4211,1,random_sparse_matched,0,random_sparse_matched
4211,2,random_sparse_matched,25.341796875,random_sparse_matched
4211,4,random_sparse_matched,3.3203125,random_sparse_matched
4211,8,random_sparse_matched,0,random_sparse_matched
4212,1,random_sparse_matched,0,random_sparse_matched
4212,2,random_sparse_matched,31.25,random_sparse_matched
4212,4,random_sparse_matched,4.8828125,random_sparse_matched
4212,8,random_sparse_matched,0,random_sparse_matched
4213,1,random_sparse_matched,0,random_sparse_matched
4213,2,random_sparse_matched,27.5390625,random_sparse_matched
4213,4,random_sparse_matched,1.904296875,random_sparse_matched
4213,8,random_sparse_matched,0,random_sparse_matched
4214,1,random_sparse_matched,0,random_sparse_matched
4214,2,random_sparse_matched,18.701171875,random_sparse_matched
4214,4,random_sparse_matched,3.02734375,random_sparse_matched
4214,8,random_sparse_matched,0,random_sparse_matched
4215,1,random_sparse_matched,0,random_sparse_matched
4215,2,random_sparse_matched,20.947265625,random_sparse_matched
4215,4,random_sparse_matched,1.220703125,random_sparse_matched
4215,8,random_sparse_matched,0,random_sparse_matched
4216,1,random_sparse_matched,0,random_sparse_matched
4216,2,random_sparse_matched,12.98828125,random_sparse_matched
4216,4,random_sparse_matched,3.7109375,random_sparse_matched
4216,8,random_sparse_matched,0,random_sparse_matched
4217,1,random_sparse_matched,0,random_sparse_matched
4217,2,random_sparse_matched,19.482421875,random_sparse_matched
4217,4,random_sparse_matched,6.591796875,random_sparse_matched
4217,8,random_sparse_matched,0,random_sparse_matched
4218,1,random_sparse_matched,0,random_sparse_matched
4218,2,random_sparse_matched,23.53515625,random_sparse_matched
4218,4,random_sparse_matched,1.3671875,random_sparse_matched
4218,8,random_sparse_matched,0,random_sparse_matched
4219,1,random_sparse_matched,0,random_sparse_matched
4219,2,random_sparse_matched,32.32421875,random_sparse_matched
4219,4,random_sparse_matched,4.00390625,random_sparse_matched
4219,8,random_sparse_matched,0,random_sparse_matched
4200,1,random_rank_k,-59.423828125,random_rank_k
4200,2,random_rank_k,-28.22265625,random_rank_k
4200,4,random_rank_k,-1.318359375,random_rank_k
4200,8,random_rank_k,0,random_rank_k
4201,1,random_rank_k,-25.927734375,random_rank_k
4201,2,random_rank_k,5.615234375,random_rank_k
4201,4,random_rank_k,-0.537109375,random_rank_k
4201,8,random_rank_k,0,random_rank_k
4202,1,random_rank_k,-35.83984375,random_rank_k
4202,2,random_rank_k,-31.640625,random_rank_k
4202,4,random_rank_k,3.369140625,random_rank_k
4202,8,random_rank_k,0,random_rank_k
4203,1,random_rank_k,-56.103515625,random_rank_k
4203,2,random_rank_k,-10.302734375,random_rank_k
4203,4,random_rank_k,0.732421875,random_rank_k
4203,8,random_rank_k,0,random_rank_k
4204,1,random_rank_k,-63.671875,random_rank_k
4204,2,random_rank_k,-37.6953125,random_rank_k
4204,4,random_rank_k,3.41796875,random_rank_k
4204,8,random_rank_k,0,random_rank_k
4205,1,random_rank_k,-17.626953125,random_rank_k
4205,2,random_rank_k,-22.802734375,random_rank_k
4205,4,random_rank_k,-0.146484375,random_rank_k
4205,8,random_rank_k,0,random_rank_k
4206,1,random_rank_k,-56.73828125,random_rank_k
4206,2,random_rank_k,-40.4296875,random_rank_k
4206,4,random_rank_k,1.806640625,random_rank_k
4206,8,random_rank_k,0,random_rank_k
4207,1,random_rank_k,-34.86328125,random_rank_k
4207,2,random_rank_k,-11.669921875,random_rank_k
4207,4,random_rank_k,6.73828125,random_rank_k
4207,8,random_rank_k,0,random_rank_k
4208,1,random_rank_k,-26.123046875,random_rank_k
4208,2,random_rank_k,-13.427734375,random_rank_k
4208,4,random_rank_k,3.173828125,random_rank_k
4208,8,random_rank_k,0,random_rank_k
4209,1,random_rank_k,-26.806640625,random_rank_k
4209,2,random_rank_k,-24.609375,random_rank_k
4209,4,random_rank_k,0.5859375,random_rank_k
4209,8,random_rank_k,0,random_rank_k
4210,1,random_rank_k,-26.416015625,random_rank_k
4210,2,random_rank_k,16.50390625,random_rank_k
4210,4,random_rank_k,-0.830078125,random_rank_k
4210,8,random_rank_k,0,random_rank_k
4211,1,random_rank_k,-8.59375,random_rank_k
4211,2,random_rank_k,-0.244140625,random_rank_k
4211,4,random_rank_k,0.146484375,random_rank_k
4211,8,random_rank_k,0,random_rank_k
4212,1,random_rank_k,-61.474609375,random_rank_k
4212,2,random_rank_k,6.884765625,random_rank_k
4212,4,random_rank_k,3.759765625,random_rank_k
4212,8,random_rank_k,0,random_rank_k
4213,1,random_rank_k,-59.912109375,random_rank_k
4213,2,random_rank_k,0.9765625,random_rank_k
4213,4,random_rank_k,1.611328125,random_rank_k
4213,8,random_rank_k,0,random_rank_k
4214,1,random_rank_k,-18.798828125,random_rank_k
4214,2,random_rank_k,-7.91015625,random_rank_k
4214,4,random_rank_k,6.787109375,random_rank_k
4214,8,random_rank_k,0,random_rank_k
4215,1,random_rank_k,-59.326171875,random_rank_k
4215,2,random_rank_k,-33.154296875,random_rank_k
4215,4,random_rank_k,-0.9765625,random_rank_k
4215,8,random_rank_k,0,random_rank_k
4216,1,random_rank_k,-25.341796875,random_rank_k
4216,2,random_rank_k,-26.46484375,random_rank_k
4216,4,random_rank_k,1.07421875,random_rank_k
4216,8,random_rank_k,0,random_rank_k
4217,1,random_rank_k,-7.03125,random_rank_k
4217,2,random_rank_k,-36.328125,random_rank_k
4217,4,random_rank_k,1.7578125,random_rank_k
4217,8,random_rank_k,0,random_rank_k
4218,1,random_rank_k,-7.568359375,random_rank_k
4218,2,random_rank_k,-24.755859375,random_rank_k
4218,4,random_rank_k,13.134765625,random_rank_k
4218,8,random_rank_k,0,random_rank_k
4219,1,random_rank_k,-39.0625,random_rank_k
4219,2,random_rank_k,11.669921875,random_rank_k
4219,4,random_rank_k,2.001953125,random_rank_k
4219,8,random_rank_k,0,random_rank_k
4200,1,learned_rank_k_upper_bound,-39.990234375,learned_rank_k_upper_bound
4200,2,learned_rank_k_upper_bound,-18.505859375,learned_rank_k_upper_bound
4200,4,learned_rank_k_upper_bound,8.642578125,learned_rank_k_upper_bound
4200,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4201,1,learned_rank_k_upper_bound,-43.408203125,learned_rank_k_upper_bound
4201,2,learned_rank_k_upper_bound,-26.7578125,learned_rank_k_upper_bound
4201,4,learned_rank_k_upper_bound,5.76171875,learned_rank_k_upper_bound
4201,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4202,1,learned_rank_k_upper_bound,-34.5703125,learned_rank_k_upper_bound
4202,2,learned_rank_k_upper_bound,-9.619140625,learned_rank_k_upper_bound
