seed,budget_k,criterion,ancestry_minus_best_control_utility
4217,2,deterministic_maximum_bound_decrease,-1.03265889819
4217,4,deterministic_maximum_bound_decrease,0.442150984714
4217,8,deterministic_maximum_bound_decrease,0
4218,1,deterministic_maximum_bound_decrease,0
4218,2,deterministic_maximum_bound_decrease,-1.20550241413
4218,4,deterministic_maximum_bound_decrease,0.0858231449636
4218,8,deterministic_maximum_bound_decrease,0
4219,1,deterministic_maximum_bound_decrease,-0.581827045895
4219,2,deterministic_maximum_bound_decrease,-0.342713529661
4219,4,deterministic_maximum_bound_decrease,0.367604254043
4219,8,deterministic_maximum_bound_decrease,0
4200,1,hypothetical_minibatch64_maximum_bound_decrease,-0.257490528132
4200,2,hypothetical_minibatch64_maximum_bound_decrease,-0.0818515859023
4200,4,hypothetical_minibatch64_maximum_bound_decrease,-0.183453204543
4200,8,hypothetical_minibatch64_maximum_bound_decrease,0
4201,1,hypothetical_minibatch64_maximum_bound_decrease,-0.191543949146
4201,2,hypothetical_minibatch64_maximum_bound_decrease,0
4201,4,hypothetical_minibatch64_maximum_bound_decrease,-0.251028375981
4201,8,hypothetical_minibatch64_maximum_bound_decrease,0
4202,1,hypothetical_minibatch64_maximum_bound_decrease,-0.228063477552
4202,2,hypothetical_minibatch64_maximum_bound_decrease,-0.28047797128
4202,4,hypothetical_minibatch64_maximum_bound_decrease,0.0361981742113
4202,8,hypothetical_minibatch64_maximum_bound_decrease,0
4203,1,hypothetical_minibatch64_maximum_bound_decrease,-0.157091824066
4203,2,hypothetical_minibatch64_maximum_bound_decrease,-0.284591207944
4203,4,hypothetical_minibatch64_maximum_bound_decrease,-0.141194466621
4203,8,hypothetical_minibatch64_maximum_bound_decrease,0
4204,1,hypothetical_minibatch64_maximum_bound_decrease,-0.523650874824
4204,2,hypothetical_minibatch64_maximum_bound_decrease,-0.296169948219
4204,4,hypothetical_minibatch64_maximum_bound_decrease,-0.0963991340767
4204,8,hypothetical_minibatch64_maximum_bound_decrease,0
4205,1,hypothetical_minibatch64_maximum_bound_decrease,-0.0171957400929
4205,2,hypothetical_minibatch64_maximum_bound_decrease,-0.354384954646
4205,4,hypothetical_minibatch64_maximum_bound_decrease,-0.302045707449
4205,8,hypothetical_minibatch64_maximum_bound_decrease,0
4206,1,hypothetical_minibatch64_maximum_bound_decrease,-0.198507567997
4206,2,hypothetical_minibatch64_maximum_bound_decrease,-0.398600737398
4206,4,hypothetical_minibatch64_maximum_bound_decrease,0.0950926724587
4206,8,hypothetical_minibatch64_maximum_bound_decrease,0
4207,1,hypothetical_minibatch64_maximum_bound_decrease,-0.212980014727
4207,2,hypothetical_minibatch64_maximum_bound_decrease,-0.303032798181
4207,4,hypothetical_minibatch64_maximum_bound_decrease,-0.113506703088
4207,8,hypothetical_minibatch64_maximum_bound_decrease,0
4208,1,hypothetical_minibatch64_maximum_bound_decrease,-0.126570187231
4208,2,hypothetical_minibatch64_maximum_bound_decrease,-0.0901324221713
4208,4,hypothetical_minibatch64_maximum_bound_decrease,-0.0175510810206
4208,8,hypothetical_minibatch64_maximum_bound_decrease,0
4209,1,hypothetical_minibatch64_maximum_bound_decrease,-0.23002033187
4209,2,hypothetical_minibatch64_maximum_bound_decrease,-0.22683583976
4209,4,hypothetical_minibatch64_maximum_bound_decrease,-0.151381244966
4209,8,hypothetical_minibatch64_maximum_bound_decrease,0
4210,1,hypothetical_minibatch64_maximum_bound_decrease,-0.0605909621359
4210,2,hypothetical_minibatch64_maximum_bound_decrease,-0.00318517536536
4210,4,hypothetical_minibatch64_maximum_bound_decrease,-0.297397643148
4210,8,hypothetical_minibatch64_maximum_bound_decrease,0
4211,1,hypothetical_minibatch64_maximum_bound_decrease,0
4211,2,hypothetical_minibatch64_maximum_bound_decrease,-0.121382473519
4211,4,hypothetical_minibatch64_maximum_bound_decrease,-0.377968127782
4211,8,hypothetical_minibatch64_maximum_bound_decrease,0
4212,1,hypothetical_minibatch64_maximum_bound_decrease,-0.172553816057
4212,2,hypothetical_minibatch64_maximum_bound_decrease,-0.05825093925
4212,4,hypothetical_minibatch64_maximum_bound_decrease,0.351986231718
4212,8,hypothetical_minibatch64_maximum_bound_decrease,0
4213,1,hypothetical_minibatch64_maximum_bound_decrease,-0.102414190061
4213,2,hypothetical_minibatch64_maximum_bound_decrease,-0.182352276005
4213,4,hypothetical_minibatch64_maximum_bound_decrease,-0.14104563429
4213,8,hypothetical_minibatch64_maximum_bound_decrease,0
4214,1,hypothetical_minibatch64_maximum_bound_decrease,-0.00225472091885
4214,2,hypothetical_minibatch64_maximum_bound_decrease,-0.0353807188348
4214,4,hypothetical_minibatch64_maximum_bound_decrease,-0.00358765820168
4214,8,hypothetical_minibatch64_maximum_bound_decrease,0
4215,1,hypothetical_minibatch64_maximum_bound_decrease,-0.120445244476
4215,2,hypothetical_minibatch64_maximum_bound_decrease,-0.338576125358
4215,4,hypothetical_minibatch64_maximum_bound_decrease,-0.364147395174
4215,8,hypothetical_minibatch64_maximum_bound_decrease,0
4216,1,hypothetical_minibatch64_maximum_bound_decrease,-0.136659655262
4216,2,hypothetical_minibatch64_maximum_bound_decrease,-0.153705787654
4216,4,hypothetical_minibatch64_maximum_bound_decrease,-0.0984913378711
4216,8,hypothetical_minibatch64_maximum_bound_decrease,0
4217,1,hypothetical_minibatch64_maximum_bound_decrease,0
4217,2,hypothetical_minibatch64_maximum_bound_decrease,-0.445756367435
4217,4,hypothetical_minibatch64_maximum_bound_decrease,0.0406182444868
4217,8,hypothetical_minibatch64_maximum_bound_decrease,0
4218,1,hypothetical_minibatch64_maximum_bound_decrease,0
4218,2,hypothetical_minibatch64_maximum_bound_decrease,-0.374221398889
4218,4,hypothetical_minibatch64_maximum_bound_decrease,0.109033776993
4218,8,hypothetical_minibatch64_maximum_bound_decrease,0
4219,1,hypothetical_minibatch64_maximum_bound_decrease,-0.1079461082
4219,2,hypothetical_minibatch64_maximum_bound_decrease,-0.129781926779
4219,4,hypothetical_minibatch64_maximum_bound_decrease,-0.0980982775467
4219,8,hypothetical_minibatch64_maximum_bound_decrease,0
4200,1,maximum_guaranteed_decrease,-0.2588315463
4200,2,maximum_guaranteed_decrease,-0.0822778713775
4200,4,maximum_guaranteed_decrease,-0.1844086339
4200,8,maximum_guaranteed_decrease,0
4201,1,maximum_guaranteed_decrease,-0.1921055675
4201,2,maximum_guaranteed_decrease,0
4201,4,maximum_guaranteed_decrease,-0.2517644061
4201,8,maximum_guaranteed_decrease,0
4202,1,maximum_guaranteed_decrease,-0.2282520075
4202,2,maximum_guaranteed_decrease,-0.280709830261
4202,4,maximum_guaranteed_decrease,0.0362280978
4202,8,maximum_guaranteed_decrease,0
4203,1,maximum_guaranteed_decrease,-0.1575330318
4203,2,maximum_guaranteed_decrease,-0.285390510185
4203,4,maximum_guaranteed_decrease,-0.1415910252
4203,8,maximum_guaranteed_decrease,0
4204,1,maximum_guaranteed_decrease,-0.5253670745
4204,2,maximum_guaranteed_decrease,-0.2971406077
4204,4,maximum_guaranteed_decrease,-0.09671507
4204,8,maximum_guaranteed_decrease,0
4205,1,maximum_guaranteed_decrease,-0.0172524498
4205,2,maximum_guaranteed_decrease,-0.355553678201
4205,4,maximum_guaranteed_decrease,-0.3030418217
4205,8,maximum_guaranteed_decrease,0
4206,1,maximum_guaranteed_decrease,-0.1987355329
4206,2,maximum_guaranteed_decrease,-0.399058488
4206,4,maximum_guaranteed_decrease,0.095201876
4206,8,maximum_guaranteed_decrease,0
4207,1,maximum_guaranteed_decrease,-0.2135484341
4207,2,maximum_guaranteed_decrease,-0.3038415582
4207,4,maximum_guaranteed_decrease,-0.1138096393
4207,8,maximum_guaranteed_decrease,0
4208,1,maximum_guaranteed_decrease,-0.1292603475
4208,2,maximum_guaranteed_decrease,-0.09204812338
4208,4,maximum_guaranteed_decrease,-0.017924117
4208,8,maximum_guaranteed_decrease,0
4209,1,maximum_guaranteed_decrease,-0.2305497491
4209,2,maximum_guaranteed_decrease,-0.227357927561
4209,4,maximum_guaranteed_decrease,-0.1517296658
4209,8,maximum_guaranteed_decrease,0
4210,1,maximum_guaranteed_decrease,-0.06100673261
4210,2,maximum_guaranteed_decrease,-0.003207031791
4210,4,maximum_guaranteed_decrease,-0.2994383625
4210,8,maximum_guaranteed_decrease,0
4211,1,maximum_guaranteed_decrease,0
4211,2,maximum_guaranteed_decrease,-0.121720340102
4211,4,maximum_guaranteed_decrease,-0.3790201972
4211,8,maximum_guaranteed_decrease,0
4212,1,maximum_guaranteed_decrease,-0.1729766648
4212,2,maximum_guaranteed_decrease,-0.058393685076
4212,4,maximum_guaranteed_decrease,0.3528487853
4212,8,maximum_guaranteed_decrease,0
4213,1,maximum_guaranteed_decrease,-0.1036387164
4213,2,maximum_guaranteed_decrease,-0.1845325907
4213,4,maximum_guaranteed_decrease,-0.1427320617
4213,8,maximum_guaranteed_decrease,0
4214,1,maximum_guaranteed_decrease,-0.002264313132
4214,2,maximum_guaranteed_decrease,-0.0355312383
4214,4,maximum_guaranteed_decrease,-0.0036029209
4214,8,maximum_guaranteed_decrease,0
4215,1,maximum_guaranteed_decrease,-0.1206950885
4215,2,maximum_guaranteed_decrease,-0.3392784464
4215,4,maximum_guaranteed_decrease,-0.3649027597
4215,8,maximum_guaranteed_decrease,0
4216,1,maximum_guaranteed_decrease,-0.1369587101
4216,2,maximum_guaranteed_decrease,-0.1540421448
4216,4,maximum_guaranteed_decrease,-0.098706868
4216,8,maximum_guaranteed_decrease,0
4217,1,maximum_guaranteed_decrease,0
4217,2,maximum_guaranteed_decrease,-0.4487126809
4217,4,maximum_guaranteed_decrease,0.0408876295
4217,8,maximum_guaranteed_decrease,0
4218,1,maximum_guaranteed_decrease,0
4218,2,maximum_guaranteed_decrease,-0.375010845825
4218,4,maximum_guaranteed_decrease,0.1092637913
4218,8,maximum_guaranteed_decrease,0
4219,1,maximum_guaranteed_decrease,-0.1080837964
4219,2,maximum_guaranteed_decrease,-0.129947467135
4219,4,maximum_guaranteed_decrease,-0.0982234046
4219,8,maximum_guaranteed_decrease,0
