seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort
48,dendritic_additive,per_soma_shared,neuron_wise,0.5703802088057377,0.6267505645751953,0.5776987753269971,1.8992648705164183,extension
48,dendritic_additive,per_soma_shared,scalar_fallback,0.0284041018433779,0.0691262066364288,0.0532081538703502,0.074096294505004,extension
48,dendritic_shunting,per_soma,neuron_wise,0.3614580643414501,0.5141768336296082,0.3577342432544925,3.327435388675524,extension
48,dendritic_shunting,per_soma,scalar_fallback,0.1042379788288557,0.0958688765764236,0.1858412011894777,0.6069612092465565,extension
48,dendritic_shunting,per_soma_shared,neuron_wise,0.5880098367782228,0.6907836556434631,0.5559199743315932,2.5950613766712967,extension
48,dendritic_shunting,per_soma_shared,scalar_fallback,0.0261722478104302,0.0098635274916887,0.0026683907897269,0.042701356285175,extension
49,dendritic_additive,per_soma,neuron_wise,0.4991402457244843,0.6043659329414368,0.4468286690571484,0.9447307025228224,extension
49,dendritic_additive,per_soma,scalar_fallback,0.2016165549299156,0.2504007071256637,0.1829227350895886,0.198248101486797,extension
49,dendritic_additive,per_soma_shared,neuron_wise,0.5999773490191456,0.6588605999946594,0.6022960770784804,1.9715416503627088,extension
49,dendritic_additive,per_soma_shared,scalar_fallback,0.046425498490077,0.0406495667994022,0.0505600294073637,0.1299371456824352,extension
49,dendritic_shunting,per_soma,neuron_wise,0.3892661677033778,0.4767344772815704,0.3372632962686214,3.037242720400388,extension
49,dendritic_shunting,per_soma,scalar_fallback,0.1024052314822417,0.0966286763548851,0.10751748335863,0.3572745398489385,extension
49,dendritic_shunting,per_soma_shared,neuron_wise,0.6551461725121001,0.7353890299797058,0.5867908758516501,2.1010757233572823,extension
49,dendritic_shunting,per_soma_shared,scalar_fallback,-0.1092427871687953,-0.0999399492517113,-0.0989744300012112,0.0240864901689735,extension
50,dendritic_additive,per_soma,neuron_wise,0.3984356158853052,0.4865282773971557,0.3476300308366131,1.2939933398222043,extension
50,dendritic_additive,per_soma,scalar_fallback,0.1158115410804748,0.2125894397497177,0.0680534042975122,0.4083115793393997,extension
50,dendritic_additive,per_soma_shared,neuron_wise,0.602405376367835,0.6990098714828491,0.6097977408732488,2.3022292546835468,extension
50,dendritic_additive,per_soma_shared,scalar_fallback,0.0721056695828637,0.0668222419917583,0.0502404451767745,0.2141130076430641,extension
50,dendritic_shunting,per_soma,neuron_wise,0.4309611046361733,0.5434721291065217,0.3447536275255993,1.9783436794367344,extension
50,dendritic_shunting,per_soma,scalar_fallback,0.2049672553738749,0.2056897178292274,0.1345306673729952,0.3384603628475673,extension
50,dendritic_shunting,per_soma_shared,neuron_wise,0.6191394499858537,0.7128966808319092,0.5962871191350665,3.255750915772691,extension
50,dendritic_shunting,per_soma_shared,scalar_fallback,0.0646339963952383,0.0373639721423387,0.0450233656196265,0.1137529716992409,extension
51,dendritic_additive,per_soma,neuron_wise,0.3764609317760543,0.4637300848960876,0.3032702730182413,1.420852909681096,extension
51,dendritic_additive,per_soma,scalar_fallback,0.2404521720485383,0.237477445602417,0.216006546610716,0.4810319755256672,extension
51,dendritic_additive,per_soma_shared,neuron_wise,0.5604560631679824,0.6481153011322022,0.5631564066721336,1.3326686083990138,extension
51,dendritic_additive,per_soma_shared,scalar_fallback,0.0211747151726033,0.0269866110756993,0.0231874646883984,0.0912538557974839,extension
51,dendritic_shunting,per_soma,neuron_wise,0.3277968350492151,0.3590713322162628,0.3174949540411418,2.926040474524883,extension
51,dendritic_shunting,per_soma,scalar_fallback,0.0003200779742453,0.0038113983348011,0.0173901338431591,0.3020239617035937,extension
51,dendritic_shunting,per_soma_shared,neuron_wise,0.6959927712208721,0.7870589613914489,0.6565774489118841,2.6050556375587277,extension
51,dendritic_shunting,per_soma_shared,scalar_fallback,-0.1186442143425523,-0.158320939540863,-0.0588426764360039,0.0401927854282446,extension
52,dendritic_additive,per_soma,neuron_wise,0.3211371720549595,0.3855100214481354,0.3222405690557436,1.2338056115736564,extension
52,dendritic_additive,per_soma,scalar_fallback,0.1385382919577488,0.1807772673666477,0.1582876827055097,0.386193615194345,extension
52,dendritic_additive,per_soma_shared,neuron_wise,0.5887275199206227,0.6728374481201171,0.5957167160936042,1.6308588048645978,extension
52,dendritic_additive,per_soma_shared,scalar_fallback,0.0914240731613569,0.1294215433299541,0.0903624566637906,0.1167262481392683,extension
52,dendritic_shunting,per_soma,neuron_wise,0.2599366340694199,0.3082209259271621,0.1809622329671769,1.267121071675641,extension
