cohort,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine_count,branch_numel_weighted_cosine_mean,branch_numel_weighted_cosine_std,branch_numel_weighted_cosine_sem,branch_macro_cosine_count,branch_macro_cosine_mean,branch_macro_cosine_std,branch_macro_cosine_sem,branch_concatenated_cosine_count,branch_concatenated_cosine_mean,branch_concatenated_cosine_std,branch_concatenated_cosine_sem,branch_local_exact_norm_ratio_count,branch_local_exact_norm_ratio_mean,branch_local_exact_norm_ratio_std,branch_local_exact_norm_ratio_sem
extension,dendritic_additive,per_soma_shared,neuron_wise,10,0.5961999205108658,0.022548579890181043,0.007130487045524148,10,0.6722438490390777,0.026927792434797794,0.008515315645421215,10,0.6035074866743381,0.02566996386071895,0.008117555325408119,10,1.8380831662295236,0.3244396901399781,0.10259683842016039
extension,dendritic_additive,per_soma_shared,scalar_fallback,10,0.03147830870474473,0.0561931866723288,0.017769845886757688,10,0.03291813367977737,0.08718665340326602,0.027570840632199153,10,0.02985658202802935,0.05463695379222426,0.01727772183968028,10,0.13850885056618123,0.05683572730224615,0.017973035074731504
extension,dendritic_shunting,per_soma,neuron_wise,10,0.3814649384225982,0.07029101768146721,0.02222797149246043,10,0.47402626454830166,0.0852295962564416,0.02695196482269158,10,0.35861148544553895,0.07965647225005375,0.02518958826841674,10,2.5303033994549207,0.9091384264918002,0.28749481360956525
extension,dendritic_shunting,per_soma,scalar_fallback,10,0.1100708543045587,0.11989935020304464,0.03791550366157931,10,0.14278682662174103,0.09753997584957635,0.03084484866024785,10,0.09732576452239798,0.1436204500125644,0.045416774061806185,10,0.4123883026740921,0.223892176821131,0.07080092290479312
extension,dendritic_shunting,per_soma_shared,neuron_wise,10,0.661705830229231,0.0369544415488549,0.0116860204953942,10,0.7521692597866059,0.03231745434578718,0.010219676391119429,10,0.6252940852107095,0.03843112845589349,0.01215298989711333,10,2.884132582731323,0.4434617508876938,0.1402349187971309
extension,dendritic_shunting,per_soma_shared,scalar_fallback,10,0.004390619909798949,0.08021256130386609,0.025365439067610233,10,-0.018763202279806136,0.07610383456706477,0.0240661455904579,10,0.009257538266739659,0.07077503857231968,0.022381032337480185,10,0.07026475828310755,0.046269676343120174,0.014631756384307028
original,dendritic_additive,per_soma,neuron_wise,5,0.4650061489718843,0.08539537934774057,0.03818997463718592,5,0.5093170118331909,0.06387869793435277,0.02856742217907764,5,0.4204560566370061,0.11332355276891853,0.05067983348861727,5,1.3457254402375907,0.48094013055318435,0.21508296500490873
original,dendritic_additive,per_soma,scalar_fallback,5,0.20207112876067593,0.058159544232907326,0.026009738889037327,5,0.2501320400834083,0.05325210087614164,0.023815063500745765,5,0.17132514768921234,0.08062313778850351,0.036055763330885185,5,0.39866130769906627,0.28262248981444754,0.12639261983906933
original,dendritic_additive,per_soma_shared,neuron_wise,5,0.6040603328701034,0.05407924425700028,0.02418497326609355,5,0.6807047951221465,0.046615203757329735,0.020846952877278578,5,0.6189956300323327,0.059994797161552656,0.026830488949908634,5,1.918994712132903,0.1346052480052738,0.060197296933602026
original,dendritic_additive,per_soma_shared,scalar_fallback,5,0.008481090069767,0.04096029524169119,0.018318000907776535,5,-0.0010639502294361406,0.04721185156715925,0.02111378188955961,5,-0.0027697895022516386,0.039656035797063637,0.01773471835207987,5,0.12017091103926067,0.019642483854626285,0.008784385829177293
original,dendritic_shunting,per_soma,neuron_wise,5,0.44332333202096097,0.14532150189239038,0.06498975136474985,5,0.5267879724502563,0.07289755346369395,0.03260077698764898,5,0.41327690333374145,0.1647073908506474,0.0736593844677349,5,1.5782189237753588,0.29548536696321775,0.1321450733772451
original,dendritic_shunting,per_soma,scalar_fallback,5,0.10435422259212963,0.055682309868365955,0.024901886001974727,5,0.16810394361615177,0.025914842573319944,0.011589469924029795,5,0.09929277009022826,0.08448310893808865,0.03778199490721726,5,0.28861919715457907,0.05897081455608001,0.0263725500071858
original,dendritic_shunting,per_soma_shared,neuron_wise,5,0.6787553903192163,0.054882978525466544,0.02454441415812087,5,0.751498773097992,0.05136362020336866,0.02297050926904278,5,0.6429472925905384,0.0663446435596379,0.029670226588468792,5,2.8681893039583124,0.23731692159539938,0.10613135377966017
original,dendritic_shunting,per_soma_shared,scalar_fallback,5,0.0133008901678708,0.03827293770540232,0.017116178081578882,5,-0.001451529618352662,0.046674671337723066,0.020873547587721964,5,0.026255537239837118,0.044419849884522015,0.01986516077842548,5,0.06980698669963836,0.01866271311681151,0.0083462190347535
