seed,mode,eigenvalue,energy_fraction
4212,6,0.03109947804,0.1226234454
4212,7,0.03072892381,0.1211623715
4212,8,0.0306663432,0.1209156198
4213,1,0.03265150019,0.1321127465
4213,2,0.03238239628,0.1310239127
4213,3,0.03122140557,0.1263263745
4213,4,0.03094711715,0.1252165634
4213,5,0.03081187812,0.1246693665
4213,6,0.03068783977,0.1241674892
4213,7,0.02931798476,0.1186248554
4213,8,0.02912862834,0.1178586917
4214,1,0.03217664723,0.1282978349
4214,2,0.03174149091,0.1265627376
4214,3,0.03170602438,0.126421322
4214,4,0.03166028537,0.126238947
4214,5,0.03148206327,0.1255283226
4214,6,0.03122732854,0.1245126197
4214,7,0.03097329784,0.123499724
4214,8,0.02982935691,0.1189384922
4215,1,0.03265356965,0.13101623
4215,2,0.03146294873,0.1262390903
4215,3,0.0310657781,0.1246455187
4215,4,0.03098612519,0.1243259266
4215,5,0.0309401993,0.1241416577
4215,6,0.03092372953,0.1240755759
4215,7,0.03091393593,0.124036281
4215,8,0.03028672582,0.1215197198
4216,1,0.03368582453,0.1331839676
4216,2,0.03323647556,0.1314073723
4216,3,0.03194391948,0.1262969809
4216,4,0.03140588991,0.1241697682
4216,5,0.03087233068,0.12206023
4216,6,0.03083967121,0.1219311039
4216,7,0.03067203209,0.1212683075
4216,8,0.03027088025,0.1196822696
4217,1,0.03342489975,0.1342979707
4217,2,0.03183768106,0.1279206816
4217,3,0.03159422852,0.1269425132
4217,4,0.03138537761,0.1261033707
4217,5,0.03059555438,0.1229299384
4217,6,0.03038958204,0.1221023617
4217,7,0.03009542251,0.1209204575
4217,8,0.02956336589,0.1187827062
4218,1,0.03397247767,0.1322159987
4218,2,0.03259170459,0.1268422283
4218,3,0.03219076589,0.1252818326
4218,4,0.03217519406,0.1252212292
4218,5,0.03214958756,0.1251215724
4218,6,0.03205269696,0.1247444881
4218,7,0.03100260247,0.1206576714
4218,8,0.03081177011,0.1199149792
4219,1,0.03305413208,0.1313479902
4219,2,0.03224566455,0.1281353636
4219,3,0.031719195,0.126043319
4219,4,0.03130886855,0.1244127951
4219,5,0.03114625681,0.1237666209
4219,6,0.03095579564,0.1230097809
4219,7,0.03064545131,0.1217765582
4219,8,0.03057776011,0.1215075721
