feedback_family,budget_k,n_seeds,mean_spectral_capture,ci95_low_spectral_capture,ci95_high_spectral_capture,mean_morphology_regret,ci95_low_morphology_regret,ci95_high_morphology_regret,mean_retained_signal_fraction,ci95_low_retained_signal_fraction,ci95_high_retained_signal_fraction,mean_noise_retention_fraction,ci95_low_noise_retention_fraction,ci95_high_noise_retention_fraction,mean_maximum_guaranteed_decrease,ci95_low_maximum_guaranteed_decrease,ci95_high_maximum_guaranteed_decrease,mean_route_gram_condition,ci95_low_route_gram_condition,ci95_high_route_gram_condition,mean_route_coherence,ci95_low_route_coherence,ci95_high_route_coherence,projected_estimator_better_fraction
learned_rank_k_upper_bound,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.7082292409,0.7628329222,1,1,1,0,0,0,0
neuron_indexed_shared,1,20,0.125,0.125,0.125,0.006162546004,0.005314428231,0.006997491103,-1.012952766,-1.031136999,-0.9948740613,0.9378129901,0.9258742166,0.9500668576,0,0,0,1,1,1,0,0,0,0
random_rank_k,1,20,0.125029779,0.1244115039,0.1257174728,0.006132766997,0.005143259796,0.007118659201,0.2819709256,0.1454631832,0.4066539908,0.9386010696,0.9193215444,0.9587175314,0.1428529881,0.09273613377,0.1991632707,1,1,1,1,1,1,0
random_rank_k,2,20,0.2496508717,0.248681182,0.2506711028,0.009901150913,0.008442172189,0.01142213768,0.4203210843,0.3211264734,0.5116753276,0.9559582479,0.9385826964,0.9733262619,0.2089238877,0.1493889808,0.2688084264,1.726888577,1.55693717,1.922777944,0.998493687,0.9966537661,0.9995830105,0
random_rank_k,4,20,0.4997949699,0.4987345868,0.5008263782,0.01155959998,0.009776725348,0.01341245181,0.7585547415,0.6654285485,0.8489107062,0.9636680979,0.9531946674,0.9735322065,0.4790509569,0.3998712004,0.5580563331,1.960913815,1.832531891,2.096638262,0.8792172322,0.8530217856,0.9042878157,0
random_rank_k,8,20,1,1,1,-7.21644966e-17,-1.278144257e-16,-1.110223025e-17,1,1,1,1,1,1,0.7357807143,0.7083034513,0.7626931609,1,1,1,0,0,0,0.25
random_sparse_matched,1,20,0.125,0.125,0.125,0.006162546004,0.005318938274,0.006988844843,-1.012952766,-1.031394078,-0.9950327128,0.9378129901,0.9259300131,0.9501502697,0,0,0,1,1,1,0,0,0,0
random_sparse_matched,2,20,0.25,0.25,0.25,0.009552022579,0.008358821147,0.01075550173,-0.3456910876,-0.3762241799,-0.3160555932,0.9623945585,0.953070725,0.9722531522,0,0,0,1,1,1,0,0,0,0
random_sparse_matched,4,20,0.5,0.5,0.5,0.0113545699,0.01004631534,0.01276644262,0.3422779385,0.3080300924,0.3755087046,0.9744862219,0.9656253082,0.9843377161,0.1441957045,0.1198417971,0.1694334361,1,1,1,0,0,0,0
random_sparse_matched,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.7076823156,0.763012768,1,1,1,0,0,0,0
within_neuron_route_derangement,1,20,0.125,0.125,0.125,0.006162546004,0.005311269665,0.006992794811,-1.012952766,-1.031274949,-0.9954170006,0.9378129901,0.9257257304,0.9499909523,0,0,0,1,1,1,0,0,0,0
within_neuron_route_derangement,2,20,0.25,0.25,0.25,0.009552022579,0.008375034676,0.01078469812,-1.426400804,-1.444072677,-1.40943221,0.9299281721,0.9151889689,0.9459750862,0,0,0,1,1,1,0,0,0,0
within_neuron_route_derangement,4,20,0.5,0.5,0.5,0.0113545699,0.01001325795,0.01280819353,-0.8109385885,-0.8258806094,-0.7961527335,0.9339123673,0.9203642053,0.9467047735,0,0,0,1,1,1,0,0,0,0
within_neuron_route_derangement,8,20,1,1,1,0,0,0,-0.3554213631,-0.3685205522,-0.3431827209,0.923249091,0.9057961486,0.9412140218,0,0,0,1,1,1,0,0,0,0
