task_id,task_index,family,candidate_id,shape,permutation_index,restart,seed,sweep,normalized_mse,mse,variance,parameter_count,edges,credit_rank,credit_effective_rank,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,centered_cut_bound,centered_cut_sum,full_cut_bound,fit_seconds
matching_003,3,quadratic_matching,balanced_p2,balanced,2,2,4609352,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.75,2.5,0.5,0.07482957793399692
matching_003,3,quadratic_matching,balanced_p2,balanced,2,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.75,2.5,0.5,0.07483804388903081
matching_003,3,quadratic_matching,balanced_p2,balanced,2,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.75,2.5,0.5,0.07484570692759007
matching_003,3,quadratic_matching,balanced_p2,balanced,2,3,4609353,0,1.2359186956947168,1.2359186956947168,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07533864595461637
matching_003,3,quadratic_matching,balanced_p2,balanced,2,3,4609353,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.0753501889994368
matching_003,3,quadratic_matching,balanced_p2,balanced,2,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07535846100654453
matching_003,3,quadratic_matching,balanced_p2,balanced,2,3,4609353,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07536678202450275
matching_003,3,quadratic_matching,balanced_p3,balanced,3,0,4609350,0,4.300845844777276,4.300845844777276,1.0,28,14,8,8,0,4,2.5,3.0185903209273204,0.75,2.5,0.5,0.07474502793047577
matching_003,3,quadratic_matching,balanced_p3,balanced,3,0,4609350,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.0185903209273204,0.75,2.5,0.5,0.0747564600314945
matching_003,3,quadratic_matching,balanced_p3,balanced,3,0,4609350,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.0185903209273204,0.75,2.5,0.5,0.07476473995484412
matching_003,3,quadratic_matching,balanced_p3,balanced,3,0,4609350,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.0185903209273204,0.75,2.5,0.5,0.07477223593741655
matching_003,3,quadratic_matching,balanced_p3,balanced,3,1,4609351,0,1.1772852935048836,1.1772852935048836,1.0,28,14,8,8,0,4,2.4999999999999996,18.280368197208073,0.75,2.5,0.5,0.07458619808312505
matching_003,3,quadratic_matching,balanced_p3,balanced,3,1,4609351,2,0.75,0.75,1.0,28,14,8,8,0,4,2.4999999999999996,18.280368197208073,0.75,2.5,0.5,0.074598353006877
matching_003,3,quadratic_matching,balanced_p3,balanced,3,1,4609351,8,0.75,0.75,1.0,28,14,8,8,0,4,2.4999999999999996,18.280368197208073,0.75,2.5,0.5,0.07460660499054939
matching_003,3,quadratic_matching,balanced_p3,balanced,3,1,4609351,32,0.75,0.75,1.0,28,14,8,8,0,4,2.4999999999999996,18.280368197208073,0.75,2.5,0.5,0.07461413403507322
matching_003,3,quadratic_matching,balanced_p3,balanced,3,2,4609352,0,1.534200758310165,1.534200758310165,1.0,28,14,8,8,0,4,2.5000000000000004,2.554501152804399,0.75,2.5,0.5,0.07453134609386325
matching_003,3,quadratic_matching,balanced_p3,balanced,3,2,4609352,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5000000000000004,2.554501152804399,0.75,2.5,0.5,0.07454344409052283
matching_003,3,quadratic_matching,balanced_p3,balanced,3,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5000000000000004,2.554501152804399,0.75,2.5,0.5,0.07455175905488431
matching_003,3,quadratic_matching,balanced_p3,balanced,3,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5000000000000004,2.554501152804399,0.75,2.5,0.5,0.07455952605232596
matching_003,3,quadratic_matching,balanced_p3,balanced,3,3,4609353,0,1.2248044817503512,1.2248044817503512,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07476265006698668
matching_003,3,quadratic_matching,balanced_p3,balanced,3,3,4609353,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.0747742069652304
matching_003,3,quadratic_matching,balanced_p3,balanced,3,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07478234206791967
matching_003,3,quadratic_matching,balanced_p3,balanced,3,3,4609353,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5000000000000004,0.75,2.5,0.5,0.07479010103270411
matching_003,3,quadratic_matching,comb_p0,comb,0,0,4609350,0,3.0530484733711143,3.0530484733711143,1.0,28,14,8,8,0,4,2.4999999999999996,2.7369203985428623,0.5,1.25,0.5,0.07481864897999913
matching_003,3,quadratic_matching,comb_p0,comb,0,0,4609350,2,0.7516970305418211,0.7516970305418211,1.0,28,14,8,8,0,4,2.4999999999999996,2.7369203985428623,0.5,1.25,0.5,0.07483073498588055
matching_003,3,quadratic_matching,comb_p0,comb,0,0,4609350,8,0.750000006441045,0.750000006441045,1.0,28,14,8,8,0,4,2.4999999999999996,2.7369203985428623,0.5,1.25,0.5,0.07483916403725743
matching_003,3,quadratic_matching,comb_p0,comb,0,0,4609350,32,0.75,0.75,1.0,28,14,8,8,0,4,2.4999999999999996,2.7369203985428623,0.5,1.25,0.5,0.07484689902048558
matching_003,3,quadratic_matching,comb_p0,comb,0,1,4609351,0,1.0884170061460439,1.0884170061460439,1.0,28,14,8,8,0,4,2.499999503319448,45.038443578714784,0.5,1.25,0.5,0.07485458499286324
matching_003,3,quadratic_matching,comb_p0,comb,0,1,4609351,2,0.7502353817623162,0.7502353817623162,1.0,28,14,8,8,0,4,2.499999503319448,45.038443578714784,0.5,1.25,0.5,0.0748660690151155
matching_003,3,quadratic_matching,comb_p0,comb,0,1,4609351,8,0.7501035178795096,0.7501035178795096,1.0,28,14,8,8,0,4,2.499999503319448,45.038443578714784,0.5,1.25,0.5,0.07487426500301808
matching_003,3,quadratic_matching,comb_p0,comb,0,1,4609351,32,0.7500046593825522,0.7500046593825522,1.0,28,14,8,8,0,4,2.499999503319448,45.038443578714784,0.5,1.25,0.5,0.07488196599297225
matching_003,3,quadratic_matching,comb_p0,comb,0,2,4609352,0,1.4982591485176306,1.4982591485176306,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,1.25,0.5,0.07474522397387773
matching_003,3,quadratic_matching,comb_p0,comb,0,2,4609352,2,0.7500019042108772,0.7500019042108772,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,1.25,0.5,0.07475702906958759
matching_003,3,quadratic_matching,comb_p0,comb,0,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,1.25,0.5,0.07476491900160909
matching_003,3,quadratic_matching,comb_p0,comb,0,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,1.25,0.5,0.07477227004710585
matching_003,3,quadratic_matching,comb_p0,comb,0,3,4609353,0,1.7940847227164207,1.7940847227164207,1.0,28,14,8,8,0,4,2.5,3.1590043890763067,0.5,1.25,0.5,0.07478645606897771
matching_003,3,quadratic_matching,comb_p0,comb,0,3,4609353,2,0.7500545973532715,0.7500545973532715,1.0,28,14,8,8,0,4,2.5,3.1590043890763067,0.5,1.25,0.5,0.07479962497018278
matching_003,3,quadratic_matching,comb_p0,comb,0,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.1590043890763067,0.5,1.25,0.5,0.07480805204249918
matching_003,3,quadratic_matching,comb_p0,comb,0,3,4609353,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.1590043890763067,0.5,1.25,0.5,0.0748156380141154
matching_003,3,quadratic_matching,comb_p1,comb,1,0,4609350,0,2.606377655402608,2.606377655402608,1.0,28,14,8,8,0,4,2.5000000000000004,2.8829117482688513,0.5,2.0,0.5,0.0748914600117132
matching_003,3,quadratic_matching,comb_p1,comb,1,0,4609350,2,0.7702166920092828,0.7702166920092828,1.0,28,14,8,8,0,4,2.5000000000000004,2.8829117482688513,0.5,2.0,0.5,0.07490329898428172
matching_003,3,quadratic_matching,comb_p1,comb,1,0,4609350,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5000000000000004,2.8829117482688513,0.5,2.0,0.5,0.07491154095623642
matching_003,3,quadratic_matching,comb_p1,comb,1,0,4609350,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5000000000000004,2.8829117482688513,0.5,2.0,0.5,0.07491867092903703
matching_003,3,quadratic_matching,comb_p1,comb,1,1,4609351,0,1.2653497829540523,1.2653497829540523,1.0,28,14,8,8,0,4,2.4999932441999837,34.02558694139496,0.5,2.0,0.5,0.07483012694865465
matching_003,3,quadratic_matching,comb_p1,comb,1,1,4609351,2,0.7532664111372558,0.7532664111372558,1.0,28,14,8,8,0,4,2.4999932441999837,34.02558694139496,0.5,2.0,0.5,0.07484150701202452
matching_003,3,quadratic_matching,comb_p1,comb,1,1,4609351,8,0.7510393111013778,0.7510393111013778,1.0,28,14,8,8,0,4,2.4999932441999837,34.02558694139496,0.5,2.0,0.5,0.07484941999427974
matching_003,3,quadratic_matching,comb_p1,comb,1,1,4609351,32,0.7500553791927915,0.7500553791927915,1.0,28,14,8,8,0,4,2.4999932441999837,34.02558694139496,0.5,2.0,0.5,0.07486708194483072
matching_003,3,quadratic_matching,comb_p1,comb,1,2,4609352,0,1.5096963164605028,1.5096963164605028,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,2.0,0.5,0.07477466098498553
matching_003,3,quadratic_matching,comb_p1,comb,1,2,4609352,2,0.7503804770911292,0.7503804770911292,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,2.0,0.5,0.07478672207798809
matching_003,3,quadratic_matching,comb_p1,comb,1,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,2.0,0.5,0.07479448209051043
matching_003,3,quadratic_matching,comb_p1,comb,1,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.5,2.0,0.5,0.07480211707297713
matching_003,3,quadratic_matching,comb_p1,comb,1,3,4609353,0,1.6278778979706172,1.6278778979706172,1.0,28,14,8,8,0,4,2.5,3.1164592146168357,0.5,2.0,0.5,0.0747056039981544
matching_003,3,quadratic_matching,comb_p1,comb,1,3,4609353,2,0.7500000105712725,0.7500000105712725,1.0,28,14,8,8,0,4,2.5,3.1164592146168357,0.5,2.0,0.5,0.07471767894458026
matching_003,3,quadratic_matching,comb_p1,comb,1,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.1164592146168357,0.5,2.0,0.5,0.07472573895938694
matching_003,3,quadratic_matching,comb_p1,comb,1,3,4609353,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.1164592146168357,0.5,2.0,0.5,0.07473335298709571
matching_003,3,quadratic_matching,comb_p2,comb,2,0,4609350,0,2.589194946208922,2.589194946208922,1.0,28,14,8,8,54,0,2.06155281280883,3.790591777258258,0.75,3.0,0.5,0.07371013308875263
matching_003,3,quadratic_matching,comb_p2,comb,2,0,4609350,2,0.8034991159326971,0.8034991159326971,1.0,28,14,8,8,54,0,2.06155281280883,3.790591777258258,0.75,3.0,0.5,0.07372035807929933
matching_003,3,quadratic_matching,comb_p2,comb,2,0,4609350,8,0.75,0.75,1.0,28,14,8,8,54,0,2.06155281280883,3.790591777258258,0.75,3.0,0.5,0.0737274280982092
matching_003,3,quadratic_matching,comb_p2,comb,2,0,4609350,32,0.75,0.75,1.0,28,14,8,8,54,0,2.06155281280883,3.790591777258258,0.75,3.0,0.5,0.07374328700825572
matching_003,3,quadratic_matching,comb_p2,comb,2,1,4609351,0,1.2092882298404908,1.2092882298404908,1.0,28,14,8,8,42,4,4.244906449997546,27.575274182169878,0.75,3.0,0.5,0.07592067099176347
matching_003,3,quadratic_matching,comb_p2,comb,2,1,4609351,2,0.8863481265336781,0.8863481265336781,1.0,28,14,8,8,42,4,4.244906449997546,27.575274182169878,0.75,3.0,0.5,0.07593317597638816
matching_003,3,quadratic_matching,comb_p2,comb,2,1,4609351,8,0.7564360593451991,0.7564360593451991,1.0,28,14,8,8,42,4,4.244906449997546,27.575274182169878,0.75,3.0,0.5,0.07594174391124398
matching_003,3,quadratic_matching,comb_p2,comb,2,1,4609351,32,0.75,0.75,1.0,28,14,8,8,42,4,4.244906449997546,27.575274182169878,0.75,3.0,0.5,0.0759495620150119
matching_003,3,quadratic_matching,comb_p2,comb,2,2,4609352,0,1.490656955176222,1.490656955176222,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.0746602030703798
matching_003,3,quadratic_matching,comb_p2,comb,2,2,4609352,2,0.7504044779073189,0.7504044779073189,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.0746722660260275
matching_003,3,quadratic_matching,comb_p2,comb,2,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07468046306166798
matching_003,3,quadratic_matching,comb_p2,comb,2,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07468821306247264
matching_003,3,quadratic_matching,comb_p2,comb,2,3,4609353,0,1.7843207507926029,1.7843207507926029,1.0,28,14,8,8,0,4,2.5,3.153863693286924,0.75,3.0,0.5,0.07463561301119626
matching_003,3,quadratic_matching,comb_p2,comb,2,3,4609353,2,0.7500923806160873,0.7500923806160873,1.0,28,14,8,8,0,4,2.5,3.153863693286924,0.75,3.0,0.5,0.07464803906623274
matching_003,3,quadratic_matching,comb_p2,comb,2,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.153863693286924,0.75,3.0,0.5,0.0746560930274427
matching_003,3,quadratic_matching,comb_p2,comb,2,3,4609353,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.153863693286924,0.75,3.0,0.5,0.07466364407446235
matching_003,3,quadratic_matching,comb_p3,comb,3,0,4609350,0,2.4384639641584718,2.4384639641584718,1.0,28,14,8,8,0,4,2.5,2.798813563843157,0.75,3.0,0.5,0.07477812806610018
matching_003,3,quadratic_matching,comb_p3,comb,3,0,4609350,2,0.8034991159326971,0.8034991159326971,1.0,28,14,8,8,0,4,2.5,2.798813563843157,0.75,3.0,0.5,0.07478993304539472
matching_003,3,quadratic_matching,comb_p3,comb,3,0,4609350,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.798813563843157,0.75,3.0,0.5,0.07479803403839469
matching_003,3,quadratic_matching,comb_p3,comb,3,0,4609350,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.798813563843157,0.75,3.0,0.5,0.07480580906849355
matching_003,3,quadratic_matching,comb_p3,comb,3,1,4609351,0,1.1896525105724374,1.1896525105724374,1.0,28,14,8,8,0,4,2.5,24.545311262328415,0.75,3.0,0.5,0.0746680760057643
matching_003,3,quadratic_matching,comb_p3,comb,3,1,4609351,2,0.8863481265336781,0.8863481265336781,1.0,28,14,8,8,0,4,2.5,24.545311262328415,0.75,3.0,0.5,0.0746796439634636
matching_003,3,quadratic_matching,comb_p3,comb,3,1,4609351,8,0.7564360593451978,0.7564360593451978,1.0,28,14,8,8,0,4,2.5,24.545311262328415,0.75,3.0,0.5,0.07468770304694772
matching_003,3,quadratic_matching,comb_p3,comb,3,1,4609351,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,24.545311262328415,0.75,3.0,0.5,0.07469508703798056
matching_003,3,quadratic_matching,comb_p3,comb,3,2,4609352,0,1.4828993861035795,1.4828993861035795,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07470764499157667
matching_003,3,quadratic_matching,comb_p3,comb,3,2,4609352,2,0.7504044779073189,0.7504044779073189,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07471928501036018
matching_003,3,quadratic_matching,comb_p3,comb,3,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07472741103265435
matching_003,3,quadratic_matching,comb_p3,comb,3,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.5452148733051314,0.75,3.0,0.5,0.07473501900676638
matching_003,3,quadratic_matching,comb_p3,comb,3,3,4609353,0,1.785051361903693,1.785051361903693,1.0,28,14,8,8,0,4,2.5,3.149669782798084,0.75,3.0,0.5,0.07464019604958594
matching_003,3,quadratic_matching,comb_p3,comb,3,3,4609353,2,0.7500923806160873,0.7500923806160873,1.0,28,14,8,8,0,4,2.5,3.149669782798084,0.75,3.0,0.5,0.07465239299926907
matching_003,3,quadratic_matching,comb_p3,comb,3,3,4609353,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.149669782798084,0.75,3.0,0.5,0.07466067699715495
matching_003,3,quadratic_matching,comb_p3,comb,3,3,4609353,32,0.7500000000000001,0.7500000000000001,1.0,28,14,8,8,0,4,2.5,3.149669782798084,0.75,3.0,0.5,0.07466821104753762
