task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,reference_credit_effective_rank,reference_capture,transported_credit_effective_rank,predicted_penalized_loss,policy,utility_to_loss_scale,test_loss,penalized_test_loss,oracle_candidate_id,oracle_budget_k,oracle_tree_id,oracle_penalized_loss,regret,exact_candidate_match,budget_match,tree_match
s7218_r1_n750_a375,confirmatory,7218,1,0.75,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.101860173656622,0.3058172793541088,0.3204011025485207,0.3204011025485207,0.1330020386816485,4.576466340361273,0.4534031412301692,0.3701787316814791,0.7632600410729999,1.0,0.9999999999999994,1.0000000000000002,0.5667201168390458,maximum_budget,2.753178808018834,0.281558480520392,0.3654578277789678,balanced_contiguous_k1,1,balanced_contiguous,0.2914912940979605,0.07396653368100731,False,False,True
s7218_r1_n750_a375,confirmatory,7218,1,0.75,0.375,joint_forward_feedback,balanced_permutation_a_k2,balanced_permutation_a,balanced,2.0,0.3139925081183606,0.25,0.6399250811836067,64.0,64.0,16.0,0.0884077974506859,0.185228912480239,0.2932043795890106,0.2932043795890104,0.121712378408001,4.188000488645045,0.4149167579970115,0.5592952845095489,0.7632600410729999,1.0,0.5367834674057015,1.0000000000000002,0.5449769673176188,rank_only,2.753178808018834,0.2810886384053412,0.3062080390548101,balanced_contiguous_k1,1,balanced_contiguous,0.2914912940979605,0.014716744956849603,False,False,False
s7218_r1_n750_a375,confirmatory,7218,1,0.75,0.375,joint_forward_feedback,comb_contiguous_k1,comb_contiguous,comb,1.0,0.225,0.125,1.0,64.0,64.0,8.0,0.029501023084391,0.0539291167363322,0.1007617771308899,0.1007617771308899,0.0418273272875668,1.4392362503330292,0.1425891044184568,0.6601642356135541,0.7632600410729999,1.0,0.146446609406726,1.0,0.7000384495021802,sampled_random,2.753178808018834,0.2778008657253965,0.2958008657253965,balanced_contiguous_k1,1,balanced_contiguous,0.2914912940979605,0.004309571627436004,False,True,False
s7218_r2_n000_a125,confirmatory,7218,2,0.0,0.125,joint_forward_feedback,comb_contiguous_k8,comb_contiguous,comb,8.0,1.1,1.0,1.0,64.0,64.0,64.0,0.1100064095557145,0.2649034987396267,0.3562171486433685,0.3562171486433685,0.2072337932103611,6.987698531374926,0.5634509418537297,0.4250654897015732,0.515262563758912,2.0,1.0,1.973795219603436,0.3003952482238782,moment_selector,2.753178808018834,1.0708456621981141e-22,0.088,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759,0.0641006527414241,False,False,False
s7218_r2_n000_a125,confirmatory,7218,2,0.0,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0853547334800911,0.2840500559814409,0.2656013712565538,0.2656013712565538,0.153261470563833,5.169968429299212,0.4188628418203869,0.296458506234739,0.515262563758912,2.0,1.0,1.999888578095566,0.3641650676360053,development_best,2.753178808018834,3.1044053670000453e-18,0.0838993472585758,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759,0.0599999999999999,False,False,True
s7218_r2_n000_a125,confirmatory,7218,2,0.0,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0853547334800911,0.2840500559814409,0.2656013712565538,0.2656013712565538,0.153261470563833,5.169968429299212,0.4188628418203869,0.296458506234739,0.515262563758912,2.0,1.0,1.999888578095566,0.3641650676360053,maximum_budget,2.753178808018834,3.1044053670000453e-18,0.0838993472585758,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759,0.0599999999999999,False,False,True
s7218_r2_n000_a125,confirmatory,7218,2,0.0,0.125,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4.0,0.5487418407321983,0.5,0.487418407321983,64.0,64.0,32.0,0.0795381485029915,0.264759776006675,0.2474956060731102,0.2474956060731102,0.1427060151449695,4.814088090712136,0.3902016212180797,0.296458506234739,0.515262563758912,2.0,0.8773235269937869,1.999888578095566,0.3401791661299966,rank_only,2.753178808018834,6.369104512224829e-17,0.0438993472585759,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759,0.02,False,False,True
s7218_r2_n000_a125,confirmatory,7218,2,0.0,0.125,joint_forward_feedback,balanced_contiguous_k2,balanced_contiguous,balanced,2.0,0.2987418407321983,0.25,0.487418407321983,64.0,64.0,16.0,0.0773426587271038,0.2573444345040535,0.240673793372885,0.2406737933728849,0.138946057521343,4.686947634055862,0.379619850894228,0.296458506234739,0.515262563758912,2.0,0.8536027579394595,1.999888578095566,0.3262237420541926,sampled_random,2.753178808018834,1.1238563824102878e-16,0.0238993472585759,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759,0.0,True,True,True
s7218_r2_n000_a375,confirmatory,7218,2,0.0,0.375,joint_forward_feedback,comb_contiguous_k8,comb_contiguous,comb,8.0,1.1,1.0,1.0,64.0,64.0,64.0,0.108464015509192,0.2549081281565459,0.3525653086339885,0.3525653086339885,0.2038312018276576,6.875163767119034,0.5563965104616462,0.4382087816111697,0.5166608257694503,2.0,0.9999999999999996,1.9751372621797825,0.3060399968369167,moment_selector,2.753178808018834,1.5143798110014505e-21,0.088,balanced_contiguous_k2,2,balanced_contiguous,0.0246742727336373,0.0633257272663627,False,False,False
s7218_r2_n000_a375,confirmatory,7218,2,0.0,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0607205440638711,0.2711686964001553,0.1844674063594474,0.1844674063594474,0.1058518990196781,3.5717281749891483,0.2903193053791256,0.2161194322858922,0.5166608257694503,2.0,0.9999999999999996,1.9905245024805327,0.4333856579000024,development_best,2.753178808018834,1.5338779029946078e-12,0.0838993472601097,balanced_contiguous_k2,2,balanced_contiguous,0.0246742727336373,0.059225074526472396,False,False,True
s7218_r2_n000_a375,confirmatory,7218,2,0.0,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0607205440638711,0.2711686964001553,0.1844674063594474,0.1844674063594474,0.1058518990196781,3.5717281749891483,0.2903193053791256,0.2161194322858922,0.5166608257694503,2.0,0.9999999999999996,1.9905245024805327,0.4333856579000024,maximum_budget,2.753178808018834,1.5338779029946078e-12,0.0838993472601097,balanced_contiguous_k2,2,balanced_contiguous,0.0246742727336373,0.059225074526472396,False,False,True
s7218_r2_n000_a375,confirmatory,7218,2,0.0,0.375,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4.0,0.5487418407321983,0.5,0.487418407321983,64.0,64.0,32.0,0.0255830309333991,0.1142204321549957,0.0777219267701369,0.0777219267701369,0.0446324485931311,1.5059602817503333,0.1223543753632681,0.2161194322858922,0.5166608257694503,2.0,0.284989117162395,1.9905245024805327,0.4901255144173014,rank_only,2.753178808018834,0.0001360217970511,0.044035369055627,balanced_contiguous_k2,2,balanced_contiguous,0.0246742727336373,0.0193610963219897,False,False,True
s7218_r2_n000_a375,confirmatory,7218,2,0.0,0.375,joint_forward_feedback,comb_contiguous_k4,comb_contiguous,comb,4.0,0.6,0.5,1.0,64.0,64.0,32.0,0.0647898531308323,0.1514608236362706,0.2107804752649783,0.2107804752649784,0.1239146388182734,4.176048917449728,0.3346951140832518,0.4382087816111697,0.5166608257694503,2.0,0.516802131050445,1.9751372621797825,0.38628277515499,sampled_random,2.753178808018834,1.5549505446037e-09,0.0480000015549505,balanced_contiguous_k2,2,balanced_contiguous,0.0246742727336373,0.023325728821313202,False,False,False
s7218_r2_n750_a125,confirmatory,7218,2,0.75,0.125,joint_forward_feedback,comb_contiguous_k8,comb_contiguous,comb,8.0,1.1,1.0,1.0,64.0,64.0,64.0,0.111720774311472,0.2361753796925082,0.3698924559405858,0.3698924559405858,0.3115520320293898,10.339557480881062,0.6814444879699757,0.4250654897015732,0.8241351843291105,2.0,1.0,1.973795219603436,0.6045479160793107,moment_selector,2.753178808018834,0.304543531745362,0.392543531745362,balanced_contiguous_k2,2,balanced_contiguous,0.3208309113191005,0.07171262042626148,False,False,False
s7218_r2_n750_a125,confirmatory,7218,2,0.75,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0874526297837705,0.2539657543599143,0.2761357512897763,0.2761357512897763,0.2302438544746978,7.643939094480108,0.5063796057644743,0.296458506234739,0.8241351843291105,2.0,1.0,1.999888578095566,0.6672618045614926,development_best,2.753178808018834,0.2981901317644288,0.3820894790230046,balanced_contiguous_k2,2,balanced_contiguous,0.3208309113191005,0.06125856770390409,False,False,True
