JobID	JobName	Partition	Account	AllocCPUS	ElapsedRaw	TotalCPU	State	ExitCode	Start	End	NodeList
44624676_12.extern	extern		kempner_dev	1	12	00:00:00	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:41	holy7c24403
44624676_13	tree_select_confirm	shared	kempner_dev	1	11	00:07.709	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:40	holy7c24403
44624676_13.batch	batch		kempner_dev	1	11	00:07.709	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:40	holy7c24403
44624676_13.extern	extern		kempner_dev	1	12	00:00:00	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:41	holy7c24403
44624676_14	tree_select_confirm	shared	kempner_dev	1	15	00:07.693	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:44	holy7c24402
44624676_14.batch	batch		kempner_dev	1	15	00:07.693	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:44	holy7c24402
44624676_14.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:44	holy7c24402
44624676_15	tree_select_confirm	shared	kempner_dev	1	14	00:07.755	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:46	holy7c24401
44624676_15.batch	batch		kempner_dev	1	14	00:07.755	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:46	holy7c24401
44624676_15.extern	extern		kempner_dev	1	14	00:00:00	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:46	holy7c24401
44624676_16	tree_select_confirm	shared	kempner_dev	1	11	00:07.619	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_16.batch	batch		kempner_dev	1	11	00:07.619	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_16.extern	extern		kempner_dev	1	11	00:00:00	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_17	tree_select_confirm	shared	kempner_dev	1	11	00:07.556	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_17.batch	batch		kempner_dev	1	11	00:07.556	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_17.extern	extern		kempner_dev	1	11	00:00:00	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_18	tree_select_confirm	shared	kempner_dev	1	11	00:07.598	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_18.batch	batch		kempner_dev	1	11	00:07.598	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_18.extern	extern		kempner_dev	1	11	00:00:00	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_19	tree_select_confirm	shared	kempner_dev	1	11	00:07.618	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_19.batch	batch		kempner_dev	1	11	00:07.618	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624676_19.extern	extern		kempner_dev	1	11	00:00:00	COMPLETED	0:0	2026-09-05T12:12:32	2026-09-05T12:12:43	holy7c24304
44624938_0	tree_select_step1	shared	kempner_dev	1	13	00:03.364	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24604
44624938_0.batch	batch		kempner_dev	1	13	00:03.364	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24604
44624938_0.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
