task_id,arm,seed,rank,noise_sd,angle_pi,endpoint,spearman_rho
s7200_r8_n000_a375,joint_forward_feedback,7200,8,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7200_r8_n000_a375,joint_forward_feedback,7200,8,0.0,0.375,actual_training_first_step_test_decrease,0.9879699248120299
s7200_r8_n750_a125,feedback_only,7200,8,0.75,0.125,exact_expected_calibration_decrease,1.0
s7200_r8_n750_a125,feedback_only,7200,8,0.75,0.125,actual_training_first_step_test_decrease,0.9736434108527134
s7200_r8_n750_a125,joint_forward_feedback,7200,8,0.75,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7200_r8_n750_a125,joint_forward_feedback,7200,8,0.75,0.125,actual_training_first_step_test_decrease,0.9368421052631578
s7200_r8_n750_a375,feedback_only,7200,8,0.75,0.375,exact_expected_calibration_decrease,1.0
s7200_r8_n750_a375,feedback_only,7200,8,0.75,0.375,actual_training_first_step_test_decrease,0.9751937984496124
s7200_r8_n750_a375,joint_forward_feedback,7200,8,0.75,0.375,exact_expected_calibration_decrease,1.0
s7200_r8_n750_a375,joint_forward_feedback,7200,8,0.75,0.375,actual_training_first_step_test_decrease,0.9729323308270676
s7201_r1_n000_a125,feedback_only,7201,1,0.0,0.125,exact_expected_calibration_decrease,1.0
s7201_r1_n000_a125,feedback_only,7201,1,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7201_r1_n000_a125,joint_forward_feedback,7201,1,0.0,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7201_r1_n000_a125,joint_forward_feedback,7201,1,0.0,0.125,actual_training_first_step_test_decrease,0.9969924812030074
s7201_r1_n000_a375,feedback_only,7201,1,0.0,0.375,exact_expected_calibration_decrease,1.0
s7201_r1_n000_a375,feedback_only,7201,1,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7201_r1_n000_a375,joint_forward_feedback,7201,1,0.0,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7201_r1_n000_a375,joint_forward_feedback,7201,1,0.0,0.375,actual_training_first_step_test_decrease,0.9969924812030074
s7201_r1_n750_a125,feedback_only,7201,1,0.75,0.125,exact_expected_calibration_decrease,1.0
s7201_r1_n750_a125,feedback_only,7201,1,0.75,0.125,actual_training_first_step_test_decrease,1.0
s7201_r1_n750_a125,joint_forward_feedback,7201,1,0.75,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7201_r1_n750_a125,joint_forward_feedback,7201,1,0.75,0.125,actual_training_first_step_test_decrease,0.9969924812030074
s7201_r1_n750_a375,feedback_only,7201,1,0.75,0.375,exact_expected_calibration_decrease,1.0
s7201_r1_n750_a375,feedback_only,7201,1,0.75,0.375,actual_training_first_step_test_decrease,1.0
s7201_r1_n750_a375,joint_forward_feedback,7201,1,0.75,0.375,exact_expected_calibration_decrease,0.9954887218045112
s7201_r1_n750_a375,joint_forward_feedback,7201,1,0.75,0.375,actual_training_first_step_test_decrease,0.9954887218045112
s7201_r2_n000_a125,feedback_only,7201,2,0.0,0.125,exact_expected_calibration_decrease,1.0
s7201_r2_n000_a125,feedback_only,7201,2,0.0,0.125,actual_training_first_step_test_decrease,0.9984496124031008
s7201_r2_n000_a125,joint_forward_feedback,7201,2,0.0,0.125,exact_expected_calibration_decrease,0.9954887218045112
s7201_r2_n000_a125,joint_forward_feedback,7201,2,0.0,0.125,actual_training_first_step_test_decrease,0.9969924812030074
s7201_r2_n000_a375,feedback_only,7201,2,0.0,0.375,exact_expected_calibration_decrease,0.9968992248062016
s7201_r2_n000_a375,feedback_only,7201,2,0.0,0.375,actual_training_first_step_test_decrease,0.9968992248062016
s7201_r2_n000_a375,joint_forward_feedback,7201,2,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7201_r2_n000_a375,joint_forward_feedback,7201,2,0.0,0.375,actual_training_first_step_test_decrease,0.993984962406015
s7201_r2_n750_a125,feedback_only,7201,2,0.75,0.125,exact_expected_calibration_decrease,1.0
s7201_r2_n750_a125,feedback_only,7201,2,0.75,0.125,actual_training_first_step_test_decrease,0.9984496124031008
s7201_r2_n750_a125,joint_forward_feedback,7201,2,0.75,0.125,exact_expected_calibration_decrease,0.9954887218045112
s7201_r2_n750_a125,joint_forward_feedback,7201,2,0.75,0.125,actual_training_first_step_test_decrease,0.9924812030075187
s7201_r2_n750_a375,feedback_only,7201,2,0.75,0.375,exact_expected_calibration_decrease,0.9984496124031008
s7201_r2_n750_a375,feedback_only,7201,2,0.75,0.375,actual_training_first_step_test_decrease,0.9937984496124034
s7201_r2_n750_a375,joint_forward_feedback,7201,2,0.75,0.375,exact_expected_calibration_decrease,0.9924812030075187
s7201_r2_n750_a375,joint_forward_feedback,7201,2,0.75,0.375,actual_training_first_step_test_decrease,0.9744360902255638
s7201_r4_n000_a125,feedback_only,7201,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7201_r4_n000_a125,feedback_only,7201,4,0.0,0.125,actual_training_first_step_test_decrease,0.9937984496124034
s7201_r4_n000_a125,joint_forward_feedback,7201,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7201_r4_n000_a125,joint_forward_feedback,7201,4,0.0,0.125,actual_training_first_step_test_decrease,0.9609022556390976
s7201_r4_n000_a375,feedback_only,7201,4,0.0,0.375,exact_expected_calibration_decrease,1.0
s7201_r4_n000_a375,feedback_only,7201,4,0.0,0.375,actual_training_first_step_test_decrease,0.9534883720930233
s7201_r4_n000_a375,joint_forward_feedback,7201,4,0.0,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7201_r4_n000_a375,joint_forward_feedback,7201,4,0.0,0.375,actual_training_first_step_test_decrease,0.9593984962406013
s7201_r4_n750_a125,feedback_only,7201,4,0.75,0.125,exact_expected_calibration_decrease,1.0
s7201_r4_n750_a125,feedback_only,7201,4,0.75,0.125,actual_training_first_step_test_decrease,0.9937984496124034
s7201_r4_n750_a125,joint_forward_feedback,7201,4,0.75,0.125,exact_expected_calibration_decrease,0.9924812030075187
s7201_r4_n750_a125,joint_forward_feedback,7201,4,0.75,0.125,actual_training_first_step_test_decrease,0.9759398496240601
s7201_r4_n750_a375,feedback_only,7201,4,0.75,0.375,exact_expected_calibration_decrease,1.0
s7201_r4_n750_a375,feedback_only,7201,4,0.75,0.375,actual_training_first_step_test_decrease,0.9317829457364343
s7201_r4_n750_a375,joint_forward_feedback,7201,4,0.75,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7201_r4_n750_a375,joint_forward_feedback,7201,4,0.75,0.375,actual_training_first_step_test_decrease,0.9503759398496241
s7201_r8_n000_a125,feedback_only,7201,8,0.0,0.125,exact_expected_calibration_decrease,1.0
s7201_r8_n000_a125,feedback_only,7201,8,0.0,0.125,actual_training_first_step_test_decrease,0.9410852713178296
s7201_r8_n000_a125,joint_forward_feedback,7201,8,0.0,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7201_r8_n000_a125,joint_forward_feedback,7201,8,0.0,0.125,actual_training_first_step_test_decrease,0.9759398496240601
s7201_r8_n000_a375,feedback_only,7201,8,0.0,0.375,exact_expected_calibration_decrease,1.0
s7201_r8_n000_a375,feedback_only,7201,8,0.0,0.375,actual_training_first_step_test_decrease,0.9596899224806201
s7201_r8_n000_a375,joint_forward_feedback,7201,8,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7201_r8_n000_a375,joint_forward_feedback,7201,8,0.0,0.375,actual_training_first_step_test_decrease,0.9533834586466164
s7201_r8_n750_a125,feedback_only,7201,8,0.75,0.125,exact_expected_calibration_decrease,1.0
s7201_r8_n750_a125,feedback_only,7201,8,0.75,0.125,actual_training_first_step_test_decrease,0.9426356589147289
s7201_r8_n750_a125,joint_forward_feedback,7201,8,0.75,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7201_r8_n750_a125,joint_forward_feedback,7201,8,0.75,0.125,actual_training_first_step_test_decrease,0.9578947368421054
s7201_r8_n750_a375,feedback_only,7201,8,0.75,0.375,exact_expected_calibration_decrease,1.0
s7201_r8_n750_a375,feedback_only,7201,8,0.75,0.375,actual_training_first_step_test_decrease,0.9457364341085271
s7201_r8_n750_a375,joint_forward_feedback,7201,8,0.75,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7201_r8_n750_a375,joint_forward_feedback,7201,8,0.75,0.375,actual_training_first_step_test_decrease,0.9669172932330825
s7202_r1_n000_a125,feedback_only,7202,1,0.0,0.125,exact_expected_calibration_decrease,1.0
s7202_r1_n000_a125,feedback_only,7202,1,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7202_r1_n000_a125,joint_forward_feedback,7202,1,0.0,0.125,exact_expected_calibration_decrease,0.9879699248120299
s7202_r1_n000_a125,joint_forward_feedback,7202,1,0.0,0.125,actual_training_first_step_test_decrease,0.9879699248120299
s7202_r1_n000_a375,feedback_only,7202,1,0.0,0.375,exact_expected_calibration_decrease,1.0
s7202_r1_n000_a375,feedback_only,7202,1,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7202_r1_n000_a375,joint_forward_feedback,7202,1,0.0,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7202_r1_n000_a375,joint_forward_feedback,7202,1,0.0,0.375,actual_training_first_step_test_decrease,0.9969924812030074
s7202_r1_n750_a125,feedback_only,7202,1,0.75,0.125,exact_expected_calibration_decrease,1.0
s7202_r1_n750_a125,feedback_only,7202,1,0.75,0.125,actual_training_first_step_test_decrease,1.0
s7202_r1_n750_a125,joint_forward_feedback,7202,1,0.75,0.125,exact_expected_calibration_decrease,0.9864661654135337
s7202_r1_n750_a125,joint_forward_feedback,7202,1,0.75,0.125,actual_training_first_step_test_decrease,0.9864661654135337
s7202_r1_n750_a375,feedback_only,7202,1,0.75,0.375,exact_expected_calibration_decrease,1.0
s7202_r1_n750_a375,feedback_only,7202,1,0.75,0.375,actual_training_first_step_test_decrease,1.0
s7202_r1_n750_a375,joint_forward_feedback,7202,1,0.75,0.375,exact_expected_calibration_decrease,0.9954887218045112
s7202_r1_n750_a375,joint_forward_feedback,7202,1,0.75,0.375,actual_training_first_step_test_decrease,0.9954887218045112
s7202_r2_n000_a125,feedback_only,7202,2,0.0,0.125,exact_expected_calibration_decrease,0.9984496124031008
s7202_r2_n000_a125,feedback_only,7202,2,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7202_r2_n000_a125,joint_forward_feedback,7202,2,0.0,0.125,exact_expected_calibration_decrease,0.9954887218045112
s7202_r2_n000_a125,joint_forward_feedback,7202,2,0.0,0.125,actual_training_first_step_test_decrease,0.993984962406015
s7202_r2_n000_a375,feedback_only,7202,2,0.0,0.375,exact_expected_calibration_decrease,0.9984496124031008
s7202_r2_n000_a375,feedback_only,7202,2,0.0,0.375,actual_training_first_step_test_decrease,0.9984496124031008
s7202_r2_n000_a375,joint_forward_feedback,7202,2,0.0,0.375,exact_expected_calibration_decrease,0.9909774436090225
s7202_r2_n000_a375,joint_forward_feedback,7202,2,0.0,0.375,actual_training_first_step_test_decrease,0.9849624060150375
s7202_r2_n750_a125,feedback_only,7202,2,0.75,0.125,exact_expected_calibration_decrease,0.9984496124031008
s7202_r2_n750_a125,feedback_only,7202,2,0.75,0.125,actual_training_first_step_test_decrease,0.9984496124031008
s7202_r2_n750_a125,joint_forward_feedback,7202,2,0.75,0.125,exact_expected_calibration_decrease,0.993984962406015
s7202_r2_n750_a125,joint_forward_feedback,7202,2,0.75,0.125,actual_training_first_step_test_decrease,0.9879699248120299
s7202_r2_n750_a375,feedback_only,7202,2,0.75,0.375,exact_expected_calibration_decrease,0.9968992248062016
s7202_r2_n750_a375,feedback_only,7202,2,0.75,0.375,actual_training_first_step_test_decrease,0.9844961240310078
s7202_r2_n750_a375,joint_forward_feedback,7202,2,0.75,0.375,exact_expected_calibration_decrease,0.9894736842105262
s7202_r2_n750_a375,joint_forward_feedback,7202,2,0.75,0.375,actual_training_first_step_test_decrease,0.9759398496240601
s7202_r4_n000_a125,feedback_only,7202,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7202_r4_n000_a125,feedback_only,7202,4,0.0,0.125,actual_training_first_step_test_decrease,0.9875968992248063
s7202_r4_n000_a125,joint_forward_feedback,7202,4,0.0,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7202_r4_n000_a125,joint_forward_feedback,7202,4,0.0,0.125,actual_training_first_step_test_decrease,0.9654135338345864
s7202_r4_n000_a375,feedback_only,7202,4,0.0,0.375,exact_expected_calibration_decrease,1.0
s7202_r4_n000_a375,feedback_only,7202,4,0.0,0.375,actual_training_first_step_test_decrease,0.9658914728682173
s7202_r4_n000_a375,joint_forward_feedback,7202,4,0.0,0.375,exact_expected_calibration_decrease,1.0
s7202_r4_n000_a375,joint_forward_feedback,7202,4,0.0,0.375,actual_training_first_step_test_decrease,0.9609022556390976
s7202_r4_n750_a125,feedback_only,7202,4,0.75,0.125,exact_expected_calibration_decrease,1.0
s7202_r4_n750_a125,feedback_only,7202,4,0.75,0.125,actual_training_first_step_test_decrease,0.9426356589147289
s7202_r4_n750_a125,joint_forward_feedback,7202,4,0.75,0.125,exact_expected_calibration_decrease,0.9909774436090225
s7202_r4_n750_a125,joint_forward_feedback,7202,4,0.75,0.125,actual_training_first_step_test_decrease,0.9413533834586465
s7202_r4_n750_a375,feedback_only,7202,4,0.75,0.375,exact_expected_calibration_decrease,0.9968992248062016
s7202_r4_n750_a375,feedback_only,7202,4,0.75,0.375,actual_training_first_step_test_decrease,0.9627906976744188
s7202_r4_n750_a375,joint_forward_feedback,7202,4,0.75,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7202_r4_n750_a375,joint_forward_feedback,7202,4,0.75,0.375,actual_training_first_step_test_decrease,0.9593984962406013
s7202_r8_n000_a125,feedback_only,7202,8,0.0,0.125,exact_expected_calibration_decrease,0.9984496124031008
s7202_r8_n000_a125,feedback_only,7202,8,0.0,0.125,actual_training_first_step_test_decrease,0.972093023255814
s7202_r8_n000_a125,joint_forward_feedback,7202,8,0.0,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7202_r8_n000_a125,joint_forward_feedback,7202,8,0.0,0.125,actual_training_first_step_test_decrease,0.9639097744360902
s7202_r8_n000_a375,feedback_only,7202,8,0.0,0.375,exact_expected_calibration_decrease,1.0
s7202_r8_n000_a375,feedback_only,7202,8,0.0,0.375,actual_training_first_step_test_decrease,0.9844961240310078
s7202_r8_n000_a375,joint_forward_feedback,7202,8,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7202_r8_n000_a375,joint_forward_feedback,7202,8,0.0,0.375,actual_training_first_step_test_decrease,0.9759398496240601
s7202_r8_n750_a125,feedback_only,7202,8,0.75,0.125,exact_expected_calibration_decrease,1.0
s7202_r8_n750_a125,feedback_only,7202,8,0.75,0.125,actual_training_first_step_test_decrease,0.9658914728682173
s7202_r8_n750_a125,joint_forward_feedback,7202,8,0.75,0.125,exact_expected_calibration_decrease,0.993984962406015
s7202_r8_n750_a125,joint_forward_feedback,7202,8,0.75,0.125,actual_training_first_step_test_decrease,0.9669172932330825
s7202_r8_n750_a375,feedback_only,7202,8,0.75,0.375,exact_expected_calibration_decrease,1.0
s7202_r8_n750_a375,feedback_only,7202,8,0.75,0.375,actual_training_first_step_test_decrease,0.9674418604651163
s7202_r8_n750_a375,joint_forward_feedback,7202,8,0.75,0.375,exact_expected_calibration_decrease,1.0
s7202_r8_n750_a375,joint_forward_feedback,7202,8,0.75,0.375,actual_training_first_step_test_decrease,0.9654135338345864
s7203_r1_n000_a125,feedback_only,7203,1,0.0,0.125,exact_expected_calibration_decrease,1.0
s7203_r1_n000_a125,feedback_only,7203,1,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7203_r1_n000_a125,joint_forward_feedback,7203,1,0.0,0.125,exact_expected_calibration_decrease,0.9834586466165413
s7203_r1_n000_a125,joint_forward_feedback,7203,1,0.0,0.125,actual_training_first_step_test_decrease,0.9834586466165413
s7203_r1_n000_a375,feedback_only,7203,1,0.0,0.375,exact_expected_calibration_decrease,1.0
s7203_r1_n000_a375,feedback_only,7203,1,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7203_r1_n000_a375,joint_forward_feedback,7203,1,0.0,0.375,exact_expected_calibration_decrease,0.9909774436090225
s7203_r1_n000_a375,joint_forward_feedback,7203,1,0.0,0.375,actual_training_first_step_test_decrease,0.9909774436090225
s7203_r1_n750_a125,feedback_only,7203,1,0.75,0.125,exact_expected_calibration_decrease,1.0
s7203_r1_n750_a125,feedback_only,7203,1,0.75,0.125,actual_training_first_step_test_decrease,1.0
s7203_r1_n750_a125,joint_forward_feedback,7203,1,0.75,0.125,exact_expected_calibration_decrease,0.9819548872180449
s7203_r1_n750_a125,joint_forward_feedback,7203,1,0.75,0.125,actual_training_first_step_test_decrease,0.9819548872180449
s7203_r1_n750_a375,feedback_only,7203,1,0.75,0.375,exact_expected_calibration_decrease,1.0
s7203_r1_n750_a375,feedback_only,7203,1,0.75,0.375,actual_training_first_step_test_decrease,1.0
s7203_r1_n750_a375,joint_forward_feedback,7203,1,0.75,0.375,exact_expected_calibration_decrease,0.9894736842105262
s7203_r1_n750_a375,joint_forward_feedback,7203,1,0.75,0.375,actual_training_first_step_test_decrease,0.9894736842105262
s7203_r2_n000_a125,feedback_only,7203,2,0.0,0.125,exact_expected_calibration_decrease,1.0
s7203_r2_n000_a125,feedback_only,7203,2,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7203_r2_n000_a125,joint_forward_feedback,7203,2,0.0,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7203_r2_n000_a125,joint_forward_feedback,7203,2,0.0,0.125,actual_training_first_step_test_decrease,0.9819548872180449
s7203_r2_n000_a375,feedback_only,7203,2,0.0,0.375,exact_expected_calibration_decrease,1.0
s7203_r2_n000_a375,feedback_only,7203,2,0.0,0.375,actual_training_first_step_test_decrease,0.9984496124031008
s7203_r2_n000_a375,joint_forward_feedback,7203,2,0.0,0.375,exact_expected_calibration_decrease,0.9954887218045112
s7203_r2_n000_a375,joint_forward_feedback,7203,2,0.0,0.375,actual_training_first_step_test_decrease,0.993984962406015
s7203_r2_n750_a125,feedback_only,7203,2,0.75,0.125,exact_expected_calibration_decrease,1.0
s7203_r2_n750_a125,feedback_only,7203,2,0.75,0.125,actual_training_first_step_test_decrease,0.9984496124031008
s7203_r2_n750_a125,joint_forward_feedback,7203,2,0.75,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7203_r2_n750_a125,joint_forward_feedback,7203,2,0.75,0.125,actual_training_first_step_test_decrease,0.9789473684210527
s7203_r2_n750_a375,feedback_only,7203,2,0.75,0.375,exact_expected_calibration_decrease,1.0
s7203_r2_n750_a375,feedback_only,7203,2,0.75,0.375,actual_training_first_step_test_decrease,0.9984496124031008
s7203_r2_n750_a375,joint_forward_feedback,7203,2,0.75,0.375,exact_expected_calibration_decrease,0.9954887218045112
s7203_r2_n750_a375,joint_forward_feedback,7203,2,0.75,0.375,actual_training_first_step_test_decrease,0.9954887218045112
s7203_r4_n000_a125,feedback_only,7203,4,0.0,0.125,exact_expected_calibration_decrease,0.9953488372093025
s7203_r4_n000_a125,feedback_only,7203,4,0.0,0.125,actual_training_first_step_test_decrease,0.9798449612403102
s7203_r4_n000_a125,joint_forward_feedback,7203,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7203_r4_n000_a125,joint_forward_feedback,7203,4,0.0,0.125,actual_training_first_step_test_decrease,0.9879699248120299
s7203_r4_n000_a375,feedback_only,7203,4,0.0,0.375,exact_expected_calibration_decrease,0.9984496124031008
s7203_r4_n000_a375,feedback_only,7203,4,0.0,0.375,actual_training_first_step_test_decrease,0.992248062015504
s7203_r4_n000_a375,joint_forward_feedback,7203,4,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7203_r4_n000_a375,joint_forward_feedback,7203,4,0.0,0.375,actual_training_first_step_test_decrease,0.9714285714285714
s7203_r4_n750_a125,feedback_only,7203,4,0.75,0.125,exact_expected_calibration_decrease,0.992248062015504
s7203_r4_n750_a125,feedback_only,7203,4,0.75,0.125,actual_training_first_step_test_decrease,0.970542635658915
s7203_r4_n750_a125,joint_forward_feedback,7203,4,0.75,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7203_r4_n750_a125,joint_forward_feedback,7203,4,0.75,0.125,actual_training_first_step_test_decrease,0.9413533834586465
s7203_r4_n750_a375,feedback_only,7203,4,0.75,0.375,exact_expected_calibration_decrease,0.9984496124031008
s7203_r4_n750_a375,feedback_only,7203,4,0.75,0.375,actual_training_first_step_test_decrease,0.992248062015504
s7203_r4_n750_a375,joint_forward_feedback,7203,4,0.75,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7203_r4_n750_a375,joint_forward_feedback,7203,4,0.75,0.375,actual_training_first_step_test_decrease,0.9548872180451128
s7203_r8_n000_a125,feedback_only,7203,8,0.0,0.125,exact_expected_calibration_decrease,1.0
s7203_r8_n000_a125,feedback_only,7203,8,0.0,0.125,actual_training_first_step_test_decrease,0.9441860465116282
s7203_r8_n000_a125,joint_forward_feedback,7203,8,0.0,0.125,exact_expected_calibration_decrease,0.9984962406015038
s7203_r8_n000_a125,joint_forward_feedback,7203,8,0.0,0.125,actual_training_first_step_test_decrease,0.9428571428571428
s7203_r8_n000_a375,feedback_only,7203,8,0.0,0.375,exact_expected_calibration_decrease,1.0
s7203_r8_n000_a375,feedback_only,7203,8,0.0,0.375,actual_training_first_step_test_decrease,0.9751937984496124
s7203_r8_n000_a375,joint_forward_feedback,7203,8,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7203_r8_n000_a375,joint_forward_feedback,7203,8,0.0,0.375,actual_training_first_step_test_decrease,0.9248120300751879
s7203_r8_n750_a125,feedback_only,7203,8,0.75,0.125,exact_expected_calibration_decrease,1.0
