arm,policy,seed,regret,test_loss,penalized_test_loss
feedback_only,moment_selector,7210,0.0927403561081409,0.2254523503893705,0.2803195547908035
feedback_only,moment_selector,7211,0.08906914360988509,0.22319391198740812,0.27726468781741254
feedback_only,moment_selector,7212,0.083584410753682,0.23652464188521474,0.27197604193986935
feedback_only,moment_selector,7213,0.05434140775155443,0.1817008038375527,0.2432467366667011
feedback_only,moment_selector,7214,0.09914445321530331,0.23325695664498242,0.28637090361613204
feedback_only,moment_selector,7215,0.09382651987023038,0.22481107401303982,0.27955826017911906
feedback_only,moment_selector,7216,0.07453069027695179,0.20349011992323862,0.2645216100389573
feedback_only,moment_selector,7217,0.0956067555576629,0.2309071093713324,0.28745304220048085
feedback_only,moment_selector,7218,0.07484902493074878,0.20928162706051096,0.2646567737782347
feedback_only,moment_selector,7219,0.09061185450125286,0.22569612244118117,0.27760805129243504
feedback_only,rank_only,7200,0.00817681380936063,0.14584754924886403,0.19505190985516313
feedback_only,rank_only,7201,0.007964903873255208,0.14744059318796265,0.19664495379426172
feedback_only,rank_only,7202,0.00819036296388119,0.147395570634312,0.19659993124061106
feedback_only,rank_only,7203,0.00826283344557043,0.14700707948344782,0.19621144008974692
feedback_only,rank_only,7204,0.008741033218826256,0.14966352209831077,0.19886788270460984
feedback_only,rank_only,7205,0.007931043563181936,0.14798459475946643,0.19718895536576553
feedback_only,rank_only,7206,0.009035590129534666,0.15319893589474198,0.20240329650104108
feedback_only,rank_only,7207,0.007894231693458592,0.14530993794697916,0.19451429855327823
feedback_only,rank_only,7208,0.007822577548538674,0.1465103363811342,0.19571469698743327
feedback_only,rank_only,7209,0.008008443786335797,0.1480142653020952,0.19721862590839426
feedback_only,rank_only,7210,0.007991817360482514,0.14636665543684604,0.1955710160431451
feedback_only,rank_only,7211,0.008332602013357598,0.14732378561458598,0.19652814622088505
feedback_only,rank_only,7212,0.008388221444592073,0.1475754920244803,0.1967798526307794
feedback_only,rank_only,7213,0.008759678719862246,0.14846064702870984,0.19766500763500894
feedback_only,rank_only,7214,0.008208426227544328,0.146230516022074,0.19543487662837308
feedback_only,rank_only,7215,0.008021250518839024,0.14454863022142864,0.19375299082772773
feedback_only,rank_only,7216,0.008256894732999846,0.1490434538887063,0.19824781449500536
feedback_only,rank_only,7217,0.00866725675729864,0.15130918279381753,0.2005135434001166
feedback_only,rank_only,7218,0.008587790905925534,0.14919117914711238,0.19839553975341145
feedback_only,rank_only,7219,0.008955249201515716,0.1467470853863988,0.1959514459926979
feedback_only,sampled_random,7200,0.12253694965738669,0.2688000966391801,0.3094120457031892
feedback_only,sampled_random,7201,0.11285936665393685,0.259385590938054,0.3015394165749434
feedback_only,sampled_random,7202,0.11102470462285295,0.25690156183583396,0.29943427289958285
feedback_only,sampled_random,7203,0.1416741661702352,0.27988830193429326,0.32962277281441166
feedback_only,sampled_random,7204,0.1270612461823008,0.2634147341635952,0.31718809566808437
feedback_only,sampled_random,7205,0.11080477678497047,0.2608538254912565,0.300062688587554
feedback_only,sampled_random,7206,0.1092005671666071,0.2512491500338846,0.3025682735381135
feedback_only,sampled_random,7207,0.13811399260033974,0.2873384730181997,0.3247340594601594
feedback_only,sampled_random,7208,0.10381393262414779,0.24029838970201975,0.2917060520630424
feedback_only,sampled_random,7209,0.10836331173169853,0.24221462766435342,0.297573493853757
feedback_only,sampled_random,7210,0.11309792799226914,0.2583483326211194,0.30067712667493174
feedback_only,sampled_random,7211,0.14628021794062668,0.2924346022886757,0.33447576214815417
feedback_only,sampled_random,7212,0.12815825192852925,0.26969062183539805,0.31654988311471655
feedback_only,sampled_random,7213,0.15198740790042223,0.30410111998520156,0.3408927368155689
feedback_only,sampled_random,7214,0.127862906897385,0.2808680727014882,0.31508935729821375
feedback_only,sampled_random,7215,0.10457533701764159,0.249896911384752,0.29030707732653027
feedback_only,sampled_random,7216,0.09221131609585918,0.2330046948311024,0.2822022358578647
feedback_only,sampled_random,7217,0.15197398479390034,0.30405799700409936,0.3438202714367183
feedback_only,sampled_random,7218,0.1076547782985851,0.25898812190545095,0.297462527146071
feedback_only,sampled_random,7219,0.10806749076314867,0.2501354758874744,0.2950636875543309
feedback_only,uniform_random_expectation,7200,0.12566712299382124,0.26956990792738256,0.31254221903962376
feedback_only,uniform_random_expectation,7201,0.13002276024761772,0.2757304990563831,0.31870281016862423
feedback_only,uniform_random_expectation,7202,0.13040537279551062,0.2758426299599993,0.3188149410722405
feedback_only,uniform_random_expectation,7203,0.13818305141368367,0.283159346945619,0.32613165805786015
feedback_only,uniform_random_expectation,7204,0.13063427927573282,0.2777888176492752,0.3207611287615164
feedback_only,uniform_random_expectation,7205,0.1330734521270542,0.2793590528173966,0.3223313639296378
feedback_only,uniform_random_expectation,7206,0.131456478100991,0.28185187336025624,0.3248241844724974
feedback_only,uniform_random_expectation,7207,0.13024612068747332,0.27389387643505175,0.316866187547293
feedback_only,uniform_random_expectation,7208,0.12826555246129376,0.2731853607879472,0.31615767190018834
feedback_only,uniform_random_expectation,7209,0.13272262025175283,0.2789604912615701,0.3219328023738113
feedback_only,uniform_random_expectation,7210,0.13141272010258923,0.27601960767301065,0.31899191878525185
feedback_only,uniform_random_expectation,7211,0.1333452885173076,0.2785685216125939,0.321540832724835
feedback_only,uniform_random_expectation,7212,0.13491052320799,0.2803298432819361,0.3233021543941773
feedback_only,uniform_random_expectation,7213,0.12793100401638763,0.27386402181929315,0.3168363329315343
feedback_only,uniform_random_expectation,7214,0.12862537758569834,0.27287951687428585,0.31585182798652706
feedback_only,uniform_random_expectation,7215,0.1311588981486827,0.2739183273453302,0.3168906384575714
feedback_only,uniform_random_expectation,7216,0.14120502015444766,0.28822362880421204,0.3311959399164532
