somata,streams,task,forward,rule,rate,n,test_nmse,ood_1,ood_2,ood_3,bound_runs,at_training_cap
1,2,selection,tonic,uniform_rms,0.03,3,0.06277476832020559,0.06222830484043488,0.09131195988180187,0.4140559026545756,2,0
16,2,mixture,current,broadcast,0.03,3,0.1113314803972489,0.1072752103358428,,,0,0
16,2,mixture,current,exact,0.03,3,0.1150690384251799,0.11114159977088067,,,0,0
16,2,mixture,current,resistance,0.03,3,0.10221102259480024,0.09797727467458968,,,0,2
16,2,mixture,current,swapped,0.03,3,0.07116742212630868,0.06959577742444821,,,0,1
16,2,mixture,current,uniform_rms,0.03,3,0.09990684440382962,0.09707883279466085,,,0,0
16,2,mixture,shunt,broadcast,0.03,3,0.09434597531863882,0.09189630097141087,,,0,0
16,2,mixture,shunt,exact,0.03,3,0.0975240474938675,0.09625613891761553,,,0,0
16,2,mixture,shunt,resistance,0.03,3,0.09762224608303793,0.09632204452192011,,,0,0
16,2,mixture,shunt,swapped,0.03,3,0.07995513627862423,0.07824405429869029,,,0,1
16,2,mixture,shunt,uniform_rms,0.03,3,0.09204723175120948,0.08985608326684487,,,0,0
16,2,mixture,tonic,broadcast,0.03,3,0.11342711460705979,0.10979176349349373,,,0,0
16,2,mixture,tonic,exact,0.03,3,0.11305276513701151,0.10961086935942659,,,0,1
16,2,mixture,tonic,resistance,0.03,3,0.09453296621052192,0.09198303298012116,,,0,1
16,2,mixture,tonic,swapped,0.03,3,0.07107508303999978,0.06955587022132297,,,0,1
16,2,mixture,tonic,uniform_rms,0.03,3,0.09842400544262274,0.09593423118096478,,,0,0
16,2,selection,current,broadcast,0.03,3,0.06443085378821828,0.0633201796319322,0.09914111180718953,0.35877436390709666,0,1
16,2,selection,current,exact,0.03,3,0.0643604546060181,0.0631442107038326,0.09129562941158786,0.32014791634063466,0,2
16,2,selection,current,resistance,0.03,3,0.06332586262682972,0.06269629879955328,0.09495142951429943,0.31295545327202173,2,1
16,2,selection,current,swapped,0.03,3,0.06472306177599657,0.06376776741788605,0.1661289225462089,0.5396592405584159,0,2
16,2,selection,current,uniform_rms,0.03,3,0.0648484344393033,0.0635952739206598,0.09858216009157188,0.35637622315359585,0,1
16,2,selection,shunt,broadcast,0.03,3,0.06390366551767367,0.0634898590254766,0.06504647349384292,0.06852847148656797,0,0
16,2,selection,shunt,exact,0.03,3,0.06314409455899989,0.0621899735622408,0.06284533953437789,0.06333148050987743,0,0
16,2,selection,shunt,resistance,0.03,3,0.06332961889273042,0.06234354389296983,0.06299376881474412,0.06345469436146303,0,0
16,2,selection,shunt,swapped,0.01,3,0.06441378279449406,0.06283268919571111,0.07891349783758307,0.1214060984661565,0,0
16,2,selection,shunt,uniform_rms,0.03,3,0.06396360956601839,0.06354674409110818,0.06507397340002541,0.06848418214353798,0,0
16,2,selection,tonic,broadcast,0.03,3,0.06465874492035212,0.06345152134528727,0.1021565262924695,0.3735970370148877,0,1
16,2,selection,tonic,exact,0.03,3,0.06439321983332201,0.06319736903558293,0.0909302255128663,0.31826424313834334,0,2
16,2,selection,tonic,resistance,0.03,3,0.06331860516741196,0.06269371250045609,0.09274228813508816,0.3001144245445671,2,1
16,2,selection,tonic,swapped,0.03,3,0.06465535891645474,0.0636013256651732,0.16781034808540887,0.5447335963665451,0,2
16,2,selection,tonic,uniform_rms,0.03,3,0.0647663358405724,0.06357728557764904,0.1001291305014698,0.3660913427756822,0,1
16,4,mixture,current,broadcast,0.03,3,0.2506436414624181,0.24451175826294277,,,0,3
16,4,mixture,current,exact,0.03,3,0.25444459877130904,0.2483206937100968,,,2,3
16,4,mixture,current,resistance,0.03,3,0.3752065567255937,0.36853126930820324,,,0,1
16,4,mixture,current,swapped,0.03,3,0.20945132399017308,0.20911580918441444,,,0,3
16,4,mixture,current,uniform_rms,0.03,3,0.24489870178671516,0.2383300686259311,,,1,3
16,4,mixture,shunt,broadcast,0.03,3,0.1622428200000686,0.1592963091256727,,,0,2
16,4,mixture,shunt,exact,0.03,3,0.16632662835808956,0.16269686006275355,,,2,1
16,4,mixture,shunt,resistance,0.03,3,0.1668506375397416,0.1633265400589275,,,0,1
16,4,mixture,shunt,swapped,0.03,3,0.1579628599989792,0.15550356619152214,,,0,2
16,4,mixture,shunt,uniform_rms,0.03,3,0.1570910574346286,0.15439726618484262,,,0,2
16,4,mixture,tonic,broadcast,0.03,3,0.2522096339199693,0.24610322367063495,,,1,3
16,4,mixture,tonic,exact,0.03,3,0.2543308277068195,0.24823204906951837,,,2,3
16,4,mixture,tonic,resistance,0.03,3,0.37435322440622126,0.3679613344482819,,,0,1
16,4,mixture,tonic,swapped,0.03,3,0.19789419466311933,0.19717703981485776,,,1,3
16,4,mixture,tonic,uniform_rms,0.03,3,0.24695122191459162,0.2400684585295668,,,1,3
16,4,selection,current,broadcast,0.03,3,0.06846695830658027,0.06884863033357828,0.17552010148966357,0.9642462469274703,0,2
16,4,selection,current,exact,0.03,3,0.0680573036471963,0.0683927502278419,0.14758609857362004,0.8105767227248794,2,2
16,4,selection,current,resistance,0.03,3,0.06574893330053257,0.06584154875532468,0.13164969900097026,0.6604090275556714,3,2
16,4,selection,current,swapped,0.03,3,0.06933234797306025,0.07009483964818614,0.3085811989788969,1.2812131241177092,1,2
16,4,selection,current,uniform_rms,0.03,3,0.06859320005330287,0.06903170819734213,0.16890440399622983,0.9424264667420538,0,2
16,4,selection,shunt,broadcast,0.03,3,0.066204975268804,0.06670842936807996,0.07106529611400955,0.08304581703434576,0,2
16,4,selection,shunt,exact,0.03,3,0.06381277784379442,0.06441223788274664,0.06495855816916986,0.06531640477166512,0,1
16,4,selection,shunt,resistance,0.03,3,0.06392137647493078,0.06453394311880674,0.06514572909486538,0.06553718351199293,0,0
16,4,selection,shunt,swapped,0.03,3,0.06824297154554089,0.06891900224853006,0.08789364113340692,0.14750428574829946,2,2
16,4,selection,shunt,uniform_rms,0.03,3,0.0663781737604078,0.06688400362693665,0.07114811763288835,0.08263537359425151,0,2
16,4,selection,tonic,broadcast,0.03,3,0.068493351397735,0.06897419413431455,0.17351082143790916,0.9533878714124361,0,2
16,4,selection,tonic,exact,0.03,3,0.06833659079999552,0.0687396002281677,0.15494472665062092,0.8470897586001088,2,2
16,4,selection,tonic,resistance,0.03,3,0.06607346518011381,0.06624271306439071,0.14606213681323077,0.7354690286657921,3,2
16,4,selection,tonic,swapped,0.03,3,0.06907862489124737,0.06991768260415492,0.3157424464539011,1.3004078444121416,3,2
16,4,selection,tonic,uniform_rms,0.03,3,0.0685804284698403,0.06915828232643502,0.17191625965376112,0.949286760126764,0,2
