seed,variant,forward,trained_rule,delivered_rule,block,source_context,recipient_context,n_source,n_recipient,cosine,delivered_norm,exact_norm,dot,defined
2026092200,interaction,shunt,broadcast,uniform_rms,readout,0,0,496,496,1.0000000000000002,0.014754627884442748,0.014754627884442748,0.0002176990440083755,True
2026092200,interaction,shunt,broadcast,exact,terminal,0,1,496,500,0.001954909338856144,0.009262677941346642,0.012145420465404656,2.1992557684732796e-07,True
2026092200,interaction,shunt,broadcast,exact,proximal,0,1,496,500,0.37120424721227574,0.003863942754216008,0.006551722369697044,9.397213762301366e-06,True
2026092200,interaction,shunt,broadcast,exact,soma,0,1,496,500,-0.031319985860798975,0.002492101087686409,0.0014074835122896202,-1.0985770653507103e-07,True
2026092200,interaction,shunt,broadcast,exact,readout,0,1,496,500,0.8024045400372404,0.014754627884442748,0.03433282286217461,0.00040647248354213006,True
2026092200,interaction,shunt,broadcast,broadcast,terminal,0,1,496,500,0.016426767845004048,0.05496726386872603,0.012145420465404656,1.0966518944456087e-05,True
2026092200,interaction,shunt,broadcast,broadcast,proximal,0,1,496,500,0.22157888161711334,0.007032039105744927,0.006551722369697044,1.0208575124215722e-05,True
2026092200,interaction,shunt,broadcast,broadcast,soma,0,1,496,500,-0.031319985860798975,0.002492101087686409,0.0014074835122896202,-1.0985770653507103e-07,True
2026092200,interaction,shunt,broadcast,broadcast,readout,0,1,496,500,0.8024045400372404,0.014754627884442748,0.03433282286217461,0.00040647248354213006,True
2026092200,interaction,shunt,broadcast,resistance,terminal,0,1,496,500,0.0031887982745723424,0.02411502377472538,0.012145420465404656,9.339578895750483e-07,True
2026092200,interaction,shunt,broadcast,resistance,proximal,0,1,496,500,0.22157888161711334,0.007032039105744927,0.006551722369697044,1.0208575124215722e-05,True
2026092200,interaction,shunt,broadcast,resistance,soma,0,1,496,500,-0.031319985860798975,0.002492101087686409,0.0014074835122896202,-1.0985770653507103e-07,True
2026092200,interaction,shunt,broadcast,resistance,readout,0,1,496,500,0.8024045400372404,0.014754627884442748,0.03433282286217461,0.00040647248354213006,True
2026092200,interaction,shunt,broadcast,swapped,terminal,0,1,496,500,0.017238690332718246,0.03357529522439983,0.012145420465404656,7.02969791633341e-06,True
2026092200,interaction,shunt,broadcast,swapped,proximal,0,1,496,500,0.22157888161711334,0.007032039105744927,0.006551722369697044,1.0208575124215722e-05,True
2026092200,interaction,shunt,broadcast,swapped,soma,0,1,496,500,-0.031319985860798975,0.002492101087686409,0.0014074835122896202,-1.0985770653507103e-07,True
2026092200,interaction,shunt,broadcast,swapped,readout,0,1,496,500,0.8024045400372404,0.014754627884442748,0.03433282286217461,0.00040647248354213006,True
2026092200,interaction,shunt,broadcast,uniform_rms,terminal,0,1,496,500,0.016554160020392897,0.027622854174941012,0.012145420465404656,5.553774652816361e-06,True
2026092200,interaction,shunt,broadcast,uniform_rms,proximal,0,1,496,500,0.22157888161711334,0.007032039105744927,0.006551722369697044,1.0208575124215722e-05,True
2026092200,interaction,shunt,broadcast,uniform_rms,soma,0,1,496,500,-0.031319985860798975,0.002492101087686409,0.0014074835122896202,-1.0985770653507103e-07,True
2026092200,interaction,shunt,broadcast,uniform_rms,readout,0,1,496,500,0.8024045400372404,0.014754627884442748,0.03433282286217461,0.00040647248354213006,True
2026092200,interaction,shunt,broadcast,exact,terminal,0,2,496,511,0.02431145898942387,0.009262677941346642,0.0741040554657983,1.6687434071492978e-05,True
2026092200,interaction,shunt,broadcast,exact,proximal,0,2,496,511,0.1553385527241766,0.003863942754216008,0.08007098175097195,4.806014663504297e-05,True
