panel,record,branches,conflict_probability,condition,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_initial_signed_utility,ci95_low_initial_signed_utility,ci95_high_initial_signed_utility,predicted_boundary,trained_mean_curve_chance_crossing,first_at_or_below_chance_accuracy_dose,mean_context_switch_forgetting,ci95_low_context_switch_forgetting,ci95_high_context_switch_forgetting,contrast,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
F,held-out accuracy,2.0,1.0,neuron_shared_k1,20.0,0.4509000257,0.4022993976,0.5000006532,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.0,within_neuron_deranged,20.0,0.5485500246,0.5448000193,0.5525250226,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.25,within_neuron_deranged,20.0,0.5379000217,0.533825022,0.5422750205,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5,within_neuron_deranged,20.0,0.5043500245,0.5002750248,0.508750023,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5714285714,within_neuron_deranged,20.0,0.4745500222,0.4647750214,0.4821756516,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6,within_neuron_deranged,20.0,0.4679000214,0.4619000197,0.4738250196,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6666666667,within_neuron_deranged,20.0,0.3770250172,0.3518250167,0.3993500173,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.75,within_neuron_deranged,20.0,0.233325009,0.2235000074,0.2441000097,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,1.0,within_neuron_deranged,20.0,0.2240500107,0.2198000118,0.2282000095,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.0,correct_path,20.0,0.7961000383,0.792100042,0.7995250404,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.25,correct_path,20.0,0.7961000383,0.7921500384,0.7996250361,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5,correct_path,20.0,0.7961000383,0.7921500414,0.7995750368,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5714285714,correct_path,20.0,0.7961000383,0.7920750349,0.799550669,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6,correct_path,20.0,0.7961000383,0.7920750379,0.7995750338,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6666666667,correct_path,20.0,0.7961000383,0.7921500414,0.7995500357,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.75,correct_path,20.0,0.7961000383,0.7920500398,0.7995250374,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,1.0,correct_path,20.0,0.7961000383,0.7921000361,0.7995250344,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.0,neuron_shared_k1,20.0,0.796050036,0.7921250343,0.7995756615,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.25,neuron_shared_k1,20.0,0.7932250351,0.7892750323,0.797050035,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5,neuron_shared_k1,20.0,0.7888250411,0.7846000462,0.7927500457,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5714285714,neuron_shared_k1,20.0,0.7805000365,0.7759750426,0.7849750371,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6,neuron_shared_k1,20.0,0.7746250331,0.7690500289,0.7798000247,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6666666667,neuron_shared_k1,20.0,0.5056500271,0.4755744003,0.5351000294,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.75,neuron_shared_k1,20.0,0.2169000111,0.2132000096,0.2205500111,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,1.0,neuron_shared_k1,20.0,0.2141000107,0.21045001,0.2178000122,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.0,within_neuron_deranged,20.0,0.5626500249,0.5557750195,0.569925653,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.25,within_neuron_deranged,20.0,0.5604250282,0.544350025,0.5824006578,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5,within_neuron_deranged,20.0,0.5002000183,0.49427502,0.5058000148,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.5714285714,within_neuron_deranged,20.0,0.4585500211,0.4500250191,0.4663000212,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6,within_neuron_deranged,20.0,0.4116500176,0.3795000165,0.436175017,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.6666666667,within_neuron_deranged,20.0,0.2809500143,0.2577250145,0.3048000105,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,0.75,within_neuron_deranged,20.0,0.2273250095,0.221775011,0.2330250085,,,,,,,,,,,,,,,,
G,held-out accuracy,4.0,1.0,within_neuron_deranged,20.0,0.2235250123,0.2192250125,0.2281000145,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.0,correct_path,20.0,0.79365004,0.7886250406,0.7985756712,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.25,correct_path,20.0,0.79365004,0.7885750413,0.7986500382,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5,correct_path,20.0,0.79365004,0.7886000394,0.7985000432,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5714285714,correct_path,20.0,0.79365004,0.7885500371,0.7985500395,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6,correct_path,20.0,0.79365004,0.7885500401,0.7985000431,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6666666667,correct_path,20.0,0.79365004,0.78867504,0.7985000402,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.75,correct_path,20.0,0.79365004,0.7886000395,0.7986500382,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,1.0,correct_path,20.0,0.79365004,0.7885750383,0.7985750407,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.0,neuron_shared_k1,20.0,0.7952500403,0.7906500369,0.7998000354,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.25,neuron_shared_k1,20.0,0.7912000358,0.7861000359,0.7961000353,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5,neuron_shared_k1,20.0,0.7719000369,0.7646000326,0.7780500352,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5714285714,neuron_shared_k1,20.0,0.5150500283,0.4933743979,0.5372000264,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6,neuron_shared_k1,20.0,0.2919000126,0.2819000117,0.3015250124,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6666666667,neuron_shared_k1,20.0,0.2223750122,0.2175250121,0.2271750123,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.75,neuron_shared_k1,20.0,0.2146500118,0.2093250118,0.2200000115,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,1.0,neuron_shared_k1,20.0,0.2197000109,0.2148250103,0.2245500103,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.0,within_neuron_deranged,20.0,0.673750031,0.6545000285,0.6930750281,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.25,within_neuron_deranged,20.0,0.6551750332,0.6328250318,0.6777006587,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5,within_neuron_deranged,20.0,0.4892000183,0.4769500181,0.5011250198,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.5714285714,within_neuron_deranged,20.0,0.3647500187,0.3477493906,0.3814256465,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6,within_neuron_deranged,20.0,0.3226250157,0.3055500134,0.3394500181,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.6666666667,within_neuron_deranged,20.0,0.2579250112,0.2474243858,0.2697750122,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,0.75,within_neuron_deranged,20.0,0.228675013,0.2227250114,0.2339750133,,,,,,,,,,,,,,,,
H,held-out accuracy,8.0,1.0,within_neuron_deranged,20.0,0.2254000112,0.2205500103,0.2301000133,,,,,,,,,,,,,,,,
F,paired contrast,2.0,0.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
F,paired contrast,2.0,1.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
F,paired contrast,2.0,0.0,,20.0,,,,,,,,,,,,,correct - deranged,0.2513500154,0.2458243859,0.2573750079,20.0,0.0,8.844915021e-05
F,paired contrast,2.0,1.0,,20.0,,,,,,,,,,,,,correct - deranged,0.5758500293,0.5679750368,0.5843500257,20.0,0.0,1.907348633e-06
F,paired contrast,2.0,0.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
F,paired contrast,2.0,1.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
F,paired contrast,2.0,0.0,,20.0,,,,,,,,,,,,,correct - shared,0.00082500279,-0.000350004435,0.001950016605,11.0,2.0,0.1219626931
F,paired contrast,2.0,1.0,,20.0,,,,,,,,,,,,,correct - shared,0.3490000144,0.2986243896,0.3991500111,20.0,0.0,1.907348633e-06
G,paired contrast,4.0,0.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
G,paired contrast,4.0,1.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
G,paired contrast,4.0,0.0,,20.0,,,,,,,,,,,,,correct - deranged,0.2334500134,0.2260500163,0.2410000116,20.0,0.0,1.907348633e-06
G,paired contrast,4.0,1.0,,20.0,,,,,,,,,,,,,correct - deranged,0.572575026,0.5644243929,0.5798250273,20.0,0.0,1.907348633e-06
G,paired contrast,4.0,0.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
G,paired contrast,4.0,1.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
G,paired contrast,4.0,0.0,,20.0,,,,,,,,,,,,,correct - shared,5.0002325e-05,-0.0008750021701,0.0009750008601,10.0,3.0,0.8870372598
G,paired contrast,4.0,1.0,,20.0,,,,,,,,,,,,,correct - shared,0.5820000276,0.5745750352,0.5887250237,20.0,0.0,1.907348633e-06
H,paired contrast,8.0,0.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
H,paired contrast,8.0,1.0,,20.0,,,,,,,,,,,,,correct - BP,0.0,0.0,0.0,0.0,20.0,1.0
H,paired contrast,8.0,0.0,,20.0,,,,,,,,,,,,,correct - deranged,0.119900009,0.09987501487,0.1400756348,20.0,0.0,1.907348633e-06
H,paired contrast,8.0,1.0,,20.0,,,,,,,,,,,,,correct - deranged,0.5682500288,0.5590750328,0.5773250327,20.0,0.0,1.907348633e-06
H,paired contrast,8.0,0.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
H,paired contrast,8.0,1.0,,20.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,20.0,1.0
H,paired contrast,8.0,0.0,,20.0,,,,,,,,,,,,,correct - shared,-0.00160000027,-0.003350001565,0.0002006395145,5.0,1.0,0.05854776138
H,paired contrast,8.0,1.0,,20.0,,,,,,,,,,,,,correct - shared,0.5739500291,0.5642000271,0.5833500244,20.0,0.0,1.907348633e-06
