variant,forward,rule,metric,bound_runs,mean,ci_low,ci_high,n
separable,tonic,broadcast,ood_2.0,5,0.03208457988702605,0.027929264411890455,0.03679921747202236,20
separable,tonic,broadcast,ood_2.5,5,0.1607486716619548,0.14285277524759693,0.18057964035196844,20
separable,tonic,broadcast,ood_3.0,5,0.4570277241965434,0.4145739629124348,0.5019348940497067,20
separable,tonic,exact,test_nmse,20,0.00036413950703214986,0.0002817208813536639,0.0004712128466140483,20
separable,tonic,exact,ood_1.0,20,0.00036884008693943655,0.00028348175085402786,0.0004797278731916046,20
separable,tonic,exact,ood_1.5,20,0.001182887455515437,0.00102053511431212,0.0013532805351471684,20
separable,tonic,exact,ood_2.0,20,0.011961845292796307,0.009963865974657564,0.014174298454925675,20
separable,tonic,exact,ood_2.5,20,0.07013048951944813,0.05922731675965193,0.08183803700818697,20
separable,tonic,exact,ood_3.0,20,0.24351974278914165,0.21202213123329475,0.2767817517815641,20
separable,tonic,resistance,test_nmse,20,0.00016176911510209683,0.0001410618534781581,0.00018356553653969642,20
separable,tonic,resistance,ood_1.0,20,0.0001627583075382944,0.00014216113204567197,0.0001845724512992357,20
separable,tonic,resistance,ood_1.5,20,0.000768081712814467,0.0006360903116899387,0.0009238579477564966,20
separable,tonic,resistance,ood_2.0,20,0.010009057516280114,0.008168911032098651,0.012334843646122242,20
separable,tonic,resistance,ood_2.5,20,0.06411270436012637,0.05394363404955475,0.07651028921384401,20
separable,tonic,resistance,ood_3.0,20,0.24201986950951868,0.21194537756326812,0.27640286514380724,20
separable,tonic,swapped,test_nmse,0,0.0003772468577056262,0.00034037618884395163,0.00041919986933717943,20
separable,tonic,swapped,ood_1.0,0,0.0003771237640109703,0.00034080946044969337,0.0004170123577941324,20
separable,tonic,swapped,ood_1.5,0,0.014152794365980475,0.013217518007316856,0.015154766799224083,20
separable,tonic,swapped,ood_2.0,0,0.139626718965841,0.13231803165266146,0.14708974386019047,20
separable,tonic,swapped,ood_2.5,0,0.4588238357368044,0.4351022906952325,0.48145196059758205,20
separable,tonic,swapped,ood_3.0,0,0.8908726790253503,0.8410455296590268,0.937645022865033,20
separable,tonic,uniform_rms,test_nmse,7,0.0003116804430790875,0.0002590979396328945,0.00037102804204909833,20
separable,tonic,uniform_rms,ood_1.0,7,0.0003120788444199488,0.0002588980892859935,0.00037287675625041446,20
separable,tonic,uniform_rms,ood_1.5,7,0.002076220819261623,0.0017760638565673882,0.002410577655718348,20
separable,tonic,uniform_rms,ood_2.0,7,0.026919219489219853,0.02296624986416184,0.03126990524732189,20
separable,tonic,uniform_rms,ood_2.5,7,0.14095199154907595,0.1225129958978394,0.16069896254437108,20
separable,tonic,uniform_rms,ood_3.0,7,0.416713351722489,0.3708636627569144,0.46377786231890333,20
