variant,forward,trained_rule,delivered_rule,block,relation,seed,cosine,defined
interaction,shunt,broadcast,broadcast,soma,cross,2026092216,0.05782094771850343,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092217,-0.009374142569610111,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092218,0.10849377822203955,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092219,-0.11525440557190654,12
interaction,shunt,broadcast,broadcast,soma,within,2026092200,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092201,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092202,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092203,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092204,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092205,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092206,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092207,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092208,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092209,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092210,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092211,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,soma,within,2026092212,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092213,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092214,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092215,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,soma,within,2026092216,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,soma,within,2026092217,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092218,1.0,4
interaction,shunt,broadcast,broadcast,soma,within,2026092219,1.0,4
interaction,shunt,broadcast,broadcast,terminal,cross,2026092200,0.07940128451056656,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092201,-0.014656653206095467,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092202,-0.03237365349531112,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092203,0.07540859263250103,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092204,-0.020409190943051922,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092205,-0.023597998272124377,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092206,0.10489202054746778,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092207,-0.04582511667935482,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092208,-0.008028914592597868,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092209,0.02241459463684407,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092210,-0.005889402601261543,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092211,0.03986296852929597,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092212,0.13131884870474073,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092213,-0.05991954145325341,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092214,0.04474156799058604,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092215,0.007868021856001587,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092216,-0.006949200084028708,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092217,-0.01979970005164717,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092218,0.005282585103624928,12
interaction,shunt,broadcast,broadcast,terminal,cross,2026092219,0.0022921202307879703,12
interaction,shunt,broadcast,broadcast,terminal,within,2026092200,0.29603119286198776,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092201,0.3631023541767085,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092202,0.29530113858249496,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092203,0.3957132164238365,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092204,0.3065709235675651,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092205,0.39827979990062967,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092206,0.3397360172405403,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092207,0.36013307243624915,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092208,0.3556495964488978,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092209,0.29494184432124737,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092210,0.2628273479314311,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092211,0.30273684961249325,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092212,0.2677237572436214,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092213,0.37546515694185134,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092214,0.3271812541307533,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092215,0.2887010899253141,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092216,0.40033507983425964,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092217,0.2837787357119259,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092218,0.3206040577751521,4
interaction,shunt,broadcast,broadcast,terminal,within,2026092219,0.3386357062035434,4
interaction,shunt,broadcast,exact,proximal,cross,2026092200,0.2421172468718313,12
interaction,shunt,broadcast,exact,proximal,cross,2026092201,-0.02231511058742906,12
interaction,shunt,broadcast,exact,proximal,cross,2026092202,-0.13778390134577673,12
interaction,shunt,broadcast,exact,proximal,cross,2026092203,-0.07204106658954675,12
interaction,shunt,broadcast,exact,proximal,cross,2026092204,-0.02608925595752479,12
interaction,shunt,broadcast,exact,proximal,cross,2026092205,-0.11088097850133738,12
interaction,shunt,broadcast,exact,proximal,cross,2026092206,0.03602343349954001,12
interaction,shunt,broadcast,exact,proximal,cross,2026092207,-0.03330932721703451,12
interaction,shunt,broadcast,exact,proximal,cross,2026092208,-0.013419036803328477,12
interaction,shunt,broadcast,exact,proximal,cross,2026092209,0.03417897637059306,12
interaction,shunt,broadcast,exact,proximal,cross,2026092210,-0.05687922115442199,12
interaction,shunt,broadcast,exact,proximal,cross,2026092211,0.09207616616479791,12
interaction,shunt,broadcast,exact,proximal,cross,2026092212,0.18498999033089483,12
interaction,shunt,broadcast,exact,proximal,cross,2026092213,-0.06965403589826066,12
interaction,shunt,broadcast,exact,proximal,cross,2026092214,0.12567668942141205,12
interaction,shunt,broadcast,exact,proximal,cross,2026092215,-0.045674515742052925,12
interaction,shunt,broadcast,exact,proximal,cross,2026092216,-0.05605439171268392,12
interaction,shunt,broadcast,exact,proximal,cross,2026092217,0.012180506549642358,12
interaction,shunt,broadcast,exact,proximal,cross,2026092218,-0.009992595757831634,12
interaction,shunt,broadcast,exact,proximal,cross,2026092219,0.021934599042796765,12
interaction,shunt,broadcast,exact,proximal,within,2026092200,0.9999999999999999,4
interaction,shunt,broadcast,exact,proximal,within,2026092201,0.9999999999999999,4
interaction,shunt,broadcast,exact,proximal,within,2026092202,0.9999999999999997,4
interaction,shunt,broadcast,exact,proximal,within,2026092203,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092204,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092205,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092206,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092207,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092208,0.9999999999999999,4
interaction,shunt,broadcast,exact,proximal,within,2026092209,1.0,4
interaction,shunt,broadcast,exact,proximal,within,2026092210,0.9999999999999999,4
interaction,shunt,broadcast,exact,proximal,within,2026092211,1.0,4
