panel,record,endpoint,comparison,unit,n_targets,mean,ci95_low,ci95_high,positive_targets,target_root_id,effect,session,scan_idx,reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high,drawn,scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability,input_row,route_column,site_segment_id,route_segment_id,value,n_sites,n_routes,coverage,sites_per_route,one_site_routes
D,detection_probability,,,,,,,,,,,,,measured,0.05,0.05,4000.0,211.0,0.05275,0.046241888305294,0.0601163337173439,0.0288820813665745,0.0803746422495691,0.0012708346781491,256.0,0.064,0.0568255917973639,0.0720110427512557,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.05,0.05,4000.0,554.0,0.1385,0.1281417506273224,0.1495519268711317,0.0737524522142997,0.0798368029229679,0.0012623306917128,564.0,0.141,0.1305590124343197,0.1521298678476859,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.1,0.1,4000.0,369.0,0.09225,0.0836692138525326,0.1016132121502189,0.0558992429388028,0.0803222179831586,0.0012700057777165,386.0,0.0965,0.0877328153230461,0.1060414554117429,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.1,0.1,4000.0,1468.0,0.367,0.3521975854165451,0.3820576264985155,0.140321535888781,0.0772839490327146,0.0012219665275787,1469.0,0.36725,0.3524452130299197,0.3823095191634961,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.15,0.15,4000.0,595.0,0.14875,0.1380596938390725,0.1601143150719427,0.0821926197963372,0.0792019934033372,0.0012522934719008,602.0,0.1505,0.1397548458430473,0.161915805016454,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.15,0.15,4000.0,2427.0,0.60675,0.5915168849164838,0.621778273941165,0.1976095148689441,0.0733156865430669,0.0011592227884752,2428.0,0.607,0.5917683377712581,0.6220263413647458,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.2,0.2,4000.0,908.0,0.227,0.2142841362269605,0.2402397198092165,0.1070819064065696,0.07803395666552,0.0012338251894896,911.0,0.22775,0.2150183236260675,0.2410040932451749,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.2,0.2,4000.0,3162.0,0.7905,0.7776129175471843,0.8028296459014991,0.2438371367538563,0.0696109059529924,0.0011006450639961,3162.0,0.7905,0.7776129175471843,0.8028296459014991,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.25,0.25,4000.0,1263.0,0.31575,0.3015281374931419,0.3303254173591131,0.1301170378400969,0.0764219953611761,0.0012083378433806,1263.0,0.31575,0.3015281374931419,0.3303254173591131,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.25,0.25,4000.0,3499.0,0.87475,0.86413139298583,0.8846495042685388,0.2807129734835097,0.0669010576506505,0.0010577986002514,3499.0,0.87475,0.86413139298583,0.8846495042685388,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.3,0.3,4000.0,1615.0,0.40375,0.3886442870771971,0.4190404057560704,0.151640028594337,0.0749116099159896,0.0011844565526229,1615.0,0.40375,0.3886442870771971,0.4190404057560704,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.3,0.3,4000.0,3685.0,0.92125,0.912493022935014,0.9291986460934124,0.3114915115756309,0.0647968424077117,0.0010245280359767,3685.0,0.92125,0.912493022935014,0.9291986460934124,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.35,0.35,4000.0,1954.0,0.4885,0.4730276858399793,0.5039943813556839,0.171736306777652,0.0733886890876634,0.0011603770600548,1954.0,0.4885,0.4730276858399793,0.5039943813556839,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.35,0.35,4000.0,3777.0,0.94425,0.93670417266787,0.9509433619692306,0.3376170919995921,0.0635345984256551,0.001004570206246,3777.0,0.94425,0.93670417266787,0.9509433619692306,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.4,0.4,4000.0,2306.0,0.5765,0.5611213320055205,0.5917318731711553,0.19016706218417,0.0719433707916563,0.0011375245712583,2306.0,0.5765,0.5611213320055205,0.5917318731711553,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.4,0.4,4000.0,3833.0,0.95825,0.9515992407693704,0.9640214294556184,0.3610955082591239,0.062093561632027,0.0009817854139462,3833.0,0.95825,0.9515992407693704,0.9640214294556184,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.45,0.45,4000.0,2601.0,0.65025,0.6353335008643747,0.66487818642707,0.2074314021875001,0.0701122466813956,0.0011085719569239,2601.0,0.65025,0.6353335008643747,0.66487818642707,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.45,0.45,4000.0,3884.0,0.971,0.9653307106010572,0.9757654938200442,0.3826030413441578,0.0600717930689782,0.0009498184461414,3884.0,0.971,0.9653307106010572,0.9757654938200442,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.5,0.5,4000.0,2838.0,0.7095,0.6952351771306157,0.7233628161309994,0.2233662782780389,0.0685521712955623,0.0010839049992199,2838.0,0.7095,0.6952351771306157,0.7233628161309994,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.5,0.5,4000.0,3918.0,0.9795,0.974626668092117,0.9834532257930596,0.4022311585904001,0.0583099674629398,0.0009219615373659,3918.0,0.9795,0.974626668092117,0.9834532257930596,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.55,0.55,4000.0,3079.0,0.76975,0.7564484199909356,0.7825339603542705,0.237941457735462,0.0673985670682915,0.001065664914837,3079.0,0.76975,0.7564484199909356,0.7825339603542705,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.55,0.55,4000.0,3939.0,0.98475,0.9804606859608804,0.988109133769754,0.4205504212328363,0.0563267071257282,0.0008906034380726,3939.0,0.98475,0.9804606859608804,0.988109133769754,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.6,0.6,4000.0,3234.0,0.8085,0.7960123730183561,0.8203956504718981,0.2516807455914419,0.0661378985097927,0.00104573199474,3234.0,0.8085,0.7960123730183561,0.8203956504718981,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.6,0.6,4000.0,3953.0,0.98825,0.9844110267481851,0.9911520768794212,0.4371864590050113,0.054651466517372,0.0008641155583166,3953.0,0.98825,0.9844110267481851,0.9911520768794212,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.65,0.65,4000.0,3393.0,0.84825,0.8367977337673299,0.8590340139813929,0.264814344606739,0.0649244611243396,0.0010265458650598,3393.0,0.84825,0.8367977337673299,0.8590340139813929,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.65,0.65,4000.0,3962.0,0.9905,0.9869880788141052,0.9930707073186976,0.4526677113459286,0.0528432669818467,0.000835525413335,3962.0,0.9905,0.9869880788141052,0.9930707073186976,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.7,0.7,4000.0,3513.0,0.87825,0.8677519025693741,0.8880222785819667,0.2774637682922277,0.0637742845718805,0.0010083599769743,3513.0,0.87825,0.8677519025693741,0.8880222785819667,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.7,0.7,4000.0,3968.0,0.992,0.9887284951205216,0.994327412682412,0.4666374177413649,0.0511490846497398,0.0008087380386296,3968.0,0.992,0.9887284951205216,0.994327412682412,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.75,0.75,4000.0,3600.0,0.9,0.890315836611417,0.908916608756822,0.289306561162004,0.062724523116729,0.0009917617909837,3600.0,0.9,0.890315836611417,0.908916608756822,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.75,0.75,4000.0,3977.0,0.99425,0.991386245498183,0.996165344809947,0.4794866117431667,0.0495530318865503,0.0007835022286422,3977.0,0.99425,0.991386245498183,0.996165344809947,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.8,0.8,4000.0,3686.0,0.9215,0.9127548805044724,0.9294363088023094,0.3005578389635229,0.0616674925306224,0.0009750486699409,3686.0,0.9215,0.9127548805044724,0.9294363088023094,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.8,0.8,4000.0,3980.0,0.995,0.9922892796106572,0.9967608715325385,0.491300623512496,0.0480350839159314,0.0007595013638583,3980.0,0.995,0.9922892796106572,0.9967608715325385,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.85,0.85,4000.0,3731.0,0.93275,0.924565900783893,0.9401037010488704,0.3113260415945826,0.0606791670652487,0.0009594218722403,3731.0,0.93275,0.924565900783893,0.9401037010488704,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.85,0.85,4000.0,3986.0,0.9965,0.9941333399731076,0.9979139328402188,0.5022665805645665,0.0463505622063166,0.0007328667370063,3986.0,0.9965,0.9941333399731076,0.9979139328402188,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.9,0.9,4000.0,3785.0,0.94625,0.9388231700597702,0.9528205268041714,0.32168721448311,0.0594361008906502,0.00093976727027,3785.0,0.94625,0.9388231700597702,0.9528205268041714,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.9,0.9,4000.0,3988.0,0.997,0.9947633060019944,0.9982830073680424,0.5122496329618687,0.0451752448263359,0.0007142833375347,3988.0,0.997,0.9947633060019944,0.9982830073680424,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.95,0.95,4000.0,3828.0,0.957,0.9502627803427972,0.9628602884904156,0.3315809053247472,0.058343636424773,0.0009224938903952,3828.0,0.957,0.9502627803427972,0.9628602884904156,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.95,0.95,4000.0,3991.0,0.99775,0.9957290782521232,0.998815795952979,0.5214448596462272,0.0442474997530213,0.0006996143999364,3991.0,0.99775,0.9957290782521232,0.998815795952979,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,1.0,1.0,4000.0,3849.0,0.96225,0.9558863273972462,0.9677266672814248,0.3413273807755714,0.0576651217377134,0.0009117656312103,3849.0,0.96225,0.9558863273972462,0.9677266672814248,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,1.0,1.0,4000.0,3991.0,0.99775,0.9957290782521232,0.998815795952979,0.5307875384412257,0.0442232029427373,0.0006992302336345,3991.0,0.99775,0.9957290782521232,0.998815795952979,,,,,,,,,,,,,,,,,,,,,
D,observed_estimate,structure_function_partial_r,selected_scans,partial rank correlation,7.0,-0.0694614452169,-0.250817828682,0.105545551658,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,0.0,0.1393588092171175,0.1393588092171175,0.1458067357987499,0.1421697151853442,0.0027647422633418,1000.0,864691135720773937,0.1393588092171175,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,1.0,0.2436715805543628,0.2436715805543628,0.2544805537938984,0.2442465865178188,0.0026973413472259,1000.0,864691136389679223,0.2436715805543628,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,2.0,0.4194694909594008,0.4194694909594008,0.4357442975894418,0.4202178140355899,0.0023629271945183,1000.0,864691135662408944,0.4194694909594007,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,3.0,0.1919898859787223,0.1919898859787223,0.2007128917969897,0.1943589189447068,0.0026824254769832,1000.0,864691135739587697,0.1919898859787223,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,4.0,0.2409713277038309,0.2409713277038309,0.251675585954329,0.2452710891655932,0.0025977014408172,1000.0,864691135456920938,0.2409713277038308,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,5.0,0.1903105767854587,0.1903105767854587,0.1989631240056463,0.1901919040122131,0.0025394504181239,1000.0,864691135135044512,0.1903105767854586,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,6.0,0.0855922904441582,0.0855922904441582,0.0896020360088425,0.0855818233862888,0.002724713529244,1000.0,864691135463493438,0.0855922904441581,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses4_scan10_automatic_conservative,7.0,0.0385907160917895,0.0385907160917895,0.0404093535069755,0.0374635179619293,0.00269788575115,1000.0,864691135892048777,0.0385907160917895,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,target256456_ses4_scan10_automatic_conservative,8.0,-0.0979151758026811,0.0,0.0,-0.0013407137064071,0.0027620931636219,1000.0,864691135912195497,-0.0979151758026811,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,0.0,0.2059777682362482,0.2059777682362482,0.2152815041957047,0.2119978102189781,0.0026854500182939,1000.0,864691136033227451,0.2059777682362482,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,1.0,0.0794141500882591,0.0794141500882591,0.0831383410790019,0.0748771003291827,0.0027779858170107,1000.0,864691135839950227,0.0794141500882591,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,2.0,0.2798244358570679,0.2798244358570679,0.2919841778353249,0.2796173751252326,0.0025685394861191,1000.0,864691135892048777,0.2798244358570679,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,3.0,0.2512952626305997,0.2512952626305997,0.2623971160015259,0.2513272362959782,0.0025715689692647,1000.0,864691135212576960,0.2512952626305997,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,4.0,0.1339058251037641,0.1339058251037641,0.1401109928104436,0.1350766423357664,0.0026681980077066,1000.0,864691135503287618,0.1339058251037641,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan4_automatic_conservative,5.0,0.0593864796526883,0.0593864796526883,0.0621793549441981,0.0588327465292686,0.0026731859101046,1000.0,864691135387753601,0.0593864796526883,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan6_automatic_conservative,0.0,0.0549115023138209,0.0549115023138209,0.0574952685403023,0.0561447402318591,0.0026860941410172,1000.0,864691135456920938,0.0549115023138209,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan6_automatic_conservative,1.0,0.1995992557606984,0.1995992557606984,0.2086395624826556,0.1960171842946424,0.0025991620501809,1000.0,864691135662408944,0.1995992557606984,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan6_automatic_conservative,2.0,0.1487142788989074,0.1487142788989074,0.1555759025249127,0.1455972234149134,0.0026848430994056,1000.0,864691135502842205,0.1487142788989074,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan6_automatic_conservative,3.0,0.2644244072324793,0.2644244072324793,0.2760207734690147,0.2601736129001479,0.0025858627680432,1000.0,864691135463493438,0.2644244072324793,,,,,,,,,,
D-inset,repeat_reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,target256456_ses6_scan6_automatic_conservative,4.0,0.1535470635942941,0.1535470635942941,0.160620944514411,0.1557570726587471,0.0026443335943287,1000.0,864691136034433723,0.1535470635942941,,,,,,,,,,
