panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092204.0,0.0084317043641213,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092205.0,0.0085867303752323,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092206.0,0.0095081352081808,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092207.0,0.0095333210110024,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092208.0,0.0094767626046968,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092209.0,0.01728444591543,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092210.0,0.0153118378413194,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092211.0,0.0132235867468344,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092212.0,0.0083155634661889,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092213.0,0.0079038383285236,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092214.0,0.0235759624731625,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092215.0,0.0073446217170696,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092216.0,0.0087639636341892,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092217.0,0.0053069271709625,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092218.0,0.0108690405084888,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092219.0,0.0096272322272575,,,,
I,mean and bootstrap interval,resistance,,0.00012127898622596094,0.00010226147518740334,0.00014096029773961606,20.0,shunt,ood_3.0,,,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092200.0,0.0001377933445905,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092201.0,9.472098934809532e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092202.0,6.366157129632649e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092203.0,0.0001265518530587,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092204.0,0.0001124245628193,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092205.0,5.948681868568638e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092206.0,0.0002112632850556,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092207.0,0.0001240025851904,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092208.0,6.20940671580116e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092209.0,0.0001096550771336,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092210.0,6.901857240140867e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092211.0,0.0001498840579256,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092212.0,8.107121765375844e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092213.0,9.10155255384274e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092214.0,0.0001568683673076,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092215.0,0.00016402812295,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092216.0,0.0001773225358841,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092217.0,0.0002050034315329,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092218.0,9.530709027570442e-05,,,,
I,seed outcome,resistance,,,,,,shunt,ood_3.0,2026092219.0,0.0001344066487135,,,,
I,mean and bootstrap interval,exact,,0.24351974278914162,0.2116271462907783,0.27645003052450196,20.0,tonic,ood_3.0,,,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092200.0,0.2330095810768715,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092201.0,0.2531585870493509,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092202.0,0.2713887461832018,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092203.0,0.1274205050776678,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092204.0,0.1412269356065964,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092205.0,0.1966085036037282,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092206.0,0.4182654306201411,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092207.0,0.2318009421299574,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092208.0,0.3114035582688306,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092209.0,0.3398333095126064,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092210.0,0.2697798408642394,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092211.0,0.3351100894190371,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092212.0,0.2194576699119785,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092213.0,0.1782966016128043,,,,
