model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
82,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,1,4,frozen_profile,0.25,0.1875,0
83,0,0.698647863409,0.4423828125,-0.932919502782,52001,16,1,4,mismatched_encoder,0.2548828125,0.235736802628,2.22044604925e-16
84,0,0.698647863409,0.4423828125,0.977567376075,52001,64,1,0,oracle_context,1,0,0
85,0,0.698647863409,0.4423828125,-0.921915873257,52001,64,1,0,learned_local_cue,0.42138671875,0.178049719568,2.22044604925e-16
86,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,1,0,frozen_profile,0.25,0.1875,0
87,0,0.698647863409,0.4423828125,-0.943207376198,52001,64,1,0,mismatched_encoder,0.2119140625,0.241539243641,2.22044604925e-16
88,0,0.698647863409,0.4423828125,0.977567376075,52001,64,1,1,oracle_context,1,0,0
89,0,0.698647863409,0.4423828125,-0.956960419255,52001,64,1,1,learned_local_cue,0.26806640625,0.226938360607,2.22044604925e-16
90,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,1,1,frozen_profile,0.25,0.1875,0
91,0,0.698647863409,0.4423828125,-0.944002754349,52001,64,1,1,mismatched_encoder,0.240234375,0.229775445855,2.22044604925e-16
92,0,0.698647863409,0.4423828125,0.977567376075,52001,64,1,4,oracle_context,1,0,0
93,0,0.698647863409,0.4423828125,-0.951773729061,52001,64,1,4,learned_local_cue,0.2509765625,0.228383121203,2.22044604925e-16
94,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,1,4,frozen_profile,0.25,0.1875,0
95,0,0.698647863409,0.4423828125,-0.935283268793,52001,64,1,4,mismatched_encoder,0.2529296875,0.229670623993,2.22044604925e-16
96,0,0.698647863409,0.4423828125,0.977567376075,52001,256,1,0,oracle_context,1,0,0
97,0,0.698647863409,0.4423828125,-0.93055181329,52001,256,1,0,learned_local_cue,0.44287109375,0.170493635854,2.22044604925e-16
98,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,1,0,frozen_profile,0.25,0.1875,0
99,0,0.698647863409,0.4423828125,-0.953015038566,52001,256,1,0,mismatched_encoder,0.1748046875,0.243250311414,2.22044604925e-16
100,0,0.698647863409,0.4423828125,0.977567376075,52001,256,1,1,oracle_context,1,0,0
101,0,0.698647863409,0.4423828125,-0.952728158995,52001,256,1,1,learned_local_cue,0.25341796875,0.222583533965,2.22044604925e-16
102,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,1,1,frozen_profile,0.25,0.1875,0
103,0,0.698647863409,0.4423828125,-0.947328360365,52001,256,1,1,mismatched_encoder,0.24658203125,0.221192839531,2.22044604925e-16
104,0,0.698647863409,0.4423828125,0.977567376075,52001,256,1,4,oracle_context,1,0,0
105,0,0.698647863409,0.4423828125,-0.943263112364,52001,256,1,4,learned_local_cue,0.2490234375,0.22030664002,2.22044604925e-16
106,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,1,4,frozen_profile,0.25,0.1875,0
107,0,0.698647863409,0.4423828125,-0.950179194341,52001,256,1,4,mismatched_encoder,0.25732421875,0.223958408078,2.22044604925e-16
0,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0,0,oracle_context,1,0,0
1,1,0.748067772582,0.24072265625,-0.922730804942,52001,16,0,0,learned_local_cue,1,0.121504601024,1.11022302463e-16
2,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0,0,frozen_profile,0.25,0.1875,0
3,1,0.795263574106,0.1962890625,-0.965836511995,52001,16,0,0,mismatched_encoder,0,0.219004744256,1.11022302463e-16
4,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0,1,oracle_context,1,0,0
5,1,0.785538269325,0.20361328125,-0.963088291528,52001,16,0,1,learned_local_cue,0.25146484375,0.194486885972,1.11022302463e-16
6,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0,1,frozen_profile,0.25,0.1875,0
7,1,0.785121267348,0.205078125,-0.965149417818,52001,16,0,1,mismatched_encoder,0.25732421875,0.19391559607,1.11022302463e-16
8,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0,4,oracle_context,1,0,0
9,1,0.78481848133,0.2001953125,-0.960572063652,52001,16,0,4,learned_local_cue,0.26318359375,0.193344306169,1.11022302463e-16
10,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0,4,frozen_profile,0.25,0.1875,0
11,1,0.78583039584,0.203125,-0.965295889464,52001,16,0,4,mismatched_encoder,0.24365234375,0.195248605841,1.11022302463e-16
12,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0,0,oracle_context,1,0,0
13,1,0.6833589842,0.57568359375,0.804193756903,52001,64,0,0,learned_local_cue,1,0.0298359890721,2.22044604925e-16
14,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0,0,frozen_profile,0.25,0.1875,0
15,1,0.782683802137,0.2060546875,-0.955045759668,52001,64,0,0,mismatched_encoder,0,0.330390449051,2.22044604925e-16
16,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0,1,oracle_context,1,0,0
17,1,0.761262085805,0.2236328125,-0.951091362353,52001,64,0,1,learned_local_cue,0.25146484375,0.254806585994,2.22044604925e-16
18,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0,1,frozen_profile,0.25,0.1875,0
19,1,0.760383077873,0.2255859375,-0.956099555516,52001,64,0,1,mismatched_encoder,0.25732421875,0.253047266781,2.22044604925e-16
20,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0,4,oracle_context,1,0,0
21,1,0.75971906818,0.2177734375,-0.94088546743,52001,64,0,4,learned_local_cue,0.26318359375,0.251286807094,2.22044604925e-16
22,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0,4,frozen_profile,0.25,0.1875,0
23,1,0.761902194167,0.21533203125,-0.955269997343,52001,64,0,4,mismatched_encoder,0.24365234375,0.25715586488,2.22044604925e-16
24,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0,0,oracle_context,1,0,0
25,1,0.660222162565,0.72021484375,0.965941422593,52001,256,0,0,learned_local_cue,1,0.00226994073135,2.22044604925e-16
26,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0,0,frozen_profile,0.25,0.1875,0
27,1,0.7719125551,0.21337890625,-0.943398602249,52001,256,0,0,mismatched_encoder,0,0.447256307316,2.22044604925e-16
28,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0,1,oracle_context,1,0,0
29,1,0.747448215037,0.24365234375,-0.937169862516,52001,256,0,1,learned_local_cue,0.25146484375,0.335357768112,2.22044604925e-16
30,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0,1,frozen_profile,0.25,0.1875,0
31,1,0.746463939966,0.25341796875,-0.942696054545,52001,256,0,1,mismatched_encoder,0.25732421875,0.332750033251,2.22044604925e-16
32,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0,4,oracle_context,1,0,0
33,1,0.745706868189,0.2421875,-0.91941042698,52001,256,0,4,learned_local_cue,0.26318359375,0.330142748406,2.22044604925e-16
34,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0,4,frozen_profile,0.25,0.1875,0
35,1,0.748175417179,0.2314453125,-0.940837160873,52001,256,0,4,mismatched_encoder,0.24365234375,0.338834012432,2.22044604925e-16
36,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0.5,0,oracle_context,1,0,0
37,1,0.75801066253,0.224609375,-0.947289511071,52001,16,0.5,0,learned_local_cue,0.525390625,0.156992278664,2.22044604925e-16
38,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0.5,0,frozen_profile,0.25,0.1875,0
39,1,0.785387614485,0.20361328125,-0.954323339652,52001,16,0.5,0,mismatched_encoder,0.16015625,0.219244602065,2.22044604925e-16
40,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0.5,1,oracle_context,1,0,0
