panel,task,rule,rate,step,mean,ci95_low,ci95_high,n_seeds,positive_seeds,sensitivity,model,optimizer,contrast,k
C,matching,calibrated_broadcast,0.01,64.0,0.5056821362999094,0.40334623624680493,0.6082886640180034,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,256.0,0.029188612937375114,0.022959923775908744,0.04072975305153735,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,512.0,0.02320234774967303,0.022853556233909108,0.023601708202575913,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,1024.0,0.023576073407093327,0.02319640055633902,0.023982103926521472,20.0,20.0,,,,,
D,quartet,exact,0.003,0.0,1.6999767525832823,1.4045369493313475,2.061147442463367,20.0,20.0,,,,,
D,quartet,exact,0.003,1.0,1.6724739885997775,1.389873899018527,2.0186937271886727,20.0,20.0,,,,,
D,quartet,exact,0.003,16.0,1.3805037876891475,1.2177227410358593,1.5686614329717192,20.0,20.0,,,,,
D,quartet,exact,0.003,64.0,1.0831152327344393,1.004980684726241,1.157926923498839,20.0,20.0,,,,,
D,quartet,exact,0.003,256.0,0.6517583166077913,0.5000155089566835,0.7974757983721287,20.0,20.0,,,,,
D,quartet,exact,0.003,512.0,0.3018920058408613,0.1701779058339783,0.45129355812038585,20.0,20.0,,,,,
D,quartet,exact,0.003,1024.0,0.15163557658929702,0.04702839862925804,0.28126653100255994,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,0.0,1.6999767525832823,1.4045369493313475,2.061147442463367,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,1.0,1.6985165253329715,1.4000138316003983,2.066757366189516,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,16.0,1.614503298997377,1.334877367865658,1.9560025661104803,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,64.0,1.4156209830280626,1.189128652314789,1.6879109704428843,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,256.0,1.0120821080326556,0.9432746618261408,1.0706720666339444,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,512.0,0.9633049768290938,0.9032060193171815,1.0146709630386594,20.0,20.0,,,,,
D,quartet,unit_broadcast,0.003,1024.0,0.9682444156520074,0.9053772594680122,1.017989926694592,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,0.0,1.6999767525832823,1.4045369493313475,2.061147442463367,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,1.0,1.6568092747970327,1.3754670753063378,2.008016483034371,20.0,20.0,,,,,
