contrast,family,detail,n_seeds,mean_accuracy,mean_pp,ci_low_accuracy,ci_high_accuracy,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,zero_pairs,exact_two_sided_sign_flip_p,positive_claim_gate,seed_values_pp,bh_adjusted_p_primary_family
depth__shared_local__rewired_tree__d4_d3,primary,H=4 rewired_tree: D4 minus D3 for shared_local,10,-0.006679999828338623,-0.6679999828338623,-0.008490002155303955,-0.0048900008201599125,-0.8490002155303955,-0.48900008201599127,0,10,0,0.001953125,False,-0.49999952;-0.41999817;-0.84999800;-0.65999627;-0.16000271;-0.67000389;-0.42999983;-0.94000101;-1.23000145;-0.81999898,0.00390625
depth__shared_local__rewired_tree__d4_d1,primary,H=4 rewired_tree: D4 minus D1 for shared_local,10,-0.004269993305206299,-0.42699933052062994,-0.006609976440668106,-0.001940000057220459,-0.6609976440668106,-0.1940000057220459,1,9,0,0.009765625,False,-0.77999830;0.22000074;-0.37999749;-0.47999620;-0.02000332;-0.31999946;-0.09999871;-0.81999898;-0.52000284;-1.06999874,0.016927083333333332
placement_interaction__shared_local__d4_d3,primary,H=4 aligned-minus-reversed D4-minus-D3 interaction for shared_local,10,0.05937999486923218,5.937999486923218,0.05511000722646713,0.06418998837471009,5.511000722646713,6.418998837471008,10,0,0,0.001953125,True,5.65999746;5.72999716;5.55000305;4.89999652;6.18000031;5.16000390;6.43000007;7.51000047;6.67999983;5.57999611,0.00390625
placement_interaction__shared_local__d4_d1,primary,H=4 aligned-minus-reversed D4-minus-D1 interaction for shared_local,10,0.12116998434066772,12.116998434066772,0.11501997694373131,0.12749998569488524,11.50199769437313,12.749998569488524,10,0,0,0.001953125,True,13.35999370;11.46999598;11.32000089;10.45999527;12.55000234;11.97000146;13.20999861;13.74999881;11.51999831;11.55999899,0.00390625
depth__path_local__aligned__d4_d3,primary,H=4 aligned: D4 minus D3 for path_local,10,0.006019991636276245,0.6019991636276245,0.0003899812698364258,0.012480252683162704,0.03899812698364258,1.2480252683162705,7,2,1,0.0859375,False,0.05999804;0.44999719;0.90000033;0.00000000;0.60999990;2.86000371;-0.77000260;-0.46000481;1.19000077;1.17999911,0.11759868421052631
depth__path_local__aligned__d4_d1,primary,H=4 aligned: D4 minus D1 for path_local,10,0.1680799901485443,16.80799901485443,0.1598397320508957,0.17721999883651735,15.983973205089569,17.721999883651733,10,0,0,0.001953125,True,16.74999595;14.87999558;18.18999648;19.87000108;17.50000119;17.01000333;15.39999843;16.86999798;16.07999802;15.53000212,0.00390625
depth__path_local__rewired_tree__d4_d3,primary,H=4 rewired_tree: D4 minus D3 for path_local,10,-0.006720006465911865,-0.6720006465911865,-0.00798000693321228,-0.005370014905929565,-0.7980006933212279,-0.5370014905929565,0,10,0,0.001953125,False,-0.62000155;-0.41000247;-0.66999793;-0.94000101;-0.29000044;-0.83000064;-0.48000216;-0.74999928;-0.96000433;-0.76999664,0.00390625
depth__path_local__rewired_tree__d4_d1,primary,H=4 rewired_tree: D4 minus D1 for path_local,10,-0.003429996967315674,-0.3429996967315674,-0.005890249460935591,-0.0010300040245056151,-0.5890249460935592,-0.10300040245056151,3,7,0,0.033203125,False,-0.80999732;0.16999841;-0.19000173;-0.34999847;0.18000007;-0.38999915;0.05999804;-0.80999732;-0.31999946;-0.97000003,0.05078125
placement_interaction__path_local__d4_d3,primary,H=4 aligned-minus-reversed D4-minus-D3 interaction for path_local,10,0.012739998102188111,1.273999810218811,0.0065899908542633055,0.019740015268325806,0.6589990854263306,1.9740015268325806,9,1,0,0.005859375,True,0.67999959;0.85999966;1.56999826;0.94000101;0.90000033;3.69000435;-0.29000044;0.28999448;2.15000510;1.94999576,0.010881696428571428
placement_interaction__path_local__d4_d1,primary,H=4 aligned-minus-reversed D4-minus-D1 interaction for path_local,10,0.17150998711586,17.150998711586,0.16254000633955,0.18077998757362365,16.254000633955002,18.077998757362366,10,0,0,0.001953125,True,17.55999327;14.70999718;18.37999821;20.21999955;17.32000113;17.40000248;15.34000039;17.67999530;16.39999747;16.50000215,0.00390625
serial_minus_grouped__aligned__d1,architecture,H=4 aligned: serial tree minus literal grouped point at D1,10,5.960464477539063e-09,5.960464477539062e-07,-2.9987096786499025e-05,3.000497817993164e-05,-0.0029987096786499023,0.003000497817993164,1,1,8,1.0,False,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;-0.00999570;0.01000166;0.00000000;0.00000000,
serial_minus_grouped__aligned__d2,architecture,H=4 aligned: serial tree minus literal grouped point at D2,10,0.11480998992919922,11.480998992919922,0.11045998334884644,0.11891000270843506,11.045998334884644,11.891000270843506,10,0,0,0.001953125,True,11.60999537;11.77999973;11.04999781;11.59999967;12.74000406;11.07999682;11.61999702;12.00000048;10.00999808;11.32000089,
serial_minus_grouped__aligned__d3,architecture,H=4 aligned: serial tree minus literal grouped point at D3,10,0.2709099769592285,27.09099769592285,0.2611899793148041,0.27983997464179994,26.118997931480408,27.983997464179993,10,0,0,0.001953125,True,29.00999784;27.22999454;27.91000009;27.42999792;27.68999934;29.06999588;27.25999951;26.33999586;24.55999851;24.40999746,
serial_minus_grouped__aligned__d4,architecture,H=4 aligned: serial tree minus literal grouped point at D4,10,0.2560299873352051,25.60299873352051,0.24688998460769654,0.26365000009536743,24.688998460769653,26.365000009536743,10,0,0,0.001953125,True,26.88999772;26.24999881;26.21999979;25.81000328;26.42999887;27.28999853;25.51999688;25.23000240;22.52999544;23.85999560,
serial_minus_grouped__rewired_tree__d1,architecture,H=4 rewired_tree: serial tree minus literal grouped point at D1,10,-9.000301361083984e-05,-0.009000301361083984,-0.0002599954605102539,8.999705314636231e-05,-0.02599954605102539,0.00899970531463623,2,6,2,0.3828125,False,-0.02000332;0.00000000;-0.05999804;-0.02000332;0.01999736;-0.01000166;-0.02999902;-0.01999736;0.05000234;0.00000000,
serial_minus_grouped__rewired_tree__d2,architecture,H=4 rewired_tree: serial tree minus literal grouped point at D2,10,-0.0010100126266479493,-0.10100126266479492,-0.0026000142097473145,0.0003799915313720703,-0.26000142097473145,0.03799915313720703,4,6,0,0.259765625,False,0.02999902;0.13999939;0.19999743;-0.09000301;-0.24000406;-0.08999705;-0.06999969;-0.62000155;0.12000203;-0.39000511,
serial_minus_grouped__rewired_tree__d3,architecture,H=4 rewired_tree: serial tree minus literal grouped point at D3,10,0.00798000693321228,0.7980006933212279,0.006340008825063705,0.009540015459060669,0.6340008825063705,0.9540015459060669,10,0,0,0.001953125,True,0.34999847;1.15000010;0.90999603;0.88999867;0.71000457;1.07000470;0.70000291;0.72000027;1.08000040;0.40000081,
serial_minus_grouped__rewired_tree__d4,architecture,H=4 rewired_tree: serial tree minus literal grouped point at D4,10,-0.0030800044536590577,-0.30800044536590576,-0.005480003356933594,-0.0010100007057189941,-0.5480003356933594,-0.10100007057189941,1,8,1,0.01953125,False,-0.60000420;0.22000074;-0.15999675;-0.44000149;0.00000000;-0.13999939;-0.13999939;-0.42000413;-0.23000240;-1.16999745,
architecture_placement_interaction__d4,primary,H=4 aligned-minus-reversed serial-minus-grouped interaction at D4,10,0.2591099917888641,25.910999178886414,0.2505697143077851,0.26621000170707704,25.056971430778507,26.621000170707703,10,0,0,0.001953125,True,27.49000192;26.02999806;26.37999654;26.25000477;26.42999887;27.42999792;25.65999627;25.65000653;22.75999784;25.02999306,0.00390625
depth__additive_bp__aligned__d4_d3,mechanism,H=4 aligned raw-additive BP: D4 minus D3,10,-0.005549997091293335,-0.5549997091293335,-0.022419995069503783,0.011239999532699585,-2.2419995069503784,1.1239999532699585,4,6,0,0.564453125,False,-0.97000003;-0.83000064;3.40999961;0.60999990;0.24999976;-2.39999890;3.83999944;-1.24999881;-2.28999853;-5.91999888,
shunting_additive_depth_interaction__aligned__d4_d3,primary,H=4 aligned shunting-minus-additive interaction in D4 minus D3,10,-0.009029990434646607,-0.9029990434646606,-0.02654998317360878,0.009500008821487427,-2.654998317360878,0.9500008821487428,4,6,0,0.34375,False,-1.17999911;-0.14999509;-5.04999757;-2.16999650;-1.52000189;0.63999891;-5.41999936;0.22000074;0.24999976;5.34999967,0.38858695652173914
