calibration_samples,cue_noise_sd,cue_delay_trials,method,mean_accuracy,mean_loss,mean_coefficient_accuracy,n_seeds
256,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,1,learned_local_cue,0.19873046875,10.0465178672,0.249731445312,20
256,0.5,1,mismatched_encoder,0.198095703125,10.0770232904,0.251879882813,20
256,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,4,learned_local_cue,0.197021484375,9.73556533653,0.247924804688,20
256,0.5,4,mismatched_encoder,0.195947265625,10.0957784041,0.249682617188,20
256,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
256,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,0,learned_local_cue,0.234399414063,3.49245667524,0.438208007813,20
256,1,0,mismatched_encoder,0.194360351563,11.8599517914,0.1892578125,20
256,1,0,oracle_context,0.802905273437,0.426767740089,1,20
256,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,1,learned_local_cue,0.1953125,10.0389580884,0.249951171875,20
256,1,1,mismatched_encoder,0.197631835938,9.8738837744,0.253588867188,20
256,1,1,oracle_context,0.802905273437,0.426767740089,1,20
256,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,4,learned_local_cue,0.199755859375,9.94974206411,0.249487304687,20
256,1,4,mismatched_encoder,0.195727539063,9.93515148157,0.250415039063,20
256,1,4,oracle_context,0.802905273437,0.426767740089,1,20
