post_soma_id,pre_soma_id,m_type_pre,n_contacts,n_axonal_clumps,actual_pair_tree_distance_um,matched_pair_tree_distance_um,tree_distance_delta_um,tree_distance_null_sd,actual_shared_path_fraction,matched_shared_path_fraction,shared_path_delta,shared_path_null_sd,actual_route_overlap,matched_route_overlap,route_overlap_delta,route_overlap_null_sd
255213,258234,PTC,4,4,111.34030200242034,133.62535489631583,-22.285052893895482,26.638777183238897,0.16666666666666666,0.07312090059690363,0.09354576606976303,0.08517775045729799,0.16666666666666663,0.05990835774883192,0.10675830891783471,0.09097429913049161
255213,258292,PTC,2,2,149.00058189847647,182.0928822920504,-33.092300393573936,45.67063207021623,0.0,0.056538841960724895,-0.056538841960724895,0.18201344662855481,0.0,0.02960968315958948,-0.02960968315958948,0.16874761662481289
255213,260505,DTC,3,3,176.42200893547803,207.41787605732247,-30.99586712184444,23.265248709784366,0.04388226743668202,0.022293283720511814,0.021588983716170206,0.06461293576000864,0.0,0.012280367593750096,-0.012280367593750096,0.06115104959732697
255213,291116,DTC,10,10,221.19082242760533,201.43751374328625,19.75330868431908,14.016610636103643,0.09201046442580714,0.08928703351780694,0.0027234309080002017,0.023806341931455876,0.044444444444444446,0.03060765810747097,0.013836786336973477,0.024761598581536343
255213,292864,DTC,2,2,257.18678742173995,191.61639123588415,65.5703961858558,61.28534645025062,0.12251492059382374,0.23217096012462374,-0.1096560395308,0.2245255974785704,0.0,0.07214688191866947,-0.07214688191866947,0.2473505261387308
255213,292890,STC,2,2,215.249279465432,218.85129612539953,-3.602016659967518,25.094923275968412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255213,294825,DTC,5,5,212.02032103706196,210.09700171131854,1.923319325743421,17.262301529775883,0.11304275291771429,0.14114090365069668,-0.028098150732982385,0.051900632951386236,0.0,0.03867141641102735,-0.03867141641102735,0.05869730105315102
255213,303149,DTC,5,5,201.4825923122791,185.10301609440134,16.37957621787777,21.344115851999113,0.0,0.03878512301298033,-0.03878512301298033,0.0484497240263978,0.0,0.021450750789942533,-0.021450750789942533,0.044306755452633725
256512,256446,DTC,3,3,188.4025567795643,188.49309982595145,-0.09054304638715394,30.7209405891146,0.08424914359290951,0.10683390205198244,-0.02258475845907293,0.08437503076547503,0.0,0.03473387371325122,-0.03473387371325122,0.09968886980467319
256512,256622,PTC,6,6,94.74302156869553,98.27230202840646,-3.5292804597109324,23.805890537920103,0.0,0.059514764722178475,-0.059514764722178475,0.04910512481418779,0.09631743587784701,0.10113003012295442,-0.00481259424510741,0.0583255091353135
256512,258234,PTC,3,3,196.2727391138353,169.1824690295295,27.090270084305814,35.44945631808546,0.0,0.06933267392870329,-0.06933267392870329,0.11085275086918814,0.0,0.047833872724156054,-0.047833872724156054,0.1206253939808585
256512,258249,PTC,2,2,0.0,80.14136733344168,-80.14136733344168,54.56717423987514,1.0,0.15689354275498948,0.8431064572450105,0.2731054123183735,1.0,0.26024541415257096,0.739754585847429,0.26307215862826516
256512,258292,PTC,4,4,149.7009492530963,178.52505045358353,-28.824101200487235,29.028249713143264,0.042124571796454756,0.06680841817720508,-0.024683846380750323,0.04815110908093855,0.0,0.02637183231478384,-0.02637183231478384,0.05563780702358233
256512,262678,DTC,2,2,226.77370488331002,187.61288279688668,39.16082208642334,45.59291623155286,0.0,0.06637777415254384,-0.06637777415254384,0.18852686521420473,0.0,0.034,-0.034,0.1814106381645756
